Date,Adj Close_AARTISURF.NS,Close_AARTISURF.NS,High_AARTISURF.NS,Low_AARTISURF.NS,Open_AARTISURF.NS,Volume_AARTISURF.NS,Date
2020-07-13,403.50128173828125,404.3171691894531,447.9393005371094,404.3171691894531,447.9393005371094,2498,2020-07-13
2020-07-20,312.3056640625,312.9371643066406,384.130859375,312.9371643066406,384.130859375,5734,2020-07-20
2020-07-27,241.79612731933594,242.28504943847656,297.3296813964844,242.28504943847656,297.3296813964844,26075,2020-07-27
2020-08-03,279.09002685546875,279.65435791015625,279.65435791015625,218.70152282714844,230.1732635498047,871487,2020-08-03
2020-08-10,356.13458251953125,356.8547058105469,356.8547058105469,293.6370849609375,293.6370849609375,436315,2020-08-10
2020-08-17,454.4057312011719,455.3245544433594,455.3245544433594,374.6777648925781,374.6777648925781,55262,2020-08-17
2020-08-24,551.6449584960938,552.7604370117188,580.9720458984375,454.192138671875,478.0710754394531,682094,2020-08-24
2020-08-31,521.4757690429688,522.5302124023438,561.13037109375,450.3025817871094,561.13037109375,192826,2020-08-31
2020-09-07,525.6031494140625,526.6659545898438,570.8296508789062,498.9466857910156,548.624755859375,197519,2020-09-07
2020-09-14,499.41387939453125,500.4237365722656,541.5841064453125,494.318603515625,531.2448120117188,91322,2020-09-14
2020-09-21,463.69232177734375,464.62994384765625,519.9207763671875,448.1362609863281,500.4237365722656,71159,2020-09-21
2020-09-28,511.5012512207031,512.5355224609375,516.6220092773438,448.0870056152344,462.8082580566406,83657,2020-09-28
2020-10-05,522.1145629882812,523.1702880859375,538.1376953125,497.3711853027344,538.1376953125,145687,2020-10-05
2020-10-12,519.7068481445312,520.7577514648438,534.3958129882812,507.11968994140625,523.1702880859375,66596,2020-10-12
2020-10-19,567.7123413085938,568.8602905273438,597.7119140625,517.9513549804688,524.84423828125,136353,2020-10-19
2020-10-26,551.1536865234375,552.2681274414062,571.1250610351562,516.9666748046875,559.3087158203125,47201,2020-10-26
2020-11-02,605.3501586914062,606.57421875,606.57421875,534.29736328125,546.5076293945312,68441,2020-11-02
2020-11-09,811.1299438476562,812.7700805664062,812.7700805664062,636.9029541015625,636.9029541015625,206899,2020-11-09
2020-11-16,892.1053466796875,893.9092407226562,987.8002319335938,774.0714111328125,774.0714111328125,174606,2020-11-16
2020-11-23,1029.4393310546875,1031.5208740234375,1031.5208740234375,828.3775634765625,849.253173828125,243101,2020-11-23
2020-11-30,1056.4146728515625,1058.55078125,1191.0911865234375,1031.5208740234375,1031.5208740234375,401840,2020-11-30
2020-12-07,997.206298828125,999.2227172851562,1072.3858642578125,925.7149658203125,1015.2733154296875,232746,2020-12-07
2020-12-14,1026.0489501953125,1028.1236572265625,1156.6268310546875,1024.184814453125,1049.14697265625,280857,2020-12-14
2020-12-21,1031.3555908203125,1033.4410400390625,1055.793701171875,927.9305419921875,1007.3464965820312,157075,2020-12-21
2020-12-28,1007.8687133789062,1009.9066772460938,1051.017822265625,974.8514404296875,1042.795654296875,117192,2020-12-28
2021-01-04,990.9661254882812,992.9699096679688,1043.7802734375,984.6984252929688,1014.2393798828125,76122,2021-01-04
2021-01-11,956.0798950195312,958.0131225585938,1014.2393798828125,950.4801635742188,989.6219482421875,58873,2021-01-11
2021-01-18,933.8705444335938,935.7589111328125,974.8514404296875,915.8679809570312,958.0131225585938,58147,2021-01-18
2021-01-25,904.0452880859375,905.873291015625,955.157470703125,881.2066040039062,955.157470703125,49854,2021-01-25
2021-02-01,956.1781005859375,958.111572265625,1008.13427734375,820.2537841796875,905.873291015625,164227,2021-02-01
2021-02-08,880.3128051757812,882.0928344726562,1006.0171508789062,875.3969116210938,973.8667602539062,109076,2021-02-08
2021-02-15,909.7450561523438,911.5845947265625,928.0782470703125,861.6603393554688,889.1826782226562,78377,2021-02-15
