Date,Adj Close_ABDL.NS,Close_ABDL.NS,High_ABDL.NS,Low_ABDL.NS,Open_ABDL.NS,Volume_ABDL.NS,Date
2024-07-01,341.2043151855469,344.04998779296875,346.8999938964844,306.70001220703125,320.0,73351142,2024-07-01
2024-07-08,326.5763244628906,329.29998779296875,347.3500061035156,316.5,347.0,10526464,2024-07-08
2024-07-15,301.1880798339844,303.70001220703125,332.70001220703125,299.1000061035156,330.1499938964844,4062618,2024-07-15
2024-07-22,311.9979248046875,314.6000061035156,319.8500061035156,282.04998779296875,302.95001220703125,9767103,2024-07-22
2024-07-29,298.5599670410156,301.04998779296875,323.70001220703125,295.0,315.95001220703125,3788142,2024-07-29
2024-08-05,289.832763671875,292.25,302.3999938964844,284.25,289.0,3155614,2024-08-05
2024-08-12,298.6095886230469,301.1000061035156,318.54998779296875,293.0,293.0,5847317,2024-08-12
2024-08-19,327.667236328125,330.3999938964844,338.0,298.5,304.0,8547497,2024-08-19
2024-08-26,356.4273681640625,359.3999938964844,364.29998779296875,322.5,331.3999938964844,11445531,2024-08-26
2024-09-02,339.4687805175781,342.29998779296875,371.8500061035156,340.1000061035156,371.0,5939466,2024-09-02
2024-09-09,351.2207946777344,354.1499938964844,365.0,336.04998779296875,342.0,5743565,2024-09-09
2024-09-16,342.6919250488281,345.54998779296875,372.3999938964844,332.75,356.0,6332276,2024-09-16
2024-09-23,337.981201171875,340.79998779296875,364.0,339.5,350.0,3460179,2024-09-23
2024-09-30,317.6507568359375,320.29998779296875,349.45001220703125,318.5,345.0,2355536,2024-09-30
2024-10-07,325.0391540527344,327.75,332.04998779296875,304.6000061035156,324.1000061035156,2820262,2024-10-07
2024-10-14,328.51019287109375,331.25,347.95001220703125,322.04998779296875,328.8999938964844,2371013,2024-10-14
2024-10-21,297.270751953125,299.75,333.6000061035156,295.8999938964844,331.0,2578712,2024-10-21
2024-10-28,324.3449401855469,327.04998779296875,337.3999938964844,301.0,301.0,7120067,2024-10-28
2024-11-04,324.3449401855469,327.04998779296875,345.0,319.0,327.0,2813253,2024-11-04
2024-11-11,313.0392150878906,315.6499938964844,332.5,306.1000061035156,324.1000061035156,1641447,2024-11-11
2024-11-18,312.5433654785156,315.1499938964844,323.70001220703125,307.0,315.6499938964844,1156614,2024-11-18
2024-11-25,333.9647216796875,336.75,339.0,315.29998779296875,318.1000061035156,2943025,2024-11-25
2024-12-02,365.10498046875,368.1499938964844,370.0,333.04998779296875,338.5,5547084,2024-12-02
2024-12-09,369.36944580078125,372.45001220703125,385.0,363.20001220703125,374.3999938964844,4846490,2024-12-09
2024-12-16,383.40240478515625,386.6000061035156,406.5,370.6000061035156,375.0,5616729,2024-12-16
2024-12-23,418.9062805175781,422.3999938964844,426.6000061035156,387.20001220703125,390.0,5986455,2024-12-23
2024-12-30,433.8318176269531,437.45001220703125,444.3999938964844,415.8500061035156,422.20001220703125,3537369,2024-12-30
2025-01-06,411.1708068847656,414.6000061035156,438.5,408.0,432.0,2787290,2025-01-06
2025-01-13,400.3609619140625,403.70001220703125,414.3999938964844,383.29998779296875,400.0,2115315,2025-01-13
2025-01-20,391.1874694824219,394.45001220703125,414.29998779296875,384.8999938964844,409.1000061035156,2155807,2025-01-20
2025-01-27,397.63372802734375,400.95001220703125,419.70001220703125,356.1499938964844,391.0,4393153,2025-01-27
2025-02-03,388.4602355957031,391.70001220703125,413.04998779296875,385.75,399.0,1761820,2025-02-03
2025-02-10,324.3449401855469,327.04998779296875,392.0,321.20001220703125,392.0,3198509,2025-02-10
2025-02-17,329.2539978027344,332.0,347.29998779296875,316.45001220703125,325.0,2745814,2025-02-17
2025-02-24,309.1714782714844,311.75,333.70001220703125,307.25,332.0,2634360,2025-02-24
2025-03-03,332.0804138183594,334.8500061035156,343.0,305.04998779296875,315.0,3912110,2025-03-03
2025-03-10,318.791259765625,321.45001220703125,337.5,315.0,337.0,1413113,2025-03-10
2025-03-17,317.40283203125,320.04998779296875,324.5,306.70001220703125,317.5,1925920,2025-03-17
2025-03-24,303.6673889160156,306.20001220703125,333.1499938964844,294.75,325.0,5800229,2025-03-24
2025-03-31,307.1880187988281,309.75,317.29998779296875,300.3999938964844,306.20001220703125,2468881,2025-03-31
2025-04-07,316.4111022949219,319.04998779296875,322.0,279.0,279.0,1506038,2025-04-07
2025-04-14,317.40283203125,320.04998779296875,331.25,287.54998779296875,319.04998779296875,8007095,2025-04-14
2025-04-21,318.4937438964844,321.1499938964844,339.8999938964844,314.79998779296875,321.0,1964532,2025-04-21
