Date,Adj Close_AJANTPHARM.NS,Close_AJANTPHARM.NS,High_AJANTPHARM.NS,Low_AJANTPHARM.NS,Open_AJANTPHARM.NS,Volume_AJANTPHARM.NS,Date
2020-07-13,938.7837524414062,973.9000244140625,980.8333129882812,890.2000122070312,906.6666870117188,713371,2020-07-13
2020-07-20,974.7066040039062,1011.1666870117188,1019.3333129882812,938.6666870117188,974.0,1350031,2020-07-20
2020-07-27,1046.97021484375,1086.13330078125,1098.6666259765625,956.6666870117188,1016.4000244140625,3481198,2020-07-27
2020-08-03,1088.0340576171875,1128.7332763671875,1150.0,1081.066650390625,1113.3333740234375,3407372,2020-08-03
2020-08-10,1047.4200439453125,1086.5999755859375,1173.300048828125,1066.6666259765625,1140.5999755859375,1628791,2020-08-10
2020-08-17,1042.50390625,1081.5,1148.0,1074.7667236328125,1094.0,1691892,2020-08-17
2020-08-24,1008.9907836914062,1046.7332763671875,1089.9666748046875,1033.3333740234375,1083.5,882325,2020-08-24
2020-08-31,956.7129516601562,992.5,1064.300048828125,949.6666870117188,1054.0,1478443,2020-08-31
2020-09-07,966.8986206054688,1003.066650390625,1033.0,960.933349609375,1001.066650390625,982896,2020-09-07
2020-09-14,1036.623779296875,1075.4000244140625,1089.3333740234375,1000.6666870117188,1020.0,2078376,2020-09-14
2020-09-21,996.4273681640625,1033.699951171875,1103.86669921875,1006.0,1090.0,1608064,2020-09-21
2020-09-28,1020.8473510742188,1059.0333251953125,1084.9666748046875,1036.800048828125,1043.3333740234375,898831,2020-09-28
2020-10-05,1011.5933837890625,1049.433349609375,1097.63330078125,1042.699951171875,1070.0333251953125,949995,2020-10-05
2020-10-12,990.3224487304688,1027.36669921875,1063.3333740234375,1017.4000244140625,1053.433349609375,686099,2020-10-12
2020-10-19,1032.0289306640625,1070.63330078125,1099.6666259765625,1010.6666870117188,1029.3333740234375,1056055,2020-10-19
2020-10-26,1010.9508666992188,1048.7667236328125,1120.0,1036.7332763671875,1070.0,1483217,2020-10-26
2020-11-02,1019.4013061523438,1057.5333251953125,1110.0,1046.8333740234375,1057.1666259765625,1763886,2020-11-02
2020-11-09,995.3670043945312,1032.5999755859375,1080.0,1000.7000122070312,1073.3333740234375,1482129,2020-11-09
2020-11-16,988.376220703125,1019.066650390625,1052.5333251953125,1016.6666870117188,1032.3333740234375,564671,2020-11-16
2020-11-23,993.2256469726562,1024.066650390625,1028.86669921875,1006.7333374023438,1023.3333129882812,975494,2020-11-23
2020-11-30,1031.5037841796875,1063.5333251953125,1066.4000244140625,1018.066650390625,1024.066650390625,741305,2020-11-30
2020-12-07,1087.9833984375,1121.7667236328125,1149.5333251953125,1056.699951171875,1058.6666259765625,2071959,2020-12-07
2020-12-14,1066.09619140625,1099.199951171875,1137.3333740234375,1087.36669921875,1133.2667236328125,478410,2020-12-14
2020-12-21,1081.1295166015625,1114.699951171875,1116.6666259765625,1021.2999877929688,1095.3333740234375,497285,2020-12-21
2020-12-28,1067.551025390625,1100.699951171875,1131.3333740234375,1086.6666259765625,1124.5,845752,2020-12-28
2021-01-04,1157.685546875,1193.63330078125,1222.6666259765625,1094.6666259765625,1101.2667236328125,1517756,2021-01-04
2021-01-11,1130.464111328125,1165.566650390625,1229.933349609375,1157.36669921875,1185.3333740234375,797305,2021-01-11
2021-01-18,1112.876953125,1147.433349609375,1211.199951171875,1133.3333740234375,1165.3333740234375,574023,2021-01-18
2021-01-25,1141.8765869140625,1177.3333740234375,1199.2667236328125,1133.3333740234375,1153.4000244140625,626271,2021-01-25
2021-02-01,1173.1715087890625,1209.5999755859375,1252.0,1147.63330078125,1180.933349609375,2309002,2021-02-01
2021-02-08,1166.8348388671875,1203.066650390625,1222.2332763671875,1180.0,1213.3333740234375,700402,2021-02-08
2021-02-15,1124.0306396484375,1158.933349609375,1212.6666259765625,1150.7332763671875,1206.933349609375,626039,2021-02-15
2021-02-22,1130.0439453125,1165.13330078125,1238.6666259765625,1106.6666259765625,1166.3333740234375,693308,2021-02-22
2021-03-01,1133.2767333984375,1168.4666748046875,1221.0999755859375,1121.5333251953125,1171.699951171875,878922,2021-03-01
2021-03-08,1185.3272705078125,1222.13330078125,1232.0,1156.6666259765625,1176.8333740234375,644391,2021-03-08
2021-03-15,1170.164794921875,1206.5,1240.0,1154.3333740234375,1226.5999755859375,560886,2021-03-15
2021-03-22,1156.1661376953125,1192.066650390625,1216.933349609375,1172.0,1216.933349609375,916697,2021-03-22
2021-03-29,1130.52880859375,1165.63330078125,1256.36669921875,1150.0,1192.066650390625,759264,2021-03-29
2021-04-05,1117.92041015625,1152.63330078125,1183.3333740234375,1134.2667236328125,1167.566650390625,1070041,2021-04-05
2021-04-12,1119.1812744140625,1153.933349609375,1188.0,1126.6666259765625,1158.63330078125,847920,2021-04-12
2021-04-19,1153.579833984375,1189.4000244140625,1248.3333740234375,1133.3333740234375,1149.3333740234375,1702527,2021-04-19
2021-04-26,1189.7886962890625,1226.7332763671875,1286.6666259765625,1178.5999755859375,1207.800048828125,1516684,2021-04-26
2021-05-03,1304.52587890625,1345.0333251953125,1366.0,1211.433349609375,1230.0,2356348,2021-05-03
