Date,Adj Close_AKSHARCHEM.NS,Close_AKSHARCHEM.NS,High_AKSHARCHEM.NS,Low_AKSHARCHEM.NS,Open_AKSHARCHEM.NS,Volume_AKSHARCHEM.NS,Date
2020-07-13,219.7156524658203,222.60000610351562,242.0,217.10000610351562,237.8000030517578,213975,2020-07-13
2020-07-20,213.29989624023438,216.10000610351562,232.0,215.0,224.0,242125,2020-07-20
2020-07-27,236.54473876953125,239.64999389648438,256.95001220703125,207.75,217.0,944140,2020-07-27
2020-08-03,233.1394500732422,236.1999969482422,249.4499969482422,230.14999389648438,240.0,454726,2020-08-03
2020-08-10,223.26901245117188,226.1999969482422,253.4499969482422,220.0,238.75,480486,2020-08-10
2020-08-17,233.73167419433594,236.8000030517578,248.8000030517578,218.14999389648438,227.0,816402,2020-08-17
2020-08-24,241.23316955566406,244.39999389648438,269.75,237.0,239.10000610351562,1121383,2020-08-24
2020-08-31,230.57313537597656,233.60000610351562,256.0,223.10000610351562,255.0,244782,2020-08-31
2020-09-07,224.4534454345703,227.39999389648438,242.89999389648438,225.0,234.0,132557,2020-09-07
2020-09-14,236.14991760253906,239.25,248.0,227.14999389648438,229.9499969482422,161936,2020-09-14
2020-09-21,217.0012969970703,219.85000610351562,244.64999389648438,210.10000610351562,242.89999389648438,108052,2020-09-21
2020-09-28,221.3442840576172,224.25,228.8000030517578,220.5,223.0,51281,2020-09-28
2020-10-05,212.85568237304688,215.64999389648438,229.0,214.0,226.9499969482422,56316,2020-10-05
2020-10-12,201.1592559814453,203.8000030517578,217.1999969482422,201.39999389648438,215.8000030517578,67726,2020-10-12
2020-10-19,206.93344116210938,209.64999389648438,215.0,199.1999969482422,205.3000030517578,45034,2020-10-19
2020-10-26,201.80084228515625,204.4499969482422,219.89999389648438,201.0,210.0,43721,2020-10-26
2020-11-02,203.72557067871094,206.39999389648438,211.0,199.9499969482422,203.9499969482422,30785,2020-11-02
2020-11-09,199.53062438964844,202.14999389648438,211.4499969482422,197.14999389648438,206.0500030517578,87637,2020-11-09
2020-11-16,198.09942626953125,200.6999969482422,209.0,197.25,201.0500030517578,97773,2020-11-16
2020-11-23,209.0556182861328,211.8000030517578,221.4499969482422,200.0,202.0,190492,2020-11-23
2020-11-30,224.00930786132812,226.9499969482422,238.85000610351562,210.9499969482422,211.8000030517578,176179,2020-11-30
2020-12-07,233.3861846923828,236.4499969482422,244.75,230.0,236.9499969482422,277179,2020-12-07
2020-12-14,239.40716552734375,242.5500030517578,253.0,230.0,238.0,236748,2020-12-14
2020-12-21,233.435546875,236.5,242.35000610351562,215.0500030517578,242.35000610351562,146187,2020-12-21
2020-12-28,260.6285705566406,264.04998779296875,273.79998779296875,232.0,237.5,433270,2020-12-28
2021-01-04,287.2293701171875,291.0,299.0,260.5,266.1499938964844,546125,2021-01-04
2021-01-11,261.6156311035156,265.04998779296875,293.3500061035156,261.75,293.3500061035156,152526,2021-01-11
2021-01-18,260.5299072265625,263.95001220703125,284.45001220703125,258.1000061035156,268.0,119706,2021-01-18
2021-01-25,257.4700622558594,260.8500061035156,274.0,256.5,266.0,73656,2021-01-25
2021-02-01,257.3713073730469,260.75,274.45001220703125,257.95001220703125,269.5,68662,2021-02-01
2021-02-08,275.5822448730469,279.20001220703125,287.5,260.1000061035156,262.29998779296875,363211,2021-02-08
2021-02-15,248.38922119140625,251.64999389648438,285.70001220703125,247.8000030517578,282.0,254775,2021-02-15
2021-02-22,235.85379028320312,238.9499969482422,257.25,238.0,253.5,125681,2021-02-22
2021-03-01,249.77110290527344,253.0500030517578,263.0,235.8000030517578,241.0,168205,2021-03-01
2021-03-08,241.43060302734375,244.60000610351562,255.60000610351562,240.0,255.60000610351562,87030,2021-03-08
2021-03-15,233.28750610351562,236.35000610351562,256.0,228.64999389648438,245.60000610351562,175078,2021-03-15
2021-03-22,228.401611328125,231.39999389648438,243.0,230.6999969482422,243.0,53263,2021-03-22
2021-03-29,245.42811584472656,248.64999389648438,251.0,230.5,231.39999389648438,56321,2021-03-29
2021-04-05,243.50338745117188,246.6999969482422,255.14999389648438,234.8000030517578,248.64999389648438,91205,2021-04-05
2021-04-12,233.83035278320312,236.89999389648438,248.10000610351562,232.5,244.5,37923,2021-04-12
2021-04-19,235.26158142089844,238.35000610351562,245.0,210.0,235.0,77606,2021-04-19
2021-04-26,257.5687561035156,260.95001220703125,268.70001220703125,238.0,244.0,219854,2021-04-26
2021-05-03,255.05177307128906,258.3999938964844,278.70001220703125,255.6999969482422,256.95001220703125,174520,2021-05-03
2021-05-10,281.6032409667969,285.29998779296875,317.6499938964844,255.9499969482422,261.8999938964844,990234,2021-05-10
2021-05-17,299.41937255859375,303.3500061035156,314.5,282.1499938964844,287.54998779296875,300537,2021-05-17
2021-05-24,298.0868225097656,302.0,314.8500061035156,292.6000061035156,305.8999938964844,265307,2021-05-24
2021-05-31,291.4242858886719,295.25,305.75,288.1000061035156,302.0,133282,2021-05-31
2021-06-07,337.8646240234375,342.29998779296875,375.3999938964844,297.1499938964844,297.1499938964844,1704598,2021-06-07
2021-06-14,354.8417663574219,359.5,386.0,319.95001220703125,343.0,737726,2021-06-14
2021-06-21,346.1064453125,350.6499938964844,368.95001220703125,345.70001220703125,353.8999938964844,160871,2021-06-21
2021-06-28,341.26995849609375,345.75,367.6000061035156,339.54998779296875,349.5,178892,2021-06-28
2021-07-05,400.83795166015625,406.1000061035156,427.0,348.29998779296875,355.95001220703125,1705032,2021-07-05
2021-07-12,435.23638916015625,440.95001220703125,497.70001220703125,397.1000061035156,407.20001220703125,1783545,2021-07-12
2021-07-19,432.7687683105469,438.45001220703125,474.29998779296875,430.6000061035156,444.70001220703125,252592,2021-07-19
2021-07-26,438.5429992675781,444.29998779296875,458.79998779296875,430.3500061035156,430.3500061035156,163715,2021-07-26
2021-08-02,450.93035888671875,456.8500061035156,490.0,437.04998779296875,450.0,613748,2021-08-02
2021-08-09,437.4572448730469,443.20001220703125,477.8500061035156,419.0,461.0,322668,2021-08-09
2021-08-16,412.534423828125,417.95001220703125,454.20001220703125,400.04998779296875,448.0,136103,2021-08-16
2021-08-23,419.0982971191406,424.6000061035156,435.0,385.0,420.25,164781,2021-08-23
2021-08-30,444.8106994628906,450.6499938964844,468.0,414.6000061035156,427.29998779296875,291819,2021-08-30
2021-09-06,425.6620788574219,431.25,462.0,429.0,457.79998779296875,149361,2021-09-06
2021-09-13,407.59918212890625,412.95001220703125,444.0,409.0,433.95001220703125,138678,2021-09-13
2021-09-20,404.04583740234375,409.3500061035156,422.95001220703125,399.1000061035156,409.79998779296875,87196,2021-09-20
2021-09-27,430.64453125,432.6000061035156,440.0,404.29998779296875,409.3500061035156,116511,2021-09-27
2021-10-04,536.4142456054688,538.8499755859375,613.7000122070312,436.8500061035156,440.0,2134508,2021-10-04
2021-10-11,501.2738342285156,503.54998779296875,562.5999755859375,496.0,543.7999877929688,185080,2021-10-11
2021-10-18,493.1606750488281,495.3999938964844,572.5,489.3999938964844,503.54998779296875,379350,2021-10-18
2021-10-25,503.1652526855469,505.45001220703125,553.4000244140625,470.3999938964844,494.1000061035156,298671,2021-10-25
2021-11-01,454.834716796875,456.8999938964844,549.0,450.0,492.04998779296875,286621,2021-11-01
2021-11-08,483.3054504394531,485.5,504.8999938964844,448.20001220703125,459.0,361797,2021-11-08
2021-11-15,447.3188781738281,449.3500061035156,496.54998779296875,445.6499938964844,488.0,72410,2021-11-15
2021-11-22,410.6354064941406,412.5,450.0,408.0,449.3500061035156,99784,2021-11-22
2021-11-29,458.5677490234375,460.6499938964844,484.8999938964844,398.04998779296875,412.25,228917,2021-11-29
2021-12-06,440.7984313964844,442.79998779296875,471.8999938964844,431.54998779296875,462.8500061035156,119262,2021-12-06
2021-12-13,450.852783203125,452.8999938964844,495.95001220703125,443.45001220703125,445.6499938964844,162441,2021-12-13
2021-12-20,435.821044921875,437.79998779296875,460.95001220703125,432.3500061035156,443.8500061035156,50967,2021-12-20
2021-12-27,450.1559753417969,452.20001220703125,478.0,436.25,437.79998779296875,77073,2021-12-27
2022-01-03,451.4500732421875,453.5,473.95001220703125,445.8500061035156,448.04998779296875,102123,2022-01-03
2022-01-10,466.0836486816406,468.20001220703125,494.95001220703125,451.6000061035156,452.0,210779,2022-01-10
2022-01-17,435.0246276855469,437.0,491.95001220703125,432.3999938964844,468.0,108566,2022-01-17
2022-01-24,433.0337219238281,435.0,474.0,412.3500061035156,436.8999938964844,252049,2022-01-24
2022-01-31,435.52239990234375,437.5,456.8999938964844,431.70001220703125,445.29998779296875,58060,2022-01-31
2022-02-07,411.8797607421875,413.75,440.25,411.0,439.95001220703125,52384,2022-02-07
2022-02-14,385.69866943359375,387.45001220703125,413.75,370.8500061035156,413.75,62816,2022-02-14
2022-02-21,350.1102600097656,351.70001220703125,387.1499938964844,331.20001220703125,380.04998779296875,67217,2022-02-21
2022-02-28,354.3410339355469,355.95001220703125,369.5,339.95001220703125,351.75,34360,2022-02-28
2022-03-07,374.8478698730469,376.54998779296875,388.0,333.8999938964844,351.0,50878,2022-03-07
2022-03-14,374.3501892089844,376.04998779296875,392.45001220703125,366.6000061035156,376.6000061035156,30485,2022-03-14
2022-03-21,359.91571044921875,361.54998779296875,391.6499938964844,356.75,384.0,53539,2022-03-21
2022-03-28,362.0559997558594,363.70001220703125,371.0,341.3500061035156,361.0,121940,2022-03-28
2022-04-04,417.6037902832031,419.5,430.0,364.70001220703125,368.0,156904,2022-04-04
