Date,Adj Close_ALLDIGI.NS,Close_ALLDIGI.NS,High_ALLDIGI.NS,Low_ALLDIGI.NS,Open_ALLDIGI.NS,Volume_ALLDIGI.NS,Date
2024-09-16,1121.4000244140625,1121.4000244140625,1138.0,1086.1500244140625,1124.1500244140625,56764,2024-09-16
2024-09-23,1051.449951171875,1051.449951171875,1150.0,1050.0,1120.0,120727,2024-09-23
2024-09-30,1018.5499877929688,1018.5499877929688,1067.25,987.0,1050.050048828125,82130,2024-09-30
2024-10-07,1006.4000244140625,1006.4000244140625,1054.9000244140625,955.5,1018.0,102583,2024-10-07
2024-10-14,1104.800048828125,1104.800048828125,1147.9000244140625,990.5,1008.1500244140625,130242,2024-10-14
2024-10-21,971.5999755859375,971.5999755859375,1135.699951171875,948.75,1105.0,178657,2024-10-21
2024-10-28,962.0999755859375,962.0999755859375,984.5499877929688,811.0499877929688,935.0,345849,2024-10-28
2024-11-04,949.0499877929688,949.0499877929688,997.9000244140625,930.0,974.5499877929688,206888,2024-11-04
2024-11-11,886.4000244140625,886.4000244140625,964.4500122070312,850.0,945.0,105510,2024-11-11
2024-11-18,949.75,949.75,973.0,865.0,886.4000244140625,97583,2024-11-18
2024-11-25,1028.550048828125,1028.550048828125,1051.8499755859375,942.0499877929688,950.0,258396,2024-11-25
2024-12-02,992.75,992.75,1049.0,982.0999755859375,1028.0,86097,2024-12-02
2024-12-09,992.3499755859375,992.3499755859375,1022.1500244140625,965.0,1000.5999755859375,84380,2024-12-09
2024-12-16,947.9000244140625,947.9000244140625,1004.8499755859375,941.0,992.3499755859375,47135,2024-12-16
2024-12-23,973.25,973.25,984.75,930.8499755859375,956.3499755859375,30796,2024-12-23
2024-12-30,978.8499755859375,978.8499755859375,1028.0,931.0,977.0499877929688,53241,2024-12-30
2025-01-06,1027.3499755859375,1027.3499755859375,1086.5,956.0,984.0,120575,2025-01-06
2025-01-13,1059.8499755859375,1059.8499755859375,1069.0,946.5499877929688,1034.0,86712,2025-01-13
2025-01-20,962.9500122070312,962.9500122070312,1114.4000244140625,955.0,1035.0,169306,2025-01-20
2025-01-27,936.0,936.0,970.0,822.0,822.0,166953,2025-01-27
2025-02-03,966.0999755859375,966.0999755859375,995.0,918.0499877929688,938.7999877929688,53271,2025-02-03
2025-02-10,954.9500122070312,954.9500122070312,994.9500122070312,932.0999755859375,950.0499877929688,50176,2025-02-10
2025-02-17,944.5,944.5,955.0,885.0999755859375,954.9500122070312,95307,2025-02-17
2025-02-24,891.0999755859375,891.0999755859375,953.9500122070312,881.75,930.3499755859375,73531,2025-02-24
2025-03-03,948.25,948.25,959.9500122070312,888.0499877929688,905.2999877929688,74293,2025-03-03
2025-03-10,908.2999877929688,908.2999877929688,960.0,890.7000122070312,945.0,42726,2025-03-10
2025-03-17,951.0,951.0,960.0,893.0499877929688,908.2999877929688,68492,2025-03-17
2025-03-24,940.5999755859375,940.5999755859375,984.9000244140625,916.0499877929688,935.0,55695,2025-03-24
2025-03-31,970.7000122070312,970.7000122070312,1004.0499877929688,920.0,948.0999755859375,39973,2025-03-31
2025-04-07,937.6500244140625,937.6500244140625,952.3499755859375,882.0,947.9500122070312,31535,2025-04-07
2025-04-14,957.3499755859375,957.3499755859375,967.4500122070312,938.0499877929688,944.7000122070312,18205,2025-04-14
2025-04-21,961.5499877929688,961.5499877929688,1003.5,913.0999755859375,964.7999877929688,60107,2025-04-21
2025-04-28,968.5999755859375,968.5999755859375,978.9500122070312,935.0,945.0,24676,2025-04-28
2025-05-05,937.7000122070312,937.7000122070312,975.0,915.8499755859375,975.0,38081,2025-05-05
2025-05-12,960.7000122070312,960.7000122070312,1017.7999877929688,916.0499877929688,947.9000244140625,66343,2025-05-12
2025-05-19,937.5499877929688,937.5499877929688,1006.9000244140625,930.0,967.0999755859375,58829,2025-05-19
2025-05-26,922.5999755859375,922.5999755859375,958.0,885.0,937.5499877929688,73069,2025-05-26
2025-06-02,904.75,904.75,928.7000122070312,895.0,928.7000122070312,32681,2025-06-02
2025-06-09,910.1500244140625,910.1500244140625,955.0,895.0,920.0,61206,2025-06-09
2025-06-16,905.2000122070312,905.2000122070312,930.0,892.7999877929688,906.0,23422,2025-06-16
2025-06-23,916.9000244140625,916.9000244140625,934.5999755859375,886.0,911.0999755859375,26646,2025-06-23
2025-06-30,928.6500244140625,928.6500244140625,932.9500122070312,908.5999755859375,916.9000244140625,19895,2025-06-30
2025-07-07,949.75,949.75,979.0,919.8499755859375,930.9000244140625,51870,2025-07-07
2025-07-14,962.3499755859375,962.3499755859375,966.9500122070312,940.0,949.0,13690,2025-07-14
