Date,Adj Close_BAJAJHCARE.NS,Close_BAJAJHCARE.NS,High_BAJAJHCARE.NS,Low_BAJAJHCARE.NS,Open_BAJAJHCARE.NS,Volume_BAJAJHCARE.NS,Date
2021-11-22,360.3316650390625,363.6000061035156,380.54998779296875,342.0,378.3999938964844,170215,2021-11-22
2021-11-29,347.20074462890625,350.3500061035156,372.0,290.8999938964844,366.0,122260,2021-11-29
2021-12-06,403.7379455566406,407.3999938964844,438.0,340.0,354.0,1061875,2021-12-06
2021-12-13,369.2507629394531,372.6000061035156,440.5,364.0,411.5,352638,2021-12-13
2021-12-20,370.4399719238281,373.79998779296875,389.3500061035156,353.95001220703125,365.8500061035156,290093,2021-12-20
2021-12-27,410.0804138183594,413.79998779296875,429.0,371.04998779296875,373.79998779296875,284267,2021-12-27
2022-01-03,398.485595703125,402.1000061035156,420.04998779296875,399.25,413.79998779296875,298733,2022-01-03
2022-01-10,448.8289489746094,452.8999938964844,458.20001220703125,398.04998779296875,402.0,676311,2022-01-10
2022-01-17,453.18939208984375,457.29998779296875,496.29998779296875,451.1000061035156,458.95001220703125,797828,2022-01-17
2022-01-24,408.197509765625,411.8999938964844,462.95001220703125,402.25,450.0,476042,2022-01-24
2022-01-31,408.64349365234375,412.3500061035156,427.8999938964844,392.0,405.1499938964844,438740,2022-01-31
2022-02-07,401.5577392578125,405.20001220703125,430.0,402.6499938964844,416.95001220703125,235910,2022-02-07
2022-02-14,374.304931640625,377.70001220703125,396.45001220703125,373.70001220703125,392.0,285333,2022-02-14
2022-02-21,374.15625,377.54998779296875,397.6499938964844,346.6499938964844,372.70001220703125,477209,2022-02-21
2022-02-28,372.3229064941406,375.70001220703125,393.8999938964844,362.5,367.6499938964844,142751,2022-02-28
2022-03-07,380.64739990234375,384.1000061035156,394.95001220703125,356.6000061035156,379.0,213134,2022-03-07
2022-03-14,369.1021423339844,372.45001220703125,396.54998779296875,360.0,382.1000061035156,231546,2022-03-14
2022-03-21,349.18280029296875,352.3500061035156,374.29998779296875,350.0,373.0,177798,2022-03-21
2022-03-28,360.2325744628906,363.5,365.54998779296875,325.1000061035156,360.0,562098,2022-03-28
2022-04-04,366.3272705078125,369.6499938964844,390.3500061035156,362.6499938964844,363.0,298884,2022-04-04
2022-04-11,357.5072937011719,360.75,374.95001220703125,354.6499938964844,373.0,85716,2022-04-11
2022-04-18,343.73223876953125,346.8500061035156,362.0,342.0,360.75,137936,2022-04-18
2022-04-25,337.73663330078125,340.79998779296875,355.0,328.20001220703125,345.0,257812,2022-04-25
2022-05-02,328.0246887207031,331.0,347.79998779296875,326.0,340.0,125634,2022-05-02
2022-05-09,300.62322998046875,303.3500061035156,333.6000061035156,282.0,330.0,202464,2022-05-09
2022-05-16,323.71380615234375,326.6499938964844,351.6499938964844,297.5,304.8999938964844,480063,2022-05-16
2022-05-23,309.4927978515625,312.29998779296875,325.5,300.1499938964844,325.1000061035156,179865,2022-05-23
2022-05-30,317.51995849609375,320.3999938964844,325.0,307.25,311.1000061035156,151205,2022-05-30
2022-06-06,306.0738220214844,308.8500061035156,317.3500061035156,305.1499938964844,314.20001220703125,47204,2022-06-06
2022-06-13,276.9380798339844,279.45001220703125,309.3999938964844,273.3500061035156,300.0,104228,2022-06-13
2022-06-20,279.46514892578125,282.0,285.0,257.45001220703125,280.0,119617,2022-06-20
2022-06-27,276.145263671875,278.6499938964844,294.0,269.79998779296875,282.0,166452,2022-06-27
2022-07-04,301.0196533203125,303.75,308.0,272.1000061035156,281.8999938964844,153044,2022-07-04
2022-07-11,347.5476379394531,350.70001220703125,362.0,301.04998779296875,303.0,748850,2022-07-11
2022-07-18,378.962646484375,382.3999938964844,385.0,344.6000061035156,357.75,615973,2022-07-18
2022-07-25,387.83221435546875,391.3500061035156,413.0,373.04998779296875,384.0,849827,2022-07-25
2022-08-01,386.64300537109375,390.1499938964844,396.0,356.5,393.79998779296875,382428,2022-08-01
