Date,Adj Close_BOSCHLTD.NS,Close_BOSCHLTD.NS,High_BOSCHLTD.NS,Low_BOSCHLTD.NS,Open_BOSCHLTD.NS,Volume_BOSCHLTD.NS,Date
2020-07-13,12419.123046875,13187.849609375,13563.0,12685.0498046875,13398.599609375,232863,2020-07-13
2020-07-20,12429.9521484375,13199.349609375,13540.0,13028.25,13450.0,204587,2020-07-20
2020-07-27,12316.2890625,13078.650390625,13427.75,12792.2998046875,13249.0,133173,2020-07-27
2020-08-03,12861.5380859375,13657.650390625,13790.0,12700.75,13078.650390625,255439,2020-08-03
2020-08-10,13010.7236328125,13705.150390625,14725.849609375,12953.25,13655.0,536175,2020-08-10
2020-08-17,13477.4150390625,14196.75,14380.0,13475.0,13800.0,294945,2020-08-17
2020-08-24,13297.8974609375,14007.650390625,14540.0,13951.0,14299.0,191646,2020-08-24
2020-08-31,12204.931640625,12856.349609375,14214.0498046875,12251.0,14140.0,457611,2020-08-31
2020-09-07,12219.931640625,12872.150390625,13142.150390625,12570.0498046875,12970.0,252412,2020-09-07
2020-09-14,12408.3251953125,13070.599609375,13298.0,12759.849609375,12970.0,384856,2020-09-14
2020-09-21,12274.8955078125,12930.0498046875,13115.0,12111.150390625,13080.0,495638,2020-09-21
2020-09-28,12864.8603515625,13551.5,14045.4501953125,12931.349609375,13099.0,276658,2020-09-28
2020-10-05,12092.3876953125,12737.7998046875,13807.4501953125,12650.4501953125,13660.0,213914,2020-10-05
2020-10-12,11353.14453125,11959.099609375,12819.4501953125,11760.0498046875,12738.0,235577,2020-10-12
2020-10-19,11593.89453125,12212.7001953125,12264.75,11654.400390625,11999.9501953125,185393,2020-10-19
2020-10-26,11021.8759765625,11610.150390625,12279.849609375,11567.5,12244.0,231702,2020-10-26
2020-11-02,11261.6767578125,11862.75,12514.2998046875,11431.0,11680.0,275915,2020-11-02
2020-11-09,11249.1923828125,11849.599609375,12447.9501953125,11618.4501953125,11938.9501953125,340280,2020-11-09
2020-11-16,11309.6171875,11913.25,12020.0,11265.0498046875,11738.2998046875,415404,2020-11-16
2020-11-23,12166.720703125,12816.099609375,13783.349609375,11732.0,11975.0,2142065,2020-11-23
2020-11-30,12454.890625,13119.650390625,13459.0,12650.0,12816.099609375,779917,2020-11-30
2020-12-07,12496.1376953125,13163.099609375,13646.349609375,13050.0,13177.0,769635,2020-12-07
2020-12-14,12534.16015625,13203.150390625,13560.0498046875,13060.0,13279.0,352163,2020-12-14
2020-12-21,12043.4990234375,12686.2998046875,13294.0,11910.0,13257.2001953125,320286,2020-12-21
2020-12-28,12328.060546875,12986.0498046875,13095.0,12467.0,12808.0,216311,2020-12-28
2021-01-04,13154.453125,13856.5498046875,14181.75,13018.2998046875,13030.2001953125,432008,2021-01-04
2021-01-11,14017.1083984375,14765.25,15348.0,13667.599609375,13930.0,576281,2021-01-11
2021-01-18,14876.634765625,15670.650390625,16550.0,14413.0,14760.0,561407,2021-01-18
2021-01-25,14550.87109375,15327.5,16071.2001953125,15250.0,15844.0,294649,2021-01-25
2021-02-01,15356.5703125,16176.2001953125,16830.05078125,15256.0498046875,15524.0,320582,2021-02-01
2021-02-08,14824.1357421875,15615.349609375,16799.0,15520.2001953125,16280.0,438702,2021-02-08
2021-02-15,14791.9541015625,15581.4501953125,16029.599609375,15330.0,15774.0,285616,2021-02-15
2021-02-22,14102.2177734375,14854.900390625,15639.849609375,14353.599609375,15639.849609375,361669,2021-02-22
2021-03-01,14149.7783203125,14905.0,15639.0,14862.900390625,15000.0,257287,2021-03-01
2021-03-08,14138.576171875,14893.2001953125,15206.099609375,14801.599609375,14975.0,121249,2021-03-08
2021-03-15,13791.4541015625,14527.5498046875,15062.7998046875,13825.0498046875,14889.900390625,183100,2021-03-15
2021-03-22,13057.716796875,13754.650390625,14550.0,13590.0,14527.5498046875,159674,2021-03-22
2021-03-29,13460.4697265625,14178.900390625,14404.9501953125,13754.650390625,13754.650390625,133566,2021-03-29
2021-04-05,13756.4716796875,14490.7001953125,14847.7998046875,13815.0,14178.900390625,183841,2021-04-05
2021-04-12,13153.8828125,13855.9501953125,14380.0,13447.099609375,14085.0,175556,2021-04-12
2021-04-19,12852.66015625,13538.650390625,13689.849609375,13303.349609375,13550.0498046875,86193,2021-04-19
2021-04-26,12824.5126953125,13509.0,13966.75,13450.0,13610.0,119098,2021-04-26
2021-05-03,12941.6611328125,13632.400390625,13677.9501953125,13225.0,13230.0,105423,2021-05-03
2021-05-10,13074.2333984375,13772.0498046875,14388.4501953125,13544.2998046875,13600.0,140737,2021-05-10
2021-05-17,14513.5146484375,15288.150390625,16250.0,13722.849609375,13880.0,935114,2021-05-17
2021-05-24,14339.123046875,15104.4501953125,15570.400390625,14840.0,15380.0,270763,2021-05-24
2021-05-31,14844.5458984375,15636.849609375,15733.25,15005.099609375,15133.0,191732,2021-05-31
2021-06-07,15112.638671875,15919.25,16200.0,15570.0,15798.650390625,212719,2021-06-07
2021-06-14,14440.5595703125,15211.2998046875,16069.9501953125,15089.0,15950.0,169964,2021-06-14
2021-06-21,14312.68359375,15076.599609375,15287.400390625,14911.0,15099.0,166989,2021-06-21
2021-06-28,14579.5888671875,15357.75,15394.9501953125,14941.0,15180.0,136335,2021-06-28
2021-07-05,14523.8623046875,15299.0498046875,16179.7998046875,15115.2001953125,15400.099609375,368921,2021-07-05
2021-07-12,14513.3251953125,15287.9501953125,15533.9501953125,15122.5498046875,15374.7001953125,179460,2021-07-12
2021-07-19,14400.7578125,15055.349609375,15298.599609375,15000.0498046875,15250.0,87786,2021-07-19
2021-07-26,14317.4453125,14968.25,15325.0,14816.75,15080.0,124188,2021-07-26
2021-08-02,14253.4052734375,14901.2998046875,15788.0,14674.150390625,15073.0498046875,450820,2021-08-02
2021-08-09,13809.1005859375,14436.7998046875,14999.0,14140.0,14875.0,178103,2021-08-09
2021-08-16,13081.7158203125,13676.349609375,14699.0,13630.0,14450.0,140277,2021-08-16
2021-08-23,13049.5771484375,13642.75,14074.9501953125,13412.0498046875,13749.9501953125,136995,2021-08-23
