Date,Adj Close_CAPACITE.NS,Close_CAPACITE.NS,High_CAPACITE.NS,Low_CAPACITE.NS,Open_CAPACITE.NS,Volume_CAPACITE.NS,Date
2020-07-13,102.05000305175781,102.05000305175781,111.75,101.55000305175781,106.0,153756,2020-07-13
2020-07-20,103.8499984741211,103.8499984741211,107.8499984741211,100.94999694824219,102.4000015258789,247208,2020-07-20
2020-07-27,93.44999694824219,93.44999694824219,104.0,92.6500015258789,103.30000305175781,342018,2020-07-27
2020-08-03,100.19999694824219,100.19999694824219,102.9000015258789,90.0,95.0,471507,2020-08-03
2020-08-10,119.69999694824219,119.69999694824219,121.4000015258789,94.5,102.6500015258789,1888424,2020-08-10
2020-08-17,144.5,144.5,160.5,121.75,121.80000305175781,1723346,2020-08-17
2020-08-24,137.6999969482422,137.6999969482422,149.0,137.0,149.0,360454,2020-08-24
2020-08-31,125.5,125.5,139.9499969482422,122.3499984741211,137.1999969482422,277957,2020-08-31
2020-09-07,125.0999984741211,125.0999984741211,132.39999389648438,116.9000015258789,125.0,205542,2020-09-07
2020-09-14,132.8000030517578,132.8000030517578,150.0,125.44999694824219,126.0,247957,2020-09-14
2020-09-21,118.44999694824219,118.44999694824219,134.9499969482422,113.75,134.9499969482422,195189,2020-09-21
2020-09-28,119.5,119.5,123.0999984741211,115.0,118.44999694824219,83642,2020-09-28
2020-10-05,125.55000305175781,125.55000305175781,129.6999969482422,115.9000015258789,121.5,258483,2020-10-05
2020-10-12,130.1999969482422,130.1999969482422,139.35000610351562,125.05000305175781,126.0999984741211,484266,2020-10-12
2020-10-19,144.64999389648438,144.64999389648438,151.5,128.5,130.25,675511,2020-10-19
2020-10-26,135.35000610351562,135.35000610351562,145.4499969482422,132.35000610351562,143.0,178861,2020-10-26
2020-11-02,130.60000610351562,130.60000610351562,140.0,130.0,140.0,104768,2020-11-02
2020-11-09,147.75,147.75,151.5,122.5,131.3000030517578,609150,2020-11-09
2020-11-16,154.39999389648438,154.39999389648438,158.10000610351562,144.9499969482422,144.9499969482422,359681,2020-11-16
2020-11-23,183.1999969482422,183.1999969482422,193.85000610351562,153.10000610351562,156.0,1472535,2020-11-23
2020-11-30,185.4499969482422,185.4499969482422,204.4499969482422,181.14999389648438,183.1999969482422,1295502,2020-11-30
2020-12-07,188.39999389648438,188.39999389648438,192.0,181.10000610351562,187.4499969482422,532833,2020-12-07
2020-12-14,190.60000610351562,190.60000610351562,202.9499969482422,185.0,189.35000610351562,1345277,2020-12-14
2020-12-21,181.0,181.0,192.10000610351562,153.5500030517578,192.10000610351562,559708,2020-12-21
2020-12-28,185.5500030517578,185.5500030517578,190.0,179.0,184.0,1161241,2020-12-28
2021-01-04,184.5,184.5,187.39999389648438,178.0500030517578,186.0,1176431,2021-01-04
2021-01-11,179.0,179.0,193.8000030517578,175.3000030517578,183.1999969482422,2067206,2021-01-11
2021-01-18,167.4499969482422,167.4499969482422,179.89999389648438,164.14999389648438,179.0,509398,2021-01-18
2021-01-25,164.89999389648438,164.89999389648438,172.0,161.60000610351562,172.0,464479,2021-01-25
2021-02-01,193.4499969482422,193.4499969482422,203.0,167.1999969482422,169.0,1551139,2021-02-01
2021-02-08,212.8000030517578,212.8000030517578,221.10000610351562,186.10000610351562,193.5,1509177,2021-02-08
2021-02-15,212.6999969482422,212.6999969482422,228.4499969482422,203.5,213.9499969482422,1988498,2021-02-15
2021-02-22,203.8000030517578,203.8000030517578,214.6999969482422,196.5500030517578,212.0,667942,2021-02-22
2021-03-01,201.39999389648438,201.39999389648438,216.8000030517578,199.0,208.0,827906,2021-03-01
2021-03-08,201.6999969482422,201.6999969482422,207.0,198.5,202.89999389648438,430578,2021-03-08
2021-03-15,196.4499969482422,196.4499969482422,223.4499969482422,191.14999389648438,200.5,1214389,2021-03-15
2021-03-22,202.3000030517578,202.3000030517578,208.0,190.0,196.4499969482422,534886,2021-03-22
2021-03-29,203.35000610351562,203.35000610351562,209.89999389648438,200.0,202.3000030517578,235190,2021-03-29
2021-04-05,200.75,200.75,205.89999389648438,196.6999969482422,205.89999389648438,461720,2021-04-05
