Date,Adj Close_CHEMBOND.NS,Close_CHEMBOND.NS,High_CHEMBOND.NS,Low_CHEMBOND.NS,Open_CHEMBOND.NS,Volume_CHEMBOND.NS,Date
2020-07-13,144.16925048828125,152.0,159.0,143.0,152.5,105632,2020-07-13
2020-07-20,139.47425842285156,147.0500030517578,157.75,143.0,157.75,101436,2020-07-20
2020-07-27,139.18971252441406,146.75,156.0,143.35000610351562,148.0,78127,2020-07-27
2020-08-03,144.31150817871094,152.14999389648438,159.89999389648438,143.75,145.3000030517578,141030,2020-08-03
2020-08-10,148.38998413085938,156.4499969482422,166.0,147.9499969482422,152.14999389648438,172863,2020-08-10
2020-08-17,160.10374450683594,168.8000030517578,175.0,153.6999969482422,164.10000610351562,116274,2020-08-17
2020-08-24,156.9263153076172,165.4499969482422,176.25,162.60000610351562,168.0500030517578,163832,2020-08-24
2020-08-31,154.46026611328125,162.85000610351562,172.85000610351562,150.0500030517578,170.0,197171,2020-08-31
2020-09-07,146.25588989257812,154.1999969482422,164.0,152.1999969482422,164.0,41741,2020-09-07
2020-09-14,149.71788024902344,157.85000610351562,164.39999389648438,155.25,155.85000610351562,49494,2020-09-14
2020-09-21,144.78573608398438,152.64999389648438,164.0,145.25,160.5500030517578,43505,2020-09-21
2020-09-28,146.01876831054688,153.9499969482422,159.89999389648438,149.3000030517578,153.8000030517578,47831,2020-09-28
2020-10-05,139.42681884765625,147.0,158.0,141.35000610351562,154.0,40447,2020-10-05
2020-10-12,134.2576141357422,141.5500030517578,148.75,139.0,147.5500030517578,20041,2020-10-12
2020-10-19,144.59603881835938,152.4499969482422,165.5500030517578,141.35000610351562,141.35000610351562,276906,2020-10-19
2020-10-26,144.16925048828125,152.0,152.89999389648438,146.39999389648438,151.0500030517578,34979,2020-10-26
2020-11-02,148.8642120361328,156.9499969482422,159.85000610351562,148.14999389648438,150.25,35911,2020-11-02
2020-11-09,149.3384552001953,157.4499969482422,165.0,146.5,157.0,79086,2020-11-09
2020-11-16,152.136474609375,160.39999389648438,162.89999389648438,154.0500030517578,159.1999969482422,46094,2020-11-16
2020-11-23,151.1405792236328,159.35000610351562,163.0,152.9499969482422,163.0,166843,2020-11-23
2020-11-30,159.43980407714844,168.10000610351562,178.0500030517578,157.25,159.35000610351562,141441,2020-11-30
2020-12-07,153.9860382080078,162.35000610351562,174.0,161.5500030517578,169.0,65828,2020-12-07
2020-12-14,175.84852600097656,185.39999389648438,191.89999389648438,160.8000030517578,165.39999389648438,320972,2020-12-14
2020-12-21,165.22552490234375,174.1999969482422,186.0,155.25,186.0,159607,2020-12-21
2020-12-28,166.0791778564453,175.10000610351562,183.6999969482422,171.8000030517578,178.39999389648438,90416,2020-12-28
2021-01-04,169.25656127929688,178.4499969482422,184.0,171.85000610351562,178.9499969482422,76498,2021-01-04
2021-01-11,165.55751037597656,174.5500030517578,187.35000610351562,172.3000030517578,180.1999969482422,148617,2021-01-11
2021-01-18,178.03005981445312,187.6999969482422,224.0,184.75,194.89999389648438,1612947,2021-01-18
2021-01-25,166.69566345214844,175.75,194.35000610351562,173.14999389648438,190.0500030517578,106498,2021-01-25
2021-02-01,176.891845703125,186.5,196.9499969482422,174.1999969482422,177.0500030517578,158496,2021-02-01
2021-02-08,176.2279052734375,185.8000030517578,192.35000610351562,178.1999969482422,186.5500030517578,62160,2021-02-08
2021-02-15,176.51248168945312,186.10000610351562,195.14999389648438,182.8000030517578,185.8000030517578,83643,2021-02-15
2021-02-22,169.77822875976562,179.0,188.0,173.5,180.60000610351562,51832,2021-02-22
2021-03-01,171.72262573242188,181.0500030517578,194.6999969482422,178.1999969482422,183.39999389648438,111975,2021-03-01
2021-03-08,187.13548278808594,197.3000030517578,218.6999969482422,182.0,184.75,462045,2021-03-08
2021-03-15,184.10032653808594,194.10000610351562,207.25,184.0,199.0,122022,2021-03-15
2021-03-22,179.7373046875,189.5,199.0,186.14999389648438,193.85000610351562,80666,2021-03-22
2021-03-29,181.4920196533203,191.35000610351562,193.89999389648438,185.39999389648438,189.5,54837,2021-03-29
2021-04-05,182.5353240966797,192.4499969482422,195.5,181.5,190.5,109072,2021-04-05
2021-04-12,175.8011016845703,185.35000610351562,190.9499969482422,182.14999389648438,189.0,40898,2021-04-12
2021-04-19,180.7806396484375,190.60000610351562,192.4499969482422,176.8000030517578,183.10000610351562,57701,2021-04-19
2021-04-26,197.94815063476562,208.6999969482422,233.10000610351562,198.0,210.0,997444,2021-04-26
2021-05-03,208.66600036621094,220.0,224.89999389648438,205.10000610351562,207.0,195475,2021-05-03
2021-05-10,210.56297302246094,222.0,241.0,216.25,224.8000030517578,323154,2021-05-10
2021-05-17,190.50257873535156,200.85000610351562,219.0,196.10000610351562,213.9499969482422,479863,2021-05-17
2021-05-24,189.74380493164062,200.0500030517578,209.0,197.0500030517578,201.0,289490,2021-05-24
2021-05-31,189.12725830078125,199.39999389648438,204.60000610351562,195.0,200.5,241198,2021-05-31
2021-06-07,200.69876098632812,211.60000610351562,217.75,199.0,199.0,397883,2021-06-07
2021-06-14,192.3995361328125,202.85000610351562,214.35000610351562,193.0,213.8000030517578,157821,2021-06-14
2021-06-21,190.40773010253906,200.75,206.25,197.0,201.89999389648438,113292,2021-06-21
2021-06-28,211.17947387695312,222.64999389648438,228.14999389648438,199.0,204.75,715493,2021-06-28
2021-07-05,206.10508728027344,217.3000030517578,230.35000610351562,212.60000610351562,225.0,295858,2021-07-05
2021-07-12,226.5175018310547,236.35000610351562,257.70001220703125,213.0,218.0,976414,2021-07-12
2021-07-19,228.91348266601562,238.85000610351562,244.85000610351562,226.6999969482422,234.0,248536,2021-07-19
2021-07-26,225.1757354736328,234.9499969482422,243.6999969482422,226.0,240.0500030517578,233063,2021-07-26
2021-08-02,238.9287567138672,249.3000030517578,264.75,235.0,235.0,1141218,2021-08-02
2021-08-09,234.04092407226562,244.1999969482422,257.3999938964844,207.25,250.75,429117,2021-08-09
2021-08-16,212.09361267089844,221.3000030517578,244.25,216.6999969482422,244.0,122354,2021-08-16
2021-08-23,214.48960876464844,223.8000030517578,228.8000030517578,208.85000610351562,224.85000610351562,107648,2021-08-23
2021-08-30,216.7897491455078,226.1999969482422,235.0,221.35000610351562,228.3000030517578,122143,2021-08-30
2021-09-06,212.95616149902344,222.1999969482422,229.5500030517578,219.0,227.0,53593,2021-09-06
2021-09-13,220.47958374023438,230.0500030517578,241.85000610351562,218.5,221.60000610351562,265392,2021-09-13
2021-09-20,228.1467742919922,238.0500030517578,240.8000030517578,219.10000610351562,229.0,176223,2021-09-20
2021-09-27,213.72288513183594,223.0,245.3000030517578,220.0,240.0,100871,2021-09-27
2021-10-04,249.32737731933594,260.1499938964844,287.29998779296875,223.64999389648438,224.0500030517578,1664360,2021-10-04
2021-10-11,240.36636352539062,250.8000030517578,269.20001220703125,247.5,263.04998779296875,217028,2021-10-11
2021-10-18,213.14784240722656,222.39999389648438,256.95001220703125,221.5500030517578,251.5,198890,2021-10-18
2021-10-25,203.37217712402344,212.1999969482422,228.89999389648438,206.25,225.5,184037,2021-10-25
2021-11-01,197.6217803955078,206.1999969482422,215.9499969482422,204.0,214.0,127133,2021-11-01
2021-11-08,217.508544921875,226.9499969482422,230.4499969482422,206.25,206.25,186375,2021-11-08
2021-11-15,195.70497131347656,204.1999969482422,228.25,203.4499969482422,223.25,113250,2021-11-15
2021-11-22,197.47801208496094,206.0500030517578,212.75,194.1999969482422,205.0,120057,2021-11-22
2021-11-29,196.280029296875,204.8000030517578,208.0,195.0500030517578,203.0,53557,2021-11-29
2021-12-06,218.2273406982422,227.6999969482422,239.8000030517578,198.14999389648438,202.25,204586,2021-12-06
2021-12-13,203.27633666992188,212.10000610351562,231.6999969482422,203.5,231.6999969482422,134472,2021-12-13
2021-12-20,197.38217163085938,205.9499969482422,213.60000610351562,200.39999389648438,206.0,61746,2021-12-20
2021-12-27,203.468017578125,212.3000030517578,216.9499969482422,203.3000030517578,209.35000610351562,54759,2021-12-27
2022-01-03,205.76815795898438,214.6999969482422,224.5,211.5500030517578,214.0,85328,2022-01-03
2022-01-10,208.11622619628906,217.14999389648438,225.9499969482422,209.9499969482422,218.9499969482422,136437,2022-01-10
2022-01-17,190.19418334960938,198.4499969482422,229.14999389648438,196.0,218.64999389648438,392895,2022-01-17
2022-01-24,183.34164428710938,191.3000030517578,199.5,186.60000610351562,198.5,119701,2022-01-24
2022-01-31,191.2005157470703,199.5,205.0,190.4499969482422,192.9499969482422,122490,2022-01-31
2022-02-07,185.30636596679688,193.35000610351562,205.0,191.8000030517578,201.35000610351562,77484,2022-02-07
2022-02-14,181.1852569580078,189.0500030517578,198.9499969482422,181.85000610351562,189.0,61740,2022-02-14
2022-02-21,168.67816162109375,176.0,190.89999389648438,165.8000030517578,190.89999389648438,73228,2022-02-21
2022-02-28,167.33639526367188,174.60000610351562,181.39999389648438,170.10000610351562,173.5,36696,2022-02-28
2022-03-07,171.69708251953125,179.14999389648438,182.8000030517578,168.0,174.60000610351562,111852,2022-03-07
2022-03-14,173.1826171875,180.6999969482422,187.0,177.5500030517578,180.9499969482422,104266,2022-03-14
2022-03-21,173.9493408203125,181.5,198.0,181.14999389648438,191.0,211894,2022-03-21
2022-03-28,179.0767822265625,186.85000610351562,188.75,178.0,181.25,114191,2022-03-28
2022-04-04,187.4148406982422,195.5500030517578,200.85000610351562,188.89999389648438,189.89999389648438,81537,2022-04-04
2022-04-11,182.09571838378906,190.0,205.0,189.0,196.0,83239,2022-04-11
2022-04-18,184.58755493164062,192.60000610351562,196.64999389648438,185.1999969482422,191.5500030517578,80045,2022-04-18
2022-04-25,179.0288543701172,186.8000030517578,193.0500030517578,186.0,189.60000610351562,40915,2022-04-25
2022-05-02,172.65548706054688,180.14999389648438,188.39999389648438,176.10000610351562,185.0,39052,2022-05-02
2022-05-09,164.4132843017578,171.5500030517578,183.0,160.14999389648438,180.39999389648438,50119,2022-05-09
2022-05-16,161.9693603515625,169.0,174.0,162.0,167.14999389648438,54152,2022-05-16
2022-05-23,155.73976135253906,162.5,175.5500030517578,158.14999389648438,170.0,31491,2022-05-23
2022-05-30,156.6502227783203,163.4499969482422,166.39999389648438,162.0,162.60000610351562,32445,2022-05-30
2022-06-06,159.0941619873047,166.0,168.0,160.89999389648438,164.8000030517578,37205,2022-06-06
2022-06-13,153.00831604003906,159.64999389648438,167.85000610351562,158.25,166.9499969482422,34871,2022-06-13
2022-06-20,151.76242065429688,158.35000610351562,162.0,153.0,158.0,16052,2022-06-20
2022-06-27,153.96670532226562,160.64999389648438,165.75,155.5500030517578,161.0,29058,2022-06-27
2022-07-04,158.90248107910156,165.8000030517578,167.14999389648438,157.9499969482422,161.89999389648438,49531,2022-07-04
2022-07-11,162.20895385742188,169.25,175.9499969482422,164.14999389648438,165.0,55274,2022-07-11
2022-07-18,161.398681640625,163.5500030517578,172.89999389648438,157.6999969482422,169.3000030517578,64567,2022-07-18
2022-07-25,165.9381866455078,168.14999389648438,173.89999389648438,161.75,164.0,43289,2022-07-25
2022-08-01,156.6618194580078,158.75,164.35000610351562,153.39999389648438,163.0,82212,2022-08-01
2022-08-08,161.9414520263672,164.10000610351562,167.5,156.5,160.0,50873,2022-08-08
2022-08-15,179.2112579345703,181.60000610351562,189.8000030517578,163.0500030517578,164.10000610351562,205038,2022-08-15
2022-08-22,181.08627319335938,183.5,187.6999969482422,172.0,183.9499969482422,71502,2022-08-22
2022-08-29,191.49749755859375,194.0500030517578,204.64999389648438,176.5500030517578,179.8000030517578,266382,2022-08-29
2022-09-05,186.76063537597656,189.25,196.0,186.60000610351562,195.0,59894,2022-09-05
2022-09-12,193.3231658935547,195.89999389648438,222.0,181.8000030517578,189.25,474749,2022-09-12
2022-09-19,187.25405883789062,189.75,205.39999389648438,188.0,198.8000030517578,113684,2022-09-19
2022-09-26,180.34613037109375,182.75,188.0,175.0,186.10000610351562,48591,2022-09-26
2022-10-03,190.70802307128906,193.25,194.6999969482422,178.35000610351562,185.3000030517578,46351,2022-10-03
2022-10-10,182.41851806640625,184.85000610351562,197.0,183.39999389648438,191.10000610351562,59480,2022-10-10
2022-10-17,198.8494873046875,201.5,222.8000030517578,182.0,183.9499969482422,753325,2022-10-17
2022-10-24,195.05014038085938,197.64999389648438,211.0,194.14999389648438,201.5,176206,2022-10-24
2022-10-31,192.73104858398438,195.3000030517578,201.5500030517578,190.3000030517578,200.64999389648438,111900,2022-10-31
2022-11-07,217.3035125732422,220.1999969482422,224.35000610351562,195.5500030517578,198.0,479085,2022-11-07
2022-11-14,254.01419067382812,257.3999938964844,269.70001220703125,218.6999969482422,224.60000610351562,1648069,2022-11-14
2022-11-21,243.6029815673828,246.85000610351562,259.3999938964844,239.0500030517578,259.3999938964844,203928,2022-11-21
2022-11-28,258.94842529296875,262.3999938964844,277.6000061035156,241.10000610351562,250.0,774682,2022-11-28
2022-12-05,243.4055938720703,246.64999389648438,277.3999938964844,244.0,263.70001220703125,258929,2022-12-05
2022-12-12,252.73130798339844,256.1000061035156,282.45001220703125,243.0500030517578,247.6999969482422,574602,2022-12-12
2022-12-19,233.14239501953125,236.25,267.0,225.0,253.0500030517578,286766,2022-12-19
2022-12-26,239.6062469482422,242.8000030517578,255.0,233.64999389648438,239.75,158663,2022-12-26
2023-01-02,239.70492553710938,242.89999389648438,256.20001220703125,238.0,239.14999389648438,100399,2023-01-02
2023-01-09,253.52076721191406,256.8999938964844,263.0,242.35000610351562,243.9499969482422,201146,2023-01-09
2023-01-16,267.6326599121094,271.20001220703125,288.0,248.1999969482422,259.8500061035156,1004878,2023-01-16
2023-01-23,276.4649353027344,280.1499938964844,308.8500061035156,266.1000061035156,285.0,2841920,2023-01-23
2023-01-30,270.0504150390625,273.6499938964844,289.3999938964844,265.8500061035156,284.3999938964844,327307,2023-01-30
2023-02-06,272.46820068359375,276.1000061035156,289.0,265.1000061035156,276.20001220703125,230501,2023-02-06
2023-02-13,263.685302734375,267.20001220703125,279.8500061035156,267.0,276.5,83283,2023-02-13
2023-02-20,250.95497131347656,254.3000030517578,278.0,254.0,268.0,137473,2023-02-20
2023-02-27,247.69837951660156,251.0,255.89999389648438,246.5500030517578,251.8000030517578,49311,2023-02-27
2023-03-06,249.8694305419922,253.1999969482422,265.8999938964844,249.39999389648438,253.4499969482422,63924,2023-03-06
2023-03-13,237.68190002441406,240.85000610351562,255.39999389648438,237.64999389648438,250.1999969482422,51728,2023-03-13
2023-03-20,239.31019592285156,242.5,256.5,238.0500030517578,240.10000610351562,64794,2023-03-20
2023-03-27,249.6227264404297,252.9499969482422,253.9499969482422,230.5,241.14999389648438,85186,2023-03-27
2023-04-03,277.0077209472656,280.70001220703125,284.0,251.3000030517578,254.9499969482422,136476,2023-04-03
2023-04-10,283.7676086425781,287.54998779296875,292.0,266.1000061035156,282.79998779296875,116320,2023-04-10
2023-04-17,262.2543640136719,265.75,289.79998779296875,264.8500061035156,289.3999938964844,112020,2023-04-17
2023-04-24,281.1524658203125,284.8999938964844,288.3999938964844,261.6000061035156,261.75,138054,2023-04-24
2023-05-01,270.3958435058594,274.0,292.1499938964844,271.1499938964844,284.8999938964844,140317,2023-05-01
2023-05-08,315.64276123046875,319.8500061035156,324.8500061035156,274.3500061035156,276.6000061035156,821271,2023-05-08
2023-05-15,307.74798583984375,311.8500061035156,333.0,306.54998779296875,320.8999938964844,480866,2023-05-15
2023-05-22,361.5804138183594,366.3999938964844,382.75,333.0,333.0,1281074,2023-05-22
2023-05-29,373.2745361328125,378.25,380.29998779296875,352.45001220703125,365.0,393185,2023-05-29
2023-06-05,380.7252197265625,385.79998779296875,403.54998779296875,375.20001220703125,379.5,391177,2023-06-05
2023-06-12,418.02801513671875,423.6000061035156,445.0,379.54998779296875,390.0,1144172,2023-06-12
2023-06-19,407.37005615234375,412.79998779296875,430.0,400.5,425.0,383524,2023-06-19
2023-06-26,408.3075866699219,413.75,433.79998779296875,401.6499938964844,406.0,197126,2023-06-26
2023-07-03,422.8635559082031,428.5,441.95001220703125,415.5,415.79998779296875,303652,2023-07-03
2023-07-10,415.01812744140625,420.54998779296875,433.95001220703125,411.0,426.6000061035156,178593,2023-07-10
2023-07-17,412.3043212890625,417.79998779296875,431.79998779296875,415.0,415.0,100228,2023-07-17
2023-07-24,392.7154235839844,397.95001220703125,426.79998779296875,395.75,419.29998779296875,157441,2023-07-24
2023-07-31,391.48187255859375,396.70001220703125,414.20001220703125,383.0,397.95001220703125,185327,2023-07-31
2023-08-07,431.1295471191406,433.6000061035156,436.45001220703125,390.1000061035156,400.6499938964844,237814,2023-08-07
