Date,Adj Close_COALINDIA.NS,Close_COALINDIA.NS,High_COALINDIA.NS,Low_COALINDIA.NS,Open_COALINDIA.NS,Volume_COALINDIA.NS,Date
2020-07-13,83.94976806640625,130.60000610351562,132.0500030517578,124.5999984741211,128.85000610351562,30145478,2020-07-13
2020-07-20,84.59259033203125,131.60000610351562,136.6999969482422,130.0,133.5,55061254,2020-07-20
2020-07-27,83.08199310302734,129.25,132.5,127.55000305175781,131.60000610351562,27430852,2020-07-27
2020-08-03,83.4034194946289,129.75,131.6999969482422,128.10000610351562,129.89999389648438,33141855,2020-08-03
2020-08-10,84.75328063964844,131.85000610351562,134.25,128.3000030517578,130.3000030517578,54725770,2020-08-10
2020-08-17,89.67072296142578,139.5,141.8000030517578,132.35000610351562,133.5,80558300,2020-08-17
2020-08-24,89.3814468383789,139.0500030517578,143.9499969482422,138.64999389648438,140.6999969482422,54903085,2020-08-24
2020-08-31,85.13896942138672,132.4499969482422,142.14999389648438,130.6999969482422,139.25,73311136,2020-08-31
2020-09-07,80.41438293457031,125.0999984741211,133.8000030517578,124.6500015258789,133.0,53785300,2020-09-07
2020-09-14,79.4823226928711,123.6500015258789,126.8499984741211,122.9000015258789,126.0,59604493,2020-09-14
2020-09-21,75.27196502685547,117.0999984741211,124.1500015258789,113.9000015258789,123.6500015258789,60865455,2020-09-21
2020-09-28,75.36840057373047,117.25,121.55000305175781,114.6500015258789,117.9000015258789,45506822,2020-09-28
2020-10-05,73.85781860351562,114.9000015258789,119.5,112.30000305175781,117.94999694824219,58924342,2020-10-05
2020-10-12,71.57586669921875,111.3499984741211,115.5,109.55000305175781,115.30000305175781,65027884,2020-10-12
2020-10-19,75.65766143798828,117.69999694824219,118.19999694824219,111.25,112.5,80617170,2020-10-19
2020-10-26,73.40784454345703,114.19999694824219,117.9000015258789,110.55000305175781,117.9000015258789,60782735,2020-10-26
2020-11-02,78.29315185546875,121.80000305175781,122.4000015258789,113.55000305175781,114.5999984741211,66301868,2020-11-02
2020-11-09,81.69998168945312,127.0999984741211,127.5,120.6500015258789,122.9000015258789,109941172,2020-11-09
2020-11-16,78.06816101074219,121.44999694824219,129.3000030517578,120.1500015258789,125.9000015258789,86073605,2020-11-16
2020-11-23,85.7162857055664,125.55000305175781,127.4000015258789,119.75,121.25,97273524,2020-11-23
2020-11-30,91.00741577148438,133.3000030517578,134.9499969482422,124.69999694824219,125.55000305175781,75213503,2020-11-30
2020-12-07,94.38691711425781,138.25,140.6999969482422,132.8000030517578,133.3000030517578,96835014,2020-12-07
2020-12-14,96.74232482910156,141.6999969482422,146.0,139.10000610351562,139.64999389648438,96504783,2020-12-14
2020-12-21,93.02145385742188,136.25,141.5,129.35000610351562,141.39999389648438,61999716,2020-12-21
2020-12-28,92.40701293945312,135.35000610351562,139.89999389648438,134.1999969482422,139.89999389648438,72781950,2020-12-28
2021-01-04,95.37687683105469,139.6999969482422,140.9499969482422,133.8000030517578,136.85000610351562,83437528,2021-01-04
2021-01-11,97.80055236816406,143.25,148.8000030517578,140.3000030517578,140.5,99780989,2021-01-11
2021-01-18,90.93914794921875,133.1999969482422,143.89999389648438,132.5,143.3000030517578,63496888,2021-01-18
2021-01-25,85.95524597167969,125.9000015258789,135.5,125.25,134.89999389648438,49034767,2021-01-25
2021-02-01,96.16200256347656,140.85000610351562,144.3000030517578,125.8499984741211,126.4000015258789,104459111,2021-02-01
