Date,Adj Close_CUMMINSIND.NS,Close_CUMMINSIND.NS,High_CUMMINSIND.NS,Low_CUMMINSIND.NS,Open_CUMMINSIND.NS,Volume_CUMMINSIND.NS,Date
2020-07-13,354.0569763183594,384.75,393.75,373.25,387.25,3087175,2020-07-13
2020-07-20,363.6733703613281,395.20001220703125,399.25,384.5,384.75,5700509,2020-07-20
2020-07-27,369.60882568359375,401.6499938964844,404.8500061035156,389.0,395.04998779296875,5432262,2020-07-27
2020-08-03,385.6667785644531,419.1000061035156,422.0,395.0,400.0,4994143,2020-08-03
2020-08-10,412.9974060058594,448.79998779296875,459.45001220703125,412.20001220703125,422.95001220703125,9373397,2020-08-10
2020-08-17,428.27325439453125,465.3999938964844,468.79998779296875,436.0,448.0,7947626,2020-08-17
2020-08-24,440.99493408203125,471.75,482.8999938964844,463.6499938964844,469.70001220703125,6811483,2020-08-24
2020-08-31,435.6197814941406,466.0,478.25,453.54998779296875,472.95001220703125,5055944,2020-08-31
2020-09-07,426.6455993652344,456.3999938964844,472.54998779296875,448.1000061035156,468.1499938964844,6272796,2020-09-07
2020-09-14,450.10931396484375,481.5,494.0,456.1000061035156,456.8500061035156,11998679,2020-09-14
2020-09-21,417.624755859375,446.75,483.3999938964844,437.29998779296875,482.0,7622736,2020-09-21
2020-09-28,418.6997985839844,447.8999938964844,458.29998779296875,440.20001220703125,453.70001220703125,4230705,2020-09-28
2020-10-05,403.9298095703125,432.1000061035156,464.79998779296875,430.1499938964844,449.95001220703125,5184913,2020-10-05
2020-10-12,431.8805847167969,462.0,463.6499938964844,425.0,434.8500061035156,5787755,2020-10-12
2020-10-19,430.10443115234375,460.1000061035156,476.0,456.3500061035156,463.04998779296875,4430160,2020-10-19
2020-10-26,405.7994689941406,434.1000061035156,463.29998779296875,431.0,461.5,3719550,2020-10-26
2020-11-02,426.3184814453125,456.04998779296875,461.79998779296875,428.8999938964844,434.6000061035156,4168975,2020-11-02
2020-11-09,447.4450988769531,478.6499938964844,482.8999938964844,449.29998779296875,456.95001220703125,7292833,2020-11-09
2020-11-16,477.1251525878906,510.3999938964844,519.0499877929688,478.3500061035156,478.3500061035156,6757801,2020-11-16
2020-11-23,547.7965087890625,586.0,597.5,507.0,507.0,10521969,2020-11-23
2020-11-30,530.4091186523438,567.4000244140625,586.0499877929688,563.5499877929688,586.0,3391797,2020-11-30
2020-12-07,544.6650390625,582.6500244140625,610.0,552.5999755859375,570.4000244140625,12435523,2020-12-07
2020-12-14,572.1482543945312,612.0499877929688,616.0,584.0,585.5499877929688,9572387,2020-12-14
2020-12-21,537.093017578125,574.5499877929688,616.0499877929688,556.25,611.0,6388646,2020-12-21
2020-12-28,543.4495849609375,581.3499755859375,586.0,564.4500122070312,578.2999877929688,6807556,2020-12-28
2021-01-04,593.6021118164062,635.0,648.0,584.5,585.0,10773979,2021-01-04
2021-01-11,562.4263305664062,601.6500244140625,638.8499755859375,597.5499877929688,637.0,6559293,2021-01-11
2021-01-18,575.7005004882812,615.8499755859375,627.5999755859375,583.3499755859375,601.7000122070312,6263861,2021-01-18
2021-01-25,622.908203125,666.3499755859375,689.5,601.4500122070312,617.0,13877352,2021-01-25
2021-02-01,735.6927490234375,787.0,799.7999877929688,654.25,664.9000244140625,15345197,2021-02-01
2021-02-08,704.6103515625,753.75,807.9000244140625,750.2999877929688,786.6500244140625,5193783,2021-02-08
2021-02-15,725.9345703125,769.7000122070312,805.0,746.6500244140625,759.7000122070312,6791532,2021-02-15
2021-02-22,742.958251953125,787.75,822.0,760.2999877929688,769.7000122070312,8728553,2021-02-22
2021-03-01,805.1583251953125,853.7000122070312,898.9000244140625,782.2000122070312,782.2000122070312,11488942,2021-03-01
2021-03-08,833.64111328125,883.9000244140625,922.75,844.0,853.6500244140625,8724973,2021-03-08
2021-03-15,845.4774780273438,896.4500122070312,906.9000244140625,835.4500122070312,885.5999755859375,7862224,2021-03-15
2021-03-22,819.9656372070312,869.4000244140625,910.0,823.5,900.0,5137418,2021-03-22
2021-03-29,844.4400024414062,895.3499755859375,934.25,867.75,869.4000244140625,4379670,2021-03-29
2021-04-05,821.427490234375,870.9500122070312,904.0,864.5999755859375,889.0,3849593,2021-04-05
2021-04-12,800.8198852539062,849.0999755859375,868.9000244140625,804.0,868.25,2340265,2021-04-12
2021-04-19,802.1402587890625,850.5,870.0999755859375,817.5999755859375,825.0,2552544,2021-04-19
2021-04-26,789.9737548828125,837.5999755859375,907.5999755859375,833.4500122070312,850.6500244140625,5265969,2021-04-26
2021-05-03,790.4925537109375,838.1500244140625,859.8499755859375,821.5999755859375,832.0,3211850,2021-05-03
2021-05-10,770.0264282226562,816.4500122070312,869.0,806.0,837.0,5317111,2021-05-10
2021-05-17,786.1068725585938,833.5,866.5499877929688,796.0999755859375,817.9500122070312,7084490,2021-05-17
2021-05-24,746.070556640625,791.0499877929688,854.0,747.0,835.3499755859375,16448050,2021-05-24
2021-05-31,764.603271484375,810.7000122070312,820.9000244140625,771.75,789.5,6350725,2021-05-31
2021-06-07,785.7294921875,833.0999755859375,844.7999877929688,808.5,811.0,6860844,2021-06-07
2021-06-14,785.6824951171875,833.0499877929688,855.4000244140625,811.0999755859375,835.5,6530588,2021-06-14
2021-06-21,809.1665649414062,857.9500122070312,865.9000244140625,819.5,825.0,4974597,2021-06-21
2021-06-28,831.2360229492188,881.3499755859375,910.0,841.5499877929688,868.0,12061325,2021-06-28
2021-07-05,812.986328125,862.0,895.5,856.2000122070312,881.3499755859375,3882212,2021-07-05
2021-07-12,808.7421875,857.5,885.2000122070312,850.0999755859375,862.25,3815988,2021-07-12
2021-07-19,809.4967041015625,858.2999877929688,872.9000244140625,841.5999755859375,857.0,2270946,2021-07-19
2021-07-26,803.93212890625,852.4000244140625,864.8499755859375,821.5999755859375,858.0,2501301,2021-07-26
2021-08-02,849.674560546875,900.9000244140625,925.0,852.9500122070312,852.9500122070312,7143269,2021-08-02
2021-08-09,928.2429809570312,975.5499877929688,989.4500122070312,903.0,909.0499877929688,18134091,2021-08-09
2021-08-16,943.9428100585938,992.0499877929688,1034.75,975.5,983.0,7916385,2021-08-16
2021-08-23,932.4771118164062,980.0,1022.4000244140625,971.75,1000.0,4199090,2021-08-23
2021-08-30,976.1989135742188,1025.949951171875,1049.4000244140625,980.0,980.0,4198134,2021-08-30
2021-09-06,993.3736572265625,1044.0,1064.449951171875,1021.0,1025.0,3679415,2021-09-06
2021-09-13,958.8338623046875,1007.7000122070312,1055.0,996.75,1050.0,2683611,2021-09-13
2021-09-20,946.5594482421875,994.7999877929688,1041.25,968.6500244140625,1007.7000122070312,2967708,2021-09-20
2021-09-27,873.578857421875,918.0999755859375,1023.0,878.1500244140625,1004.0499877929688,10885555,2021-09-27
2021-10-04,840.7518920898438,883.5999755859375,932.2000122070312,875.0999755859375,918.2000122070312,10548437,2021-10-04
2021-10-11,859.3538208007812,903.1500244140625,918.0,883.5999755859375,889.0,3025064,2021-10-11
2021-10-18,842.32177734375,885.25,952.0,871.0,915.0,7008463,2021-10-18
2021-10-25,852.26513671875,895.7000122070312,950.0,849.5,887.0,8564303,2021-10-25
2021-11-01,855.9284057617188,899.5499877929688,923.6500244140625,888.0,896.0,2803372,2021-11-01
2021-11-08,878.0985107421875,922.8499755859375,939.0,900.0499877929688,901.7000122070312,4437050,2021-11-08
2021-11-15,870.9620971679688,915.3499755859375,937.4500122070312,903.0499877929688,927.9000244140625,2395883,2021-11-15
2021-11-22,832.8067626953125,875.25,924.7000122070312,864.2000122070312,913.7000122070312,2674315,2021-11-22
2021-11-29,876.8139038085938,921.5,941.1500244140625,842.0,874.0,3224694,2021-11-29
2021-12-06,925.9118041992188,973.0999755859375,995.0,915.0,924.5,4570051,2021-12-06
2021-12-13,871.295166015625,915.7000122070312,1000.9500122070312,914.0,987.9500122070312,3205021,2021-12-13
