Date,Adj Close_DDEVPLSTIK.NS,Close_DDEVPLSTIK.NS,High_DDEVPLSTIK.NS,Low_DDEVPLSTIK.NS,Open_DDEVPLSTIK.NS,Volume_DDEVPLSTIK.NS,Date
2025-01-13,282.20001220703125,282.20001220703125,289.0,258.04998779296875,265.0,369552,2025-01-13
2025-01-20,261.1499938964844,261.1499938964844,304.0,252.1999969482422,285.0,846473,2025-01-20
2025-01-27,281.3999938964844,281.3999938964844,297.8500061035156,242.0,264.0,800402,2025-01-27
2025-02-03,269.20001220703125,269.20001220703125,280.0,263.3500061035156,280.0,238003,2025-02-03
2025-02-10,237.85000610351562,237.85000610351562,274.8999938964844,236.14999389648438,271.20001220703125,580875,2025-02-10
2025-02-17,262.70001220703125,262.70001220703125,273.45001220703125,216.1999969482422,239.0,969630,2025-02-17
2025-02-24,226.0500030517578,226.0500030517578,265.0,222.39999389648438,265.0,482197,2025-02-24
2025-03-03,250.97999572753906,250.97999572753906,257.0,212.5500030517578,228.02000427246094,922818,2025-03-03
2025-03-10,225.14999389648438,225.14999389648438,252.88999938964844,222.0,252.88999938964844,535780,2025-03-10
2025-03-17,253.24000549316406,253.24000549316406,262.0,220.0,228.99000549316406,960378,2025-03-17
2025-03-24,255.85000610351562,255.85000610351562,276.0,250.99000549316406,256.70001220703125,1725331,2025-03-24
2025-03-31,266.25,266.25,280.1499938964844,252.0,255.85000610351562,580821,2025-03-31
2025-04-07,262.1000061035156,262.1000061035156,264.95001220703125,236.60000610351562,240.0,583139,2025-04-07
2025-04-14,293.04998779296875,293.04998779296875,298.0,262.1000061035156,262.1000061035156,551987,2025-04-14
2025-04-21,271.75,271.75,307.45001220703125,268.29998779296875,295.8999938964844,760208,2025-04-21
2025-04-28,254.60000610351562,254.60000610351562,276.45001220703125,251.35000610351562,271.75,274072,2025-04-28
2025-05-05,249.0500030517578,249.0500030517578,265.0,239.8000030517578,258.95001220703125,333950,2025-05-05
2025-05-12,276.29998779296875,276.29998779296875,316.0,256.5,256.5,1733322,2025-05-12
2025-05-19,268.54998779296875,268.54998779296875,279.70001220703125,260.20001220703125,276.29998779296875,846428,2025-05-19
2025-05-26,275.45001220703125,275.45001220703125,281.3500061035156,262.5,269.8500061035156,592967,2025-05-26
2025-06-02,272.3500061035156,272.3500061035156,282.0,270.1000061035156,277.8999938964844,449453,2025-06-02
2025-06-09,277.6499938964844,277.6499938964844,302.0,273.29998779296875,273.29998779296875,1200734,2025-06-09
2025-06-16,272.45001220703125,272.45001220703125,289.0,267.0,276.04998779296875,732368,2025-06-16
2025-06-23,270.8500061035156,270.8500061035156,276.95001220703125,265.1000061035156,265.1000061035156,329216,2025-06-23
2025-06-30,266.5,266.5,276.5,261.8500061035156,270.8999938964844,503142,2025-06-30
2025-07-07,266.29998779296875,266.29998779296875,272.54998779296875,256.70001220703125,268.0,690532,2025-07-07
2025-07-14,301.70001220703125,301.70001220703125,312.95001220703125,264.29998779296875,268.3999938964844,4210695,2025-07-14
