Date,Adj Close_DIFFNKG.NS,Close_DIFFNKG.NS,High_DIFFNKG.NS,Low_DIFFNKG.NS,Open_DIFFNKG.NS,Volume_DIFFNKG.NS,Date
2024-09-30,202.20021057128906,203.1699981689453,203.1699981689453,193.0500030517578,193.5,2801953,2024-09-30
2024-10-07,257.97271728515625,259.2099914550781,259.260009765625,213.32000732421875,213.32000732421875,3912809,2024-10-07
2024-10-14,338.6258850097656,340.25,351.45001220703125,246.24000549316406,246.24000549316406,5997436,2024-10-14
2024-10-21,355.2660827636719,356.9700012207031,489.9599914550781,335.1199951171875,337.0199890136719,9788496,2024-10-21
2024-10-28,366.4425048828125,368.20001220703125,372.95001220703125,310.1000061035156,339.1199951171875,4572787,2024-10-28
2024-11-04,327.13104248046875,328.70001220703125,355.0,324.1000061035156,349.79998779296875,2773383,2024-11-04
2024-11-11,294.73638916015625,296.1499938964844,343.3500061035156,288.8999938964844,332.8999938964844,1125182,2024-11-11
2024-11-18,301.9517822265625,303.3999938964844,331.79998779296875,281.3500061035156,295.5,999196,2024-11-18
2024-11-25,306.1814880371094,307.6499938964844,320.79998779296875,301.04998779296875,308.5,639565,2024-11-25
2024-12-02,360.32183837890625,362.04998779296875,365.0,302.5,305.6499938964844,1068281,2024-12-02
2024-12-09,346.04034423828125,347.70001220703125,367.6499938964844,334.0,367.0,832520,2024-12-09
2024-12-16,332.9033508300781,334.5,397.0,331.04998779296875,345.6000061035156,1206214,2024-12-16
2024-12-23,328.12628173828125,329.70001220703125,346.0,322.1000061035156,336.3999938964844,334855,2024-12-23
2024-12-30,354.74859619140625,356.45001220703125,356.8500061035156,317.54998779296875,332.0,437812,2024-12-30
2025-01-06,309.61505126953125,311.1000061035156,364.70001220703125,307.79998779296875,360.0,423496,2025-01-06
2025-01-13,317.02947998046875,318.54998779296875,325.0,295.54998779296875,312.5,262794,2025-01-13
2025-01-20,298.3192138671875,299.75,328.0,297.45001220703125,324.0,168373,2025-01-20
2025-01-27,279.8577575683594,281.20001220703125,309.6000061035156,262.3500061035156,298.79998779296875,519310,2025-01-27
2025-02-03,312.5011901855469,314.0,350.0,270.8999938964844,281.95001220703125,2105386,2025-02-03
2025-02-10,262.7398681640625,264.0,330.6000061035156,259.70001220703125,327.70001220703125,538993,2025-02-10
2025-02-17,259.7044372558594,260.95001220703125,264.0,232.60000610351562,264.0,324510,2025-02-17
2025-02-24,239.7998809814453,240.9499969482422,260.0,237.5500030517578,256.0,325188,2025-02-24
2025-03-03,291.8900451660156,293.2900085449219,307.489990234375,241.00999450683594,247.89999389648438,685803,2025-03-03
2025-03-10,269.2088317871094,270.5,292.989990234375,270.5,287.4200134277344,47663,2025-03-10
2025-03-17,265.1781921386719,266.45001220703125,266.45001220703125,260.1000061035156,265.0899963378906,158117,2025-03-17
2025-03-24,261.74462890625,263.0,277.20001220703125,263.0,271.7699890136719,70685,2025-03-24
2025-03-31,272.19451904296875,273.5,279.04998779296875,263.0,263.0,21291,2025-03-31
2025-04-07,268.8107604980469,270.1000061035156,275.0,268.0,268.1000061035156,65257,2025-04-07
2025-04-14,275.5782775878906,276.8999938964844,279.45001220703125,270.1000061035156,271.54998779296875,76426,2025-04-14
2025-04-21,250.54832458496094,251.75,289.8999938964844,248.3000030517578,271.0,333572,2025-04-21
2025-04-28,235.73934936523438,236.8699951171875,251.5,231.85000610351562,245.0,74111,2025-04-28
2025-05-05,250.48861694335938,251.69000244140625,260.0,237.0,238.0,356714,2025-05-05
2025-05-12,284.4955139160156,285.8599853515625,285.8599853515625,250.0,264.0,381346,2025-05-12
2025-05-19,275.5384521484375,276.8599853515625,279.9700012207031,255.10000610351562,279.9700012207031,270634,2025-05-19
2025-05-26,277.2403259277344,278.57000732421875,300.0,266.0,286.989990234375,719761,2025-05-26
2025-06-02,315.2380676269531,316.75,329.5,274.45001220703125,278.0,1211885,2025-06-02
2025-06-09,300.160400390625,301.6000061035156,334.5,296.54998779296875,316.25,480985,2025-06-09
2025-06-16,303.1958312988281,304.6499938964844,316.0,286.29998779296875,291.20001220703125,601711,2025-06-16
2025-06-23,309.7643127441406,311.25,329.8999938964844,297.29998779296875,300.1000061035156,553441,2025-06-23
2025-06-30,301.6532287597656,303.1000061035156,329.75,295.8999938964844,315.8999938964844,1371520,2025-06-30
2025-07-07,318.92041015625,320.45001220703125,352.6499938964844,297.5,303.70001220703125,2334023,2025-07-07
2025-07-14,336.79998779296875,336.79998779296875,344.0,301.95001220703125,320.3999938964844,2101126,2025-07-14
