Date,Adj Close_EIMCOELECO.NS,Close_EIMCOELECO.NS,High_EIMCOELECO.NS,Low_EIMCOELECO.NS,Open_EIMCOELECO.NS,Volume_EIMCOELECO.NS,Date
2020-07-13,281.26416015625,294.3999938964844,317.0,279.0,286.04998779296875,1606,2020-07-13
2020-07-20,305.3398132324219,319.6000061035156,349.0,293.0,294.5,18390,2020-07-20
2020-07-27,290.3880615234375,303.95001220703125,340.70001220703125,292.25,319.6000061035156,16680,2020-07-27
2020-08-03,287.0678405761719,295.6000061035156,315.0,294.1000061035156,303.95001220703125,3611,2020-08-03
2020-08-10,320.71771240234375,330.25,361.8999938964844,303.0,305.5,62234,2020-08-10
2020-08-17,334.7991638183594,344.75,350.0,322.04998779296875,347.45001220703125,8792,2020-08-17
2020-08-24,325.3305969238281,335.0,349.8999938964844,330.04998779296875,344.70001220703125,4930,2020-08-24
2020-08-31,338.052490234375,348.1000061035156,360.5,309.95001220703125,332.0,13291,2020-08-31
2020-09-07,331.0117492675781,340.8500061035156,357.95001220703125,317.6000061035156,357.95001220703125,7083,2020-09-07
2020-09-14,336.2073059082031,346.20001220703125,350.0,324.75,341.04998779296875,5553,2020-09-14
2020-09-21,311.24908447265625,320.5,354.95001220703125,307.6000061035156,350.0,5707,2020-09-21
2020-09-28,321.0575866699219,330.6000061035156,335.0,315.29998779296875,326.04998779296875,3600,2020-09-28
2020-10-05,310.6178894042969,319.8500061035156,339.8999938964844,316.29998779296875,339.8999938964844,5112,2020-10-05
2020-10-12,295.41961669921875,304.20001220703125,329.04998779296875,298.6000061035156,328.5,7156,2020-10-12
2020-10-19,318.8725280761719,328.3500061035156,330.1499938964844,295.6000061035156,319.0,9308,2020-10-19
2020-10-26,299.6440124511719,308.54998779296875,340.8999938964844,305.70001220703125,328.3500061035156,8195,2020-10-26
2020-11-02,301.2464294433594,310.20001220703125,314.95001220703125,287.0,300.04998779296875,7654,2020-11-02
2020-11-09,300.032470703125,308.95001220703125,315.0,296.1000061035156,298.0,2475,2020-11-09
2020-11-16,312.17169189453125,321.45001220703125,329.3500061035156,302.1000061035156,306.70001220703125,5963,2020-11-16
2020-11-23,322.0772705078125,331.6499938964844,345.0,315.1000061035156,316.25,14890,2020-11-23
2020-11-30,334.9447937011719,344.8999938964844,345.0,325.5,331.6499938964844,15598,2020-11-30
2020-12-07,330.91461181640625,340.75,355.95001220703125,331.95001220703125,335.95001220703125,15717,2020-12-07
2020-12-14,330.7203674316406,340.54998779296875,355.0,332.95001220703125,335.95001220703125,12813,2020-12-14
2020-12-21,330.23480224609375,340.04998779296875,348.0,301.6000061035156,337.0,7340,2020-12-21
2020-12-28,329.5550537109375,339.3500061035156,349.8999938964844,331.45001220703125,344.0,10825,2020-12-28
2021-01-04,361.553955078125,372.29998779296875,413.5,334.04998779296875,334.95001220703125,118537,2021-01-04
2021-01-11,347.3267822265625,357.6499938964844,384.79998779296875,345.1499938964844,373.45001220703125,23914,2021-01-11
2021-01-18,330.3319396972656,340.1499938964844,361.8999938964844,336.0,349.95001220703125,9011,2021-01-18
2021-01-25,323.4854431152344,333.1000061035156,345.25,322.20001220703125,345.25,5251,2021-01-25
2021-02-01,355.7757263183594,366.3500061035156,376.79998779296875,303.0,328.6000061035156,28073,2021-02-01
2021-02-08,371.2652893066406,382.29998779296875,394.95001220703125,342.0,371.25,29269,2021-02-08
2021-02-15,345.384521484375,355.6499938964844,387.20001220703125,352.0,374.95001220703125,9178,2021-02-15
2021-02-22,334.1679382324219,344.1000061035156,368.0,331.6000061035156,368.0,17805,2021-02-22
2021-03-01,350.4830017089844,360.8999938964844,375.0,335.5,337.75,14865,2021-03-01
2021-03-08,349.1719665527344,359.54998779296875,404.70001220703125,357.1499938964844,361.0,13774,2021-03-08
2021-03-15,326.1075134277344,335.79998779296875,372.70001220703125,326.04998779296875,365.75,12464,2021-03-15
2021-03-22,326.4473571777344,336.1499938964844,374.0,318.0,349.45001220703125,18226,2021-03-22
2021-03-29,330.1377258300781,339.95001220703125,374.0,325.20001220703125,336.1499938964844,7159,2021-03-29
2021-04-05,330.0406188964844,339.8500061035156,355.0,325.1000061035156,339.04998779296875,8155,2021-04-05
2021-04-12,326.98150634765625,336.70001220703125,343.25,321.0,341.25,6440,2021-04-12
2021-04-19,324.45654296875,334.1000061035156,345.0,323.79998779296875,341.29998779296875,5181,2021-04-19
2021-04-26,333.0511169433594,342.95001220703125,355.25,331.5,339.25,7481,2021-04-26
2021-05-03,356.84393310546875,367.45001220703125,375.70001220703125,326.95001220703125,347.25,15936,2021-05-03
2021-05-10,339.89764404296875,350.0,383.0,345.95001220703125,375.29998779296875,16660,2021-05-10
2021-05-17,337.90679931640625,347.95001220703125,368.0,340.0,348.04998779296875,19320,2021-05-17
2021-05-24,353.15362548828125,363.6499938964844,392.95001220703125,345.5,347.95001220703125,37070,2021-05-24
2021-05-31,375.7325439453125,386.8999938964844,400.0,350.04998779296875,380.0,44361,2021-05-31
2021-06-07,367.235107421875,378.1499938964844,399.8999938964844,371.20001220703125,388.20001220703125,27296,2021-06-07
2021-06-14,361.116943359375,371.8500061035156,395.5,367.0,375.0,15774,2021-06-14
2021-06-21,358.6891174316406,369.3500061035156,388.79998779296875,364.3999938964844,388.79998779296875,11545,2021-06-21
2021-06-28,438.4679260253906,451.5,470.0,358.79998779296875,370.0,379393,2021-06-28
2021-07-05,476.1479797363281,490.29998779296875,541.7999877929688,481.95001220703125,509.8999938964844,467936,2021-07-05
2021-07-12,491.0549621582031,505.6499938964844,517.0,468.3500061035156,495.0,114383,2021-07-12
2021-07-19,468.71881103515625,482.6499938964844,527.0,478.0,527.0,79764,2021-07-19
2021-07-26,450.8260498046875,459.54998779296875,492.25,457.0,487.1000061035156,55315,2021-07-26
2021-08-02,427.9684143066406,436.25,475.04998779296875,431.0,470.8500061035156,59992,2021-08-02
2021-08-09,417.3734436035156,425.45001220703125,448.79998779296875,396.45001220703125,446.0,58322,2021-08-09
2021-08-16,407.3670349121094,415.25,475.0,389.0,437.79998779296875,128016,2021-08-16
2021-08-23,406.87652587890625,414.75,428.29998779296875,400.45001220703125,410.0,26043,2021-08-23
2021-08-30,398.096435546875,405.79998779296875,424.6000061035156,403.70001220703125,424.6000061035156,24265,2021-08-30
2021-09-06,402.609130859375,410.3999938964844,415.0,398.95001220703125,405.0,17491,2021-09-06
2021-09-13,399.4698791503906,407.20001220703125,428.25,405.0,408.5,43649,2021-09-13
2021-09-20,390.0521240234375,397.6000061035156,414.95001220703125,390.0,402.5,34201,2021-09-20
2021-09-27,381.1739196777344,388.54998779296875,423.45001220703125,374.95001220703125,395.0,161761,2021-09-27
2021-10-04,390.15020751953125,397.70001220703125,418.79998779296875,386.0,394.3999938964844,129047,2021-10-04
2021-10-11,387.69769287109375,395.20001220703125,409.25,390.1000061035156,398.0,71235,2021-10-11
2021-10-18,390.68975830078125,398.25,424.6000061035156,385.29998779296875,395.20001220703125,103717,2021-10-18
2021-10-25,380.68341064453125,388.04998779296875,415.1000061035156,385.0,402.45001220703125,83539,2021-10-25
2021-11-01,387.94293212890625,395.45001220703125,397.95001220703125,375.0,392.0,21896,2021-11-01
2021-11-08,384.1169128417969,391.54998779296875,399.54998779296875,387.04998779296875,396.04998779296875,21700,2021-11-08
2021-11-15,366.5077209472656,373.6000061035156,399.0,371.04998779296875,394.8999938964844,24878,2021-11-15
2021-11-22,351.93963623046875,358.75,377.0,350.04998779296875,370.0,33279,2021-11-22
2021-11-29,351.203857421875,358.0,370.0,349.5,357.8500061035156,13947,2021-11-29
2021-12-06,346.3478088378906,353.04998779296875,367.0,350.0,367.0,14141,2021-12-06
2021-12-13,340.9522399902344,347.54998779296875,365.6499938964844,345.0,352.1499938964844,24259,2021-12-13
2021-12-20,325.501220703125,331.79998779296875,349.0,321.20001220703125,345.04998779296875,65793,2021-12-20
2021-12-27,329.0328674316406,335.3999938964844,345.8999938964844,328.54998779296875,334.0,13963,2021-12-27
2022-01-03,373.42388916015625,380.6499938964844,387.79998779296875,330.1000061035156,344.0,106357,2022-01-03
2022-01-10,348.8984375,355.6499938964844,393.3999938964844,347.70001220703125,381.75,49138,2022-01-10
2022-01-17,357.1390075683594,364.04998779296875,371.95001220703125,339.0,357.1499938964844,55640,2022-01-17
2022-01-24,346.0044860839844,352.70001220703125,364.5,339.20001220703125,364.0,22060,2022-01-24
2022-01-31,350.1247253417969,356.8999938964844,375.0,347.70001220703125,357.95001220703125,33927,2022-01-31
2022-02-07,336.58673095703125,343.1000061035156,361.1499938964844,341.8999938964844,355.1000061035156,20910,2022-02-07
2022-02-14,319.8113708496094,326.0,355.0,319.04998779296875,332.0,21237,2022-02-14
2022-02-21,322.5091247558594,328.75,349.0,295.5,333.29998779296875,41137,2022-02-21
2022-02-28,319.9094543457031,326.1000061035156,347.0,319.0,325.0,29404,2022-02-28
2022-03-07,315.2005615234375,321.29998779296875,331.95001220703125,310.0,319.04998779296875,21354,2022-03-07
2022-03-14,330.8477783203125,337.25,349.5,314.70001220703125,329.95001220703125,20392,2022-03-14
2022-03-21,316.9664306640625,323.1000061035156,337.0,318.1000061035156,337.0,25428,2022-03-21
2022-03-28,317.50592041015625,323.6499938964844,325.5,300.25,320.1499938964844,53561,2022-03-28
2022-04-04,350.1737976074219,356.95001220703125,366.6499938964844,315.04998779296875,323.3500061035156,45875,2022-04-04
2022-04-11,354.39215087890625,361.25,370.20001220703125,350.0,358.04998779296875,22734,2022-04-11
2022-04-18,357.874755859375,364.79998779296875,393.0,352.5,369.0,66825,2022-04-18
2022-04-25,352.2829895019531,359.1000061035156,378.0,353.6000061035156,358.0,45340,2022-04-25
2022-05-02,366.2134094238281,373.29998779296875,423.70001220703125,360.04998779296875,374.0,284996,2022-05-02
2022-05-09,328.19903564453125,334.54998779296875,372.0,326.54998779296875,367.79998779296875,23228,2022-05-09
2022-05-16,332.5645446777344,339.0,366.95001220703125,330.04998779296875,344.0,29745,2022-05-16
2022-05-23,315.34771728515625,321.45001220703125,343.1499938964844,300.0,343.0,22121,2022-05-23
2022-05-30,348.84942626953125,355.6000061035156,372.0,321.5,323.20001220703125,19641,2022-05-30
2022-06-06,368.27349853515625,375.3999938964844,386.04998779296875,348.0,354.20001220703125,47634,2022-06-06
2022-06-13,343.6990966796875,350.3500061035156,378.95001220703125,338.1499938964844,378.95001220703125,27018,2022-06-13
2022-06-20,359.8081970214844,364.29998779296875,377.0,334.1000061035156,352.0,21838,2022-06-20
2022-06-27,375.364013671875,380.04998779296875,406.6000061035156,348.0,366.1499938964844,51821,2022-06-27
2022-07-04,375.7096862792969,380.3999938964844,398.0,375.0,375.1499938964844,19115,2022-07-04
2022-07-11,369.6849060058594,374.29998779296875,388.0,363.45001220703125,376.1499938964844,21034,2022-07-11
2022-07-18,363.4132080078125,367.95001220703125,404.79998779296875,362.0,378.79998779296875,55633,2022-07-18
2022-07-25,355.11676025390625,359.54998779296875,394.8999938964844,355.79998779296875,365.6000061035156,28082,2022-07-25
2022-08-01,352.4006652832031,356.79998779296875,380.0,352.0,369.0,24521,2022-08-01
2022-08-08,349.5858154296875,353.95001220703125,361.8500061035156,344.45001220703125,361.0,19630,2022-08-08
2022-08-15,355.3143005371094,359.75,363.0,348.0,353.95001220703125,10788,2022-08-15
2022-08-22,347.6104736328125,351.95001220703125,365.04998779296875,340.04998779296875,357.3999938964844,11587,2022-08-22
2022-08-29,366.6724853515625,371.25,375.0,340.0,340.0,13012,2022-08-29
2022-09-05,364.74652099609375,369.29998779296875,387.79998779296875,366.0,375.0,28063,2022-09-05
2022-09-12,383.0184326171875,387.79998779296875,406.0,362.6000061035156,374.54998779296875,64834,2022-09-12
2022-09-19,376.94427490234375,381.6499938964844,405.0,374.95001220703125,392.8999938964844,14670,2022-09-19
2022-09-26,364.252685546875,368.79998779296875,389.8999938964844,358.3999938964844,381.79998779296875,10139,2022-09-26
2022-10-03,365.43792724609375,370.0,380.0,360.5,369.04998779296875,4776,2022-10-03
2022-10-10,356.49951171875,360.95001220703125,377.45001220703125,355.5,369.6000061035156,6838,2022-10-10
2022-10-17,350.7216491699219,355.1000061035156,365.3999938964844,351.25,360.95001220703125,15259,2022-10-17
2022-10-24,359.51190185546875,364.0,371.0,346.75,356.0,6561,2022-10-24
2022-10-31,411.7596435546875,416.8999938964844,464.0,354.1000061035156,367.79998779296875,183868,2022-10-31
2022-11-07,432.7970275878906,438.20001220703125,450.0,417.0,423.1499938964844,60273,2022-11-07
2022-11-14,411.95721435546875,417.1000061035156,440.95001220703125,407.0,438.20001220703125,21989,2022-11-14
2022-11-21,422.6240234375,427.8999938964844,450.0,418.0,425.3500061035156,52665,2022-11-21
2022-11-28,430.9204406738281,436.29998779296875,445.45001220703125,414.0,430.1499938964844,26076,2022-11-28
2022-12-05,435.16741943359375,440.6000061035156,464.0,430.29998779296875,442.75,63833,2022-12-05
2022-12-12,420.2042236328125,425.45001220703125,455.95001220703125,420.04998779296875,447.1499938964844,30261,2022-12-12
2022-12-19,365.0428771972656,369.6000061035156,430.5,365.0,419.0,27178,2022-12-19
