Date,Adj Close_EQUIPPP.NS,Close_EQUIPPP.NS,High_EQUIPPP.NS,Low_EQUIPPP.NS,Open_EQUIPPP.NS,Volume_EQUIPPP.NS,Date
2020-07-13,10.0,10.0,10.0,10.0,10.0,0,2020-07-13
2020-07-20,9.0,9.0,9.0,9.0,9.0,2090,2020-07-20
2020-07-27,8.0,8.0,8.0,8.0,8.0,1750,2020-07-27
2020-08-03,7.0,7.0,7.0,7.0,7.0,2456,2020-08-03
2020-08-10,6.0,6.0,7.0,6.0,6.0,14038,2020-08-10
2020-08-17,7.0,7.0,7.0,5.0,6.0,10157,2020-08-17
2020-08-24,6.0,6.0,7.0,6.0,7.0,9039,2020-08-24
2020-08-31,6.0,6.0,7.0,5.0,6.0,7774,2020-08-31
2020-09-07,6.0,6.0,7.0,5.0,5.0,3228,2020-09-07
2020-09-14,6.0,6.0,7.0,5.0,6.0,16013,2020-09-14
2020-09-21,5.0,5.0,6.0,5.0,5.0,14331,2020-09-21
2020-09-28,7.0,7.0,7.0,5.0,6.0,24134,2020-09-28
2020-10-05,7.0,7.0,8.0,5.0,6.0,25629,2020-10-05
2020-10-12,7.0,7.0,8.0,6.0,7.0,22703,2020-10-12
2020-10-19,7.0,7.0,7.0,6.0,6.0,19314,2020-10-19
2020-10-26,7.0,7.0,8.0,5.0,7.0,17877,2020-10-26
2020-11-02,7.0,7.0,7.0,6.0,6.0,13163,2020-11-02
2020-11-09,7.0,7.0,7.0,6.0,7.0,20096,2020-11-09
2020-11-16,7.0,7.0,8.0,6.0,6.0,26434,2020-11-16
2020-11-23,7.0,7.0,8.0,6.0,7.0,16581,2020-11-23
2020-11-30,8.0,8.0,8.0,6.0,7.0,32206,2020-11-30
2020-12-07,9.0,9.0,9.0,7.0,8.0,44025,2020-12-07
2020-12-14,12.0,12.0,13.0,10.0,10.0,39828,2020-12-14
2020-12-21,12.0,12.0,12.0,12.0,12.0,0,2020-12-21
2020-12-28,11.0,11.0,11.0,11.0,11.0,2795,2020-12-28
2021-01-04,10.0,10.0,10.0,10.0,10.0,4628,2021-01-04
2021-01-11,9.0,9.0,9.0,9.0,9.0,11279,2021-01-11
2021-01-18,8.0,8.0,8.0,8.0,8.0,4679,2021-01-18
2021-01-25,7.0,7.0,9.0,7.0,7.0,7269,2021-01-25
2021-02-01,8.0,8.0,8.0,7.0,7.0,12683,2021-02-01
2021-02-08,8.0,8.0,8.0,8.0,8.0,0,2021-02-08
2021-02-15,8.0,8.0,8.0,8.0,8.0,0,2021-02-15
2021-02-22,8.0,8.0,8.0,8.0,8.0,0,2021-02-22
2021-03-01,8.0,8.0,8.0,8.0,8.0,0,2021-03-01
2021-03-08,8.0,8.0,8.0,8.0,8.0,0,2021-03-08
2021-03-15,8.0,8.0,8.0,8.0,8.0,0,2021-03-15
2021-03-22,8.0,8.0,8.0,8.0,8.0,0,2021-03-22
2021-03-29,8.0,8.0,8.0,8.0,8.0,0,2021-03-29
2021-04-05,8.0,8.0,8.0,8.0,8.0,0,2021-04-05
2021-04-12,8.0,8.0,8.0,8.0,8.0,0,2021-04-12
2021-04-19,8.0,8.0,8.0,8.0,8.0,0,2021-04-19
2021-04-26,8.0,8.0,8.0,8.0,8.0,0,2021-04-26
2021-05-03,8.0,8.0,8.0,8.0,8.0,0,2021-05-03
2021-05-10,8.0,8.0,8.0,8.0,8.0,0,2021-05-10
2021-05-17,1.5,1.5,8.0,1.399999976158142,8.0,7528,2021-05-17
2021-05-24,1.75,1.75,1.75,1.5499999523162842,1.5499999523162842,3010,2021-05-24
2021-05-31,2.25,2.25,2.25,1.7999999523162842,1.7999999523162842,5701,2021-05-31
2021-06-07,2.8499999046325684,2.8499999046325684,2.8499999046325684,2.450000047683716,2.450000047683716,2041,2021-06-07
2021-06-14,3.5,3.5,3.5,2.950000047683716,2.950000047683716,2465,2021-06-14
2021-06-21,4.300000190734863,4.300000190734863,4.300000190734863,3.6500000953674316,3.6500000953674316,2520,2021-06-21
2021-06-28,5.349999904632568,5.349999904632568,5.349999904632568,4.5,4.5,1757,2021-06-28
2021-07-05,6.699999809265137,6.699999809265137,6.699999809265137,5.599999904632568,5.599999904632568,7547,2021-07-05
2021-07-12,8.449999809265137,8.449999809265137,8.449999809265137,7.0,7.0,9034,2021-07-12
2021-07-19,10.149999618530273,10.149999618530273,10.149999618530273,8.850000381469727,8.850000381469727,4379,2021-07-19
2021-07-26,12.850000381469727,12.850000381469727,12.850000381469727,10.649999618530273,10.649999618530273,4512,2021-07-26
2021-08-02,16.25,16.25,16.25,13.449999809265137,13.449999809265137,7082,2021-08-02
2021-08-09,20.600000381469727,20.600000381469727,20.600000381469727,17.049999237060547,17.049999237060547,7073,2021-08-09
2021-08-16,24.899999618530273,24.899999618530273,24.899999618530273,21.600000381469727,21.600000381469727,3736,2021-08-16
2021-08-23,31.649999618530273,31.649999618530273,31.649999618530273,26.100000381469727,26.100000381469727,4997,2021-08-23
2021-08-30,40.25,40.25,40.25,33.20000076293945,33.20000076293945,5560,2021-08-30
2021-09-06,48.849998474121094,48.849998474121094,48.849998474121094,42.25,42.25,12164,2021-09-06
2021-09-13,62.20000076293945,62.20000076293945,62.20000076293945,51.25,51.25,235117,2021-09-13
2021-09-20,79.25,79.25,79.25,65.30000305175781,65.30000305175781,21428,2021-09-20
2021-09-27,101.05000305175781,101.05000305175781,101.05000305175781,75.55000305175781,83.19999694824219,161883,2021-09-27
2021-10-04,128.85000610351562,128.85000610351562,128.85000610351562,106.0999984741211,106.0999984741211,52135,2021-10-04
2021-10-11,156.5500030517578,156.5500030517578,156.5500030517578,135.25,135.25,59644,2021-10-11
2021-10-18,148.0500030517578,148.0500030517578,181.14999389648438,148.0500030517578,164.35000610351562,135823,2021-10-18
2021-10-25,114.6500015258789,114.6500015258789,140.64999389648438,114.6500015258789,140.64999389648438,17489,2021-10-25
2021-11-01,93.5,93.5,108.94999694824219,93.5,108.94999694824219,16074,2021-11-01
2021-11-08,107.8499984741211,107.8499984741211,107.8499984741211,84.44999694824219,88.8499984741211,345335,2021-11-08
2021-11-15,88.55000305175781,88.55000305175781,113.19999694824219,88.55000305175781,113.19999694824219,275805,2021-11-15
2021-11-22,92.44999694824219,92.44999694824219,92.80000305175781,76.0,90.0,250581,2021-11-22
2021-11-29,92.44999694824219,92.44999694824219,97.05000305175781,79.75,97.05000305175781,363186,2021-11-29
2021-12-06,135.5500030517578,135.5500030517578,135.5500030517578,95.0,96.80000305175781,155316,2021-12-06
2021-12-13,116.6500015258789,116.6500015258789,142.3000030517578,116.0,142.3000030517578,763213,2021-12-13
2021-12-20,111.6500015258789,111.6500015258789,121.9000015258789,100.94999694824219,116.0,263735,2021-12-20
2021-12-27,105.6500015258789,105.6500015258789,117.0,102.75,107.19999694824219,348359,2021-12-27
2022-01-03,104.69999694824219,104.69999694824219,106.05000305175781,90.5999984741211,106.0,307950,2022-01-03
2022-01-10,99.9000015258789,99.9000015258789,109.55000305175781,96.0999984741211,109.4000015258789,255294,2022-01-10
2022-01-17,86.94999694824219,86.94999694824219,101.44999694824219,86.94999694824219,99.9000015258789,156713,2022-01-17
2022-01-24,78.6500015258789,78.6500015258789,84.75,71.30000305175781,82.9000015258789,81726,2022-01-24
2022-01-31,91.6500015258789,91.6500015258789,96.94999694824219,82.55000305175781,82.55000305175781,134474,2022-01-31
2022-02-07,81.25,81.25,96.4000015258789,79.05000305175781,90.0,142399,2022-02-07
2022-02-14,76.4000015258789,76.4000015258789,86.8499984741211,75.5999984741211,81.25,112162,2022-02-14
2022-02-21,72.5999984741211,72.5999984741211,79.0,65.5999984741211,79.0,137975,2022-02-21
2022-02-28,70.6500015258789,70.6500015258789,79.30000305175781,68.5,73.0,44866,2022-02-28
2022-03-07,73.44999694824219,73.44999694824219,77.0999984741211,65.80000305175781,68.0,86507,2022-03-07
2022-03-14,73.1500015258789,73.1500015258789,81.1500015258789,70.69999694824219,75.0,73802,2022-03-14
2022-03-21,69.1500015258789,69.1500015258789,74.6500015258789,68.0999984741211,71.69999694824219,46123,2022-03-21
2022-03-28,68.55000305175781,68.55000305175781,75.0,61.650001525878906,69.1500015258789,131647,2022-03-28
2022-04-04,67.75,67.75,73.94999694824219,66.05000305175781,73.94999694824219,56788,2022-04-04
2022-04-11,67.05000305175781,67.05000305175781,68.94999694824219,64.69999694824219,68.0999984741211,36847,2022-04-11
2022-04-18,60.79999923706055,60.79999923706055,67.5999984741211,60.5,67.05000305175781,67361,2022-04-18
2022-04-25,91.1500015258789,91.1500015258789,110.0,58.54999923706055,60.75,1303703,2022-04-25
2022-05-02,66.69999694824219,66.69999694824219,89.3499984741211,66.69999694824219,85.3499984741211,166156,2022-05-02
2022-05-09,63.20000076293945,63.20000076293945,72.5,60.20000076293945,64.9000015258789,102797,2022-05-09
2022-05-16,67.75,67.75,73.0999984741211,64.25,66.0,62579,2022-05-16
2022-05-23,61.5,61.5,68.69999694824219,59.20000076293945,68.0,33321,2022-05-23
2022-05-30,66.3499984741211,66.3499984741211,68.5999984741211,59.0,60.0,37995,2022-05-30
2022-06-06,63.5,63.5,69.3499984741211,60.099998474121094,66.3499984741211,27514,2022-06-06
2022-06-13,57.79999923706055,57.79999923706055,64.0,56.099998474121094,64.0,46671,2022-06-13
2022-06-20,51.0,51.0,57.900001525878906,47.099998474121094,57.79999923706055,22504,2022-06-20
2022-06-27,52.79999923706055,52.79999923706055,55.599998474121094,48.5,50.0,16113,2022-06-27
2022-07-04,52.0,52.0,55.0,49.650001525878906,52.0,6883,2022-07-04
2022-07-11,49.29999923706055,49.29999923706055,54.45000076293945,48.04999923706055,53.0,22192,2022-07-11
2022-07-18,52.20000076293945,52.20000076293945,53.20000076293945,48.099998474121094,48.099998474121094,19489,2022-07-18
2022-07-25,56.04999923706055,56.04999923706055,56.04999923706055,49.599998474121094,52.20000076293945,41821,2022-07-25
2022-08-01,68.0,68.0,68.0,58.849998474121094,58.849998474121094,24953,2022-08-01
2022-08-08,64.5999984741211,64.5999984741211,64.5999984741211,64.5999984741211,64.5999984741211,1245,2022-08-08
2022-08-15,61.400001525878906,61.400001525878906,64.5999984741211,61.400001525878906,64.5999984741211,284,2022-08-15
2022-08-22,58.349998474121094,58.349998474121094,58.349998474121094,58.349998474121094,58.349998474121094,807,2022-08-22
2022-08-29,55.45000076293945,55.45000076293945,55.45000076293945,55.45000076293945,55.45000076293945,194,2022-08-29
2022-09-05,52.70000076293945,52.70000076293945,52.70000076293945,52.70000076293945,52.70000076293945,760,2022-09-05
2022-09-12,50.099998474121094,50.099998474121094,50.099998474121094,50.099998474121094,50.099998474121094,1530,2022-09-12
2022-09-19,47.599998474121094,47.599998474121094,47.599998474121094,47.599998474121094,47.599998474121094,2334,2022-09-19
2022-09-26,45.25,45.25,45.25,45.25,45.25,166,2022-09-26
2022-10-03,40.75,40.75,43.0,36.95000076293945,43.0,92020,2022-10-03
2022-10-10,51.79999923706055,51.79999923706055,51.849998474121094,41.0,42.75,32922,2022-10-10
