Date,Adj Close_EVEREADY.NS,Close_EVEREADY.NS,High_EVEREADY.NS,Low_EVEREADY.NS,Open_EVEREADY.NS,Volume_EVEREADY.NS,Date
2020-07-13,112.68285369873047,112.94999694824219,112.94999694824219,89.0999984741211,98.0,10166336,2020-07-13
2020-07-20,120.46440887451172,120.75,124.44999694824219,110.0,116.94999694824219,8004605,2020-07-20
2020-07-27,130.74005126953125,131.0500030517578,131.0500030517578,116.0999984741211,121.5,4593857,2020-07-27
2020-08-03,145.55491638183594,145.89999389648438,150.6999969482422,129.39999389648438,135.39999389648438,8272448,2020-08-03
2020-08-10,142.36248779296875,142.6999969482422,157.9499969482422,135.89999389648438,148.0,9525886,2020-08-10
2020-08-17,141.2152099609375,141.5500030517578,146.75,130.25,143.10000610351562,1527124,2020-08-17
2020-08-24,134.88021850585938,135.1999969482422,142.89999389648438,130.0,141.60000610351562,1572740,2020-08-24
2020-08-31,141.81378173828125,142.14999389648438,149.8000030517578,129.0,140.4499969482422,1782344,2020-08-31
2020-09-07,142.41236877441406,142.75,153.0,138.39999389648438,141.0,3064884,2020-09-07
2020-09-14,146.75209045410156,147.10000610351562,150.0,141.0,145.5,776531,2020-09-14
2020-09-21,137.4241943359375,137.75,147.89999389648438,134.5,145.0500030517578,984308,2020-09-21
2020-09-28,148.54782104492188,148.89999389648438,150.39999389648438,138.0,138.0,709445,2020-09-28
2020-10-05,142.66177368164062,143.0,152.0,141.60000610351562,151.0,874614,2020-10-05
2020-10-12,137.8731231689453,138.1999969482422,146.35000610351562,132.6999969482422,143.60000610351562,376513,2020-10-12
2020-10-19,134.2317657470703,134.5500030517578,140.14999389648438,133.10000610351562,138.39999389648438,337678,2020-10-19
2020-10-26,135.07974243164062,135.39999389648438,141.39999389648438,132.10000610351562,136.0,627053,2020-10-26
2020-11-02,135.32916259765625,135.64999389648438,137.5,132.1999969482422,135.0,261490,2020-11-02
2020-11-09,155.18209838867188,155.5500030517578,165.0,135.10000610351562,137.0,5742199,2020-11-09
2020-11-16,184.761962890625,185.1999969482422,195.0,154.1999969482422,154.1999969482422,12165186,2020-11-16
2020-11-23,174.635986328125,175.0500030517578,202.8000030517578,166.10000610351562,188.3000030517578,6962647,2020-11-23
2020-11-30,175.18467712402344,175.60000610351562,179.0,172.5,175.0500030517578,1909212,2020-11-30
2020-12-07,194.5886688232422,195.0500030517578,206.0,175.60000610351562,175.60000610351562,6585709,2020-12-07
2020-12-14,189.4508514404297,189.89999389648438,200.0,187.39999389648438,195.8000030517578,1776828,2020-12-14
2020-12-21,185.51019287109375,185.9499969482422,191.9499969482422,165.0,189.5,1357489,2020-12-21
2020-12-28,208.10662841796875,208.60000610351562,216.0,186.0,187.9499969482422,5958121,2020-12-28
2021-01-04,203.61727905273438,204.10000610351562,219.5,203.0,212.0,2408545,2021-01-04
2021-01-11,201.97116088867188,202.4499969482422,212.0,190.85000610351562,205.35000610351562,1589767,2021-01-11
2021-01-18,192.24423217773438,192.6999969482422,204.0,190.1999969482422,201.10000610351562,1127795,2021-01-18
2021-01-25,193.99008178710938,194.4499969482422,198.85000610351562,185.0,193.0500030517578,921609,2021-01-25
2021-02-01,211.24917602539062,211.75,216.0,189.0,196.4499969482422,2329019,2021-02-01
2021-02-08,224.6174774169922,225.14999389648438,245.0,210.60000610351562,213.60000610351562,5543193,2021-02-08
2021-02-15,234.5938262939453,235.14999389648438,249.89999389648438,223.64999389648438,224.0,3025943,2021-02-15
2021-02-22,311.0126647949219,311.75,311.75,228.39999389648438,236.5,6401553,2021-02-22
2021-03-01,286.9197692871094,287.6000061035156,335.0,280.1499938964844,335.0,4363096,2021-03-01
2021-03-08,290.2618713378906,290.95001220703125,316.20001220703125,288.04998779296875,291.8999938964844,1715641,2021-03-08
2021-03-15,275.0978088378906,275.75,293.5,245.0,293.5,1873463,2021-03-15
2021-03-22,261.4302062988281,262.04998779296875,279.6499938964844,256.25,277.20001220703125,1796472,2021-03-22
2021-03-29,275.1476745605469,275.79998779296875,280.0,262.04998779296875,262.04998779296875,1504298,2021-03-29
2021-04-05,293.3545227050781,294.04998779296875,305.3999938964844,264.0,278.45001220703125,2492373,2021-04-05
2021-04-12,280.9339599609375,281.6000061035156,293.5,267.79998779296875,287.20001220703125,1244617,2021-04-12
2021-04-19,292.5564270019531,293.25,301.0,265.0,271.79998779296875,1672221,2021-04-19
2021-04-26,293.85333251953125,294.54998779296875,309.0,289.0,297.0,2378879,2021-04-26
2021-05-03,291.907958984375,292.6000061035156,305.8999938964844,287.0,287.0,2029880,2021-05-03
2021-05-10,286.869873046875,287.54998779296875,298.8999938964844,286.29998779296875,293.0,1304340,2021-05-10
2021-05-17,307.2715148925781,308.0,315.0,278.0,289.8999938964844,3616617,2021-05-17
2021-05-24,309.5162048339844,310.25,332.5,302.29998779296875,315.79998779296875,6529850,2021-05-24
2021-05-31,333.958251953125,334.75,343.8500061035156,308.79998779296875,311.8500061035156,4597907,2021-05-31
2021-06-07,331.3145446777344,332.1000061035156,349.8999938964844,318.0,333.1000061035156,3513926,2021-06-07
2021-06-14,331.8133544921875,332.6000061035156,348.0,302.0,332.8999938964844,6407296,2021-06-14
2021-06-21,307.52093505859375,308.25,338.8999938964844,301.6499938964844,321.1000061035156,3905138,2021-06-21
2021-06-28,317.04833984375,317.79998779296875,320.0,305.1499938964844,310.1000061035156,1571618,2021-06-28
2021-07-05,315.15283203125,315.8999938964844,323.79998779296875,303.0,318.6499938964844,1440056,2021-07-05
2021-07-12,314.6041564941406,315.3500061035156,331.0,311.6000061035156,313.5,1915776,2021-07-12
