Date,Adj Close_FILATEX.NS,Close_FILATEX.NS,High_FILATEX.NS,Low_FILATEX.NS,Open_FILATEX.NS,Volume_FILATEX.NS,Date
2020-07-13,12.362008094787598,12.524999618530273,13.199999809265137,12.175000190734863,12.625,1059210,2020-07-13
2020-07-20,12.60875415802002,12.774999618530273,13.149999618530273,12.074999809265137,12.625,1317628,2020-07-20
2020-07-27,13.052899360656738,13.225000381469727,13.425000190734863,11.75,12.774999618530273,2409686,2020-07-27
2020-08-03,12.58407974243164,12.75,13.149999618530273,12.0,12.899999618530273,3053232,2020-08-03
2020-08-10,12.58407974243164,12.75,13.125,12.449999809265137,12.824999809265137,1896580,2020-08-10
2020-08-17,13.64509105682373,13.824999809265137,14.375,12.524999618530273,12.75,2218802,2020-08-17
2020-08-24,14.039884567260742,14.225000381469727,15.425000190734863,13.600000381469727,14.774999618530273,10656120,2020-08-24
2020-08-31,13.916512489318848,14.100000381469727,14.475000381469727,13.5,14.475000381469727,1172198,2020-08-31
2020-09-07,14.13858413696289,14.324999809265137,15.5,13.800000190734863,14.0,1592910,2020-09-07
2020-09-14,13.842487335205078,14.024999618530273,15.0,14.0,14.5,1229206,2020-09-14
2020-09-21,12.60875415802002,12.774999618530273,14.0,12.25,14.0,1093132,2020-09-21
2020-09-28,12.411356925964355,12.574999809265137,13.074999809265137,10.975000381469727,13.074999809265137,805846,2020-09-28
2020-10-05,13.10224723815918,13.274999618530273,14.899999618530273,12.75,13.199999809265137,3008688,2020-10-05
2020-10-12,12.411356925964355,12.574999809265137,13.475000381469727,12.274999618530273,13.475000381469727,764730,2020-10-12
2020-10-19,13.003549575805664,13.175000190734863,13.5,12.25,12.824999809265137,1869352,2020-10-19
2020-10-26,12.855501174926758,13.024999618530273,13.899999618530273,12.824999809265137,13.5,2365684,2020-10-26
2020-11-02,13.571066856384277,13.75,13.975000381469727,13.074999809265137,13.425000190734863,2416688,2020-11-02
2020-11-09,13.620416641235352,13.800000190734863,14.350000381469727,13.274999618530273,13.399999618530273,1271566,2020-11-09
2020-11-16,14.089234352111816,14.274999618530273,15.024999618530273,12.25,13.699999809265137,5107938,2020-11-16
2020-11-23,16.112558364868164,16.325000762939453,17.575000762939453,14.449999809265137,14.5,8470190,2020-11-23
2020-11-30,16.285280227661133,16.5,17.899999618530273,16.100000381469727,16.325000762939453,12962134,2020-11-30
2020-12-07,19.418962478637695,19.674999237060547,19.975000381469727,16.524999618530273,16.625,19822470,2020-12-07
2020-12-14,22.133174896240234,22.424999237060547,22.75,19.75,19.950000762939453,14354884,2020-12-14
2020-12-21,22.404598236083984,22.700000762939453,23.200000762939453,19.350000381469727,23.0,7102494,2020-12-21
2020-12-28,23.564306259155273,23.875,24.5,22.25,23.0,11382118,2020-12-28
2021-01-04,32.86665725708008,33.29999923706055,36.0,23.799999237060547,24.174999237060547,56926558,2021-01-04
2021-01-11,31.43552589416504,31.850000381469727,35.75,31.200000762939453,33.75,19030906,2021-01-11
