Date,Adj Close_FINCABLES.NS,Close_FINCABLES.NS,High_FINCABLES.NS,Low_FINCABLES.NS,Open_FINCABLES.NS,Volume_FINCABLES.NS,Date
2020-07-13,263.6200866699219,278.3500061035156,283.1499938964844,270.20001220703125,280.0,215823,2020-07-13
2020-07-20,258.0323181152344,272.45001220703125,285.8999938964844,272.0,280.5,234633,2020-07-20
2020-07-27,255.47518920898438,269.75,279.8999938964844,262.25,273.0,297071,2020-07-27
2020-08-03,255.47518920898438,269.75,274.5,265.0,269.75,593922,2020-08-03
2020-08-10,264.99334716796875,279.79998779296875,291.0,266.0,271.75,1587061,2020-08-10
2020-08-17,285.3082275390625,301.25,305.0,281.75,289.5,2160086,2020-08-17
2020-08-24,285.8291320800781,301.79998779296875,311.3999938964844,295.0,303.0,1501212,2020-08-24
2020-08-31,272.191162109375,287.3999938964844,304.79998779296875,275.0,303.8999938964844,1230163,2020-08-31
2020-09-07,265.18280029296875,280.0,288.95001220703125,269.0,285.0,391547,2020-09-07
2020-09-14,278.86810302734375,294.45001220703125,298.95001220703125,284.04998779296875,288.0,1338582,2020-09-14
2020-09-21,267.77886962890625,277.3500061035156,299.8999938964844,255.5,298.0,561792,2020-09-21
2020-09-28,270.3374328613281,280.0,284.6000061035156,273.04998779296875,284.0,331397,2020-09-28
2020-10-05,272.84771728515625,282.6000061035156,292.8999938964844,275.54998779296875,280.0,738886,2020-10-05
2020-10-12,264.0134582519531,273.45001220703125,286.6499938964844,270.04998779296875,285.5,321721,2020-10-12
2020-10-19,268.6477966308594,278.25,288.20001220703125,270.0,279.0,415250,2020-10-19
2020-10-26,267.3926696777344,276.95001220703125,294.0,268.0,277.0,714141,2020-10-26
2020-11-02,269.46844482421875,279.1000061035156,283.54998779296875,271.0,277.5,241942,2020-11-02
2020-11-09,266.8616638183594,276.3999938964844,284.95001220703125,272.0,284.95001220703125,520519,2020-11-09
2020-11-16,273.8614501953125,283.6499938964844,293.8999938964844,272.8999938964844,272.8999938964844,945144,2020-11-16
2020-11-23,298.1435546875,308.79998779296875,317.70001220703125,285.0,289.70001220703125,3017789,2020-11-23
2020-11-30,329.8116455078125,341.6000061035156,346.3500061035156,308.79998779296875,308.79998779296875,3513494,2020-11-30
2020-12-07,346.5628967285156,358.95001220703125,365.0,339.0,345.0,2252288,2020-12-07
2020-12-14,345.2112121582031,357.54998779296875,367.3500061035156,348.0,360.0,1401457,2020-12-14
2020-12-21,337.7769470214844,349.8500061035156,357.8999938964844,308.0,357.8999938964844,1127253,2020-12-21
2020-12-28,336.4735107421875,348.5,355.0,336.3500061035156,353.5,1142442,2020-12-28
2021-01-04,406.5198669433594,421.04998779296875,426.3500061035156,346.25,351.0,4688864,2021-01-04
2021-01-11,367.9002380371094,381.04998779296875,425.20001220703125,377.0,423.8500061035156,1165202,2021-01-11
2021-01-18,371.9070739746094,385.20001220703125,397.70001220703125,366.8500061035156,381.1499938964844,1273421,2021-01-18
2021-01-25,353.4661865234375,366.1000061035156,388.8999938964844,361.5,386.0,588407,2021-01-25
2021-02-01,359.3556823730469,372.20001220703125,380.0,360.0,369.70001220703125,866363,2021-02-01
2021-02-08,379.2930603027344,392.8500061035156,409.79998779296875,365.0,373.0,3203314,2021-02-08
2021-02-15,363.1210632324219,376.1000061035156,410.0,372.25,410.0,1806617,2021-02-15
2021-02-22,376.8793029785156,390.3500061035156,416.0,376.0,381.0,2006427,2021-02-22
2021-03-01,387.6927795410156,401.54998779296875,424.95001220703125,390.3500061035156,391.1000061035156,1415556,2021-03-01
2021-03-08,388.8514099121094,402.75,415.3999938964844,397.6000061035156,405.0,723170,2021-03-08
2021-03-15,356.1695251464844,368.8999938964844,406.75,365.1000061035156,400.0,943731,2021-03-15
2021-03-22,371.5691223144531,384.8500061035156,389.8999938964844,364.8500061035156,370.0,684847,2021-03-22
2021-03-29,375.3345031738281,388.75,391.95001220703125,378.8500061035156,384.8500061035156,480617,2021-03-29
2021-04-05,367.4175109863281,380.54998779296875,389.95001220703125,372.5,387.0,390976,2021-04-05
