Date,Adj Close_FINEORG.NS,Close_FINEORG.NS,High_FINEORG.NS,Low_FINEORG.NS,Open_FINEORG.NS,Volume_FINEORG.NS,Date
2020-07-13,2112.33837890625,2125.5,2200.0,2025.550048828125,2147.0,111088,2020-07-13
2020-07-20,2022.29931640625,2034.9000244140625,2157.800048828125,2024.5999755859375,2113.0,67550,2020-07-20
2020-07-27,2089.480712890625,2102.5,2135.0,2000.0,2045.0,87672,2020-07-27
2020-08-03,2312.2919921875,2326.699951171875,2494.39990234375,2128.60009765625,2150.0,263865,2020-08-03
2020-08-10,2257.93115234375,2272.0,2365.0,2171.60009765625,2330.0,107611,2020-08-10
2020-08-17,2293.708251953125,2308.0,2348.0,2234.449951171875,2293.60009765625,117801,2020-08-17
2020-08-24,2682.932861328125,2699.64990234375,2946.0,2311.10009765625,2333.0,1311562,2020-08-24
2020-08-31,2604.4716796875,2620.699951171875,2725.0,2378.800048828125,2725.0,385628,2020-08-31
2020-09-07,2830.662353515625,2848.300048828125,2897.0,2547.10009765625,2649.0,478034,2020-09-07
2020-09-14,2848.680419921875,2863.35009765625,3260.0,2822.25,2900.0,645920,2020-09-14
2020-09-21,2645.8251953125,2659.449951171875,2973.199951171875,2450.050048828125,2886.300048828125,507913,2020-09-21
2020-09-28,2599.712646484375,2613.10009765625,2794.0,2603.0,2665.64990234375,167164,2020-09-28
2020-10-05,2603.3935546875,2616.800048828125,2669.0,2512.25,2664.0,181708,2020-10-05
2020-10-12,2553.401123046875,2566.550048828125,2648.0,2511.0,2638.949951171875,117352,2020-10-12
2020-10-19,2722.977783203125,2737.0,2895.0,2561.60009765625,2567.0,331938,2020-10-19
2020-10-26,2639.159423828125,2652.75,2759.949951171875,2574.699951171875,2750.550048828125,123079,2020-10-26
2020-11-02,2413.968994140625,2426.39990234375,2698.800048828125,2415.550048828125,2647.0,233355,2020-11-02
2020-11-09,2558.673828125,2571.85009765625,2608.0,2420.0,2451.0,160339,2020-11-09
2020-11-16,2585.48583984375,2598.800048828125,2653.0,2550.0,2579.199951171875,126448,2020-11-16
2020-11-23,2561.708251953125,2574.89990234375,2680.60009765625,2465.75,2600.0,280051,2020-11-23
2020-11-30,2575.28857421875,2588.550048828125,2667.0,2574.89990234375,2574.89990234375,103487,2020-11-30
2020-12-07,2477.343017578125,2490.10009765625,2613.800048828125,2485.550048828125,2566.550048828125,127327,2020-12-07
2020-12-14,2486.296875,2499.10009765625,2540.0,2470.5,2527.949951171875,151437,2020-12-14
2020-12-21,2455.604736328125,2468.25,2509.949951171875,2330.0,2507.0,201308,2020-12-21
2020-12-28,2512.412353515625,2525.35009765625,2543.800048828125,2465.0,2490.0,104679,2020-12-28
2021-01-04,2558.62451171875,2571.800048828125,2650.0,2510.0,2525.35009765625,286799,2021-01-04
2021-01-11,2476.696044921875,2489.449951171875,2660.75,2480.0,2594.89990234375,227694,2021-01-11
2021-01-18,2434.56298828125,2447.10009765625,2585.89990234375,2420.0,2505.0,101139,2021-01-18
2021-01-25,2349.75,2361.85009765625,2477.14990234375,2325.0,2477.14990234375,75470,2021-01-25
2021-02-01,2393.92236328125,2406.25,2446.0,2350.0,2380.0,51295,2021-02-01
2021-02-08,2406.90576171875,2419.300048828125,2559.0,2340.0,2418.300048828125,213988,2021-02-08
2021-02-15,2364.42431640625,2376.60009765625,2459.800048828125,2369.5,2419.300048828125,108611,2021-02-15
2021-02-22,2317.018310546875,2328.949951171875,2389.89990234375,2280.050048828125,2360.0,141011,2021-02-22
2021-03-01,2382.481201171875,2394.75,2467.75,2305.35009765625,2350.0,184240,2021-03-01
2021-03-08,2369.697021484375,2381.89990234375,2484.949951171875,2366.14990234375,2415.0,119825,2021-03-08
2021-03-15,2216.187744140625,2227.60009765625,2420.0,2127.14990234375,2399.89990234375,160434,2021-03-15
2021-03-22,2254.639404296875,2266.25,2322.199951171875,2188.0,2235.0,159486,2021-03-22
2021-03-29,2278.5166015625,2290.25,2316.0,2250.14990234375,2266.25,113586,2021-03-29
2021-04-05,2534.051025390625,2547.10009765625,2625.0,2269.25,2304.0,626750,2021-04-05
2021-04-12,2484.804443359375,2497.60009765625,2585.800048828125,2400.5,2502.0,179231,2021-04-12
2021-04-19,2531.61328125,2544.64990234375,2615.800048828125,2305.60009765625,2480.0,275055,2021-04-19
2021-04-26,2848.03369140625,2862.699951171875,3013.5,2486.050048828125,2572.0,1586591,2021-04-26
2021-05-03,3091.977783203125,3107.89990234375,3139.85009765625,2830.0,2880.14990234375,608595,2021-05-03
2021-05-10,3144.20849609375,3160.39990234375,3374.0,3100.0,3150.0,368671,2021-05-10
2021-05-17,3477.791015625,3495.699951171875,3568.800048828125,3191.050048828125,3208.0,439412,2021-05-17
2021-05-24,2987.714599609375,3003.10009765625,3532.39990234375,2990.050048828125,3477.0,352338,2021-05-24
2021-05-31,2985.47607421875,3000.85009765625,3094.35009765625,2895.0,3000.0,366923,2021-05-31
2021-06-07,2964.9814453125,2980.25,3034.0,2961.300048828125,3034.0,130055,2021-06-07
2021-06-14,2811.621826171875,2826.10009765625,2980.0,2790.0,2980.0,213775,2021-06-14
2021-06-21,2884.84423828125,2899.699951171875,2970.0,2789.64990234375,2800.0,239340,2021-06-21
2021-06-28,2932.200439453125,2947.300048828125,2957.0,2851.0,2909.0,188647,2021-06-28
2021-07-05,3012.138916015625,3027.64990234375,3133.0,2958.10009765625,2984.5,237068,2021-07-05
2021-07-12,2981.048828125,2996.39990234375,3090.0,2982.0,3059.0,79798,2021-07-12
2021-07-19,2954.833984375,2970.050048828125,3029.75,2881.050048828125,2998.0,90043,2021-07-19
2021-07-26,2984.829345703125,3000.199951171875,3039.0,2889.949951171875,2970.0,118183,2021-07-26
2021-08-02,2980.65087890625,2996.0,3099.0,2943.0,3034.949951171875,97243,2021-08-02
2021-08-09,2880.466796875,2895.300048828125,3068.0,2855.60009765625,3037.0,189489,2021-08-09
2021-08-16,2827.141357421875,2841.699951171875,2929.800048828125,2800.050048828125,2895.300048828125,111948,2021-08-16
2021-08-23,2831.071044921875,2845.64990234375,2898.5,2734.550048828125,2826.0,106805,2021-08-23
2021-08-30,3045.417724609375,3061.10009765625,3172.050048828125,2803.0,2850.0,439126,2021-08-30
2021-09-06,3157.788818359375,3174.050048828125,3190.0,2962.14990234375,3078.0,297758,2021-09-06
2021-09-13,3167.33935546875,3183.64990234375,3340.35009765625,3149.0,3179.699951171875,227385,2021-09-13
2021-09-20,3118.24267578125,3134.300048828125,3214.449951171875,3034.35009765625,3169.550048828125,126852,2021-09-20
2021-09-27,3249.615966796875,3266.35009765625,3293.300048828125,2984.35009765625,3134.85009765625,210734,2021-09-27
2021-10-04,3389.7939453125,3407.25,3593.949951171875,3256.949951171875,3266.35009765625,342891,2021-10-04
2021-10-11,3402.976318359375,3420.5,3519.0,3285.0,3424.0,118160,2021-10-11
2021-10-18,3249.466552734375,3266.199951171875,3547.0,3185.0,3413.550048828125,142466,2021-10-18
2021-10-25,3270.757080078125,3287.60009765625,3481.449951171875,3155.550048828125,3282.550048828125,116785,2021-10-25
2021-11-01,3416.854736328125,3434.449951171875,3480.0,3191.35009765625,3255.0,77055,2021-11-01
