Date,Adj Close_GKWLIMITED.NS,Close_GKWLIMITED.NS,High_GKWLIMITED.NS,Low_GKWLIMITED.NS,Open_GKWLIMITED.NS,Volume_GKWLIMITED.NS,Date
2020-07-13,464.5,464.5,488.5,451.25,488.45001220703125,362,2020-07-13
2020-07-20,467.95001220703125,467.95001220703125,483.45001220703125,451.25,483.45001220703125,649,2020-07-20
2020-07-27,457.6000061035156,457.6000061035156,472.79998779296875,449.0,455.04998779296875,480,2020-07-27
2020-08-03,482.6000061035156,482.6000061035156,486.20001220703125,400.0,457.3500061035156,1181,2020-08-03
2020-08-10,465.0,465.0,499.95001220703125,432.70001220703125,454.1000061035156,2202,2020-08-10
2020-08-17,480.0,480.0,489.95001220703125,452.6000061035156,465.0,1407,2020-08-17
2020-08-24,489.95001220703125,489.95001220703125,498.8999938964844,433.20001220703125,498.8999938964844,976,2020-08-24
2020-08-31,532.1500244140625,532.1500244140625,580.0,450.04998779296875,489.95001220703125,2828,2020-08-31
2020-09-07,509.04998779296875,509.04998779296875,539.9500122070312,486.0,532.0,787,2020-09-07
2020-09-14,511.3500061035156,511.3500061035156,539.7999877929688,500.04998779296875,501.04998779296875,715,2020-09-14
2020-09-21,495.0,495.0,526.0,456.8999938964844,512.1500244140625,813,2020-09-21
2020-09-28,510.0,510.0,517.9500122070312,472.0,503.0,632,2020-09-28
2020-10-05,462.25,462.25,525.0,451.25,492.0,1857,2020-10-05
2020-10-12,452.54998779296875,452.54998779296875,488.3500061035156,432.25,462.25,668,2020-10-12
2020-10-19,447.5,447.5,475.0,442.0,465.0,715,2020-10-19
2020-10-26,482.3500061035156,482.3500061035156,485.0,413.0,447.5,328,2020-10-26
2020-11-02,457.79998779296875,457.79998779296875,475.0,435.0,471.0,343,2020-11-02
2020-11-09,459.0,459.0,474.79998779296875,432.0,456.0,603,2020-11-09
2020-11-16,446.54998779296875,446.54998779296875,470.0,440.0,457.6000061035156,1329,2020-11-16
2020-11-23,450.5,450.5,475.0,423.29998779296875,475.0,1012,2020-11-23
2020-11-30,462.20001220703125,462.20001220703125,479.95001220703125,450.5,450.5,504,2020-11-30
2020-12-07,709.0,709.0,726.7000122070312,457.0,472.45001220703125,32275,2020-12-07
2020-12-14,600.0,600.0,730.0,580.0999755859375,730.0,11089,2020-12-14
2020-12-21,546.4500122070312,546.4500122070312,601.0,525.0,601.0,1527,2020-12-21
2020-12-28,564.0,564.0,589.7999877929688,525.0,540.0,1217,2020-12-28
2021-01-04,558.5,558.5,578.9500122070312,535.0,564.0,1199,2021-01-04
2021-01-11,559.9000244140625,559.9000244140625,584.8499755859375,550.0,578.0,977,2021-01-11
2021-01-18,575.9500122070312,575.9500122070312,581.0999755859375,545.0499877929688,576.0,785,2021-01-18
2021-01-25,500.70001220703125,500.70001220703125,593.0,485.0,593.0,1418,2021-01-25
2021-02-01,516.0,516.0,544.0,492.0,505.0,4171,2021-02-01
2021-02-08,571.8499755859375,571.8499755859375,571.8499755859375,500.5,517.6500244140625,8254,2021-02-08
2021-02-15,522.7999877929688,522.7999877929688,588.9500122070312,505.0,573.0,14114,2021-02-15
2021-02-22,502.79998779296875,502.79998779296875,554.0499877929688,471.0,554.0499877929688,10852,2021-02-22
2021-03-01,524.25,524.25,527.25,482.95001220703125,484.95001220703125,7047,2021-03-01
2021-03-08,511.1499938964844,511.1499938964844,543.5999755859375,505.0,505.0,7876,2021-03-08
2021-03-15,503.8999938964844,503.8999938964844,533.0,494.45001220703125,506.95001220703125,15209,2021-03-15
2021-03-22,508.20001220703125,508.20001220703125,522.4500122070312,493.3999938964844,507.95001220703125,8945,2021-03-22
2021-03-29,514.4500122070312,514.4500122070312,518.1500244140625,501.04998779296875,508.20001220703125,3408,2021-03-29
2021-04-05,521.9500122070312,521.9500122070312,536.8499755859375,503.70001220703125,510.6499938964844,5811,2021-04-05
