Date,Adj Close_GPTHEALTH.NS,Close_GPTHEALTH.NS,High_GPTHEALTH.NS,Low_GPTHEALTH.NS,Open_GPTHEALTH.NS,Volume_GPTHEALTH.NS,Date
2024-02-26,187.864013671875,191.6999969482422,219.89999389648438,185.0,215.0,24286332,2024-02-26
2024-03-04,168.36221313476562,171.8000030517578,191.8000030517578,167.5,191.6999969482422,5270734,2024-03-04
2024-03-11,145.03846740722656,148.0,174.25,139.60000610351562,171.8000030517578,7492061,2024-03-11
2024-03-18,170.17520141601562,173.64999389648438,184.3000030517578,145.60000610351562,146.0500030517578,9925587,2024-03-18
2024-03-25,172.77218627929688,176.3000030517578,179.5,169.0,173.64999389648438,1923951,2024-03-25
2024-04-01,178.79910278320312,182.4499969482422,189.5,173.0500030517578,180.0500030517578,2615891,2024-04-01
2024-04-08,172.22787475585938,174.75,194.5,170.6999969482422,184.5500030517578,2496022,2024-04-08
2024-04-15,167.4971466064453,169.9499969482422,172.9499969482422,164.10000610351562,168.0,1120267,2024-04-15
2024-04-22,173.5091094970703,176.0500030517578,181.0,165.0,171.0,1598951,2024-04-22
2024-04-29,169.76394653320312,172.25,178.0,168.10000610351562,178.0,1085051,2024-04-29
2024-05-06,156.3109588623047,158.60000610351562,173.39999389648438,158.14999389648438,172.9499969482422,1292703,2024-05-06
2024-05-13,160.2532501220703,162.60000610351562,163.4499969482422,152.5,158.6999969482422,1257997,2024-05-13
2024-05-20,151.6787872314453,153.89999389648438,169.0,153.14999389648438,158.5,987126,2024-05-20
2024-05-27,141.8723907470703,143.9499969482422,156.0,142.8000030517578,154.4499969482422,1096316,2024-05-27
2024-06-03,144.97694396972656,147.10000610351562,149.89999389648438,128.6999969482422,148.5,1374101,2024-06-03
2024-06-10,152.11244201660156,154.33999633789062,157.75999450683594,145.69000244140625,148.10000610351562,941581,2024-06-10
2024-06-17,151.43240356445312,153.64999389648438,156.9499969482422,149.60000610351562,154.33999633789062,677374,2024-06-17
2024-06-24,148.73196411132812,150.91000366210938,154.8000030517578,148.60000610351562,154.8000030517578,495084,2024-06-24
2024-07-01,170.453857421875,172.9499969482422,175.55999755859375,149.16000366210938,151.5,2002953,2024-07-01
2024-07-08,162.9635467529297,165.35000610351562,180.10000610351562,164.88999938964844,174.0,1413920,2024-07-08
2024-07-15,165.48660278320312,167.91000366210938,180.89999389648438,165.0,167.85000610351562,1282176,2024-07-15
2024-07-22,172.3238067626953,173.32000732421875,174.60000610351562,162.05999755859375,167.91000366210938,708974,2024-07-22
2024-07-29,190.36947631835938,191.47000122070312,207.97999572753906,170.57000732421875,174.99000549316406,4071132,2024-07-29
2024-08-05,183.4693603515625,184.52999877929688,188.9499969482422,178.30999755859375,185.14999389648438,1435423,2024-08-05
2024-08-12,169.54981994628906,170.52999877929688,192.38999938964844,169.61000061035156,182.5,931237,2024-08-12
2024-08-19,187.62533569335938,188.7100067138672,208.4499969482422,173.10000610351562,173.10000610351562,8443248,2024-08-19
