Date,Adj Close_GREENLAM.NS,Close_GREENLAM.NS,High_GREENLAM.NS,Low_GREENLAM.NS,Open_GREENLAM.NS,Volume_GREENLAM.NS,Date
2020-07-13,69.28777313232422,69.8949966430664,73.4000015258789,68.9000015258789,72.5,48800,2020-07-13
2020-07-20,70.27413177490234,70.88999938964844,74.3949966430664,69.0250015258789,69.94000244140625,805070,2020-07-20
2020-07-27,69.9420394897461,70.55500030517578,76.4800033569336,70.0999984741211,71.5,479140,2020-07-27
2020-08-03,72.09814453125,72.7300033569336,78.5999984741211,60.13999938964844,71.99500274658203,1656420,2020-08-03
2020-08-10,71.12665557861328,71.75,77.0999984741211,70.83499908447266,74.80000305175781,160750,2020-08-10
2020-08-17,72.54918670654297,73.18499755859375,75.9000015258789,71.54499816894531,73.4000015258789,128450,2020-08-17
2020-08-24,73.41163635253906,74.05500030517578,76.0,72.05500030517578,74.79499816894531,223910,2020-08-24
2020-08-31,71.3348388671875,71.95999908447266,75.66000366210938,70.0,74.05500030517578,165890,2020-08-31
2020-09-07,71.83049011230469,72.45999908447266,72.94999694824219,68.55999755859375,71.74500274658203,131350,2020-09-07
2020-09-14,73.07954406738281,73.72000122070312,74.69999694824219,71.1050033569336,72.45999908447266,149810,2020-09-14
2020-09-21,71.1117935180664,71.73500061035156,74.9000015258789,67.61499786376953,74.9000015258789,211170,2020-09-21
2020-09-28,73.53555297851562,74.18000030517578,74.5999984741211,70.49500274658203,72.01499938964844,735520,2020-09-28
2020-10-05,72.38066864013672,73.01499938964844,76.0,71.61499786376953,74.19499969482422,191350,2020-10-05
2020-10-12,75.05225372314453,75.70999908447266,77.00499725341797,72.25499725341797,74.08499908447266,185810,2020-10-12
2020-10-19,75.75608825683594,76.41999816894531,77.69999694824219,73.33999633789062,77.69999694824219,627580,2020-10-19
2020-10-26,76.67304992675781,77.34500122070312,78.5999984741211,73.50499725341797,76.42500305175781,255420,2020-10-26
