Date,Adj Close_HERITGFOOD.NS,Close_HERITGFOOD.NS,High_HERITGFOOD.NS,Low_HERITGFOOD.NS,Open_HERITGFOOD.NS,Volume_HERITGFOOD.NS,Date
2020-07-13,120.05488586425781,125.68780517578125,129.31365966796875,122.82261657714844,126.27098083496094,83049,2020-07-13
2020-07-20,149.7476806640625,156.77378845214844,165.5721893310547,126.75273895263672,126.77809143066406,2120678,2020-07-20
2020-07-27,150.76492309570312,157.83872985839844,157.83872985839844,136.15966796875,157.71194458007812,2015546,2020-07-27
2020-08-03,151.7821044921875,158.90365600585938,172.418212890625,149.953125,159.23329162597656,1161719,2020-08-03
2020-08-10,159.48385620117188,166.9667510986328,170.87152099609375,155.68350219726562,164.55796813964844,1105230,2020-08-10
2020-08-17,171.7630157470703,179.82205200195312,192.67735290527344,163.41696166992188,167.80348205566406,3851796,2020-08-17
2020-08-24,167.42373657226562,174.0409698486328,183.57467651367188,169.98406982421875,181.8758544921875,566611,2020-08-24
2020-08-31,162.71615600585938,169.1473388671875,186.6173553466797,167.8542022705078,181.54623413085938,927597,2020-08-31
2020-09-07,164.91140747070312,171.42933654785156,182.0533447265625,167.22030639648438,167.34707641601562,982063,2020-09-07
2020-09-14,168.25303649902344,174.90306091308594,184.081787109375,172.418212890625,178.50355529785156,515330,2020-09-14
2020-09-21,155.93528747558594,162.0984649658203,180.10096740722656,153.3507843017578,177.46397399902344,624098,2020-09-21
2020-09-28,158.47201538085938,164.73545837402344,166.2821502685547,158.72616577148438,165.82574462890625,235260,2020-09-28
2020-10-05,153.66690063476562,159.7404022216797,167.04281616210938,158.72616577148438,166.02859497070312,284428,2020-10-05
2020-10-12,146.934814453125,152.74224853515625,160.22215270996094,147.06259155273438,158.21905517578125,365105,2020-10-12
2020-10-19,147.69094848632812,153.5282745361328,157.53445434570312,150.56166076660156,154.8721160888672,228371,2020-10-19
2020-10-26,149.49591064453125,155.4045867919922,161.7434844970703,144.1720428466797,154.66928100585938,1305039,2020-10-26
2020-11-02,137.71478271484375,143.15782165527344,155.65814208984375,142.04217529296875,155.65814208984375,502412,2020-11-02
2020-11-09,135.20245361328125,140.5461883544922,144.75523376464844,131.34210205078125,143.51280212402344,1325462,2020-11-09
2020-11-16,134.66586303710938,139.98837280273438,145.54124450683594,136.71749877929688,138.44168090820312,537080,2020-11-16
2020-11-23,141.86135864257812,147.46827697753906,149.69956970214844,138.6698760986328,142.37179565429688,768629,2020-11-23
2020-11-30,137.88555908203125,143.33531188964844,149.953125,142.95497131347656,147.46827697753906,411849,2020-11-30
2020-12-07,155.30113220214844,161.43922424316406,170.2376251220703,141.2307891845703,146.04837036132812,4567506,2020-12-07
2020-12-14,148.81295776367188,154.6946258544922,168.36131286621094,154.1621551513672,167.34707641601562,1059293,2020-12-14
2020-12-21,141.59304809570312,147.18936157226562,155.15103149414062,136.9203338623047,154.71998596191406,722243,2020-12-21
2020-12-28,146.2518310546875,152.03228759765625,156.16525268554688,147.06259155273438,148.96426391601562,745811,2020-12-28
2021-01-04,149.32518005371094,155.2270965576172,163.29017639160156,147.9246826171875,152.76760864257812,2079272,2021-01-04
2021-01-11,148.88612365722656,154.77069091796875,165.521484375,153.9846649169922,157.25555419921875,1371872,2021-01-11
2021-01-18,137.59283447265625,143.0310516357422,155.5820770263672,141.7886199951172,155.5820770263672,763549,2021-01-18
2021-01-25,135.90980529785156,141.28150939941406,149.47137451171875,136.41322326660156,143.51280212402344,1110118,2021-01-25
2021-02-01,136.05616760253906,141.4336395263672,145.43983459472656,140.97723388671875,144.01991271972656,1018522,2021-02-01
2021-02-08,136.32447814941406,141.71255493164062,144.01991271972656,139.0755615234375,143.766357421875,1182850,2021-02-08
2021-02-15,152.22776794433594,158.24441528320312,164.53260803222656,138.54310607910156,143.10711669921875,4685822,2021-02-15
2021-02-22,153.4473419189453,159.51219177246094,175.05519104003906,158.3204803466797,158.979736328125,3484586,2021-02-22
2021-03-01,167.83837890625,174.47201538085938,185.83132934570312,160.01931762695312,160.34893798828125,3606127,2021-03-01
2021-03-08,165.98463439941406,172.54498291015625,176.19619750976562,164.71009826660156,175.79049682617188,1751944,2021-03-08
2021-03-15,150.91064453125,156.87521362304688,173.8888397216797,149.9277801513672,173.8888397216797,1293590,2021-03-15
2021-03-22,149.10565185546875,154.9989013671875,161.66741943359375,146.75831604003906,156.87521362304688,1564508,2021-03-22
2021-03-29,152.64244079589844,158.6754608154297,159.7404022216797,147.0372314453125,154.9989013671875,906728,2021-03-29
2021-04-05,161.1794891357422,167.5499267578125,171.65753173828125,152.1337127685547,157.25555419921875,1635175,2021-04-05
2021-04-12,153.66690063476562,159.7404022216797,169.8826446533203,153.78182983398438,169.8826446533203,920218,2021-04-12
2021-04-19,163.08201599121094,169.5276641845703,174.3959503173828,154.1621551513672,156.54559326171875,1489188,2021-04-19
2021-04-26,179.15606689453125,186.2370147705078,195.8468017578125,170.18692016601562,172.4689178466797,5395995,2021-04-26
2021-05-03,174.10702514648438,180.9884033203125,186.6173553466797,178.6556854248047,186.6173553466797,2197058,2021-05-03
2021-05-10,170.3994903564453,177.1343536376953,185.98345947265625,173.8634796142578,179.0106658935547,1766261,2021-05-10
2021-05-17,159.52084350585938,165.82574462890625,197.77381896972656,165.31863403320312,179.99954223632812,5631717,2021-05-17
2021-05-24,161.228271484375,167.60064697265625,175.96798706054688,165.5721893310547,167.65135192871094,2275927,2021-05-24
2021-05-31,195.42526245117188,203.1492156982422,206.90185546875,164.30441284179688,167.44850158691406,13115631,2021-05-31
2021-06-07,207.2063751220703,215.39598083496094,230.0261688232422,203.6816864013672,205.8876190185547,7970054,2021-06-07
2021-06-14,200.5474395751953,208.47389221191406,222.62232971191406,200.81649780273438,215.8270263671875,2199233,2021-06-14
2021-06-21,195.2545166015625,202.9717254638672,214.68601989746094,200.5629425048828,205.32980346679688,1393278,2021-06-21
2021-06-28,231.32965087890625,240.47268676757812,243.2871551513672,201.37432861328125,205.32980346679688,8018120,2021-06-28
2021-07-05,240.25694274902344,249.75283813476562,257.0552673339844,237.32859802246094,242.39971923828125,4264684,2021-07-05
2021-07-12,234.18345642089844,243.43930053710938,260.8078918457031,242.39971923828125,251.73057556152344,1156626,2021-07-12
2021-07-19,225.5732421875,234.48876953125,248.78933715820312,233.49989318847656,243.4139404296875,996068,2021-07-19
2021-07-26,241.69915771484375,248.56112670898438,274.3478088378906,233.62667846679688,235.19871520996094,6789678,2021-07-26
2021-08-02,248.52877807617188,255.5846405029297,267.24822998046875,245.72129821777344,252.03485107421875,3120694,2021-08-02
2021-08-09,240.04722595214844,246.8623046875,258.32305908203125,228.96124267578125,255.5846405029297,1374578,2021-08-09
2021-08-16,224.3169403076172,230.6854248046875,248.20614624023438,227.18634033203125,246.96372985839844,711707,2021-08-16
2021-08-23,223.6512451171875,230.00082397460938,241.36013793945312,215.80166625976562,231.2432403564453,1174960,2021-08-23
2021-08-30,221.80206298828125,228.09915161132812,242.90682983398438,225.6396484375,231.34466552734375,710551,2021-08-30
2021-09-06,219.2378692626953,225.462158203125,230.7107696533203,216.79054260253906,230.22901916503906,1550270,2021-09-06
2021-09-13,236.59544372558594,243.31251525878906,245.4423828125,222.39413452148438,224.39723205566406,2068544,2021-09-13
2021-09-20,228.92755126953125,235.4269256591797,249.32179260253906,228.8598175048828,236.31436157226562,1076224,2021-09-20
2021-09-27,227.96597290039062,234.43804931640625,240.8783721923828,229.59512329101562,235.4269256591797,1328566,2021-09-27
2021-10-04,227.00440979003906,233.44918823242188,243.4139404296875,232.3081817626953,236.26365661621094,958829,2021-10-04
2021-10-11,233.4641876220703,240.0923614501953,242.93218994140625,232.3081817626953,235.7819061279297,816817,2021-10-11
2021-10-18,248.84930419921875,255.9142608642578,260.65576171875,226.19747924804688,241.9940185546875,4424104,2021-10-18
2021-10-25,257.97186279296875,265.29583740234375,286.51849365234375,244.3013916015625,260.65576171875,5686585,2021-10-25
2021-11-01,262.163330078125,269.6062927246094,276.2748107910156,261.66998291015625,267.197509765625,1385571,2021-11-01
2021-11-08,248.48341369628906,254.3168487548828,270.7219543457031,251.0713348388672,270.3162536621094,1056749,2021-11-08
2021-11-15,239.98593139648438,245.619873046875,257.68914794921875,239.965576171875,254.06329345703125,574709,2021-11-15
2021-11-22,215.9799041748047,221.05027770996094,247.64833068847656,211.36444091796875,247.64833068847656,1814126,2021-11-22
2021-11-29,211.32240295410156,216.28343200683594,221.4559783935547,200.36009216308594,218.05831909179688,2612459,2021-11-29
