Date,Adj Close_HINDZINC.NS,Close_HINDZINC.NS,High_HINDZINC.NS,Low_HINDZINC.NS,Open_HINDZINC.NS,Volume_HINDZINC.NS,Date
2020-07-13,113.79080200195312,187.9499969482422,194.35000610351562,183.14999389648438,190.5,1588884,2020-07-13
2020-07-20,121.20734405517578,200.1999969482422,210.64999389648438,182.25,188.8000030517578,19929746,2020-07-20
2020-07-27,127.17085266113281,210.0500030517578,215.89999389648438,201.1999969482422,205.0,10433849,2020-07-27
2020-08-03,153.1438446044922,252.9499969482422,257.5,203.10000610351562,211.0,20305483,2020-08-03
2020-08-10,139.76380920410156,230.85000610351562,258.95001220703125,223.35000610351562,254.89999389648438,20185031,2020-08-10
2020-08-17,137.1604461669922,226.5500030517578,235.9499969482422,222.85000610351562,233.0,6314981,2020-08-17
2020-08-24,138.46212768554688,228.6999969482422,239.4499969482422,222.39999389648438,229.0500030517578,6274806,2020-08-24
2020-08-31,134.19384765625,221.64999389648438,235.0,220.5,230.75,4482802,2020-08-31
2020-09-07,143.91102600097656,237.6999969482422,239.0,202.8000030517578,221.9499969482422,6117640,2020-09-07
2020-09-14,129.22930908203125,213.4499969482422,238.4499969482422,211.8000030517578,237.6999969482422,4918503,2020-09-14
2020-09-21,126.62593078613281,209.14999389648438,222.89999389648438,200.10000610351562,214.1999969482422,4442309,2020-09-21
2020-09-28,126.08104705810547,208.25,214.89999389648438,207.64999389648438,210.0,1904956,2020-09-28
2020-10-05,126.29297637939453,208.60000610351562,225.0,203.0,208.5,6314512,2020-10-05
2020-10-12,128.20008850097656,211.75,218.39999389648438,197.3000030517578,200.0,7246452,2020-10-12
2020-10-19,145.0915985107422,239.64999389648438,243.0,212.64999389648438,215.5,18313920,2020-10-19
2020-10-26,123.08415985107422,203.3000030517578,242.5,202.3000030517578,242.0,9256065,2020-10-26
2020-11-02,149.46585083007812,224.64999389648438,225.60000610351562,200.0500030517578,203.60000610351562,6237270,2020-11-02
2020-11-09,152.16041564941406,228.6999969482422,230.0,215.1999969482422,225.8000030517578,6628712,2020-11-09
2020-11-16,147.40335083007812,221.5500030517578,230.0,220.39999389648438,227.9499969482422,3025279,2020-11-16
2020-11-23,152.8257598876953,229.6999969482422,235.60000610351562,218.0,223.0,5303278,2020-11-23
2020-11-30,160.47702026367188,241.1999969482422,245.0,227.0,229.6999969482422,5988353,2020-11-30
2020-12-07,160.47702026367188,241.1999969482422,249.39999389648438,232.5500030517578,242.0,6847351,2020-12-07
2020-12-14,160.8429718017578,241.75,247.1999969482422,239.5,243.4499969482422,3533495,2020-12-14
2020-12-21,160.77642822265625,241.64999389648438,247.64999389648438,224.8000030517578,242.39999389648438,4341985,2020-12-21
2020-12-28,159.0465850830078,239.0500030517578,246.0,237.1999969482422,244.5,2389143,2020-12-28
2021-01-04,202.2595977783203,304.0,328.3999938964844,240.5,241.0,27486341,2021-01-04
2021-01-11,182.43284606933594,274.20001220703125,303.0,270.0,300.70001220703125,7048490,2021-01-11
2021-01-18,183.39755249023438,275.6499938964844,315.0,267.29998779296875,277.3999938964844,16983039,2021-01-18
2021-01-25,182.79879760742188,274.75,280.0,258.70001220703125,277.3999938964844,6439563,2021-01-25
2021-02-01,195.10733032226562,293.25,298.0,281.6000061035156,290.0,10509617,2021-02-01
2021-02-08,199.66481018066406,300.1000061035156,306.3999938964844,290.04998779296875,293.0,5753767,2021-02-08
2021-02-15,199.9309539794922,300.5,312.0,295.5,300.1000061035156,6688035,2021-02-15
2021-02-22,197.9349822998047,297.5,311.8999938964844,291.0,302.45001220703125,7049448,2021-02-22
2021-03-01,207.21630859375,311.45001220703125,334.3999938964844,298.25,300.1000061035156,11159519,2021-03-01
2021-03-08,200.89569091796875,301.95001220703125,317.3500061035156,293.70001220703125,314.79998779296875,3487535,2021-03-08
2021-03-15,188.52059936523438,283.3500061035156,308.8500061035156,272.29998779296875,304.25,3245814,2021-03-15
2021-03-22,184.9943389892578,278.04998779296875,289.70001220703125,261.0,284.5,7454141,2021-03-22
2021-03-29,186.45806884765625,280.25,283.0,257.0,278.04998779296875,6034503,2021-03-29
2021-04-05,205.48643493652344,308.8500061035156,323.5,277.5,281.0,16729901,2021-04-05
2021-04-12,194.34219360351562,292.1000061035156,303.0,288.0,303.0,4507847,2021-04-12
2021-04-19,199.29884338378906,299.54998779296875,309.25,278.6499938964844,286.0,8569770,2021-04-19
2021-04-26,202.99148559570312,305.1000061035156,322.3999938964844,300.3500061035156,304.70001220703125,21942551,2021-04-26
2021-05-03,206.15179443359375,309.8500061035156,316.29998779296875,287.0,306.1499938964844,19238173,2021-05-03
2021-05-10,207.44915771484375,311.79998779296875,332.0,307.0,315.0,18801131,2021-05-10
2021-05-17,229.23863220214844,344.54998779296875,362.1000061035156,311.79998779296875,311.79998779296875,45210600,2021-05-17
2021-05-24,217.3292694091797,326.6499938964844,347.8999938964844,324.70001220703125,347.70001220703125,12966501,2021-05-24
2021-05-31,222.01983642578125,333.70001220703125,334.8999938964844,322.04998779296875,326.8999938964844,9697931,2021-05-31
2021-06-07,228.90594482421875,344.04998779296875,351.8999938964844,333.04998779296875,337.6000061035156,11359265,2021-06-07
2021-06-14,218.8262481689453,328.8999938964844,344.04998779296875,323.5,344.04998779296875,8970022,2021-06-14
2021-06-21,225.91201782226562,339.54998779296875,341.5,322.5,325.0,5575794,2021-06-21
2021-06-28,225.8787078857422,339.5,344.8999938964844,335.25,341.5,4059845,2021-06-28
2021-07-05,220.8555450439453,331.95001220703125,339.8999938964844,330.25,339.3999938964844,3057587,2021-07-05
2021-07-12,228.93923950195312,344.1000061035156,350.8999938964844,332.1000061035156,334.20001220703125,6306679,2021-07-12
2021-07-19,218.59339904785156,328.54998779296875,345.0,318.79998779296875,345.0,6927245,2021-07-19
2021-07-26,213.23753356933594,320.5,330.3999938964844,313.70001220703125,330.0,6879085,2021-07-26
2021-08-02,211.84031677246094,318.3999938964844,327.75,316.29998779296875,324.5,3076717,2021-08-02
2021-08-09,213.50364685058594,320.8999938964844,323.0,306.54998779296875,317.54998779296875,4500320,2021-08-09
2021-08-16,204.98744201660156,308.1000061035156,332.8999938964844,306.0,323.20001220703125,7913048,2021-08-16
2021-08-23,211.707275390625,318.20001220703125,320.79998779296875,294.1000061035156,310.29998779296875,5775771,2021-08-23
2021-08-30,216.2647247314453,325.04998779296875,326.8999938964844,317.70001220703125,321.6499938964844,4153054,2021-08-30
2021-09-06,219.19223022460938,329.45001220703125,332.0,321.6499938964844,327.0,2406264,2021-09-06
