Date,Adj Close_HONASA.NS,Close_HONASA.NS,High_HONASA.NS,Low_HONASA.NS,Open_HONASA.NS,Volume_HONASA.NS,Date
2023-11-06,317.8999938964844,317.8999938964844,340.45001220703125,256.29998779296875,330.0,49896591,2023-11-06
2023-11-13,332.20001220703125,332.20001220703125,342.20001220703125,309.04998779296875,317.0,8571720,2023-11-13
2023-11-20,475.1000061035156,475.1000061035156,486.1499938964844,331.20001220703125,334.95001220703125,48185946,2023-11-20
2023-11-27,400.20001220703125,400.20001220703125,475.1000061035156,395.29998779296875,475.1000061035156,8491665,2023-11-27
2023-12-04,399.95001220703125,399.95001220703125,412.0,358.0,405.3999938964844,15950353,2023-12-04
2023-12-11,406.54998779296875,406.54998779296875,424.5,382.20001220703125,402.0,5861022,2023-12-11
2023-12-18,425.29998779296875,425.29998779296875,443.75,390.04998779296875,408.1499938964844,6402862,2023-12-18
2023-12-25,440.79998779296875,440.79998779296875,472.95001220703125,425.29998779296875,425.29998779296875,5732240,2023-12-25
2024-01-01,445.6499938964844,445.6499938964844,467.79998779296875,417.0,444.6000061035156,3441687,2024-01-01
2024-01-08,474.1499938964844,474.1499938964844,502.95001220703125,436.45001220703125,449.3500061035156,11077779,2024-01-08
2024-01-15,487.8999938964844,487.8999938964844,495.0,448.6000061035156,474.1499938964844,2835288,2024-01-15
2024-01-22,485.8999938964844,485.8999938964844,511.0,466.5,487.8999938964844,2556214,2024-01-22
2024-01-29,436.6499938964844,436.6499938964844,498.0,428.6000061035156,491.0,4272956,2024-01-29
2024-02-05,432.95001220703125,432.95001220703125,448.3999938964844,412.5,441.0,2145594,2024-02-05
2024-02-12,445.1499938964844,445.1499938964844,474.8999938964844,415.8999938964844,453.29998779296875,6961404,2024-02-12
2024-02-19,444.8500061035156,444.8500061035156,458.79998779296875,426.0,442.20001220703125,1835673,2024-02-19
2024-02-26,417.45001220703125,417.45001220703125,447.0,405.70001220703125,443.79998779296875,5000127,2024-02-26
2024-03-04,391.70001220703125,391.70001220703125,421.6000061035156,388.29998779296875,420.04998779296875,2895923,2024-03-04
2024-03-11,379.29998779296875,379.29998779296875,399.0,365.0,394.0,2613057,2024-03-11
2024-03-18,369.6499938964844,369.6499938964844,387.0,357.3500061035156,382.6000061035156,3879303,2024-03-18
2024-03-25,402.3999938964844,402.3999938964844,406.6499938964844,366.0,369.6499938964844,1218237,2024-03-25
2024-04-01,405.0,405.0,419.75,401.20001220703125,411.6499938964844,1472170,2024-04-01
2024-04-08,397.6000061035156,397.6000061035156,409.8999938964844,389.20001220703125,405.0,755071,2024-04-08
2024-04-15,387.29998779296875,387.29998779296875,398.54998779296875,374.75,391.0,2430315,2024-04-15
2024-04-22,428.70001220703125,428.70001220703125,446.3999938964844,390.0,400.0,5840901,2024-04-22
2024-04-29,420.1499938964844,420.1499938964844,443.20001220703125,412.04998779296875,438.0,1136698,2024-04-29
2024-05-06,429.0,429.0,433.5,413.0,421.1499938964844,1515059,2024-05-06
2024-05-13,406.54998779296875,406.54998779296875,429.5,398.04998779296875,429.1499938964844,4084413,2024-05-13
2024-05-20,430.6000061035156,430.6000061035156,448.0,400.20001220703125,400.20001220703125,5038826,2024-05-20
2024-05-27,441.6000061035156,441.6000061035156,448.0,414.29998779296875,430.6000061035156,3147506,2024-05-27
2024-06-03,438.5,438.5,464.5,380.0,455.0,4029471,2024-06-03
2024-06-10,429.70001220703125,429.70001220703125,460.0,424.29998779296875,440.6000061035156,8043717,2024-06-10
2024-06-17,449.8999938964844,449.8999938964844,455.0,419.29998779296875,429.70001220703125,9786163,2024-06-17
2024-06-24,432.8500061035156,432.8500061035156,458.0,415.0,449.5,2502630,2024-06-24
2024-07-01,482.3500061035156,482.3500061035156,503.0,432.0,432.79998779296875,10675654,2024-07-01
2024-07-08,475.45001220703125,475.45001220703125,488.20001220703125,452.0,484.0,3083156,2024-07-08
2024-07-15,462.3500061035156,462.3500061035156,501.75,460.0,479.79998779296875,1935429,2024-07-15
2024-07-22,465.6499938964844,465.6499938964844,470.0,450.0,462.6499938964844,871832,2024-07-22
2024-07-29,455.1499938964844,455.1499938964844,481.1499938964844,447.29998779296875,475.0,983637,2024-07-29
2024-08-05,473.6499938964844,473.6499938964844,508.0,440.04998779296875,442.0,7510630,2024-08-05
2024-08-12,464.45001220703125,464.45001220703125,493.0,444.6000061035156,493.0,5033441,2024-08-12
2024-08-19,468.6000061035156,468.6000061035156,477.79998779296875,461.3500061035156,468.0,1598321,2024-08-19
2024-08-26,505.3999938964844,505.3999938964844,537.9000244140625,474.54998779296875,474.6000061035156,34693498,2024-08-26
2024-09-02,531.0,531.0,538.75,495.5,508.6499938964844,10770678,2024-09-02
2024-09-09,493.8500061035156,493.8500061035156,547.0,490.0,519.5499877929688,57852772,2024-09-09
2024-09-16,477.6000061035156,477.6000061035156,496.95001220703125,452.3999938964844,496.95001220703125,17144167,2024-09-16
2024-09-23,456.95001220703125,456.95001220703125,493.45001220703125,455.0,481.8500061035156,4899918,2024-09-23
2024-09-30,427.20001220703125,427.20001220703125,464.70001220703125,425.0,459.0,7041850,2024-09-30
2024-10-07,429.54998779296875,429.54998779296875,448.29998779296875,417.0,431.75,5656292,2024-10-07
2024-10-14,422.8999938964844,422.8999938964844,432.0,408.04998779296875,431.75,7373881,2024-10-14
2024-10-21,399.8999938964844,399.8999938964844,426.8500061035156,393.45001220703125,422.8500061035156,3099493,2024-10-21
2024-10-28,395.0,395.0,411.25,392.8999938964844,394.3500061035156,2470815,2024-10-28
2024-11-04,381.3999938964844,381.3999938964844,403.0,367.0,395.0,2017537,2024-11-04
2024-11-11,371.54998779296875,371.54998779296875,387.70001220703125,355.54998779296875,382.3500061035156,1938738,2024-11-11
2024-11-18,224.75,224.75,309.0,222.6999969482422,306.0,23821790,2024-11-18
2024-11-25,263.95001220703125,263.95001220703125,277.0,222.5,230.10000610351562,12313127,2024-11-25
2024-12-02,265.79998779296875,265.79998779296875,287.8500061035156,254.3000030517578,264.0,14388659,2024-12-02
2024-12-09,248.3000030517578,248.3000030517578,270.0,247.10000610351562,268.3500061035156,7549637,2024-12-09
2024-12-16,259.70001220703125,259.70001220703125,264.3999938964844,241.85000610351562,250.6999969482422,10056425,2024-12-16
2024-12-23,247.14999389648438,247.14999389648438,264.6000061035156,245.64999389648438,262.5,2164822,2024-12-23
2024-12-30,252.5,252.5,257.3999938964844,243.64999389648438,249.0,2226721,2024-12-30
2025-01-06,241.75,241.75,255.9499969482422,240.39999389648438,252.0500030517578,5602726,2025-01-06
2025-01-13,246.89999389648438,246.89999389648438,249.60000610351562,238.35000610351562,242.60000610351562,3633379,2025-01-13
2025-01-20,243.85000610351562,243.85000610351562,253.0,242.60000610351562,250.0,3748517,2025-01-20
2025-01-27,229.1699981689453,229.1699981689453,241.0,205.39999389648438,241.0,5906884,2025-01-27
2025-02-03,214.0,214.0,233.3800048828125,208.66000366210938,226.0,2742861,2025-02-03
2025-02-10,222.27000427246094,222.27000427246094,235.0,197.50999450683594,212.82000732421875,21380510,2025-02-10
2025-02-17,223.7899932861328,223.7899932861328,232.00999450683594,215.75,220.0,2447415,2025-02-17
2025-02-24,215.42999267578125,215.42999267578125,226.3000030517578,213.02000427246094,222.02000427246094,1208922,2025-02-24
2025-03-03,223.8699951171875,223.8699951171875,226.88999938964844,203.5,216.8000030517578,2611751,2025-03-03
2025-03-10,209.58999633789062,209.58999633789062,224.08999633789062,208.0,223.0,3793343,2025-03-10
2025-03-17,220.75999450683594,220.75999450683594,225.89999389648438,205.00999450683594,209.3800048828125,1884942,2025-03-17
2025-03-24,231.86000061035156,231.86000061035156,245.0,222.0,222.0,5812965,2025-03-24
2025-03-31,234.19000244140625,234.19000244140625,241.80999755859375,228.39999389648438,231.86000061035156,2225811,2025-03-31
2025-04-07,231.94000244140625,231.94000244140625,232.89999389648438,212.50999450683594,223.0,1608735,2025-04-07
2025-04-14,233.69000244140625,233.69000244140625,239.5399932861328,228.86000061035156,231.94000244140625,3242642,2025-04-14
2025-04-21,231.83999633789062,231.83999633789062,242.85000610351562,227.07000732421875,233.0,5144991,2025-04-21
2025-04-28,250.92999267578125,250.92999267578125,256.0,230.10000610351562,230.25,4448947,2025-04-28
2025-05-05,246.66000366210938,246.66000366210938,257.3900146484375,237.0,256.0,1545610,2025-05-05
2025-05-12,261.70001220703125,261.70001220703125,266.6700134277344,246.0,253.0,2167437,2025-05-12
2025-05-19,329.25,329.25,330.19000244140625,259.1000061035156,263.8999938964844,26411476,2025-05-19
2025-05-26,316.45001220703125,316.45001220703125,327.4800109863281,306.0,325.0,9457180,2025-05-26
2025-06-02,320.0,320.0,329.5,308.29998779296875,311.0,2880618,2025-06-02
2025-06-09,307.04998779296875,307.04998779296875,334.20001220703125,303.75,324.0,2708072,2025-06-09
2025-06-16,300.6499938964844,300.6499938964844,311.70001220703125,295.6499938964844,305.6000061035156,3709727,2025-06-16
2025-06-23,310.3999938964844,310.3999938964844,322.20001220703125,296.0,296.0,4321253,2025-06-23
2025-06-30,296.0,296.0,313.79998779296875,292.0,312.3999938964844,2430859,2025-06-30
2025-07-07,294.25,294.25,308.5,292.5,295.0,2449450,2025-07-07
2025-07-14,299.6000061035156,299.6000061035156,301.0,286.6000061035156,296.79998779296875,992713,2025-07-14
