Date,Adj Close_HOVS.NS,Close_HOVS.NS,High_HOVS.NS,Low_HOVS.NS,Open_HOVS.NS,Volume_HOVS.NS,Date
2020-07-13,40.20000076293945,40.20000076293945,43.70000076293945,40.0,42.150001525878906,14239,2020-07-13
2020-07-20,41.20000076293945,41.20000076293945,43.95000076293945,39.54999923706055,39.70000076293945,83170,2020-07-20
2020-07-27,34.04999923706055,34.04999923706055,42.0,33.75,40.95000076293945,50369,2020-07-27
2020-08-03,37.849998474121094,37.849998474121094,38.650001525878906,33.25,35.0,24037,2020-08-03
2020-08-10,37.349998474121094,37.349998474121094,39.95000076293945,36.20000076293945,37.95000076293945,27840,2020-08-10
2020-08-17,39.75,39.75,40.150001525878906,36.75,37.900001525878906,34665,2020-08-17
2020-08-24,43.79999923706055,43.79999923706055,47.5,40.04999923706055,41.650001525878906,108201,2020-08-24
2020-08-31,40.75,40.75,45.95000076293945,39.29999923706055,45.900001525878906,74261,2020-08-31
2020-09-07,41.79999923706055,41.79999923706055,42.70000076293945,40.0,42.70000076293945,56494,2020-09-07
2020-09-14,41.150001525878906,41.150001525878906,44.45000076293945,40.5,43.75,47490,2020-09-14
2020-09-21,37.25,37.25,42.25,35.150001525878906,40.75,31896,2020-09-21
2020-09-28,32.400001525878906,32.400001525878906,38.849998474121094,32.25,38.400001525878906,50696,2020-09-28
2020-10-05,33.04999923706055,33.04999923706055,34.900001525878906,31.549999237060547,33.25,41657,2020-10-05
2020-10-12,32.54999923706055,32.54999923706055,33.599998474121094,31.25,33.0,15094,2020-10-12
2020-10-19,30.75,30.75,32.95000076293945,29.600000381469727,32.54999923706055,35873,2020-10-19
2020-10-26,29.700000762939453,29.700000762939453,32.54999923706055,29.399999618530273,30.75,43187,2020-10-26
2020-11-02,28.850000381469727,28.850000381469727,31.200000762939453,28.100000381469727,29.75,29280,2020-11-02
2020-11-09,29.649999618530273,29.649999618530273,29.950000762939453,28.399999618530273,28.450000762939453,23952,2020-11-09
2020-11-16,29.549999237060547,29.549999237060547,30.200000762939453,28.450000762939453,28.950000762939453,47591,2020-11-16
2020-11-23,30.700000762939453,30.700000762939453,31.75,29.600000381469727,30.549999237060547,47174,2020-11-23
2020-11-30,32.900001525878906,32.900001525878906,35.29999923706055,30.350000381469727,30.700000762939453,86350,2020-11-30
2020-12-07,40.79999923706055,40.79999923706055,45.0,35.0,36.150001525878906,295503,2020-12-07
2020-12-14,38.400001525878906,38.400001525878906,42.150001525878906,35.849998474121094,41.5,72131,2020-12-14
2020-12-21,36.400001525878906,36.400001525878906,38.400001525878906,34.0,38.349998474121094,26085,2020-12-21
2020-12-28,41.5,41.5,41.5,34.75,35.0,39334,2020-12-28
2021-01-04,46.0,46.0,48.0,41.54999923706055,43.54999923706055,92211,2021-01-04
2021-01-11,42.79999923706055,42.79999923706055,47.95000076293945,42.04999923706055,47.95000076293945,35145,2021-01-11
2021-01-18,40.599998474121094,40.599998474121094,43.75,40.400001525878906,40.75,14721,2021-01-18
2021-01-25,37.5,37.5,41.04999923706055,36.599998474121094,40.04999923706055,13399,2021-01-25
2021-02-01,41.099998474121094,41.099998474121094,42.5,36.29999923706055,37.849998474121094,23450,2021-02-01
2021-02-08,41.29999923706055,41.29999923706055,43.5,38.45000076293945,41.900001525878906,40041,2021-02-08
2021-02-15,39.04999923706055,39.04999923706055,43.45000076293945,38.650001525878906,42.900001525878906,26330,2021-02-15
2021-02-22,38.95000076293945,38.95000076293945,40.650001525878906,37.25,39.95000076293945,24275,2021-02-22
2021-03-01,40.150001525878906,40.150001525878906,43.45000076293945,38.650001525878906,38.95000076293945,37024,2021-03-01
2021-03-08,47.0,47.0,47.0,38.04999923706055,38.04999923706055,103070,2021-03-08
2021-03-15,52.349998474121094,52.349998474121094,52.349998474121094,42.75,48.900001525878906,312331,2021-03-15
2021-03-22,65.0,65.0,65.0,54.400001525878906,54.5,282159,2021-03-22
2021-03-29,56.849998474121094,56.849998474121094,67.9000015258789,56.650001525878906,65.0,69820,2021-03-29
2021-04-05,52.79999923706055,52.79999923706055,58.0,49.79999923706055,58.0,47104,2021-04-05
2021-04-12,44.70000076293945,44.70000076293945,52.0,44.650001525878906,50.650001525878906,35370,2021-04-12
2021-04-19,45.04999923706055,45.04999923706055,45.04999923706055,40.04999923706055,42.54999923706055,28211,2021-04-19
2021-04-26,44.95000076293945,44.95000076293945,49.5,44.5,47.29999923706055,72295,2021-04-26
2021-05-03,47.95000076293945,47.95000076293945,50.0,43.20000076293945,44.599998474121094,54167,2021-05-03
2021-05-10,45.650001525878906,45.650001525878906,50.0,44.900001525878906,49.0,42493,2021-05-10
2021-05-17,56.0,56.0,56.70000076293945,46.0,46.599998474121094,119345,2021-05-17
2021-05-24,53.0,53.0,60.5,52.599998474121094,55.95000076293945,131752,2021-05-24
2021-05-31,52.900001525878906,52.900001525878906,56.0,50.650001525878906,52.54999923706055,57688,2021-05-31
2021-06-07,55.349998474121094,55.349998474121094,60.0,51.0,54.900001525878906,172364,2021-06-07
2021-06-14,50.599998474121094,50.599998474121094,58.0,50.599998474121094,57.599998474121094,101439,2021-06-14
2021-06-21,51.900001525878906,51.900001525878906,53.150001525878906,48.79999923706055,50.5,78299,2021-06-21
2021-06-28,54.0,54.0,59.5,50.150001525878906,53.0,181555,2021-06-28
2021-07-05,55.5,55.5,56.04999923706055,51.25,56.0,134464,2021-07-05
2021-07-12,67.9000015258789,67.9000015258789,67.9000015258789,56.70000076293945,57.5,186187,2021-07-12
2021-07-19,82.4000015258789,82.4000015258789,82.4000015258789,68.0,68.0,215010,2021-07-19
2021-07-26,75.4000015258789,75.4000015258789,90.69999694824219,75.4000015258789,86.5,651474,2021-07-26
2021-08-02,71.8499984741211,71.8499984741211,83.0999984741211,69.0,72.55000305175781,96344,2021-08-02
2021-08-09,69.94999694824219,69.94999694824219,79.1500015258789,68.0999984741211,71.8499984741211,48814,2021-08-09
2021-08-16,59.0,59.0,69.94999694824219,58.45000076293945,69.94999694824219,36107,2021-08-16
2021-08-23,64.44999694824219,64.44999694824219,68.94999694824219,56.099998474121094,59.79999923706055,37698,2021-08-23
