Date,Adj Close_IFGLEXPOR.NS,Close_IFGLEXPOR.NS,High_IFGLEXPOR.NS,Low_IFGLEXPOR.NS,Open_IFGLEXPOR.NS,Volume_IFGLEXPOR.NS,Date
2020-07-13,122.92596435546875,132.89999389648438,138.60000610351562,129.5500030517578,133.0500030517578,6463,2020-07-13
2020-07-20,111.41033172607422,120.44999694824219,136.3000030517578,120.0,125.44999694824219,22391,2020-07-20
2020-07-27,99.66346740722656,107.75,125.80000305175781,105.05000305175781,125.80000305175781,12854,2020-07-27
2020-08-03,119.64240264892578,129.35000610351562,133.14999389648438,104.0999984741211,104.0999984741211,16934,2020-08-03
2020-08-10,129.77061462402344,140.3000030517578,144.0,127.0,132.9499969482422,45256,2020-08-10
2020-08-17,142.90492248535156,154.5,160.0500030517578,132.35000610351562,140.9499969482422,136445,2020-08-17
2020-08-24,149.14834594726562,161.25,192.8000030517578,159.0,162.5,333281,2020-08-24
2020-08-31,151.1832275390625,163.4499969482422,170.0,139.0500030517578,161.5500030517578,86735,2020-08-31
2020-09-07,142.62742614746094,154.1999969482422,177.0,147.0,169.9499969482422,25079,2020-09-07
2020-09-14,146.55845642089844,158.4499969482422,164.89999389648438,150.64999389648438,150.64999389648438,30334,2020-09-14
2020-09-21,140.9625244140625,152.39999389648438,160.5500030517578,142.35000610351562,157.9499969482422,26672,2020-09-21
2020-09-28,146.04974365234375,157.89999389648438,160.0,146.3000030517578,154.0500030517578,9410,2020-09-28
2020-10-05,141.79498291015625,153.3000030517578,164.0,143.9499969482422,157.9499969482422,13417,2020-10-05
2020-10-12,136.06028747558594,147.10000610351562,158.5,144.3000030517578,158.5,4840,2020-10-12
2020-10-19,138.04893493652344,149.25,153.6999969482422,143.9499969482422,150.0500030517578,13090,2020-10-19
2020-10-26,130.9268035888672,141.5500030517578,152.0500030517578,138.35000610351562,152.0,19985,2020-10-26
2020-11-02,135.50531005859375,146.5,152.9499969482422,138.0500030517578,141.5500030517578,19329,2020-11-02
2020-11-09,154.83676147460938,167.39999389648438,174.85000610351562,142.64999389648438,142.6999969482422,106267,2020-11-09
2020-11-16,162.8376007080078,176.0500030517578,185.0,166.14999389648438,166.14999389648438,80953,2020-11-16
2020-11-23,161.9126434326172,175.0500030517578,184.0,167.0,171.75,57850,2020-11-23
2020-11-30,178.51551818847656,193.0,206.5500030517578,172.35000610351562,175.0500030517578,85152,2020-11-30
2020-12-07,177.40557861328125,191.8000030517578,210.0,186.0500030517578,194.14999389648438,56139,2020-12-07
2020-12-14,198.12448120117188,214.1999969482422,224.0,191.0,192.0,115310,2020-12-14
2020-12-21,187.76502990722656,203.0,216.0,181.14999389648438,212.0,55205,2020-12-21
2020-12-28,255.8876495361328,276.6499938964844,324.04998779296875,205.5500030517578,208.0500030517578,1223626,2020-12-28
2021-01-04,246.03692626953125,266.0,294.0,262.0,286.0,284530,2021-01-04
2021-01-11,231.28396606445312,250.0500030517578,271.8500061035156,247.0,268.1499938964844,87946,2021-01-11
2021-01-18,237.61988830566406,256.8999938964844,267.79998779296875,235.75,265.0,234386,2021-01-18
2021-01-25,216.76226806640625,234.35000610351562,264.29998779296875,232.5,253.75,39795,2021-01-25
2021-02-01,226.56671142578125,244.9499969482422,257.20001220703125,221.75,235.75,167543,2021-02-01
2021-02-08,226.427978515625,244.8000030517578,258.8500061035156,237.9499969482422,245.9499969482422,184637,2021-02-08
2021-02-15,252.6503448486328,273.1499938964844,299.0,265.0,280.0,705305,2021-02-15
2021-02-22,237.296142578125,256.54998779296875,280.0,255.0,270.1499938964844,376630,2021-02-22
2021-03-01,234.5213165283203,253.5500030517578,274.95001220703125,252.0,259.95001220703125,124632,2021-03-01
2021-03-08,245.574462890625,265.5,270.0,251.5500030517578,259.70001220703125,552519,2021-03-08
2021-03-15,280.72259521484375,303.5,314.0,255.0500030517578,266.20001220703125,3645354,2021-03-15
2021-03-22,290.8970642089844,314.5,344.0,296.54998779296875,319.0,832903,2021-03-22
2021-03-29,300.7940368652344,325.20001220703125,329.54998779296875,311.1000061035156,314.5,118855,2021-03-29
2021-04-05,345.8854064941406,373.95001220703125,392.0,310.3999938964844,326.1000061035156,958517,2021-04-05
2021-04-12,329.7912292480469,356.54998779296875,370.0,332.29998779296875,370.0,302535,2021-04-12
2021-04-19,331.086181640625,357.95001220703125,372.95001220703125,333.8999938964844,362.0,307399,2021-04-19
2021-04-26,343.20306396484375,371.04998779296875,388.79998779296875,354.20001220703125,364.95001220703125,307752,2021-04-26
2021-05-03,375.0213623046875,405.45001220703125,414.0,370.3500061035156,374.8999938964844,796268,2021-05-03
2021-05-10,323.5015869140625,349.75,432.0,339.25,414.3999938964844,543389,2021-05-10
2021-05-17,351.4813537597656,380.0,393.0,350.8500061035156,354.0,535165,2021-05-17
2021-05-24,338.6707763671875,366.1499938964844,379.8999938964844,351.0,375.0,335260,2021-05-24
2021-05-31,352.1288146972656,380.70001220703125,383.70001220703125,352.0,369.45001220703125,652670,2021-05-31
2021-06-07,345.3304748535156,373.3500061035156,387.25,352.29998779296875,370.0,954080,2021-06-07
2021-06-14,330.5312194824219,357.3500061035156,390.5,347.3500061035156,377.0,388511,2021-06-14
2021-06-21,354.4873962402344,383.25,414.0,344.0,354.0,857186,2021-06-21
2021-06-28,356.75360107421875,385.70001220703125,399.0,377.75,390.0,252937,2021-06-28
2021-07-05,387.4156799316406,418.8500061035156,424.75,387.0,390.0,515520,2021-07-05
2021-07-12,376.2700500488281,406.79998779296875,434.8999938964844,401.1000061035156,420.0,245234,2021-07-12
2021-07-19,368.0842590332031,397.95001220703125,413.45001220703125,382.25,408.0,163024,2021-07-19
2021-07-26,380.47857666015625,411.3500061035156,414.8999938964844,385.95001220703125,392.1000061035156,198425,2021-07-26
2021-08-02,385.22991943359375,412.25,424.0,404.0,412.25,187825,2021-08-02
2021-08-09,387.986572265625,415.20001220703125,439.0,365.0,413.95001220703125,344572,2021-08-09
