Date,Adj Close_IGIL.NS,Close_IGIL.NS,High_IGIL.NS,Low_IGIL.NS,Open_IGIL.NS,Volume_IGIL.NS,Date
2024-12-16,468.2626037597656,471.1499938964844,525.0,459.0,510.0,64151150,2024-12-16
2024-12-23,583.0050659179688,586.5999755859375,611.0,478.45001220703125,492.1499938964844,67327840,2024-12-23
2024-12-30,611.4298095703125,615.2000122070312,629.0,542.6500244140625,582.0,27274961,2024-12-30
2025-01-06,582.2596435546875,585.8499755859375,642.2999877929688,570.0999755859375,619.7000122070312,21457575,2025-01-06
2025-01-13,514.9248657226562,518.0999755859375,589.8499755859375,515.0499877929688,578.7999877929688,13725538,2025-01-13
2025-01-20,519.1488037109375,522.3499755859375,563.0,503.29998779296875,528.0,13848783,2025-01-20
2025-01-27,509.5579833984375,512.7000122070312,526.2999877929688,470.0,516.9000244140625,11195163,2025-01-27
2025-02-03,490.3265686035156,493.3500061035156,542.0499877929688,487.0,503.0,7707412,2025-02-03
2025-02-10,449.52813720703125,452.29998779296875,494.8500061035156,438.54998779296875,493.0,7088833,2025-02-10
2025-02-17,415.9352722167969,418.5,458.70001220703125,413.54998779296875,447.8999938964844,8729727,2025-02-17
2025-02-24,404.4560852050781,406.95001220703125,422.25,389.29998779296875,413.95001220703125,5748971,2025-02-24
2025-03-03,328.8999938964844,328.8999938964844,385.0,318.0,385.0,23979364,2025-03-03
2025-03-10,308.5,308.5,333.6499938964844,282.0,330.04998779296875,10061628,2025-03-10
2025-03-17,361.3500061035156,361.3500061035156,361.3500061035156,288.79998779296875,313.75,14429014,2025-03-17
2025-03-24,385.20001220703125,385.20001220703125,398.3500061035156,350.04998779296875,368.0,14045555,2025-03-24
2025-03-31,382.3500061035156,382.3500061035156,406.79998779296875,373.20001220703125,380.5,5192710,2025-03-31
2025-04-07,337.29998779296875,337.29998779296875,374.25,327.8500061035156,363.25,4787725,2025-04-07
2025-04-14,353.29998779296875,353.29998779296875,354.1499938964844,332.04998779296875,340.1000061035156,7329489,2025-04-14
2025-04-21,350.04998779296875,350.04998779296875,384.0,347.5,360.79998779296875,14392957,2025-04-21
2025-04-28,342.45001220703125,342.45001220703125,359.6499938964844,335.0,349.95001220703125,3745028,2025-04-28
2025-05-05,344.20001220703125,344.20001220703125,358.95001220703125,322.70001220703125,339.1000061035156,5242280,2025-05-05
2025-05-12,378.6000061035156,378.6000061035156,391.0,353.95001220703125,354.0,5296257,2025-05-12
2025-05-19,375.20001220703125,375.20001220703125,391.0,367.54998779296875,380.0,2915867,2025-05-19
2025-05-26,388.8999938964844,388.8999938964844,389.3500061035156,362.1000061035156,375.54998779296875,5721424,2025-05-26
2025-06-02,402.1000061035156,402.1000061035156,424.3500061035156,376.20001220703125,400.8999938964844,9460216,2025-06-02
2025-06-09,386.75,386.75,417.6000061035156,380.70001220703125,412.6499938964844,3413523,2025-06-09
2025-06-16,345.95001220703125,345.95001220703125,394.95001220703125,343.25,386.79998779296875,3904778,2025-06-16
2025-06-23,372.70001220703125,372.70001220703125,374.8999938964844,341.45001220703125,344.1000061035156,3920808,2025-06-23
2025-06-30,381.3500061035156,381.3500061035156,384.79998779296875,360.0,376.1000061035156,3936861,2025-06-30
2025-07-07,385.1499938964844,385.1499938964844,396.8500061035156,377.29998779296875,381.8999938964844,3819504,2025-07-07
2025-07-14,399.04998779296875,399.04998779296875,404.0,380.54998779296875,385.0,1056274,2025-07-14
