Date,Adj Close_IKIO.NS,Close_IKIO.NS,High_IKIO.NS,Low_IKIO.NS,Open_IKIO.NS,Volume_IKIO.NS,Date
2023-06-12,402.47003173828125,403.8500061035156,427.5,392.0,392.5,31292587,2023-06-12
2023-06-19,461.21856689453125,462.79998779296875,477.0,408.29998779296875,409.0,41285020,2023-06-19
2023-06-26,435.6064147949219,437.1000061035156,474.6000061035156,435.04998779296875,468.0,5036720,2023-06-26
2023-07-03,409.1470947265625,410.54998779296875,444.8999938964844,406.04998779296875,439.45001220703125,5386349,2023-07-03
2023-07-10,411.43927001953125,412.8500061035156,427.5,401.1000061035156,409.0,4984855,2023-07-10
2023-07-17,409.5457763671875,410.95001220703125,432.70001220703125,405.0,414.0,4704225,2023-07-17
2023-07-24,419.7607421875,421.20001220703125,424.0,406.25,410.0,2028694,2023-07-24
2023-07-31,422.4515075683594,423.8999938964844,426.95001220703125,407.25,422.95001220703125,2491118,2023-07-31
2023-08-07,371.8251037597656,373.1000061035156,437.70001220703125,370.04998779296875,432.0,5344527,2023-08-07
2023-08-14,369.7322692871094,371.0,376.95001220703125,359.6000061035156,373.0,1911155,2023-08-14
2023-08-21,374.6653747558594,375.95001220703125,387.6499938964844,362.8500061035156,371.0,1971236,2023-08-21
2023-08-28,377.3561096191406,378.6499938964844,384.75,375.0,375.95001220703125,829927,2023-08-28
2023-09-04,387.32196044921875,388.6499938964844,394.1000061035156,374.20001220703125,380.0,2197943,2023-09-04
2023-09-11,360.0155944824219,361.25,390.6000061035156,350.25,389.0,2170828,2023-09-11
2023-09-18,353.13916015625,354.3500061035156,364.45001220703125,349.1000061035156,363.6499938964844,774647,2023-09-18
2023-09-25,353.4381408691406,354.6499938964844,358.5,350.1000061035156,357.3500061035156,630253,2023-09-25
2023-10-02,356.72686767578125,357.95001220703125,366.1000061035156,353.6499938964844,354.6499938964844,1278275,2023-10-02
2023-10-09,361.0121765136719,362.25,365.8999938964844,341.0,353.0,2088463,2023-10-09
2023-10-16,348.1064147949219,349.29998779296875,365.5,347.0,362.25,891296,2023-10-16
2023-10-23,332.11126708984375,333.25,352.6000061035156,321.04998779296875,350.0,1120863,2023-10-23
2023-10-30,317.1625061035156,318.25,336.8500061035156,314.54998779296875,335.20001220703125,1282413,2023-10-30
