Date,Adj Close_IMFA.NS,Close_IMFA.NS,High_IMFA.NS,Low_IMFA.NS,Open_IMFA.NS,Volume_IMFA.NS,Date
2020-07-13,73.1606674194336,83.6500015258789,86.2249984741211,79.875,84.9749984741211,50070,2020-07-13
2020-07-20,73.72917938232422,84.30000305175781,90.5,81.0,85.0,203570,2020-07-20
2020-07-27,74.75682830810547,85.4749984741211,91.4749984741211,79.9749984741211,84.92500305175781,248796,2020-07-27
2020-08-03,95.24444580078125,108.9000015258789,112.3499984741211,84.1500015258789,86.7750015258789,668470,2020-08-03
2020-08-10,91.30873107910156,104.4000015258789,114.94999694824219,102.30000305175781,114.94999694824219,516324,2020-08-10
2020-08-17,106.8766860961914,122.19999694824219,127.69999694824219,103.55000305175781,104.5250015258789,1028030,2020-08-17
2020-08-24,109.34745788574219,125.0250015258789,133.0,117.875,124.0,1210654,2020-08-24
2020-08-31,104.71205139160156,119.7249984741211,141.6999969482422,113.6500015258789,125.5999984741211,763706,2020-08-31
2020-09-07,103.42201232910156,118.25,123.0,113.05000305175781,121.5250015258789,268436,2020-09-07
2020-09-14,106.98602294921875,122.32499694824219,126.57499694824219,117.5,117.5,236412,2020-09-14
2020-09-21,99.81424713134766,114.125,124.375,107.55000305175781,120.625,232818,2020-09-21
2020-09-28,98.65541076660156,112.80000305175781,118.42500305175781,112.5,115.0,59784,2020-09-28
2020-10-05,98.633544921875,112.7750015258789,117.5,110.2750015258789,115.0,79670,2020-10-05
2020-10-12,97.45283508300781,111.42500305175781,114.0,107.5,112.82499694824219,75622,2020-10-12
2020-10-19,108.47284698486328,124.0250015258789,127.5,112.0,112.0,354794,2020-10-19
2020-10-26,114.7699966430664,131.22500610351562,132.5,120.7750015258789,129.5,387460,2020-10-26
2020-11-02,115.906982421875,132.52499389648438,135.72500610351562,125.9749984741211,133.47500610351562,348482,2020-11-02
2020-11-09,116.54107666015625,133.25,138.02499389648438,127.5,138.0,350670,2020-11-09
2020-11-16,128.9385986328125,147.4250030517578,152.4499969482422,130.47500610351562,130.47500610351562,642812,2020-11-16
2020-11-23,125.89933776855469,143.9499969482422,150.0749969482422,138.6999969482422,148.97500610351562,310676,2020-11-23
2020-11-30,136.1322021484375,155.64999389648438,160.0,142.9250030517578,143.9499969482422,399706,2020-11-30
2020-12-07,129.9444122314453,148.5749969482422,159.10000610351562,145.0,157.5,299388,2020-12-07
2020-12-14,124.39067077636719,142.22500610351562,151.47500610351562,140.125,150.0500030517578,151324,2020-12-14
2020-12-21,121.32952880859375,138.72500610351562,144.89999389648438,126.30000305175781,144.89999389648438,240526,2020-12-21
2020-12-28,124.89353942871094,142.8000030517578,148.02499389648438,135.8249969482422,139.52499389648438,223650,2020-12-28
2021-01-04,133.0055389404297,152.0749969482422,158.5,139.9499969482422,143.25,706388,2021-01-04
2021-01-11,164.20703125,187.75,193.5,150.9499969482422,154.1999969482422,1755546,2021-01-11
2021-01-18,171.20387268066406,195.75,216.0,187.75,190.6999969482422,1270228,2021-01-18
2021-01-25,172.0784912109375,196.75,202.5,180.0,197.5,641716,2021-01-25
2021-02-01,204.57003784179688,233.89999389648438,240.6999969482422,192.5749969482422,192.5749969482422,965622,2021-02-01
2021-02-08,201.13722229003906,229.97500610351562,250.0,219.5500030517578,250.0,896780,2021-02-08
2021-02-15,195.71466064453125,223.77499389648438,237.39999389648438,222.5,232.10000610351562,413892,2021-02-15
2021-02-22,210.29806518554688,238.89999389648438,264.8999938964844,223.77499389648438,223.77499389648438,1177012,2021-02-22
2021-03-01,203.8720703125,231.60000610351562,251.22500610351562,229.4250030517578,240.8000030517578,497592,2021-03-01
2021-03-08,204.48826599121094,232.3000030517578,238.6750030517578,229.0,236.9250030517578,188014,2021-03-08
2021-03-15,191.87828063964844,217.97500610351562,237.5,215.0,232.5,394680,2021-03-15
2021-03-22,197.79815673828125,224.6999969482422,240.27499389648438,218.10000610351562,224.4499969482422,261998,2021-03-22
2021-03-29,212.25668334960938,241.125,247.5,223.47500610351562,224.6999969482422,178672,2021-03-29
2021-04-05,240.82168579101562,273.57501220703125,280.07501220703125,236.0,245.4499969482422,1106966,2021-04-05
2021-04-12,211.1783447265625,239.89999389648438,270.0,235.25,267.5,432038,2021-04-12
2021-04-19,204.84033203125,232.6999969482422,243.14999389648438,230.0,237.0,196588,2021-04-19
2021-04-26,194.3430633544922,220.77499389648438,245.10000610351562,218.52499389648438,232.6999969482422,849396,2021-04-26
2021-05-03,195.02529907226562,221.5500030517578,246.89999389648438,218.0,220.47500610351562,1074314,2021-05-03
2021-05-10,186.64065551757812,212.02499389648438,244.5,208.0,227.39999389648438,1513028,2021-05-10
2021-05-17,182.0191650390625,206.77499389648438,222.14999389648438,205.5,212.5,451184,2021-05-17
2021-05-24,188.68727111816406,214.35000610351562,219.5,205.0,205.5,471178,2021-05-24
2021-05-31,210.07801818847656,238.64999389648438,239.5,213.3249969482422,217.5,696872,2021-05-31
2021-06-07,217.230224609375,246.77499389648438,255.64999389648438,234.0,242.25,1931176,2021-06-07
2021-06-14,218.79273986816406,248.5500030517578,277.8500061035156,240.625,241.5,2193880,2021-06-14
2021-06-21,245.72923278808594,279.1499938964844,294.0,240.0,241.5,1974570,2021-06-21
