Date,Adj Close_INDHOTEL.NS,Close_INDHOTEL.NS,High_INDHOTEL.NS,Low_INDHOTEL.NS,Open_INDHOTEL.NS,Volume_INDHOTEL.NS,Date
2020-07-13,75.4894027709961,76.99185180664062,77.96151733398438,74.76160430908203,77.91303253173828,6044609,2020-07-13
2020-07-20,75.73316955566406,76.74942779541016,81.93717193603516,76.1676254272461,77.33123016357422,16296028,2020-07-20
2020-07-27,73.05403900146484,74.03435516357422,78.3493881225586,73.79193878173828,77.04032897949219,8911458,2020-07-27
2020-08-03,74.48927307128906,75.48886108398438,77.18578338623047,74.03435516357422,74.08283996582031,8274988,2020-08-03
2020-08-10,89.70289611816406,90.90662384033203,99.39124298095703,75.73127746582031,76.89488220214844,67274993,2020-08-10
2020-08-17,96.49639129638672,97.7912826538086,103.221435546875,89.20970153808594,92.50657653808594,29041939,2020-08-17
2020-08-24,103.95966339111328,105.3547134399414,109.08794403076172,98.13066864013672,99.24578857421875,30973258,2020-08-24
2020-08-31,97.4532241821289,98.76095581054688,107.9243392944336,96.9670639038086,106.51831817626953,21870861,2020-08-31
2020-09-07,94.8697738647461,96.1428451538086,101.08816528320312,90.17936706542969,98.76095581054688,10591517,2020-09-07
2020-09-14,95.82660675048828,97.11251068115234,100.7972640991211,95.99739074707031,96.9670639038086,19833750,2020-09-14
2020-09-21,87.69354248046875,88.87031555175781,98.42156982421875,85.9613037109375,97.54886627197266,10777490,2020-09-21
2020-09-28,92.81258392333984,94.05805206298828,98.6155014038086,90.08240509033203,90.85813903808594,18702563,2020-09-28
2020-10-05,92.09496307373047,93.33079528808594,99.68214416503906,92.99141693115234,94.88227081298828,25765668,2020-10-05
2020-10-12,92.95610809326172,94.20349884033203,95.51255798339844,90.17936706542969,93.86412048339844,6963956,2020-10-12
2020-10-19,96.20933532714844,97.50038146972656,99.77910614013672,92.84596252441406,94.88227081298828,11412124,2020-10-19
2020-10-26,91.28164672851562,92.50657653808594,98.6155014038086,92.11871337890625,97.93673706054688,16385232,2020-10-26
2020-11-02,94.2956771850586,95.56104278564453,97.35493469238281,88.72486114501953,92.50657653808594,10113677,2020-11-02
2020-11-09,106.97369384765625,108.4091796875,112.86965942382812,93.76715087890625,96.77313232421875,28345795,2020-11-09
2020-11-16,108.69597625732422,110.15458679199219,119.02706909179688,107.82737731933594,107.82737731933594,19167001,2020-11-16
2020-11-23,113.09739685058594,114.61506652832031,116.0210952758789,106.2759017944336,109.57278442382812,14129828,2020-11-23
2020-11-30,122.4743423461914,124.11784362792969,127.99652099609375,114.61506652832031,114.61506652832031,22519627,2020-11-30
2020-12-07,122.378662109375,124.0208740234375,135.02664184570312,123.34210205078125,124.99054718017578,16033921,2020-12-07
2020-12-14,122.28297424316406,123.92390441894531,129.9358673095703,123.1481704711914,124.94206237792969,12314695,2020-12-14
2020-12-21,116.11141204833984,117.6695327758789,124.8935775756836,109.76671600341797,124.60267639160156,9355937,2020-12-21
2020-12-28,118.59917449951172,120.190673828125,122.95423889160156,115.19686889648438,119.12403869628906,10222009,2020-12-28
2021-01-04,118.02507781982422,119.60887145996094,123.63300323486328,118.78465270996094,122.17849731445312,9945573,2021-01-04
2021-01-11,121.46966552734375,123.09968566894531,125.96021270751953,118.93010711669922,120.57854461669922,9179949,2021-01-11
2021-01-18,117.25961303710938,118.83313751220703,125.62083435058594,116.8453140258789,123.1481704711914,11419843,2021-01-18
2021-01-25,116.35062408447266,117.91194915771484,121.93608093261719,116.8453140258789,119.60887145996094,7312311,2021-01-25
2021-02-01,114.14991760253906,115.68170928955078,121.20883178710938,115.09990692138672,118.63920593261719,10292047,2021-02-01
2021-02-08,123.57469177246094,125.23296356201172,126.68746948242188,115.87564086914062,116.3604736328125,16907022,2021-02-08
2021-02-15,118.45565032958984,120.04522705078125,128.96620178222656,119.60887145996094,126.05718231201172,18567676,2021-02-15
2021-02-22,117.54666137695312,119.12403869628906,120.38461303710938,114.42113494873047,119.17252349853516,13635859,2021-02-22
2021-03-01,119.98657989501953,121.59669494628906,126.63898468017578,116.3604736328125,120.2391586303711,15422857,2021-03-01
2021-03-08,119.69953918457031,121.30579376220703,125.37841033935547,119.26948547363281,123.05120086669922,5826616,2021-03-08
2021-03-15,109.07870483398438,110.54244995117188,121.4997329711914,107.9243392944336,121.30579376220703,7395914,2021-03-15
2021-03-22,103.720458984375,105.11229705810547,113.45146179199219,99.58517456054688,110.73638916015625,14365018,2021-03-22
2021-03-29,107.45210266113281,108.89401245117188,111.41515350341797,101.572998046875,105.11229705810547,8350540,2021-03-29
2021-04-05,105.87334442138672,107.29405975341797,110.0091323852539,103.2699203491211,106.1789321899414,9249206,2021-04-05
2021-04-12,94.67841339111328,95.94890594482422,106.51831817626953,95.70648956298828,103.02750396728516,12992160,2021-04-12
2021-04-19,99.84529113769531,101.18512725830078,102.49418640136719,90.90662384033203,94.7853012084961,23056991,2021-04-19
2021-04-26,106.68663024902344,108.11827850341797,111.89999389648438,101.33058166503906,102.78508758544922,18110243,2021-04-26
2021-05-03,107.54779052734375,108.99098205566406,110.73638916015625,103.7547607421875,106.66377258300781,9485695,2021-05-03
2021-05-10,107.97835540771484,109.42733001708984,115.82715606689453,108.4091796875,108.99098205566406,12888184,2021-05-10
2021-05-17,124.62720489501953,126.29959869384766,127.02685546875,110.73638916015625,110.73638916015625,22884815,2021-05-17
2021-05-24,127.44985961914062,129.16012573242188,134.63876342773438,124.65116119384766,127.02685546875,27659073,2021-05-24
2021-05-31,130.8944549560547,132.65093994140625,139.92347717285156,127.99652099609375,129.54800415039062,49026854,2021-05-31
2021-06-07,129.60272216796875,131.34188842773438,136.91749572753906,130.27525329589844,134.7842254638672,23410851,2021-06-07
2021-06-14,129.411376953125,131.14794921875,133.28123474121094,121.20883178710938,132.0691375732422,18629793,2021-06-14
2021-06-21,141.50259399414062,142.97793579101562,146.12936401367188,127.36624145507812,128.96620178222656,36617913,2021-06-21
2021-06-28,137.18406677246094,138.61441040039062,143.8991241455078,135.99630737304688,143.51126098632812,14156826,2021-06-28
2021-07-05,142.0303955078125,143.51126098632812,152.52919006347656,138.95379638671875,139.632568359375,37600847,2021-07-05
2021-07-12,146.6847686767578,148.2141571044922,150.2019805908203,141.66888427734375,145.15969848632812,19371839,2021-07-12
2021-07-19,140.87879943847656,142.34765625,146.95358276367188,137.6932373046875,146.42027282714844,12657923,2021-07-19
2021-07-26,139.2473602294922,140.69920349121094,146.22633361816406,138.85684204101562,143.41429138183594,14091975,2021-07-26
2021-08-02,139.05543518066406,140.50527954101562,144.67486572265625,138.32351684570312,140.65072631835938,10431089,2021-08-02
2021-08-09,136.5123291015625,137.93565368652344,142.92945861816406,132.36004638671875,140.6022491455078,17079879,2021-08-09
2021-08-16,132.96157836914062,134.34786987304688,138.808349609375,133.28123474121094,137.6932373046875,3926251,2021-08-16
2021-08-23,134.49700927734375,135.8993377685547,137.5962677001953,129.01467895507812,135.75389099121094,10422383,2021-08-23
2021-08-30,141.07070922851562,142.5415802001953,146.8566131591797,135.31753540039062,136.48114013671875,18068881,2021-08-30
2021-09-06,144.71743774414062,146.22633361816406,148.69898986816406,138.12957763671875,143.51126098632812,16534188,2021-09-06
2021-09-13,143.0380401611328,144.52940368652344,153.2079620361328,143.80215454101562,147.14752197265625,19759201,2021-09-13
2021-09-20,171.58807373046875,173.37710571289062,181.2314453125,143.31732177734375,144.67486572265625,132574412,2021-09-20
2021-09-27,176.6742706298828,178.516357421875,194.41896057128906,172.69833374023438,176.4800567626953,89084796,2021-09-27
2021-10-04,194.47607421875,196.50375366210938,205.27928161621094,178.41940307617188,179.82542419433594,93489809,2021-10-04
2021-10-11,220.29103088378906,222.587890625,230.19981384277344,194.90379333496094,198.00674438476562,87742807,2021-10-11
2021-10-18,196.39540100097656,198.44309997558594,227.8726043701172,196.69769287109375,224.62420654296875,69233569,2021-10-18
2021-10-25,188.7180938720703,190.68572998046875,207.21861267089844,186.6131134033203,202.56419372558594,35566417,2021-10-25
2021-11-01,206.7117919921875,208.86705017089844,210.17611694335938,186.85552978515625,187.6312713623047,29157314,2021-11-01
2021-11-08,212.08868408203125,214.3000030517578,218.0789337158203,204.6005096435547,210.4185333251953,47449833,2021-11-08
2021-11-15,208.32789611816406,210.5,224.1999969482422,207.0,215.35000610351562,33344430,2021-11-15
2021-11-22,180.1714630126953,182.0500030517578,211.0,180.0500030517578,210.89999389648438,40408261,2021-11-22
2021-11-29,190.31568908691406,192.3000030517578,196.0,171.0,179.89999389648438,82026682,2021-11-29
2021-12-06,202.04342651367188,204.14999389648438,206.5,186.3000030517578,190.0,34500012,2021-12-06
2021-12-13,188.9301300048828,190.89999389648438,206.5,188.3000030517578,205.5,23856694,2021-12-13
2021-12-20,174.82717895507812,176.64999389648438,187.0,175.0,184.89999389648438,24572087,2021-12-20
2021-12-27,178.8848876953125,180.75,184.35000610351562,172.14999389648438,173.0,20738128,2021-12-27
2022-01-03,184.4271240234375,186.35000610351562,188.4499969482422,178.0500030517578,179.8000030517578,21636413,2022-01-03
2022-01-10,208.5258331298828,210.6999969482422,213.9499969482422,184.0,184.0,39999376,2022-01-10
2022-01-17,204.22073364257812,206.35000610351562,214.0,202.85000610351562,210.4499969482422,18005597,2022-01-17
2022-01-24,205.16090393066406,207.3000030517578,211.8000030517578,190.85000610351562,205.0,23557259,2022-01-24
2022-01-31,214.31546020507812,216.5500030517578,226.5500030517578,208.5,208.5,37316747,2022-01-31
2022-02-07,204.46815490722656,206.60000610351562,218.5500030517578,205.25,217.3000030517578,17350143,2022-02-07
2022-02-14,204.9134979248047,207.0500030517578,211.5,193.0,200.9499969482422,20494944,2022-02-14
2022-02-21,198.1341552734375,200.1999969482422,210.5500030517578,191.9499969482422,206.75,26554085,2022-02-21
2022-02-28,188.53428649902344,190.5,206.6999969482422,187.3000030517578,198.0,25371758,2022-02-28
2022-03-07,200.90528869628906,203.0,213.3000030517578,180.60000610351562,183.39999389648438,37634122,2022-03-07
2022-03-14,206.34852600097656,208.5,215.0,200.39999389648438,204.0500030517578,18111255,2022-03-14
2022-03-21,225.30091857910156,227.64999389648438,235.8000030517578,205.0,209.0,62707110,2022-03-21
2022-03-28,238.11729431152344,240.60000610351562,245.5,225.0,229.9499969482422,55242353,2022-03-28
2022-04-04,251.2305908203125,253.85000610351562,257.79998779296875,234.10000610351562,242.6999969482422,59889417,2022-04-04
2022-04-11,249.89450073242188,252.5,260.45001220703125,242.75,253.8000030517578,23864536,2022-04-11
2022-04-18,238.41421508789062,240.89999389648438,253.6999969482422,233.8000030517578,249.89999389648438,33607620,2022-04-18
2022-04-25,253.8532257080078,256.5,260.29998779296875,228.6999969482422,238.10000610351562,65479039,2022-04-25
2022-05-02,246.38113403320312,248.9499969482422,268.95001220703125,243.0,253.85000610351562,46339848,2022-05-02
2022-05-09,216.1463623046875,218.39999389648438,249.85000610351562,216.25,246.0,46549344,2022-05-09
2022-05-16,220.69891357421875,223.0,234.89999389648438,217.35000610351562,220.39999389648438,31314353,2022-05-16
2022-05-23,222.72776794433594,225.0500030517578,232.89999389648438,211.1999969482422,225.64999389648438,31655250,2022-05-23
2022-05-30,230.69468688964844,233.10000610351562,240.14999389648438,227.3000030517578,227.8000030517578,22406367,2022-05-30
2022-06-06,217.977294921875,220.25,232.35000610351562,219.39999389648438,230.0,17817601,2022-06-06
2022-06-13,211.494873046875,213.6999969482422,225.64999389648438,209.3000030517578,215.89999389648438,21378051,2022-06-13
2022-06-20,224.55865478515625,226.89999389648438,229.5,207.25,211.0500030517578,24116240,2022-06-20
2022-06-27,223.82371520996094,225.75,233.0,220.39999389648438,229.8000030517578,19446553,2022-06-27
2022-07-04,240.77783203125,242.85000610351562,245.5,225.0,226.3000030517578,26141207,2022-07-04
2022-07-11,248.56082153320312,250.6999969482422,251.3000030517578,241.35000610351562,242.75,16563004,2022-07-11
2022-07-18,250.4941864013672,252.64999389648438,257.1499938964844,248.25,251.5500030517578,17817667,2022-07-18
2022-07-25,260.607177734375,262.8500061035156,266.8999938964844,251.6999969482422,252.60000610351562,21055406,2022-07-25
2022-08-01,267.4978332519531,269.79998779296875,275.29998779296875,263.1000061035156,264.45001220703125,26088893,2022-08-01
2022-08-08,269.6295166015625,271.95001220703125,278.8999938964844,266.3500061035156,271.25,38404307,2022-08-08
2022-08-15,269.1337890625,271.45001220703125,281.1499938964844,268.8999938964844,271.95001220703125,28647112,2022-08-15
2022-08-22,278.4535827636719,280.8500061035156,282.0,263.3500061035156,271.45001220703125,18502424,2022-08-22
2022-08-29,294.06915283203125,296.6000061035156,298.95001220703125,272.0,272.0,23363929,2022-08-29
2022-09-05,309.83349609375,312.5,314.8999938964844,296.8999938964844,297.3999938964844,27878720,2022-09-05
2022-09-12,319.25244140625,322.0,337.20001220703125,312.20001220703125,313.8500061035156,41274713,2022-09-12
2022-09-19,324.011474609375,326.79998779296875,336.25,316.70001220703125,319.0,22023343,2022-09-19
2022-09-26,328.86968994140625,331.70001220703125,333.25,305.45001220703125,324.79998779296875,33939962,2022-09-26
2022-10-03,338.4373474121094,341.3500061035156,348.45001220703125,331.1499938964844,333.8999938964844,32739734,2022-10-03
2022-10-10,307.1069641113281,309.75,344.29998779296875,308.6000061035156,339.0,30968717,2022-10-10
2022-10-17,310.92413330078125,313.6000061035156,326.75,305.0,308.0,23608282,2022-10-17
2022-10-24,319.50030517578125,322.25,323.70001220703125,311.0,316.6499938964844,9174259,2022-10-24
