Date,Adj Close_INDOTECH.NS,Close_INDOTECH.NS,High_INDOTECH.NS,Low_INDOTECH.NS,Open_INDOTECH.NS,Volume_INDOTECH.NS,Date
2020-07-13,92.30000305175781,92.30000305175781,96.94999694824219,90.4000015258789,95.0,13618,2020-07-13
2020-07-20,94.5,94.5,104.0,92.6500015258789,92.6500015258789,83058,2020-07-20
2020-07-27,93.80000305175781,93.80000305175781,96.75,91.3499984741211,92.3499984741211,16018,2020-07-27
2020-08-03,105.3499984741211,105.3499984741211,108.3499984741211,91.75,95.44999694824219,307158,2020-08-03
2020-08-10,99.8499984741211,99.8499984741211,104.9000015258789,97.19999694824219,103.44999694824219,54731,2020-08-10
2020-08-17,100.5999984741211,100.5999984741211,104.94999694824219,95.19999694824219,101.5,98729,2020-08-17
2020-08-24,101.44999694824219,101.44999694824219,107.9000015258789,101.0,101.30000305175781,45066,2020-08-24
2020-08-31,97.3499984741211,97.3499984741211,103.44999694824219,93.05000305175781,103.4000015258789,25500,2020-08-31
2020-09-07,93.80000305175781,93.80000305175781,99.3499984741211,90.5999984741211,94.0,21589,2020-09-07
2020-09-14,98.05000305175781,98.05000305175781,104.9000015258789,92.55000305175781,96.44999694824219,184225,2020-09-14
2020-09-21,96.94999694824219,96.94999694824219,99.3499984741211,86.30000305175781,97.4000015258789,97963,2020-09-21
2020-09-28,93.9000015258789,93.9000015258789,99.0,92.5,99.0,27581,2020-09-28
2020-10-05,93.19999694824219,93.19999694824219,96.94999694824219,92.0999984741211,95.1500015258789,14533,2020-10-05
2020-10-12,88.0,88.0,93.19999694824219,86.19999694824219,92.4000015258789,12756,2020-10-12
2020-10-19,90.0999984741211,90.0999984741211,92.25,87.05000305175781,88.0,30680,2020-10-19
2020-10-26,88.75,88.75,90.94999694824219,85.4000015258789,87.5,12431,2020-10-26
2020-11-02,88.94999694824219,88.94999694824219,89.94999694824219,85.69999694824219,87.25,5983,2020-11-02
2020-11-09,86.19999694824219,86.19999694824219,90.0,84.0,86.30000305175781,28297,2020-11-09
2020-11-16,94.8499984741211,94.8499984741211,103.5,86.69999694824219,86.69999694824219,200901,2020-11-16
2020-11-23,96.05000305175781,96.05000305175781,102.0,93.30000305175781,96.5999984741211,63043,2020-11-23
2020-11-30,105.25,105.25,110.0,96.05000305175781,96.05000305175781,286296,2020-11-30
2020-12-07,112.30000305175781,112.30000305175781,117.05000305175781,103.0,103.05000305175781,228566,2020-12-07
2020-12-14,110.1500015258789,110.1500015258789,120.0,108.5,114.44999694824219,211824,2020-12-14
2020-12-21,121.0999984741211,121.0999984741211,127.9000015258789,101.0999984741211,109.0,467279,2020-12-21
2020-12-28,113.69999694824219,113.69999694824219,120.0,111.0999984741211,117.75,101483,2020-12-28
2021-01-04,111.25,111.25,119.8499984741211,109.0,116.55000305175781,91766,2021-01-04
2021-01-11,107.0,107.0,114.05000305175781,106.0,113.80000305175781,52535,2021-01-11
2021-01-18,101.44999694824219,101.44999694824219,106.1500015258789,98.30000305175781,106.05000305175781,39016,2021-01-18
2021-01-25,97.8499984741211,97.8499984741211,105.44999694824219,97.3499984741211,103.75,14627,2021-01-25
2021-02-01,101.4000015258789,101.4000015258789,105.6500015258789,95.0999984741211,95.0999984741211,36609,2021-02-01
2021-02-08,97.80000305175781,97.80000305175781,105.75,96.0,101.4000015258789,42094,2021-02-08
2021-02-15,100.3499984741211,100.3499984741211,103.69999694824219,96.3499984741211,96.3499984741211,113390,2021-02-15
2021-02-22,97.19999694824219,97.19999694824219,102.19999694824219,95.5999984741211,100.3499984741211,50115,2021-02-22
2021-03-01,102.5,102.5,106.05000305175781,97.75,99.25,177856,2021-03-01
2021-03-08,101.0999984741211,101.0999984741211,107.0,99.0,104.4000015258789,91895,2021-03-08
2021-03-15,94.0,94.0,103.5,92.19999694824219,101.4000015258789,69051,2021-03-15
2021-03-22,85.75,85.75,95.0,84.25,94.4000015258789,65803,2021-03-22
2021-03-29,90.30000305175781,90.30000305175781,96.0,83.5999984741211,85.75,52571,2021-03-29
2021-04-05,91.6500015258789,91.6500015258789,94.75,87.0,92.0,34503,2021-04-05
2021-04-12,87.4000015258789,87.4000015258789,91.05000305175781,80.19999694824219,90.19999694824219,22382,2021-04-12
2021-04-19,88.0,88.0,95.0,82.6500015258789,87.25,49713,2021-04-19
2021-04-26,94.1500015258789,94.1500015258789,105.4000015258789,87.05000305175781,88.25,253491,2021-04-26
2021-05-03,94.25,94.25,100.80000305175781,92.80000305175781,93.25,75626,2021-05-03
2021-05-10,100.8499984741211,100.8499984741211,107.0,93.6500015258789,96.80000305175781,229799,2021-05-10
2021-05-17,116.80000305175781,116.80000305175781,126.0,97.25,100.0999984741211,876918,2021-05-17
2021-05-24,128.60000610351562,128.60000610351562,136.4499969482422,112.05000305175781,117.94999694824219,403007,2021-05-24
2021-05-31,124.6500015258789,124.6500015258789,130.85000610351562,120.05000305175781,129.9499969482422,98121,2021-05-31
2021-06-07,154.3000030517578,154.3000030517578,171.8000030517578,124.05000305175781,128.6999969482422,847155,2021-06-07
2021-06-14,144.60000610351562,144.60000610351562,159.6999969482422,139.0,159.6999969482422,113856,2021-06-14
2021-06-21,200.35000610351562,200.35000610351562,200.35000610351562,138.0,141.35000610351562,584141,2021-06-21
2021-06-28,231.35000610351562,231.35000610351562,255.5500030517578,195.5,205.6999969482422,551207,2021-06-28
2021-07-05,250.6999969482422,250.6999969482422,250.6999969482422,220.5,231.5,251513,2021-07-05
2021-07-12,260.6499938964844,260.6499938964844,292.54998779296875,251.10000610351562,258.0,252082,2021-07-12
2021-07-19,245.3000030517578,245.3000030517578,266.0,236.5500030517578,254.5,65862,2021-07-19
2021-07-26,226.4499969482422,226.4499969482422,254.0,219.0,254.0,66206,2021-07-26
2021-08-02,239.5500030517578,239.5500030517578,247.60000610351562,218.0,229.75,65443,2021-08-02
2021-08-09,187.75,187.75,241.89999389648438,187.75,234.0,49384,2021-08-09
2021-08-16,171.5500030517578,171.5500030517578,182.85000610351562,162.0,178.39999389648438,70624,2021-08-16
2021-08-23,170.89999389648438,170.89999389648438,178.5,156.0,171.64999389648438,36592,2021-08-23
2021-08-30,168.85000610351562,168.85000610351562,174.9499969482422,156.6999969482422,162.39999389648438,157120,2021-08-30
2021-09-06,163.35000610351562,163.35000610351562,172.0,158.0500030517578,167.10000610351562,29278,2021-09-06
2021-09-13,155.0,155.0,162.89999389648438,152.5,161.0500030517578,48192,2021-09-13
2021-09-20,152.25,152.25,157.89999389648438,150.0,157.89999389648438,52687,2021-09-20
2021-09-27,153.9499969482422,153.9499969482422,156.85000610351562,146.0,154.0,30441,2021-09-27
2021-10-04,171.14999389648438,171.14999389648438,171.14999389648438,151.0,155.89999389648438,93337,2021-10-04
2021-10-11,174.3000030517578,174.3000030517578,188.64999389648438,168.3000030517578,179.6999969482422,113135,2021-10-11
2021-10-18,162.75,162.75,180.0,161.3000030517578,175.0500030517578,89765,2021-10-18
2021-10-25,160.9499969482422,160.9499969482422,164.6999969482422,153.0,164.6999969482422,43825,2021-10-25
2021-11-01,162.89999389648438,162.89999389648438,165.9499969482422,156.8000030517578,160.9499969482422,20317,2021-11-01
2021-11-08,179.9499969482422,179.9499969482422,193.75,161.4499969482422,168.0,220784,2021-11-08
2021-11-15,182.6999969482422,182.6999969482422,186.64999389648438,174.0500030517578,175.3000030517578,65840,2021-11-15
2021-11-22,180.5500030517578,180.5500030517578,188.6999969482422,171.64999389648438,188.14999389648438,44957,2021-11-22
2021-11-29,192.3000030517578,192.3000030517578,192.3000030517578,161.10000610351562,180.39999389648438,98987,2021-11-29
2021-12-06,210.14999389648438,210.14999389648438,210.14999389648438,188.0,198.6999969482422,249980,2021-12-06
2021-12-13,225.39999389648438,225.39999389648438,237.6999969482422,210.64999389648438,221.6999969482422,213713,2021-12-13
2021-12-20,214.25,214.25,232.0,203.3000030517578,219.89999389648438,154975,2021-12-20
2021-12-27,230.10000610351562,230.10000610351562,232.0,214.25,218.0,174549,2021-12-27
2022-01-03,222.39999389648438,222.39999389648438,232.0,215.0,230.60000610351562,50284,2022-01-03
2022-01-10,221.0,221.0,244.60000610351562,217.0500030517578,224.5,147075,2022-01-10
2022-01-17,285.6499938964844,285.6499938964844,287.1000061035156,215.14999389648438,225.4499969482422,884108,2022-01-17
2022-01-24,234.5500030517578,234.5500030517578,296.0,232.75,296.0,213465,2022-01-24
2022-01-31,262.3999938964844,262.3999938964844,262.3999938964844,222.5500030517578,231.5500030517578,84800,2022-01-31
2022-02-07,257.6000061035156,257.6000061035156,268.6000061035156,241.0,267.0,264328,2022-02-07
2022-02-14,237.10000610351562,237.10000610351562,253.0,232.25,250.0,101119,2022-02-14
2022-02-21,216.35000610351562,216.35000610351562,236.8000030517578,204.25,231.1999969482422,96126,2022-02-21
2022-02-28,224.35000610351562,224.35000610351562,229.89999389648438,213.1999969482422,223.60000610351562,40044,2022-02-28
2022-03-07,225.0500030517578,225.0500030517578,232.89999389648438,211.25,215.60000610351562,50551,2022-03-07
2022-03-14,221.60000610351562,221.60000610351562,234.5,218.0,225.0,53471,2022-03-14
2022-03-21,217.10000610351562,217.10000610351562,223.14999389648438,212.0,221.0500030517578,69338,2022-03-21
2022-03-28,215.25,215.25,226.0,199.10000610351562,224.0,150019,2022-03-28
2022-04-04,231.8000030517578,231.8000030517578,241.25,216.39999389648438,217.10000610351562,117099,2022-04-04
2022-04-11,227.1999969482422,227.1999969482422,239.0,225.0500030517578,233.0,38211,2022-04-11
2022-04-18,222.8000030517578,222.8000030517578,235.9499969482422,216.0500030517578,231.0,52008,2022-04-18
2022-04-25,222.10000610351562,222.10000610351562,228.75,216.85000610351562,219.0,45377,2022-04-25
2022-05-02,230.25,230.25,259.70001220703125,218.14999389648438,222.1999969482422,209097,2022-05-02
2022-05-09,182.0500030517578,182.0500030517578,229.8000030517578,180.0,229.8000030517578,103918,2022-05-09
2022-05-16,198.5500030517578,198.5500030517578,208.25,175.35000610351562,184.60000610351562,67073,2022-05-16
2022-05-23,201.1999969482422,201.1999969482422,205.0,177.3000030517578,197.3000030517578,78829,2022-05-23
2022-05-30,183.60000610351562,183.60000610351562,200.0,180.5500030517578,195.1999969482422,99169,2022-05-30
2022-06-06,179.1999969482422,179.1999969482422,188.8000030517578,175.39999389648438,182.0,37859,2022-06-06
2022-06-13,172.39999389648438,172.39999389648438,215.0,169.60000610351562,175.0,28587,2022-06-13
2022-06-20,177.3000030517578,177.3000030517578,185.0,150.60000610351562,166.8000030517578,42408,2022-06-20
2022-06-27,180.10000610351562,180.10000610351562,185.89999389648438,170.0500030517578,184.0,32077,2022-06-27
2022-07-04,201.25,201.25,205.14999389648438,176.25,178.0,99068,2022-07-04
2022-07-11,208.8000030517578,208.8000030517578,226.0,196.39999389648438,205.9499969482422,122270,2022-07-11
2022-07-18,220.0500030517578,220.0500030517578,228.0,205.0,212.0,82619,2022-07-18
2022-07-25,217.75,217.75,225.25,213.0,216.0,49504,2022-07-25
2022-08-01,208.0500030517578,208.0500030517578,223.0,202.6999969482422,217.64999389648438,84873,2022-08-01
2022-08-08,207.6999969482422,207.6999969482422,215.5,201.3000030517578,205.0500030517578,48764,2022-08-08
2022-08-15,186.8000030517578,186.8000030517578,207.6999969482422,180.75,207.6999969482422,73065,2022-08-15
2022-08-22,179.75,179.75,191.0,178.5,191.0,39925,2022-08-22
2022-08-29,188.5,188.5,194.6999969482422,175.3000030517578,177.0,62166,2022-08-29
2022-09-05,198.0,198.0,209.0,183.60000610351562,194.0,101537,2022-09-05
2022-09-12,223.25,223.25,238.39999389648438,191.64999389648438,204.0,439507,2022-09-12
2022-09-19,214.4499969482422,214.4499969482422,232.0,212.1999969482422,231.0,167271,2022-09-19
2022-09-26,215.25,215.25,219.4499969482422,203.0,214.4499969482422,84542,2022-09-26
2022-10-03,215.35000610351562,215.35000610351562,224.0,209.10000610351562,216.0,55964,2022-10-03
2022-10-10,211.1999969482422,211.1999969482422,216.89999389648438,204.3000030517578,215.0,48191,2022-10-10
2022-10-17,211.89999389648438,211.89999389648438,217.4499969482422,205.0500030517578,210.3000030517578,24548,2022-10-17
2022-10-24,228.60000610351562,228.60000610351562,231.9499969482422,210.0,216.85000610351562,69013,2022-10-24
2022-10-31,218.0500030517578,218.0500030517578,234.0,216.89999389648438,228.60000610351562,49420,2022-10-31
2022-11-07,206.6999969482422,206.6999969482422,235.0,205.10000610351562,225.0,100349,2022-11-07
2022-11-14,187.3000030517578,187.3000030517578,212.0,186.60000610351562,207.14999389648438,97604,2022-11-14
2022-11-21,185.35000610351562,185.35000610351562,192.64999389648438,176.60000610351562,188.0,50935,2022-11-21
2022-11-28,198.9499969482422,198.9499969482422,200.10000610351562,180.35000610351562,188.35000610351562,63086,2022-11-28
2022-12-05,195.0,195.0,204.0,187.5,198.5,40972,2022-12-05
2022-12-12,188.14999389648438,188.14999389648438,196.85000610351562,186.35000610351562,194.0,22170,2022-12-12
2022-12-19,177.64999389648438,177.64999389648438,195.0,175.10000610351562,192.39999389648438,31346,2022-12-19
2022-12-26,180.4499969482422,180.4499969482422,188.3000030517578,176.39999389648438,177.60000610351562,27297,2022-12-26
2023-01-02,189.39999389648438,189.39999389648438,193.0,179.14999389648438,183.9499969482422,39764,2023-01-02
2023-01-09,208.14999389648438,208.14999389648438,216.10000610351562,188.0500030517578,188.0500030517578,159354,2023-01-09
2023-01-16,219.39999389648438,219.39999389648438,221.4499969482422,201.1999969482422,207.10000610351562,139849,2023-01-16
2023-01-23,214.60000610351562,214.60000610351562,225.0,206.10000610351562,222.0500030517578,76507,2023-01-23
2023-01-30,213.5500030517578,213.5500030517578,219.6999969482422,205.1999969482422,214.6999969482422,41620,2023-01-30
2023-02-06,202.85000610351562,202.85000610351562,226.39999389648438,200.0500030517578,207.14999389648438,103003,2023-02-06
2023-02-13,192.60000610351562,192.60000610351562,202.0,189.5,202.0,29931,2023-02-13
2023-02-20,179.39999389648438,179.39999389648438,195.0,176.0500030517578,194.9499969482422,28104,2023-02-20
2023-02-27,184.0,184.0,189.89999389648438,175.3000030517578,176.25,38228,2023-02-27
2023-03-06,178.25,178.25,189.89999389648438,176.0,183.9499969482422,40102,2023-03-06
2023-03-13,170.35000610351562,170.35000610351562,179.85000610351562,164.60000610351562,178.25,65834,2023-03-13
2023-03-20,176.60000610351562,176.60000610351562,181.0,163.64999389648438,173.35000610351562,86181,2023-03-20
2023-03-27,171.9499969482422,171.9499969482422,179.89999389648438,165.1999969482422,179.89999389648438,43931,2023-03-27
2023-04-03,185.14999389648438,185.14999389648438,188.85000610351562,169.85000610351562,171.0,26078,2023-04-03
2023-04-10,184.64999389648438,184.64999389648438,188.0,176.10000610351562,184.64999389648438,39366,2023-04-10
