Date,Adj Close_INSECTICID.NS,Close_INSECTICID.NS,High_INSECTICID.NS,Low_INSECTICID.NS,Open_INSECTICID.NS,Volume_INSECTICID.NS,Date
2020-07-13,281.9051208496094,287.9666748046875,298.0,278.4333190917969,295.8666687011719,215839,2020-07-13
2020-07-20,285.16827392578125,291.29998779296875,312.73333740234375,286.23333740234375,292.26666259765625,1207555,2020-07-20
2020-07-27,271.7566833496094,277.6000061035156,295.3666687011719,274.6666564941406,294.0,278704,2020-07-27
2020-08-03,285.2661437988281,291.3999938964844,297.1333312988281,278.6666564941406,284.6333312988281,337192,2020-08-03
2020-08-10,292.6082763671875,298.8999938964844,332.6666564941406,290.23333740234375,297.23333740234375,1231711,2020-08-10
2020-08-17,335.4537048339844,342.6666564941406,352.6666564941406,296.29998779296875,300.4666748046875,2382155,2020-08-17
2020-08-24,328.2420959472656,335.29998779296875,371.9333190917969,333.3333435058594,346.5333251953125,1095362,2020-08-24
2020-08-31,324.4241943359375,331.3999938964844,353.3333435058594,307.4666748046875,338.26666259765625,951673,2020-08-31
2020-09-07,311.3062744140625,318.0,336.0,305.70001220703125,328.0,389787,2020-09-07
2020-09-14,323.8041687011719,330.76666259765625,345.23333740234375,320.0333251953125,321.3333435058594,780141,2020-09-14
2020-09-21,319.7904357910156,326.6666564941406,340.6666564941406,310.20001220703125,337.3333435058594,420245,2020-09-21
2020-09-28,315.3199462890625,322.1000061035156,332.6666564941406,320.1333312988281,329.3333435058594,191348,2020-09-28
2020-10-05,299.1672668457031,305.6000061035156,325.8333435058594,301.3999938964844,321.9333190917969,133769,2020-10-05
2020-10-12,311.8936462402344,318.6000061035156,322.5333251953125,301.3333435058594,308.0,156044,2020-10-12
2020-10-19,305.4978332519531,312.0666809082031,319.9333190917969,302.5333251953125,315.5333251953125,150387,2020-10-19
2020-10-26,300.8315124511719,307.29998779296875,318.6666564941406,303.3333435058594,309.1000061035156,126727,2020-10-26
2020-11-02,300.11358642578125,306.5666809082031,312.6000061035156,291.70001220703125,308.8333435058594,200125,2020-11-02
2020-11-09,288.8556823730469,295.0666809082031,314.76666259765625,262.0,310.0,538014,2020-11-09
2020-11-16,285.7230529785156,291.8666687011719,299.9333190917969,290.0666809082031,294.1000061035156,131101,2020-11-16
2020-11-23,289.22491455078125,294.1000061035156,298.6666564941406,286.1666564941406,293.3333435058594,144580,2020-11-23
2020-11-30,299.8786315917969,304.9333190917969,308.6000061035156,293.3333435058594,294.1000061035156,180770,2020-11-30
2020-12-07,295.8138122558594,300.79998779296875,312.6666564941406,297.3999938964844,304.9333190917969,187853,2020-12-07
2020-12-14,300.3048095703125,305.3666687011719,320.6666564941406,300.8333435058594,301.73333740234375,264166,2020-12-14
2020-12-21,302.0093994140625,307.1000061035156,316.20001220703125,290.0,303.3999938964844,118543,2020-12-21
2020-12-28,305.38580322265625,310.5333251953125,318.0333251953125,306.6666564941406,313.3333435058594,105426,2020-12-28
2021-01-04,311.5813903808594,316.8333435058594,326.0,299.73333740234375,312.0,454861,2021-01-04
2021-01-11,334.2984619140625,339.9333190917969,343.3333435058594,311.23333740234375,318.6666564941406,718333,2021-01-11
2021-01-18,316.4985046386719,321.8333435058594,348.6666564941406,319.0,341.29998779296875,333875,2021-01-18
2021-01-25,317.6786193847656,323.0333251953125,330.6666564941406,314.6666564941406,323.4666748046875,157526,2021-01-25
2021-02-01,307.58209228515625,312.76666259765625,358.5666809082031,303.6666564941406,324.6666564941406,774563,2021-02-01
2021-02-08,305.4841613769531,310.6333312988281,332.6000061035156,305.5,306.8333435058594,442577,2021-02-08
2021-02-15,306.69708251953125,311.8666687011719,326.0,308.5333251953125,310.0,399693,2021-02-15
2021-02-22,300.6653747558594,305.73333740234375,322.6666564941406,300.1000061035156,310.79998779296875,200183,2021-02-22
2021-03-01,296.76446533203125,301.76666259765625,310.0666809082031,300.0,305.73333740234375,254534,2021-03-01
2021-03-08,302.7305908203125,307.8333435058594,310.6666564941406,302.5666809082031,303.4666748046875,121183,2021-03-08
2021-03-15,284.4061279296875,289.20001220703125,309.3999938964844,270.0666809082031,309.3999938964844,220686,2021-03-15
2021-03-22,318.4653625488281,323.8333435058594,337.6000061035156,285.73333740234375,288.4666748046875,1634128,2021-03-22
2021-03-29,311.9091796875,317.1666564941406,339.6666564941406,304.6333312988281,323.8333435058594,735634,2021-03-29
2021-04-05,306.6314697265625,311.79998779296875,319.5666809082031,308.73333740234375,319.5666809082031,209504,2021-04-05
2021-04-12,306.3364562988281,311.5,313.3333435058594,295.1333312988281,313.3333435058594,135161,2021-04-12
2021-04-19,315.1217041015625,320.4333190917969,322.0,303.3333435058594,311.5,173002,2021-04-19
2021-04-26,317.1868591308594,322.5333251953125,329.0,317.3333435058594,322.0,289360,2021-04-26
2021-05-03,352.098388671875,358.0333251953125,372.6666564941406,320.0,321.3333435058594,833947,2021-05-03
2021-05-10,349.5743408203125,355.4666748046875,381.6333312988281,353.3333435058594,361.3333435058594,1329940,2021-05-10
2021-05-17,366.84979248046875,373.0333251953125,380.0,354.6666564941406,357.26666259765625,788337,2021-05-17
2021-05-24,349.37762451171875,355.26666259765625,383.3333435058594,352.26666259765625,376.0,281682,2021-05-24
2021-05-31,365.76800537109375,371.9333190917969,382.6666564941406,346.6666564941406,363.29998779296875,537040,2021-05-31
2021-06-07,415.0375671386719,422.0333251953125,443.3333435058594,374.3333435058594,375.4666748046875,1693440,2021-06-07
