Date,Adj Close_ITDCEM.NS,Close_ITDCEM.NS,High_ITDCEM.NS,Low_ITDCEM.NS,Open_ITDCEM.NS,Volume_ITDCEM.NS,Date
2020-07-13,49.11050033569336,50.0,52.5,47.0,49.650001525878906,637051,2020-07-13
2020-07-20,46.1147575378418,46.95000076293945,51.0,46.400001525878906,49.5,847153,2020-07-20
2020-07-27,44.44499969482422,45.25,48.900001525878906,43.0,46.5,1489554,2020-07-27
2020-08-03,43.95389938354492,44.75,46.70000076293945,43.20000076293945,45.0,1268109,2020-08-03
2020-08-10,43.1190185546875,43.900001525878906,46.900001525878906,41.849998474121094,44.900001525878906,2266859,2020-08-10
2020-08-17,51.36957931518555,52.29999923706055,54.70000076293945,42.79999923706055,44.29999923706055,9428401,2020-08-17
2020-08-24,57.16461944580078,58.20000076293945,60.75,51.099998474121094,55.650001525878906,11875992,2020-08-24
2020-08-31,52.450016021728516,53.400001525878906,59.70000076293945,51.75,58.75,2573579,2020-08-31
2020-09-07,49.06138610839844,49.95000076293945,53.849998474121094,46.5,53.650001525878906,2108356,2020-09-07
2020-09-14,50.68203353881836,51.599998474121094,62.0,49.79999923706055,50.849998474121094,12303024,2020-09-14
2020-09-21,48.7466926574707,49.349998474121094,52.349998474121094,46.099998474121094,51.849998474121094,5694089,2020-09-21
2020-09-28,49.68507766723633,50.29999923706055,52.5,50.0,51.400001525878906,1954891,2020-09-28
2020-10-05,49.8332405090332,50.45000076293945,53.0,49.599998474121094,50.5,2216823,2020-10-05
2020-10-12,49.38874435424805,50.0,50.900001525878906,48.70000076293945,50.79999923706055,1331145,2020-10-12
2020-10-19,50.82101821899414,51.45000076293945,51.849998474121094,49.0,50.400001525878906,1364658,2020-10-19
2020-10-26,48.40097427368164,49.0,51.849998474121094,48.0,51.79999923706055,1202844,2020-10-26
2020-11-02,52.2532958984375,52.900001525878906,54.0,48.349998474121094,49.099998474121094,1585689,2020-11-02
2020-11-09,50.57407760620117,51.20000076293945,54.0,49.599998474121094,53.599998474121094,2148241,2020-11-09
2020-11-16,54.278228759765625,54.95000076293945,61.0,50.650001525878906,51.04999923706055,8441291,2020-11-16
2020-11-23,55.46356201171875,56.150001525878906,57.20000076293945,53.20000076293945,55.099998474121094,2450847,2020-11-23
2020-11-30,56.94522476196289,57.650001525878906,59.900001525878906,55.79999923706055,56.150001525878906,3156912,2020-11-30
2020-12-07,56.550113677978516,57.25,62.0,55.29999923706055,58.0,4312044,2020-12-07
2020-12-14,63.365760803222656,64.1500015258789,68.0,57.04999923706055,57.650001525878906,12680859,2020-12-14
2020-12-21,57.29094314575195,58.0,64.80000305175781,50.599998474121094,64.5,3860900,2020-12-21
2020-12-28,66.03274536132812,66.8499984741211,69.25,57.349998474121094,58.29999923706055,10370065,2020-12-28
2021-01-04,71.71245574951172,72.5999984741211,73.55000305175781,62.20000076293945,67.5,7644517,2021-01-04
2021-01-11,68.74913787841797,69.5999984741211,78.5,68.5999984741211,76.3499984741211,9651732,2021-01-11
2021-01-18,64.99559020996094,65.80000305175781,71.4000015258789,65.19999694824219,69.5999984741211,2258108,2021-01-18
2021-01-25,61.98287582397461,62.75,67.80000305175781,61.849998474121094,67.0,1334970,2021-01-25
2021-02-01,66.5266342163086,67.3499984741211,71.5,62.70000076293945,64.80000305175781,3840584,2021-02-01
2021-02-08,71.91001892089844,72.80000305175781,75.94999694824219,67.55000305175781,67.9000015258789,5344143,2021-02-08
2021-02-15,73.4410629272461,74.3499984741211,76.55000305175781,68.0,73.9000015258789,4588111,2021-02-15
2021-02-22,76.3550033569336,77.30000305175781,82.3499984741211,71.75,74.94999694824219,5834588,2021-02-22
2021-03-01,87.02296447753906,88.0999984741211,94.4000015258789,77.25,77.94999694824219,8776704,2021-03-01
2021-03-08,82.47920227050781,83.5,89.80000305175781,82.0999984741211,88.44999694824219,4167002,2021-03-08
2021-03-15,77.98483276367188,78.94999694824219,88.94999694824219,75.6500015258789,83.5,3959947,2021-03-15
2021-03-22,78.28115844726562,79.25,83.80000305175781,75.1500015258789,79.80000305175781,2202671,2021-03-22
2021-03-29,77.98483276367188,78.94999694824219,81.19999694824219,77.1500015258789,79.25,690846,2021-03-29
2021-04-05,80.2567138671875,81.25,84.0,75.4000015258789,77.05000305175781,2627835,2021-04-05
2021-04-12,72.79901123046875,73.69999694824219,79.0,72.05000305175781,79.0,1418468,2021-04-12
2021-04-19,72.1569595336914,73.05000305175781,79.4000015258789,69.3499984741211,72.0,1611266,2021-04-19
2021-04-26,70.72467803955078,71.5999984741211,75.94999694824219,70.0,73.1500015258789,1642264,2021-04-26
2021-05-03,74.03372192382812,74.94999694824219,76.0,70.6500015258789,71.4000015258789,2809755,2021-05-03
2021-05-10,77.34278106689453,78.30000305175781,84.30000305175781,75.94999694824219,76.0,4594317,2021-05-10
2021-05-17,84.05963897705078,85.0999984741211,86.94999694824219,78.9000015258789,78.94999694824219,5404971,2021-05-17
2021-05-24,79.46648406982422,80.44999694824219,89.44999694824219,75.1500015258789,86.0,5180479,2021-05-24
2021-05-31,80.35547637939453,81.3499984741211,85.25,80.6500015258789,84.5,3991513,2021-05-31
2021-06-07,86.87479400634766,87.94999694824219,90.5,81.5999984741211,83.0,8225614,2021-06-07
2021-06-14,82.13348388671875,83.1500015258789,89.5999984741211,80.75,88.5999984741211,3877979,2021-06-14
2021-06-21,81.83715057373047,82.8499984741211,88.5,81.75,82.5999984741211,4391387,2021-06-21
2021-06-28,81.83715057373047,82.8499984741211,84.80000305175781,81.5,83.5,1926535,2021-06-28
2021-07-05,86.43030548095703,87.5,92.4000015258789,83.0999984741211,83.0999984741211,10521446,2021-07-05
2021-07-12,90.7765121459961,91.9000015258789,97.44999694824219,86.5,88.25,12585075,2021-07-12
2021-07-19,88.70218658447266,89.80000305175781,93.80000305175781,88.75,91.05000305175781,3539095,2021-07-19
2021-07-26,84.65230560302734,85.69999694824219,91.4000015258789,83.80000305175781,89.94999694824219,3083920,2021-07-26
2021-08-02,81.59020233154297,82.5999984741211,87.80000305175781,81.0999984741211,86.5,3009586,2021-08-02
2021-08-09,84.3559799194336,85.4000015258789,87.30000305175781,77.0999984741211,83.0,5022358,2021-08-09
2021-08-16,77.24398803710938,78.19999694824219,87.4000015258789,77.0999984741211,85.9000015258789,1181407,2021-08-16
2021-08-23,74.4288330078125,75.3499984741211,80.80000305175781,73.9000015258789,80.5,2920324,2021-08-23
2021-08-30,75.95989227294922,76.9000015258789,80.5999984741211,76.0,76.0,2628783,2021-08-30
2021-09-06,79.46648406982422,80.44999694824219,83.5,76.80000305175781,77.30000305175781,7391524,2021-09-06
2021-09-13,78.28115844726562,79.25,84.69999694824219,77.55000305175781,80.80000305175781,5926572,2021-09-13
