Date,Adj Close_ITI.NS,Close_ITI.NS,High_ITI.NS,Low_ITI.NS,Open_ITI.NS,Volume_ITI.NS,Date
2020-07-13,125.9000015258789,125.9000015258789,132.5,121.05000305175781,130.0,4721250,2020-07-13
2020-07-20,138.25,138.25,142.5,119.5,126.4000015258789,18297444,2020-07-20
2020-07-27,128.9499969482422,128.9499969482422,142.25,128.5,136.10000610351562,13435516,2020-07-27
2020-08-03,134.85000610351562,134.85000610351562,138.75,126.5999984741211,127.0,6768542,2020-08-03
2020-08-10,137.89999389648438,137.89999389648438,145.8000030517578,135.1999969482422,140.0,13618441,2020-08-10
2020-08-17,140.4499969482422,140.4499969482422,151.64999389648438,140.0,142.85000610351562,14817871,2020-08-17
2020-08-24,137.6999969482422,137.6999969482422,143.8000030517578,135.60000610351562,141.0500030517578,8314654,2020-08-24
2020-08-31,135.3000030517578,135.3000030517578,140.64999389648438,129.0500030517578,138.5,5041360,2020-08-31
2020-09-07,137.0,137.0,141.0,118.4000015258789,134.8000030517578,16893108,2020-09-07
2020-09-14,130.39999389648438,130.39999389648438,136.89999389648438,128.25,136.89999389648438,5144988,2020-09-14
2020-09-21,120.80000305175781,120.80000305175781,131.6999969482422,117.0,129.89999389648438,4331542,2020-09-21
2020-09-28,125.0999984741211,125.0999984741211,132.5500030517578,121.75,122.25,3813759,2020-09-28
2020-10-05,124.69999694824219,124.69999694824219,134.5,124.0,133.0,5808341,2020-10-05
2020-10-12,123.05000305175781,123.05000305175781,128.0,121.0999984741211,125.30000305175781,2579456,2020-10-12
2020-10-19,122.19999694824219,122.19999694824219,124.30000305175781,121.19999694824219,124.0,1592244,2020-10-19
2020-10-26,118.3499984741211,118.3499984741211,122.80000305175781,116.0,122.6500015258789,1698131,2020-10-26
2020-11-02,124.75,124.75,128.0,113.3499984741211,118.94999694824219,4051678,2020-11-02
2020-11-09,123.44999694824219,123.44999694824219,129.60000610351562,118.80000305175781,124.80000305175781,3680214,2020-11-09
2020-11-16,124.3499984741211,124.3499984741211,128.10000610351562,121.5,123.3499984741211,3002371,2020-11-16
2020-11-23,124.19999694824219,124.19999694824219,128.0,121.9000015258789,125.3499984741211,3051997,2020-11-23
2020-11-30,126.44999694824219,126.44999694824219,130.89999389648438,123.6500015258789,124.19999694824219,4149236,2020-11-30
2020-12-07,127.6500015258789,127.6500015258789,135.8000030517578,126.0999984741211,126.80000305175781,7792599,2020-12-07
2020-12-14,131.10000610351562,131.10000610351562,137.6999969482422,127.30000305175781,128.10000610351562,7548012,2020-12-14
2020-12-21,128.0500030517578,128.0500030517578,132.0,117.0999984741211,130.6999969482422,2662824,2020-12-21
2020-12-28,127.19999694824219,127.19999694824219,130.89999389648438,125.25,128.0500030517578,1678424,2020-12-28
2021-01-04,127.30000305175781,127.30000305175781,130.8000030517578,126.0,129.5,2420496,2021-01-04
2021-01-11,128.85000610351562,128.85000610351562,139.39999389648438,124.4000015258789,127.44999694824219,9335734,2021-01-11
2021-01-18,124.8499984741211,124.8499984741211,130.39999389648438,124.55000305175781,129.64999389648438,1806709,2021-01-18
2021-01-25,121.0999984741211,121.0999984741211,125.8499984741211,119.0999984741211,125.5999984741211,880498,2021-01-25
2021-02-01,125.5999984741211,125.5999984741211,134.75,120.80000305175781,121.94999694824219,3759797,2021-02-01
2021-02-08,124.55000305175781,124.55000305175781,133.3000030517578,123.8499984741211,126.30000305175781,2861093,2021-02-08
2021-02-15,127.1500015258789,127.1500015258789,137.39999389648438,121.1500015258789,124.0,15138238,2021-02-15
2021-02-22,126.25,126.25,133.3000030517578,124.0,126.25,3654496,2021-02-22
2021-03-01,127.30000305175781,127.30000305175781,134.0,126.19999694824219,127.19999694824219,4760499,2021-03-01
2021-03-08,129.0500030517578,129.0500030517578,133.6999969482422,126.30000305175781,127.5999984741211,4469690,2021-03-08
2021-03-15,118.30000305175781,118.30000305175781,131.35000610351562,114.80000305175781,129.5,3589979,2021-03-15
2021-03-22,115.6500015258789,115.6500015258789,121.6500015258789,111.6500015258789,119.0,2718714,2021-03-22
2021-03-29,117.1500015258789,117.1500015258789,118.19999694824219,114.25,115.6500015258789,974099,2021-03-29
2021-04-05,115.9000015258789,115.9000015258789,119.3499984741211,113.8499984741211,116.69999694824219,1511774,2021-04-05
2021-04-12,108.6500015258789,108.6500015258789,114.0,107.0999984741211,114.0,973464,2021-04-12
2021-04-19,106.55000305175781,106.55000305175781,109.0,102.0,106.9000015258789,1429761,2021-04-19
2021-04-26,107.80000305175781,107.80000305175781,110.8499984741211,105.69999694824219,106.69999694824219,1236087,2021-04-26
2021-05-03,120.5,120.5,123.80000305175781,106.0,106.69999694824219,6516331,2021-05-03
2021-05-10,118.05000305175781,118.05000305175781,127.5,116.5999984741211,120.5,4437688,2021-05-10
2021-05-17,121.80000305175781,121.80000305175781,123.5,117.5,118.19999694824219,2043757,2021-05-17
2021-05-24,122.3499984741211,122.3499984741211,124.55000305175781,119.1500015258789,122.5999984741211,2777147,2021-05-24
2021-05-31,124.0999984741211,124.0999984741211,126.8499984741211,119.8499984741211,122.80000305175781,4397285,2021-05-31
2021-06-07,126.80000305175781,126.80000305175781,132.3000030517578,123.30000305175781,125.44999694824219,9942902,2021-06-07
2021-06-14,127.5999984741211,127.5999984741211,137.64999389648438,123.0,126.80000305175781,11610821,2021-06-14
2021-06-21,128.25,128.25,137.60000610351562,125.0,125.80000305175781,12756853,2021-06-21
2021-06-28,131.25,131.25,133.8000030517578,126.69999694824219,126.69999694824219,7719259,2021-06-28
2021-07-05,129.10000610351562,129.10000610351562,134.0,127.5,131.85000610351562,4116287,2021-07-05
2021-07-12,136.60000610351562,136.60000610351562,143.8000030517578,126.75,129.75,11731733,2021-07-12
2021-07-19,127.5999984741211,127.5999984741211,136.5500030517578,127.25,133.9499969482422,2967530,2021-07-19
2021-07-26,128.10000610351562,128.10000610351562,131.85000610351562,123.94999694824219,127.30000305175781,3852846,2021-07-26
2021-08-02,126.3499984741211,126.3499984741211,135.5,125.19999694824219,128.10000610351562,3248386,2021-08-02
2021-08-09,121.30000305175781,121.30000305175781,126.69999694824219,118.1500015258789,126.3499984741211,2275534,2021-08-09
2021-08-16,113.05000305175781,113.05000305175781,120.80000305175781,110.3499984741211,120.80000305175781,1119189,2021-08-16
2021-08-23,114.1500015258789,114.1500015258789,116.3499984741211,110.3499984741211,114.4000015258789,1141101,2021-08-23
2021-08-30,116.69999694824219,116.69999694824219,121.4000015258789,110.8499984741211,114.69999694824219,1505438,2021-08-30
2021-09-06,118.44999694824219,118.44999694824219,122.44999694824219,116.0,117.5999984741211,1760608,2021-09-06
2021-09-13,118.5999984741211,118.5999984741211,124.30000305175781,117.55000305175781,119.0,2551026,2021-09-13
2021-09-20,118.0,118.0,122.30000305175781,116.5,117.5,1345612,2021-09-20
2021-09-27,124.4000015258789,124.4000015258789,128.5500030517578,117.5,118.5999984741211,6540858,2021-09-27
2021-10-04,121.5,121.5,128.89999389648438,120.4000015258789,125.0,2487271,2021-10-04
2021-10-11,128.0,128.0,133.5,120.5999984741211,122.3499984741211,7337745,2021-10-11
2021-10-18,121.4000015258789,121.4000015258789,129.64999389648438,119.6500015258789,129.0500030517578,3609098,2021-10-18
2021-10-25,117.5,117.5,125.75,116.25,122.30000305175781,1917345,2021-10-25
2021-11-01,119.9000015258789,119.9000015258789,122.0999984741211,118.30000305175781,118.30000305175781,610832,2021-11-01
2021-11-08,117.94999694824219,117.94999694824219,123.4000015258789,116.80000305175781,120.55000305175781,1299277,2021-11-08
2021-11-15,118.0999984741211,118.0999984741211,123.3499984741211,115.19999694824219,117.8499984741211,2064634,2021-11-15
2021-11-22,112.0,112.0,118.80000305175781,111.0999984741211,118.5,1229748,2021-11-22
