Date,Adj Close_JIOFIN.NS,Close_JIOFIN.NS,High_JIOFIN.NS,Low_JIOFIN.NS,Open_JIOFIN.NS,Volume_JIOFIN.NS,Date
2023-08-21,214.5,214.5,262.04998779296875,202.8000030517578,262.0,394999200,2023-08-21
2023-08-28,245.14999389648438,245.14999389648438,245.14999389648438,207.25,213.35000610351562,365221830,2023-08-28
2023-09-04,253.1999969482422,253.1999969482422,266.95001220703125,246.0500030517578,255.3000030517578,451733730,2023-09-04
2023-09-11,239.39999389648438,239.39999389648438,257.70001220703125,236.60000610351562,256.95001220703125,133765880,2023-09-11
2023-09-18,227.8000030517578,227.8000030517578,240.85000610351562,226.35000610351562,240.0,114441110,2023-09-18
2023-09-25,231.1999969482422,231.1999969482422,232.89999389648438,224.75,230.0,53989543,2023-09-25
2023-10-02,225.10000610351562,225.10000610351562,233.89999389648438,223.5,231.5,57908800,2023-10-02
2023-10-09,224.5500030517578,224.5500030517578,227.6999969482422,218.85000610351562,223.0,49831083,2023-10-09
2023-10-16,214.1999969482422,214.1999969482422,233.0,209.0500030517578,224.89999389648438,125981390,2023-10-16
2023-10-23,222.89999389648438,222.89999389648438,225.60000610351562,204.25,214.0,84560510,2023-10-23
2023-10-30,219.0500030517578,219.0500030517578,226.1999969482422,215.3000030517578,224.5,68740155,2023-10-30
2023-11-06,225.5500030517578,225.5500030517578,226.5,213.8000030517578,220.39999389648438,82413580,2023-11-06
2023-11-13,220.8000030517578,220.8000030517578,229.3000030517578,220.39999389648438,223.0,65332120,2023-11-13
2023-11-20,226.5,226.5,227.85000610351562,215.0500030517578,221.75,103729650,2023-11-20
2023-11-27,225.5,225.5,232.3000030517578,222.64999389648438,228.0500030517578,102743490,2023-11-27
2023-12-04,244.25,244.25,251.60000610351562,227.89999389648438,229.75,169247030,2023-12-04
2023-12-11,237.64999389648438,237.64999389648438,247.3000030517578,235.35000610351562,244.85000610351562,75978653,2023-12-11
2023-12-18,236.75,236.75,248.1999969482422,229.0,241.0,102570650,2023-12-18
2023-12-25,232.9499969482422,232.9499969482422,238.0,232.25,237.25,46445210,2023-12-25
2024-01-01,243.64999389648438,243.64999389648438,248.1999969482422,232.0,233.35000610351562,89532492,2024-01-01
2024-01-08,255.0500030517578,255.0500030517578,259.3500061035156,239.3000030517578,246.85000610351562,136161890,2024-01-08
2024-01-15,246.4499969482422,246.4499969482422,269.70001220703125,242.14999389648438,258.0,195608350,2024-01-15
2024-01-22,239.85000610351562,239.85000610351562,248.0500030517578,237.10000610351562,247.85000610351562,40813990,2024-01-22
2024-01-29,253.8000030517578,253.8000030517578,257.29998779296875,240.0,242.0,126166880,2024-01-29
2024-02-05,273.0,273.0,295.70001220703125,255.6999969482422,256.3500061035156,401697710,2024-02-05
2024-02-12,271.8999938964844,271.8999938964844,281.1000061035156,263.70001220703125,276.1000061035156,133452930,2024-02-12
2024-02-19,333.95001220703125,333.95001220703125,347.0,271.8999938964844,273.25,483975360,2024-02-19
2024-02-26,328.25,328.25,348.0,306.04998779296875,340.45001220703125,348666510,2024-02-26
2024-03-04,333.8999938964844,333.8999938964844,337.3999938964844,319.5,329.95001220703125,132191410,2024-03-04
2024-03-11,344.75,344.75,374.5,318.0,336.8999938964844,461681390,2024-03-11
2024-03-18,344.6499938964844,344.6499938964844,359.70001220703125,335.6499938964844,346.95001220703125,190636970,2024-03-18
2024-03-25,353.75,353.75,357.75,343.54998779296875,345.0,99936740,2024-03-25
2024-04-01,373.20001220703125,373.20001220703125,374.8500061035156,353.20001220703125,357.0,152155770,2024-04-01
2024-04-08,372.20001220703125,372.20001220703125,378.8500061035156,365.3999938964844,376.0,105242080,2024-04-08
2024-04-15,370.1000061035156,370.1000061035156,384.3999938964844,351.0,362.0,210074440,2024-04-15
2024-04-22,381.75,381.75,394.70001220703125,375.25,378.0,143027020,2024-04-22
2024-04-29,375.8999938964844,375.8999938964844,385.8500061035156,372.5,383.6000061035156,74502860,2024-04-29
2024-05-06,347.8500061035156,347.8500061035156,378.8999938964844,336.79998779296875,378.1000061035156,111172730,2024-05-06
2024-05-13,362.20001220703125,362.20001220703125,363.70001220703125,335.3999938964844,347.8500061035156,82598936,2024-05-13
