Date,Adj Close_KEC.NS,Close_KEC.NS,High_KEC.NS,Low_KEC.NS,Open_KEC.NS,Volume_KEC.NS,Date
2020-07-13,261.9454345703125,269.8999938964844,278.8999938964844,266.1000061035156,269.1000061035156,954941,2020-07-13
2020-07-20,257.2869567871094,265.1000061035156,273.95001220703125,264.0,270.0,2051601,2020-07-20
2020-07-27,266.84661865234375,274.95001220703125,288.0,258.0,265.0,2048575,2020-07-27
2020-08-03,267.6715393066406,275.79998779296875,281.79998779296875,266.54998779296875,274.6499938964844,2000616,2020-08-03
2020-08-10,298.5828857421875,307.6499938964844,320.0,272.6499938964844,277.20001220703125,4778114,2020-08-10
2020-08-17,309.4527893066406,318.8500061035156,325.0,308.0,312.79998779296875,1857282,2020-08-17
2020-08-24,323.2828369140625,333.1000061035156,344.6000061035156,320.04998779296875,321.5,1927482,2020-08-24
2020-08-31,316.8773193359375,326.5,335.75,312.0,333.1499938964844,2684102,2020-08-31
2020-09-07,315.0818176269531,324.6499938964844,333.8999938964844,317.0,328.8500061035156,1116501,2020-09-07
2020-09-14,327.8928527832031,337.8500061035156,359.5,325.79998779296875,325.79998779296875,4281910,2020-09-14
2020-09-21,308.67633056640625,318.04998779296875,351.3500061035156,298.5,346.5,2352207,2020-09-21
2020-09-28,339.5876770019531,349.8999938964844,355.0,320.3500061035156,324.6000061035156,1265810,2020-09-28
2020-10-05,331.14410400390625,341.20001220703125,358.95001220703125,336.79998779296875,351.0,1947801,2020-10-05
2020-10-12,319.643310546875,329.3500061035156,351.25,325.1000061035156,342.25,1866929,2020-10-12
2020-10-19,328.3295593261719,338.29998779296875,339.8999938964844,312.1000061035156,331.04998779296875,1763817,2020-10-19
2020-10-26,315.4700622558594,325.04998779296875,344.75,321.54998779296875,335.1000061035156,2598787,2020-10-26
2020-11-02,326.7281799316406,336.6499938964844,343.29998779296875,324.1000061035156,326.0,1179601,2020-11-02
2020-11-09,330.6102600097656,340.6499938964844,346.95001220703125,328.54998779296875,339.0,1242929,2020-11-09
2020-11-16,338.52008056640625,348.79998779296875,369.6000061035156,335.45001220703125,338.04998779296875,4142960,2020-11-16
2020-11-23,348.9047546386719,359.5,363.0,335.6000061035156,352.20001220703125,2761458,2020-11-23
2020-11-30,351.2340393066406,361.8999938964844,384.0,357.79998779296875,359.5,3264434,2020-11-30
2020-12-07,356.1836853027344,367.0,379.0,364.6000061035156,365.70001220703125,1514521,2020-12-07
2020-12-14,359.2893981933594,370.20001220703125,384.95001220703125,357.0,384.95001220703125,2126039,2020-12-14
2020-12-21,354.29119873046875,365.04998779296875,370.79998779296875,317.54998779296875,366.0,1694581,2020-12-21
2020-12-28,360.9878234863281,371.95001220703125,375.0,360.1000061035156,366.8999938964844,979374,2020-12-28
2021-01-04,351.6707458496094,362.3500061035156,386.0,359.04998779296875,370.1499938964844,2379994,2021-01-04
2021-01-11,342.887451171875,353.29998779296875,376.0,348.8999938964844,375.8999938964844,2207469,2021-01-11
2021-01-18,346.9151916503906,357.45001220703125,365.0,337.6499938964844,353.20001220703125,1605781,2021-01-18
2021-01-25,349.0503234863281,359.6499938964844,363.0,349.5,359.0,846959,2021-01-25
2021-02-01,396.46063232421875,408.5,420.3999938964844,354.5,362.0,4234012,2021-02-01
2021-02-08,417.3269348144531,430.0,440.0,412.8999938964844,418.0,1793859,2021-02-08
2021-02-15,419.0253601074219,431.75,444.95001220703125,420.54998779296875,430.0,1088579,2021-02-15
2021-02-22,417.9577941894531,430.6499938964844,437.95001220703125,407.95001220703125,427.79998779296875,1044029,2021-02-22
2021-03-01,445.9575500488281,459.5,486.0,436.04998779296875,444.8999938964844,2518983,2021-03-01
2021-03-08,447.0736083984375,460.6499938964844,479.0,446.79998779296875,466.6000061035156,879513,2021-03-08
2021-03-15,442.3180236816406,455.75,472.0,432.6499938964844,464.0,2146760,2021-03-15
2021-03-22,399.5177917480469,411.6499938964844,469.79998779296875,408.25,455.75,1946327,2021-03-22
2021-03-29,407.1364440917969,419.5,422.70001220703125,382.0,411.6499938964844,2203543,2021-03-29
2021-04-05,415.38592529296875,428.0,444.0,411.04998779296875,413.0,1489294,2021-04-05
2021-04-12,403.01165771484375,415.25,426.95001220703125,395.5,415.6000061035156,894455,2021-04-12
2021-04-19,395.9753723144531,408.0,431.0,405.1000061035156,419.8999938964844,1247561,2021-04-19
2021-04-26,389.5698547363281,401.3999938964844,414.0,391.1000061035156,414.0,1662234,2021-04-26
2021-05-03,366.61688232421875,377.75,403.25,367.79998779296875,398.79998779296875,2137490,2021-05-03
2021-05-10,378.5058288574219,390.0,398.1000061035156,378.0,380.0,2585802,2021-05-10
2021-05-17,395.73272705078125,407.75,412.29998779296875,388.5,391.8999938964844,3694149,2021-05-17
2021-05-24,402.332275390625,414.54998779296875,434.70001220703125,407.5,410.0,1835260,2021-05-24
2021-05-31,393.7431640625,405.70001220703125,419.0,398.70001220703125,416.8999938964844,1072596,2021-05-31
2021-06-07,385.2510070800781,396.95001220703125,410.0,392.0,408.5,1352608,2021-06-07
2021-06-14,403.3028259277344,415.54998779296875,429.1499938964844,389.04998779296875,402.0,4428149,2021-06-14
2021-06-21,442.8033447265625,456.25,459.8999938964844,408.79998779296875,415.0,6821058,2021-06-21
2021-06-28,417.22991943359375,429.8999938964844,463.3999938964844,427.0,457.5,2129561,2021-06-28
2021-07-05,404.7586364746094,417.04998779296875,443.8500061035156,409.8999938964844,434.54998779296875,1500592,2021-07-05
2021-07-12,405.243896484375,417.54998779296875,425.0,411.5,420.0,1891510,2021-07-12
2021-07-19,418.3945617675781,431.1000061035156,437.79998779296875,408.5,422.8999938964844,2037557,2021-07-19
2021-07-26,418.27679443359375,426.8500061035156,441.29998779296875,416.8500061035156,431.0,1412274,2021-07-26
2021-08-02,410.53546142578125,418.95001220703125,423.79998779296875,410.75,420.0,1425881,2021-08-02
2021-08-09,397.5025634765625,405.6499938964844,420.8500061035156,375.1000061035156,420.3999938964844,2041108,2021-08-09
2021-08-16,381.4809265136719,389.29998779296875,407.6000061035156,383.6499938964844,405.0,721607,2021-08-16
2021-08-23,394.6608581542969,402.75,405.0,370.0,390.70001220703125,1075279,2021-08-23
2021-08-30,415.5820007324219,424.1000061035156,428.25,402.75,406.0,1215820,2021-08-30
2021-09-06,422.931396484375,431.6000061035156,434.6499938964844,422.79998779296875,427.0,1161731,2021-09-06
2021-09-13,408.4285888671875,416.79998779296875,447.5,411.5,429.5,2080270,2021-09-13
2021-09-20,443.6565856933594,452.75,474.79998779296875,417.04998779296875,418.0,8466745,2021-09-20
2021-09-27,431.9465637207031,440.79998779296875,458.79998779296875,435.54998779296875,456.0,1422233,2021-09-27
2021-10-04,454.2396240234375,463.54998779296875,469.0,436.75,444.79998779296875,1594106,2021-10-04
