Date,Adj Close_KEI.NS,Close_KEI.NS,High_KEI.NS,Low_KEI.NS,Open_KEI.NS,Volume_KEI.NS,Date
2020-07-13,361.69647216796875,365.3999938964844,380.0,361.6499938964844,373.70001220703125,981489,2020-07-13
2020-07-20,360.1126708984375,363.79998779296875,389.0,362.20001220703125,369.0,1300728,2020-07-20
2020-07-27,344.6213073730469,348.1499938964844,366.0,346.0,361.0,871857,2020-07-27
2020-08-03,373.27789306640625,377.1000061035156,381.5,349.79998779296875,349.79998779296875,1734422,2020-08-03
2020-08-10,367.3882141113281,371.1499938964844,382.5,360.0,379.70001220703125,1238114,2020-08-10
2020-08-17,394.65899658203125,398.70001220703125,409.8999938964844,372.45001220703125,375.0,3133068,2020-08-17
2020-08-24,410.298828125,414.5,422.0,390.0,405.0,2459130,2020-08-24
2020-08-31,384.4139099121094,388.3500061035156,426.0,375.25,418.6000061035156,1178933,2020-08-31
2020-09-07,355.4108581542969,359.04998779296875,393.8999938964844,354.20001220703125,393.0,1085609,2020-09-07
2020-09-14,368.7740173339844,372.54998779296875,391.0,363.20001220703125,364.0,1405954,2020-09-14
2020-09-21,343.73040771484375,347.25,378.29998779296875,334.6499938964844,374.0,706527,2020-09-21
2020-09-28,340.06793212890625,343.54998779296875,360.6000061035156,341.5,354.95001220703125,621310,2020-09-28
2020-10-05,331.505615234375,334.8999938964844,352.0,333.8500061035156,343.6499938964844,697111,2020-10-05
2020-10-12,323.5867004394531,326.8999938964844,348.8999938964844,325.25,337.3500061035156,858078,2020-10-12
2020-10-19,331.8025817871094,335.20001220703125,338.1000061035156,319.6000061035156,330.70001220703125,821684,2020-10-19
2020-10-26,337.8902587890625,341.3500061035156,350.04998779296875,331.04998779296875,340.0,752019,2020-10-26
2020-11-02,327.744140625,331.1000061035156,351.0,323.45001220703125,343.8999938964844,1114254,2020-11-02
2020-11-09,347.9868469238281,351.54998779296875,355.0,332.6499938964844,333.8999938964844,1551522,2020-11-09
2020-11-16,369.6649169921875,373.45001220703125,376.0,344.8500061035156,348.0,1443866,2020-11-16
2020-11-23,420.5934143066406,424.8999938964844,429.20001220703125,374.95001220703125,376.5,2006701,2020-11-23
2020-11-30,425.79022216796875,430.1499938964844,448.0,414.1000061035156,424.8999938964844,832850,2020-11-30
2020-12-07,416.5845031738281,420.8500061035156,433.8500061035156,417.04998779296875,427.0,690233,2020-12-07
2020-12-14,477.31268310546875,482.20001220703125,496.0,415.1000061035156,420.04998779296875,2274244,2020-12-14
2020-12-21,477.3621520996094,482.25,494.6499938964844,454.04998779296875,481.0,898117,2020-12-21
2020-12-28,472.26434326171875,477.1000061035156,498.6000061035156,472.0,485.04998779296875,922212,2020-12-28
2021-01-04,478.698486328125,483.6000061035156,490.0,458.0,479.0,850474,2021-01-04
2021-01-11,474.88751220703125,479.75,494.5,471.0,485.95001220703125,522563,2021-01-11
2021-01-18,505.1278381347656,510.29998779296875,530.0,470.1000061035156,482.0,3113699,2021-01-18
2021-01-25,459.3466491699219,464.04998779296875,515.3499755859375,459.6499938964844,510.20001220703125,1194187,2021-01-25
2021-02-01,481.8660583496094,486.79998779296875,499.0,460.45001220703125,472.0,749309,2021-02-01
2021-02-08,495.3281555175781,500.3999938964844,514.2000122070312,484.1000061035156,488.0,858579,2021-02-08
2021-02-15,485.7265625,490.70001220703125,529.7999877929688,481.5,511.3999938964844,1496306,2021-02-15
2021-02-22,495.1302185058594,500.20001220703125,518.7000122070312,464.0,495.1000061035156,846672,2021-02-22
2021-03-01,489.0425720214844,494.04998779296875,508.0,488.70001220703125,502.70001220703125,884849,2021-03-01
2021-03-08,489.68597412109375,494.70001220703125,501.0,485.29998779296875,488.20001220703125,381001,2021-03-08
2021-03-15,508.92767333984375,512.0499877929688,558.0,481.1499938964844,490.04998779296875,5536167,2021-03-15
2021-03-22,515.4376831054688,518.5999755859375,562.8499755859375,509.3999938964844,522.0,2523949,2021-03-22
2021-03-29,525.3767700195312,528.5999755859375,534.0,515.0,518.5999755859375,513127,2021-03-29
2021-04-05,540.1858520507812,543.5,554.5,500.0,528.5999755859375,938473,2021-04-05
2021-04-12,491.6337890625,494.6499938964844,537.5999755859375,490.1000061035156,536.0,660538,2021-04-12
2021-04-19,510.120361328125,513.25,517.7999877929688,474.70001220703125,491.0,750356,2021-04-19
2021-04-26,517.7237548828125,520.9000244140625,532.4500122070312,508.0,516.25,578302,2021-04-26
2021-05-03,518.2206420898438,521.4000244140625,537.4500122070312,515.7000122070312,518.0,440706,2021-05-03
2021-05-10,504.3557434082031,507.45001220703125,530.0499877929688,505.3999938964844,528.5,470703,2021-05-10
2021-05-17,601.7581787109375,605.4500122070312,638.7999877929688,508.5,508.5,8290095,2021-05-17
2021-05-24,619.300537109375,623.0999755859375,645.5,591.2999877929688,611.0,2476513,2021-05-24
2021-05-31,702.2913818359375,706.5999755859375,718.9000244140625,608.5999755859375,624.0,3391745,2021-05-31
2021-06-07,667.5545043945312,671.6500244140625,717.8499755859375,665.2999877929688,714.0,1112071,2021-06-07
2021-06-14,697.81884765625,702.0999755859375,731.0,640.0,671.7999877929688,4581498,2021-06-14
2021-06-21,703.7822875976562,708.0999755859375,719.6500244140625,664.0,682.2000122070312,1270567,2021-06-21
2021-06-28,731.0648193359375,735.5499877929688,763.6500244140625,686.0,715.5,6968603,2021-06-28
2021-07-05,726.8904418945312,731.3499755859375,746.75,713.9000244140625,739.75,1932421,2021-07-05
2021-07-12,706.6149291992188,710.9500122070312,740.5,703.75,740.5,893628,2021-07-12
2021-07-19,715.2618408203125,719.6500244140625,734.0499877929688,705.0499877929688,708.4000244140625,1026704,2021-07-19
2021-07-26,704.4779663085938,708.7999877929688,737.0,689.5,711.0,1207959,2021-07-26
