Date,Adj Close_KEYFINSERV.NS,Close_KEYFINSERV.NS,High_KEYFINSERV.NS,Low_KEYFINSERV.NS,Open_KEYFINSERV.NS,Volume_KEYFINSERV.NS,Date
2020-07-13,32.611690521240234,34.650001525878906,37.45000076293945,32.099998474121094,35.04999923706055,1502,2020-07-13
2020-07-20,32.799922943115234,34.849998474121094,38.0,32.95000076293945,35.650001525878906,225,2020-07-20
2020-07-27,35.811683654785156,38.04999923706055,38.04999923706055,34.70000076293945,36.54999923706055,252,2020-07-27
2020-08-03,34.776390075683594,36.95000076293945,39.70000076293945,34.29999923706055,39.70000076293945,3221,2020-08-03
2020-08-10,36.37638854980469,38.650001525878906,42.5,33.54999923706055,40.0,6458,2020-08-10
2020-08-17,36.7999153137207,39.099998474121094,42.400001525878906,33.5,41.29999923706055,12015,2020-08-17
2020-08-24,37.69403076171875,40.04999923706055,44.5,36.900001525878906,39.20000076293945,24424,2020-08-24
2020-08-31,37.17638397216797,39.5,43.45000076293945,37.0,43.45000076293945,4215,2020-08-31
2020-09-07,35.764625549316406,38.0,42.79999923706055,34.75,42.79999923706055,3729,2020-09-07
2020-09-14,34.635215759277344,36.79999923706055,39.150001525878906,36.04999923706055,37.849998474121094,2262,2020-09-14
2020-09-21,34.917564392089844,37.099998474121094,42.599998474121094,33.599998474121094,38.099998474121094,24010,2020-09-21
2020-09-28,35.89207077026367,37.150001525878906,40.29999923706055,36.20000076293945,39.650001525878906,1292,2020-09-28
2020-10-05,35.11915588378906,36.349998474121094,40.75,33.599998474121094,38.0,4648,2020-10-05
2020-10-12,36.47175598144531,37.75,37.900001525878906,33.650001525878906,37.900001525878906,920,2020-10-12
2020-10-19,32.510581970214844,33.650001525878906,40.5,31.399999618530273,34.54999923706055,3380,2020-10-19
2020-10-26,36.23021697998047,37.5,40.95000076293945,33.400001525878906,33.650001525878906,1938,2020-10-26
2020-11-02,38.2108039855957,39.54999923706055,41.900001525878906,34.400001525878906,36.0,8172,2020-11-02
2020-11-09,76.7114486694336,79.4000015258789,79.4000015258789,39.54999923706055,43.20000076293945,88116,2020-11-09
2020-11-16,93.13581848144531,96.4000015258789,96.4000015258789,75.6500015258789,75.6500015258789,12881,2020-11-16
2020-11-23,101.68614196777344,105.25,117.0,101.0,101.19999694824219,243151,2020-11-23
2020-11-30,82.84642791748047,85.75,105.25,85.75,105.25,45922,2020-11-30
2020-12-07,86.5660629272461,89.5999984741211,89.5999984741211,73.5999984741211,81.5,62388,2020-12-07
2020-12-14,87.96697235107422,91.05000305175781,98.80000305175781,88.5,94.05000305175781,75409,2020-12-14
2020-12-21,80.38277435302734,83.19999694824219,94.44999694824219,78.19999694824219,94.44999694824219,34090,2020-12-21
2020-12-28,81.44552612304688,84.30000305175781,89.8499984741211,80.19999694824219,87.0999984741211,25276,2020-12-28
2021-01-04,75.89022827148438,78.55000305175781,86.0,77.1500015258789,86.0,49625,2021-01-04
2021-01-11,73.08842468261719,75.6500015258789,80.94999694824219,75.1500015258789,77.30000305175781,15441,2021-01-11
2021-01-18,70.52815246582031,73.0,77.94999694824219,70.30000305175781,77.94999694824219,15405,2021-01-18
2021-01-25,65.35931396484375,67.6500015258789,72.05000305175781,65.0,70.4000015258789,12593,2021-01-25
2021-02-01,63.08888626098633,65.30000305175781,71.0,62.95000076293945,71.0,14657,2021-02-01
2021-02-08,64.5864028930664,66.8499984741211,67.44999694824219,61.20000076293945,62.70000076293945,14028,2021-02-08
2021-02-15,60.335384368896484,62.45000076293945,67.0,60.79999923706055,64.19999694824219,13523,2021-02-15
2021-02-22,59.610782623291016,61.70000076293945,63.95000076293945,59.29999923706055,62.150001525878906,6479,2021-02-22
2021-03-01,60.335384368896484,62.45000076293945,66.75,59.349998474121094,61.45000076293945,9215,2021-03-01
2021-03-08,60.38369369506836,62.5,65.9000015258789,60.70000076293945,65.3499984741211,10218,2021-03-08
2021-03-15,57.00220489501953,59.0,65.5999984741211,56.849998474121094,60.25,8032,2021-03-15
2021-03-22,52.1715087890625,54.0,60.599998474121094,52.54999923706055,57.25,8404,2021-03-22
2021-03-29,54.49024963378906,56.400001525878906,56.400001525878906,51.349998474121094,54.0,5756,2021-03-29
2021-04-05,55.408077239990234,57.349998474121094,62.04999923706055,54.150001525878906,54.349998474121094,6424,2021-04-05
2021-04-12,56.51913833618164,58.5,61.0,54.0,57.349998474121094,5636,2021-04-12
2021-04-19,53.57241439819336,55.45000076293945,59.95000076293945,54.5,58.04999923706055,5742,2021-04-19
2021-04-26,57.1954345703125,59.20000076293945,64.05000305175781,55.099998474121094,55.75,8549,2021-04-26
2021-05-03,54.44194030761719,56.349998474121094,60.349998474121094,53.95000076293945,57.20000076293945,22394,2021-05-03
2021-05-10,55.02162170410156,56.95000076293945,60.0,56.0,57.45000076293945,5936,2021-05-10
2021-05-17,63.57194900512695,65.80000305175781,65.80000305175781,54.900001525878906,56.04999923706055,38940,2021-05-17
2021-05-24,63.57194900512695,65.80000305175781,75.94999694824219,64.5999984741211,71.75,53448,2021-05-24
2021-05-31,65.74576568603516,68.05000305175781,71.5,64.19999694824219,67.5,29719,2021-05-31
2021-06-07,69.46540069580078,71.9000015258789,73.5,66.25,68.80000305175781,37282,2021-06-07
2021-06-14,75.02071380615234,77.6500015258789,84.30000305175781,69.05000305175781,73.5,51811,2021-06-14
2021-06-21,70.38323211669922,72.8499984741211,80.6500015258789,71.0999984741211,75.94999694824219,27285,2021-06-21
2021-06-28,69.85186004638672,72.30000305175781,75.9000015258789,68.0999984741211,72.75,34050,2021-06-28
2021-07-05,69.27217102050781,71.69999694824219,74.80000305175781,69.05000305175781,72.30000305175781,20224,2021-07-05
2021-07-12,71.88075256347656,74.4000015258789,75.25,70.05000305175781,71.25,33709,2021-07-12
2021-07-19,72.84689331054688,75.4000015258789,80.0,72.55000305175781,76.19999694824219,41212,2021-07-19
2021-07-26,72.46043395996094,75.0,79.0999984741211,72.4000015258789,78.6500015258789,35393,2021-07-26
2021-08-02,70.91461181640625,73.4000015258789,78.9000015258789,72.55000305175781,77.69999694824219,40495,2021-08-02
2021-08-09,73.32996368408203,75.9000015258789,78.0,68.0,72.5,51765,2021-08-09
2021-08-16,75.02071380615234,77.6500015258789,91.44999694824219,75.9000015258789,76.5,131207,2021-08-16
2021-08-23,69.56202697753906,72.0,79.94999694824219,70.0,77.25,41103,2021-08-23
2021-08-30,84.10240936279297,87.05000305175781,87.19999694824219,70.19999694824219,76.3499984741211,50205,2021-08-30
2021-09-06,80.672607421875,83.5,95.69999694824219,78.30000305175781,90.80000305175781,85985,2021-09-06
2021-09-13,77.6775894165039,80.4000015258789,87.9000015258789,79.6500015258789,81.5999984741211,25166,2021-09-13
2021-09-20,74.97239685058594,77.5999984741211,88.0,75.5,83.9000015258789,19695,2021-09-20
2021-09-27,79.8059310913086,81.55000305175781,82.0,76.30000305175781,76.30000305175781,19820,2021-09-27
2021-10-04,78.24014282226562,79.94999694824219,83.5,78.0,83.0,25589,2021-10-04
2021-10-11,79.26769256591797,81.0,83.0,77.5999984741211,77.5999984741211,26043,2021-10-11
2021-10-18,75.40216827392578,77.05000305175781,84.44999694824219,76.0,80.5,18016,2021-10-18
2021-10-25,72.90670776367188,74.5,81.0,72.0,81.0,13449,2021-10-25
2021-11-01,99.91643524169922,102.0999984741211,116.4000015258789,73.05000305175781,73.05000305175781,341595,2021-11-01
2021-11-08,98.8888931274414,101.05000305175781,112.94999694824219,93.5999984741211,101.0,217696,2021-11-08
2021-11-15,88.95597076416016,90.9000015258789,101.94999694824219,88.0999984741211,101.05000305175781,30378,2021-11-15
2021-11-22,88.95597076416016,90.9000015258789,100.30000305175781,85.0999984741211,92.80000305175781,39887,2021-11-22
2021-11-29,80.88240051269531,82.6500015258789,90.8499984741211,82.3499984741211,90.0,23342,2021-11-29
2021-12-06,97.61669158935547,99.75,99.75,80.1500015258789,87.9000015258789,83377,2021-12-06
2021-12-13,114.93814849853516,117.44999694824219,131.64999389648438,106.19999694824219,116.4000015258789,955201,2021-12-13
2021-12-20,112.24696350097656,114.69999694824219,118.0,101.5,113.19999694824219,93334,2021-12-20
2021-12-27,102.46083068847656,104.69999694824219,119.55000305175781,103.3499984741211,114.69999694824219,93272,2021-12-27
2022-01-03,103.04800415039062,105.30000305175781,106.75,99.0,105.0,62265,2022-01-03
2022-01-10,101.09077453613281,103.30000305175781,109.6500015258789,101.4000015258789,107.4000015258789,40719,2022-01-10
2022-01-17,98.93782043457031,101.0999984741211,107.94999694824219,100.05000305175781,105.0,47219,2022-01-17
2022-01-24,99.86750793457031,102.05000305175781,104.0999984741211,86.19999694824219,101.0999984741211,45741,2022-01-24
2022-01-31,93.11507415771484,95.1500015258789,103.55000305175781,92.05000305175781,102.05000305175781,36301,2022-01-31
2022-02-07,106.27742767333984,108.5999984741211,140.39999389648438,94.0,97.94999694824219,548734,2022-02-07
2022-02-14,148.55352783203125,151.8000030517578,160.64999389648438,99.9000015258789,107.0,1383358,2022-02-14
2022-02-21,110.63226318359375,113.05000305175781,159.9499969482422,111.25,149.9499969482422,339862,2022-02-21
2022-02-28,109.89830017089844,112.30000305175781,120.5999984741211,108.0,112.69999694824219,85620,2022-02-28
2022-03-07,109.5068588256836,111.9000015258789,119.80000305175781,102.69999694824219,112.0,56151,2022-03-07
2022-03-14,108.52823638916016,110.9000015258789,118.44999694824219,108.30000305175781,114.19999694824219,45567,2022-03-14
2022-03-21,103.29265594482422,105.55000305175781,111.0,104.05000305175781,108.69999694824219,37009,2022-03-21
2022-03-28,105.59239959716797,107.9000015258789,117.0,105.8499984741211,108.75,52620,2022-03-28
2022-04-04,107.35389709472656,109.69999694824219,119.1500015258789,104.75,104.75,55515,2022-04-04
2022-04-11,107.45176696777344,109.80000305175781,114.80000305175781,108.05000305175781,114.80000305175781,9574,2022-04-11
2022-04-18,108.47930145263672,110.8499984741211,119.5,106.55000305175781,106.55000305175781,47309,2022-04-18
2022-04-25,105.39667510986328,107.69999694824219,119.05000305175781,105.0999984741211,110.44999694824219,24721,2022-04-25
2022-05-02,97.81241607666016,99.94999694824219,111.9000015258789,97.0,104.0,17878,2022-05-02
2022-05-09,86.26477813720703,88.1500015258789,107.94999694824219,83.5,99.94999694824219,41264,2022-05-09
2022-05-16,91.59822082519531,93.5999984741211,103.5,88.44999694824219,96.9000015258789,31181,2022-05-16
2022-05-23,92.38111877441406,94.4000015258789,98.0,83.80000305175781,94.44999694824219,23390,2022-05-23
2022-05-30,96.3934326171875,98.5,103.6500015258789,88.80000305175781,93.4000015258789,34971,2022-05-30
2022-06-06,93.0661392211914,95.0999984741211,100.94999694824219,93.30000305175781,100.5,8737,2022-06-06
2022-06-13,97.17632293701172,99.30000305175781,124.8499984741211,87.05000305175781,94.05000305175781,390996,2022-06-13
2022-06-20,91.98966217041016,94.0,101.75,81.6500015258789,99.94999694824219,66959,2022-06-20
2022-06-27,94.14261627197266,96.19999694824219,103.0,95.44999694824219,99.30000305175781,18464,2022-06-27
2022-07-04,120.90769958496094,123.55000305175781,131.89999389648438,92.25,92.25,448903,2022-07-04
2022-07-11,99.67178344726562,101.8499984741211,120.80000305175781,100.05000305175781,120.80000305175781,148582,2022-07-11
2022-07-18,118.31436920166016,120.9000015258789,134.4499969482422,102.05000305175781,104.0,478590,2022-07-18
2022-07-25,116.50393676757812,119.05000305175781,128.8000030517578,110.19999694824219,123.9000015258789,191432,2022-07-25
2022-08-01,117.04216766357422,119.5999984741211,123.80000305175781,114.0,118.3499984741211,85113,2022-08-01
2022-08-08,114.05740356445312,116.55000305175781,127.0,115.05000305175781,120.0,86385,2022-08-08
2022-08-15,113.42130279541016,115.9000015258789,118.75,108.0,116.55000305175781,65836,2022-08-15
2022-08-22,111.61087036132812,114.05000305175781,117.9000015258789,107.0999984741211,117.9000015258789,29640,2022-08-22
2022-08-29,110.92583465576172,113.3499984741211,119.1500015258789,108.55000305175781,110.0,22148,2022-08-29
2022-09-05,114.59563446044922,117.0999984741211,122.25,109.94999694824219,109.94999694824219,51700,2022-09-05
2022-09-12,118.21650695800781,120.80000305175781,139.0,113.0999984741211,117.9000015258789,456857,2022-09-12
2022-09-19,111.0726318359375,113.5,126.5,110.9000015258789,123.5999984741211,92565,2022-09-19
2022-09-26,106.86132049560547,108.25,114.80000305175781,107.05000305175781,114.0,29189,2022-09-26
2022-10-03,109.52667999267578,110.94999694824219,117.0999984741211,108.5,111.6500015258789,40140,2022-10-03
2022-10-10,104.83761596679688,106.19999694824219,114.8499984741211,101.30000305175781,110.30000305175781,44541,2022-10-10
2022-10-17,100.69149780273438,102.0,106.9000015258789,101.19999694824219,106.19999694824219,13319,2022-10-17
2022-10-24,102.76455688476562,104.0999984741211,110.0999984741211,99.30000305175781,102.0,41254,2022-10-24
2022-10-31,102.02417755126953,103.3499984741211,107.1500015258789,101.0999984741211,104.0,15969,2022-10-31
2022-11-07,104.9856948852539,106.3499984741211,119.6500015258789,103.0999984741211,104.80000305175781,68835,2022-11-07
2022-11-14,103.80108642578125,105.1500015258789,108.0,97.80000305175781,106.3499984741211,19834,2022-11-14
2022-11-21,104.78826141357422,106.1500015258789,108.69999694824219,100.0999984741211,104.0,25036,2022-11-21
2022-11-28,103.8998031616211,105.25,108.69999694824219,101.94999694824219,105.0,22265,2022-11-28
2022-12-05,101.28379821777344,102.5999984741211,105.80000305175781,100.0999984741211,105.0,10476,2022-12-05
