Date,Adj Close_KOPRAN.NS,Close_KOPRAN.NS,High_KOPRAN.NS,Low_KOPRAN.NS,Open_KOPRAN.NS,Volume_KOPRAN.NS,Date
2020-07-13,35.59852981567383,37.650001525878906,38.5,34.20000076293945,36.5,633974,2020-07-13
2020-07-20,37.15861892700195,39.29999923706055,41.849998474121094,36.5,37.900001525878906,1574692,2020-07-20
2020-07-27,45.2900276184082,47.900001525878906,48.79999923706055,39.0,39.0,3254769,2020-07-27
2020-08-03,56.683448791503906,59.95000076293945,60.0,47.400001525878906,48.20000076293945,3405511,2020-08-03
2020-08-10,60.93824768066406,64.44999694824219,72.4000015258789,59.79999923706055,61.20000076293945,4429403,2020-08-10
2020-08-17,67.84049224853516,71.75,76.69999694824219,64.55000305175781,65.9000015258789,2708763,2020-08-17
2020-08-24,67.27318572998047,71.1500015258789,78.0,68.0,74.5,2681319,2020-08-24
2020-08-31,70.1097183227539,74.1500015258789,75.9000015258789,64.25,70.75,1708739,2020-08-31
2020-09-07,65.8076400756836,69.5999984741211,77.0,67.05000305175781,75.5,1130564,2020-09-07
2020-09-14,83.63053131103516,88.44999694824219,88.44999694824219,71.0,71.80000305175781,2722880,2020-09-14
2020-09-21,78.9975357055664,83.55000305175781,92.8499984741211,79.0,91.69999694824219,3238920,2020-09-21
2020-09-28,85.71067810058594,90.6500015258789,96.5,84.55000305175781,84.94999694824219,2084761,2020-09-28
2020-10-05,86.13615417480469,91.0999984741211,94.25,86.69999694824219,93.0,1749687,2020-10-05
2020-10-12,101.97347259521484,107.8499984741211,108.05000305175781,89.5,91.80000305175781,5009066,2020-10-12
2020-10-19,113.46144104003906,120.0,130.9499969482422,110.25,111.69999694824219,6556419,2020-10-19
2020-10-26,123.34203338623047,130.4499969482422,130.4499969482422,110.0,120.0,4569023,2020-10-26
2020-11-02,117.19621276855469,123.94999694824219,138.0,115.0999984741211,132.0,3378783,2020-11-02
2020-11-09,120.4181137084961,125.80000305175781,134.5,119.1500015258789,128.10000610351562,2957770,2020-11-09
2020-11-16,113.52613830566406,118.5999984741211,126.8499984741211,117.5,124.8499984741211,1221133,2020-11-16
2020-11-23,117.40287017822266,122.6500015258789,122.6500015258789,113.0,117.19999694824219,1138006,2020-11-23
2020-11-30,129.7988739013672,135.60000610351562,146.0,122.6500015258789,122.6500015258789,4171768,2020-11-30
2020-12-07,127.40579986572266,133.10000610351562,138.8000030517578,129.0,135.60000610351562,2063523,2020-12-07
2020-12-14,128.8894805908203,134.64999389648438,141.0,130.8000030517578,133.5,1215983,2020-12-14
2020-12-21,124.7734603881836,130.35000610351562,136.0,121.5999984741211,136.0,1285056,2020-12-21
2020-12-28,132.9098358154297,138.85000610351562,145.5,132.85000610351562,132.89999389648438,2248099,2020-12-28
2021-01-04,131.47398376464844,137.35000610351562,143.5,134.0,140.1999969482422,1268662,2021-01-04
2021-01-11,117.8336181640625,123.0999984741211,140.0,119.8499984741211,140.0,2090231,2021-01-11
