Date,Adj Close_KPEL.NS,Close_KPEL.NS,High_KPEL.NS,Low_KPEL.NS,Open_KPEL.NS,Volume_KPEL.NS,Date
2024-11-11,534.18115234375,534.4500122070312,549.0,526.0,544.9500122070312,66906,2024-11-11
2024-11-18,566.6148681640625,566.9000244140625,589.2000122070312,541.0,557.0,602875,2024-11-18
2024-11-25,619.738037109375,620.0499877929688,626.5499877929688,572.0,582.9500122070312,761151,2024-11-25
2024-12-02,612.2918090820312,612.5999755859375,655.5999755859375,601.0,619.9000244140625,775790,2024-12-02
2024-12-09,609.393310546875,609.7000122070312,675.0,605.0,610.0,1078594,2024-12-09
2024-12-16,552.9216918945312,553.2000122070312,670.6500244140625,544.8499755859375,601.0,1786310,2024-12-16
2024-12-23,528.4840087890625,528.75,566.0999755859375,522.3499755859375,558.0,475742,2024-12-23
2024-12-30,540.6778564453125,540.9500122070312,572.4500122070312,525.8499755859375,534.7999877929688,720435,2024-12-30
2025-01-06,469.1138916015625,469.3500061035156,543.9500122070312,461.95001220703125,540.1500244140625,1229358,2025-01-06
2025-01-13,472.312255859375,472.54998779296875,483.1499938964844,427.6000061035156,465.95001220703125,1810142,2025-01-13
2025-01-20,398.449462890625,398.6499938964844,486.79998779296875,393.04998779296875,440.0,1284701,2025-01-20
2025-01-27,414.5413513183594,414.75,414.75,340.8999938964844,394.79998779296875,1853538,2025-01-27
2025-02-03,419.6887512207031,419.8999938964844,462.54998779296875,393.20001220703125,413.0,2748503,2025-02-03
2025-02-10,406.99517822265625,407.20001220703125,428.0,363.6499938964844,425.0,1370464,2025-02-10
2025-02-17,408.2445373535156,408.45001220703125,433.79998779296875,366.54998779296875,409.0,1142394,2025-02-17
2025-02-24,373.8500061035156,373.8500061035156,414.95001220703125,369.79998779296875,405.0,596609,2025-02-24
2025-03-03,388.54998779296875,388.54998779296875,403.95001220703125,348.79998779296875,381.3999938964844,1824518,2025-03-03
2025-03-10,355.95001220703125,355.95001220703125,393.0,353.29998779296875,388.54998779296875,901604,2025-03-10
2025-03-17,386.95001220703125,386.95001220703125,396.3999938964844,356.6000061035156,361.95001220703125,1052087,2025-03-17
2025-03-24,370.6499938964844,370.6499938964844,404.0,363.0,390.0,1453677,2025-03-24
2025-03-31,407.54998779296875,407.54998779296875,443.70001220703125,371.0,378.1000061035156,1150366,2025-03-31
2025-04-07,402.29998779296875,402.29998779296875,415.0,343.1000061035156,343.1000061035156,889261,2025-04-07
2025-04-14,409.3999938964844,409.3999938964844,423.1000061035156,400.04998779296875,410.3500061035156,680643,2025-04-14
2025-04-21,389.25,389.25,422.3999938964844,385.29998779296875,406.0,1033261,2025-04-21
2025-04-28,364.25,364.25,398.8500061035156,361.45001220703125,379.29998779296875,568433,2025-04-28
2025-05-05,342.54998779296875,342.54998779296875,387.20001220703125,336.6000061035156,368.0,781541,2025-05-05
2025-05-12,434.0,434.0,463.0,363.0,369.0,5567410,2025-05-12
2025-05-19,463.29998779296875,463.29998779296875,497.04998779296875,438.25,440.5,4386671,2025-05-19
2025-05-26,554.5499877929688,554.5499877929688,568.0,461.8999938964844,468.54998779296875,4976100,2025-05-26
2025-06-02,543.6500244140625,543.6500244140625,575.0,532.75,555.9000244140625,2247807,2025-06-02
2025-06-09,517.8499755859375,517.8499755859375,583.7000122070312,511.25,549.0,2328791,2025-06-09
2025-06-16,506.3500061035156,506.3500061035156,530.0,475.0,517.8499755859375,1452063,2025-06-16
2025-06-23,504.95001220703125,504.95001220703125,533.75,491.04998779296875,493.0,1243187,2025-06-23
2025-06-30,503.3999938964844,503.3999938964844,532.0,498.1499938964844,504.95001220703125,1309996,2025-06-30
2025-07-07,497.45001220703125,497.45001220703125,520.6500244140625,485.3999938964844,500.5,1360981,2025-07-07
2025-07-14,518.5499877929688,518.5499877929688,530.0,488.8999938964844,499.0,1072038,2025-07-14
