Date,Adj Close_LASA.NS,Close_LASA.NS,High_LASA.NS,Low_LASA.NS,Open_LASA.NS,Volume_LASA.NS,Date
2020-07-13,43.1712760925293,43.599998474121094,45.0,41.5,45.0,70283,2020-07-13
2020-07-20,42.626686096191406,43.04999923706055,45.75,41.70000076293945,45.75,137503,2020-07-20
2020-07-27,50.00343322753906,50.5,50.5,41.0,44.650001525878906,240257,2020-07-27
2020-08-03,63.2221565246582,63.849998474121094,64.19999694824219,53.0,53.0,656393,2020-08-03
2020-08-10,55.39984130859375,55.95000076293945,64.44999694824219,54.849998474121094,64.44999694824219,318023,2020-08-10
2020-08-17,59.509033203125,60.099998474121094,60.150001525878906,55.0,58.0,377153,2020-08-17
2020-08-24,69.46021270751953,70.1500015258789,70.25,57.0,60.95000076293945,1387313,2020-08-24
2020-08-31,59.608055114746094,60.20000076293945,73.4000015258789,59.29999923706055,70.69999694824219,520043,2020-08-31
2020-09-07,67.92545318603516,68.5999984741211,68.5999984741211,56.099998474121094,60.20000076293945,671751,2020-09-07
2020-09-14,69.06414031982422,69.75,76.0,68.3499984741211,69.9000015258789,1074819,2020-09-14
2020-09-21,66.53922271728516,67.19999694824219,71.5999984741211,63.349998474121094,69.69999694824219,592093,2020-09-21
2020-09-28,65.6480712890625,66.30000305175781,71.44999694824219,65.75,68.94999694824219,448244,2020-09-28
2020-10-05,67.38086700439453,68.05000305175781,72.75,66.0,68.0,354688,2020-10-05
2020-10-12,65.40052795410156,66.05000305175781,69.75,63.650001525878906,67.4000015258789,225696,2020-10-12
2020-10-19,75.64876556396484,76.4000015258789,80.94999694824219,65.0,66.0999984741211,1307834,2020-10-19
2020-10-26,71.19300842285156,71.9000015258789,80.0,69.0,78.75,1087652,2020-10-26
2020-11-02,78.32220458984375,79.0999984741211,83.4000015258789,68.5999984741211,73.69999694824219,2221873,2020-11-02
2020-11-09,77.87663269042969,78.6500015258789,83.5,75.44999694824219,80.5,850040,2020-11-09
2020-11-16,76.58941650390625,77.3499984741211,80.0,74.0999984741211,77.80000305175781,278594,2020-11-16
2020-11-23,84.46125030517578,85.30000305175781,88.5,76.3499984741211,78.0,1758871,2020-11-23
2020-11-30,83.07501220703125,83.9000015258789,92.0,82.69999694824219,85.30000305175781,1773228,2020-11-30
2020-12-07,80.10450744628906,80.9000015258789,90.44999694824219,79.0999984741211,85.4000015258789,928447,2020-12-07
2020-12-14,84.16419219970703,85.0,93.19999694824219,78.75,81.0,1806660,2020-12-14
2020-12-21,81.3917236328125,82.19999694824219,85.94999694824219,70.5,85.0999984741211,600201,2020-12-21
2020-12-28,83.61959838867188,84.44999694824219,91.5999984741211,80.25,83.4000015258789,764419,2020-12-28
2021-01-04,92.23405456542969,93.1500015258789,100.9000015258789,83.5,85.75,1489113,2021-01-04
2021-01-11,90.99634552001953,91.9000015258789,98.69999694824219,81.5,92.80000305175781,1127420,2021-01-11
2021-01-18,86.3920669555664,87.25,95.0,86.1500015258789,91.9000015258789,419485,2021-01-18
2021-01-25,85.3523941040039,86.19999694824219,90.30000305175781,82.05000305175781,88.5,258572,2021-01-25
2021-02-01,78.9658203125,79.75,88.9000015258789,79.0,85.25,700382,2021-02-01
2021-02-08,73.27235412597656,74.0,81.1500015258789,72.0,79.75,822665,2021-02-08
2021-02-15,68.71759033203125,69.4000015258789,75.4000015258789,68.80000305175781,74.0999984741211,951029,2021-02-15
2021-02-22,66.48971557617188,67.1500015258789,71.80000305175781,65.5,70.80000305175781,1244499,2021-02-22
2021-03-01,69.31168365478516,70.0,77.4000015258789,66.69999694824219,67.1500015258789,1536040,2021-03-01
2021-03-08,67.57889556884766,68.25,73.3499984741211,66.0,70.25,914457,2021-03-08
2021-03-15,62.92510986328125,63.54999923706055,69.30000305175781,58.29999923706055,69.0,800813,2021-03-15
2021-03-22,60.499202728271484,61.099998474121094,66.05000305175781,60.099998474121094,63.5,610829,2021-03-22
2021-03-29,59.806087493896484,60.400001525878906,62.95000076293945,58.0,61.099998474121094,309926,2021-03-29
2021-04-05,65.84609985351562,66.5,69.9000015258789,57.5,60.400001525878906,1030000,2021-04-05
2021-04-12,64.11331176757812,64.75,66.9000015258789,60.849998474121094,66.0999984741211,559262,2021-04-12
2021-04-19,71.787109375,72.5,79.5,60.45000076293945,64.3499984741211,2184014,2021-04-19
2021-04-26,76.53990936279297,77.30000305175781,81.5,73.05000305175781,73.94999694824219,2570467,2021-04-26
2021-05-03,76.44088745117188,77.19999694824219,82.9000015258789,75.1500015258789,76.0,1581412,2021-05-03
2021-05-10,76.7874526977539,77.55000305175781,81.9000015258789,74.5,77.19999694824219,1096932,2021-05-10
2021-05-17,77.53007507324219,78.30000305175781,81.9000015258789,75.0,77.25,1092488,2021-05-17
2021-05-24,79.46089935302734,80.25,83.69999694824219,74.5,79.0,2286052,2021-05-24
2021-05-31,74.21300506591797,74.94999694824219,81.5999984741211,72.0999984741211,81.0,2435883,2021-05-31
2021-06-07,77.1340103149414,77.9000015258789,79.94999694824219,75.0,75.94999694824219,2561214,2021-06-07
2021-06-14,80.50057983398438,81.30000305175781,92.9000015258789,77.3499984741211,80.0,5224826,2021-06-14
2021-06-21,81.24320220947266,82.05000305175781,87.5,78.6500015258789,79.94999694824219,2392331,2021-06-21
2021-06-28,81.4907455444336,82.30000305175781,85.25,80.69999694824219,83.0,884014,2021-06-28
2021-07-05,77.38155364990234,78.1500015258789,84.0999984741211,77.1500015258789,82.9000015258789,954852,2021-07-05
2021-07-12,83.9661636352539,84.80000305175781,87.0,78.1500015258789,80.19999694824219,1420410,2021-07-12
2021-07-19,80.6986083984375,81.5,88.5,80.8499984741211,83.9000015258789,1571921,2021-07-19
2021-07-26,73.9654769897461,74.69999694824219,80.80000305175781,70.0,79.5,4547021,2021-07-26
2021-08-02,71.63858032226562,72.3499984741211,78.5,70.94999694824219,75.0,1720167,2021-08-02
2021-08-09,69.65824890136719,70.3499984741211,75.5,64.5999984741211,72.3499984741211,867623,2021-08-09
2021-08-16,64.75691986083984,65.4000015258789,66.9000015258789,60.599998474121094,64.5,1216881,2021-08-16
2021-08-23,78.22319030761719,79.0,83.4000015258789,66.0,66.0,4496259,2021-08-23
2021-08-30,76.58941650390625,77.3499984741211,80.3499984741211,76.0999984741211,79.8499984741211,465170,2021-08-30
2021-09-06,72.8267822265625,73.55000305175781,78.9000015258789,73.05000305175781,78.1500015258789,369204,2021-09-06
2021-09-13,72.77726745605469,73.5,76.6500015258789,72.1500015258789,74.75,667145,2021-09-13
2021-09-20,73.87155151367188,74.3499984741211,85.19999694824219,70.0,73.5,1585332,2021-09-20
2021-09-27,75.85868072509766,76.3499984741211,80.1500015258789,72.69999694824219,74.94999694824219,720840,2021-09-27
2021-10-04,76.80257415771484,77.30000305175781,79.8499984741211,75.55000305175781,77.5,893309,2021-10-04
2021-10-11,72.92767333984375,73.4000015258789,78.0999984741211,72.0,77.30000305175781,1063770,2021-10-11
2021-10-18,62.99201965332031,63.400001525878906,74.0,62.79999923706055,74.0,1589806,2021-10-18
2021-10-25,62.54491424560547,62.95000076293945,64.80000305175781,61.25,64.0,892937,2021-10-25
2021-11-01,63.190731048583984,63.599998474121094,63.849998474121094,61.29999923706055,63.849998474121094,331364,2021-11-01
2021-11-08,63.04169845581055,63.45000076293945,64.80000305175781,61.0,64.0,299959,2021-11-08
2021-11-15,60.756500244140625,61.150001525878906,66.30000305175781,60.400001525878906,62.45000076293945,655317,2021-11-15
2021-11-22,57.97451400756836,58.349998474121094,62.400001525878906,57.099998474121094,61.20000076293945,438223,2021-11-22
2021-11-29,63.24040985107422,63.650001525878906,64.80000305175781,54.849998474121094,58.349998474121094,765333,2021-11-29
2021-12-06,64.0352554321289,64.44999694824219,66.6500015258789,63.0,64.80000305175781,409751,2021-12-06
2021-12-13,71.78507232666016,72.25,75.0,63.150001525878906,63.349998474121094,3408710,2021-12-13
2021-12-20,69.59922790527344,70.05000305175781,74.1500015258789,67.0,71.6500015258789,1331339,2021-12-20
2021-12-27,68.15855407714844,68.5999984741211,73.9000015258789,67.05000305175781,69.5999984741211,1508349,2021-12-27
2022-01-03,68.35726928710938,68.80000305175781,71.4000015258789,65.19999694824219,69.80000305175781,925550,2022-01-03
2022-01-10,73.5238037109375,74.0,84.1500015258789,68.3499984741211,69.0,6773523,2022-01-10
2022-01-17,72.72895050048828,73.19999694824219,78.3499984741211,70.5,74.55000305175781,4511073,2022-01-17
2022-01-24,67.51273345947266,67.94999694824219,76.80000305175781,67.0999984741211,73.19999694824219,2260385,2022-01-24
2022-01-31,63.33976745605469,63.75,69.9000015258789,62.0,69.5,1544912,2022-01-31
2022-02-07,51.764732360839844,52.099998474121094,65.25,51.5,64.30000305175781,2555908,2022-02-07
2022-02-14,49.628570556640625,49.95000076293945,53.20000076293945,46.0,52.0,984739,2022-02-14
2022-02-21,44.95881271362305,45.25,50.150001525878906,41.25,49.5,582133,2022-02-21
2022-02-28,48.73435974121094,49.04999923706055,54.29999923706055,38.0,45.25,722004,2022-02-28
2022-03-07,45.455596923828125,45.75,50.900001525878906,44.5,47.70000076293945,1247142,2022-03-07
2022-03-14,43.81621170043945,44.099998474121094,47.5,41.849998474121094,46.150001525878906,658314,2022-03-14
2022-03-21,43.269752502441406,43.54999923706055,46.900001525878906,43.20000076293945,44.099998474121094,726694,2022-03-21
2022-03-28,46.39948272705078,46.70000076293945,47.099998474121094,37.70000076293945,44.0,1880698,2022-03-28
2022-04-04,54.2983283996582,54.650001525878906,57.0,46.29999923706055,47.099998474121094,1537799,2022-04-04
2022-04-11,57.97451400756836,58.349998474121094,65.5,55.599998474121094,57.79999923706055,5914972,2022-04-11
2022-04-18,57.72612380981445,58.099998474121094,64.4000015258789,56.0,59.75,2225720,2022-04-18
2022-04-25,56.13642120361328,56.5,61.349998474121094,55.25,57.099998474121094,1216206,2022-04-25
2022-05-02,51.26795196533203,51.599998474121094,57.599998474121094,47.75,56.0,581831,2022-05-02
2022-05-09,46.20077133178711,46.5,53.54999923706055,43.79999923706055,52.099998474121094,474158,2022-05-09
2022-05-16,47.49240493774414,47.79999923706055,51.400001525878906,45.599998474121094,48.79999923706055,292443,2022-05-16
2022-05-23,43.0213623046875,43.29999923706055,49.79999923706055,40.45000076293945,48.29999923706055,271105,2022-05-23
2022-05-30,41.381980895996094,41.650001525878906,45.900001525878906,41.349998474121094,43.900001525878906,479617,2022-05-30
2022-06-06,40.53744888305664,40.79999923706055,44.0,40.5,41.650001525878906,253660,2022-06-06
2022-06-13,34.07927703857422,34.29999923706055,41.400001525878906,33.79999923706055,41.400001525878906,672309,2022-06-13
2022-06-20,31.14826202392578,31.350000381469727,35.5,31.0,34.25,627487,2022-06-20
2022-06-27,30.6018009185791,30.799999237060547,33.29999923706055,25.25,31.549999237060547,1699775,2022-06-27
2022-07-04,30.055339813232422,30.25,34.0,27.700000762939453,33.25,1304436,2022-07-04
2022-07-11,31.098583221435547,31.299999237060547,34.599998474121094,29.799999237060547,30.75,478800,2022-07-11
2022-07-18,38.500640869140625,38.75,38.75,31.649999618530273,33.400001525878906,1414422,2022-07-18
2022-07-25,39.04710388183594,39.29999923706055,46.5,38.0,41.900001525878906,3852145,2022-07-25
2022-08-01,37.507076263427734,37.75,40.599998474121094,37.0,40.0,340015,2022-08-01
2022-08-08,32.48957443237305,32.70000076293945,39.599998474121094,32.599998474121094,38.75,424292,2022-08-08
2022-08-15,35.02316665649414,35.25,36.900001525878906,31.299999237060547,32.70000076293945,244106,2022-08-15
2022-08-22,34.42702865600586,34.650001525878906,35.900001525878906,33.20000076293945,35.0,142006,2022-08-22
2022-08-29,34.22831344604492,34.45000076293945,36.45000076293945,33.04999923706055,34.0,187182,2022-08-29
2022-09-05,38.30192947387695,38.54999923706055,38.54999923706055,35.0,35.20000076293945,349816,2022-09-05
2022-09-12,36.86125946044922,37.099998474121094,39.400001525878906,36.900001525878906,38.95000076293945,380336,2022-09-12
2022-09-19,40.349998474121094,40.349998474121094,43.0,36.79999923706055,38.29999923706055,2296840,2022-09-19
2022-09-26,37.5,37.5,40.0,36.45000076293945,40.0,480253,2022-09-26
2022-10-03,37.79999923706055,37.79999923706055,38.900001525878906,36.650001525878906,38.25,115314,2022-10-03
2022-10-10,36.099998474121094,36.099998474121094,38.650001525878906,36.0,38.650001525878906,230292,2022-10-10
2022-10-17,33.54999923706055,33.54999923706055,36.900001525878906,33.400001525878906,36.099998474121094,198617,2022-10-17
2022-10-24,34.04999923706055,34.04999923706055,34.900001525878906,33.400001525878906,33.54999923706055,118120,2022-10-24
2022-10-31,33.650001525878906,33.650001525878906,34.70000076293945,32.599998474121094,34.70000076293945,227192,2022-10-31
2022-11-07,32.45000076293945,32.45000076293945,34.20000076293945,32.0,34.20000076293945,226029,2022-11-07
2022-11-14,32.0,32.0,34.04999923706055,31.75,32.04999923706055,170689,2022-11-14
2022-11-21,31.5,31.5,32.20000076293945,30.700000762939453,31.25,179529,2022-11-21
2022-11-28,33.29999923706055,33.29999923706055,34.0,31.299999237060547,31.549999237060547,250345,2022-11-28
2022-12-05,33.95000076293945,33.95000076293945,37.70000076293945,30.75,31.600000381469727,906972,2022-12-05
2022-12-12,34.099998474121094,34.099998474121094,35.75,33.099998474121094,33.5,398848,2022-12-12
2022-12-19,32.099998474121094,32.099998474121094,37.5,31.950000762939453,34.75,688935,2022-12-19
2022-12-26,33.650001525878906,33.650001525878906,34.900001525878906,32.099998474121094,32.099998474121094,203831,2022-12-26
2023-01-02,28.700000762939453,28.700000762939453,34.349998474121094,27.5,33.5,1328777,2023-01-02
2023-01-09,27.100000381469727,27.100000381469727,30.5,26.700000762939453,29.25,1387277,2023-01-09
2023-01-16,26.100000381469727,26.100000381469727,28.350000381469727,25.799999237060547,28.350000381469727,484092,2023-01-16
2023-01-23,25.899999618530273,25.899999618530273,26.799999237060547,25.200000762939453,26.25,192890,2023-01-23
2023-01-30,25.600000381469727,25.600000381469727,26.350000381469727,24.850000381469727,25.899999618530273,216577,2023-01-30
2023-02-06,26.25,26.25,28.0,25.149999618530273,25.950000762939453,370866,2023-02-06
2023-02-13,29.299999237060547,29.299999237060547,32.400001525878906,24.399999618530273,26.799999237060547,3862098,2023-02-13
2023-02-20,24.5,24.5,30.600000381469727,24.0,29.149999618530273,1194676,2023-02-20
2023-02-27,24.299999237060547,24.299999237060547,25.600000381469727,23.100000381469727,24.5,331293,2023-02-27
2023-03-06,23.950000762939453,23.950000762939453,25.049999237060547,23.799999237060547,24.5,222830,2023-03-06
2023-03-13,22.149999618530273,22.149999618530273,24.399999618530273,21.100000381469727,24.399999618530273,308931,2023-03-13
