Date,Adj Close_LUMAXTECH.NS,Close_LUMAXTECH.NS,High_LUMAXTECH.NS,Low_LUMAXTECH.NS,Open_LUMAXTECH.NS,Volume_LUMAXTECH.NS,Date
2020-07-13,90.97003173828125,97.44999694824219,105.0,89.0999984741211,92.6500015258789,819815,2020-07-13
2020-07-20,91.15674591064453,97.6500015258789,106.80000305175781,95.5,97.0,1358763,2020-07-20
2020-07-27,89.28973388671875,95.6500015258789,98.1500015258789,92.4000015258789,95.8499984741211,216986,2020-07-27
2020-08-03,92.27694702148438,98.8499984741211,103.0,92.80000305175781,95.6500015258789,370169,2020-08-03
2020-08-10,89.47643280029297,95.8499984741211,102.0,95.30000305175781,102.0,228691,2020-08-10
2020-08-17,102.07875061035156,109.3499984741211,114.4000015258789,94.5999984741211,94.5999984741211,1278365,2020-08-17
2020-08-24,96.55694580078125,102.4000015258789,111.9000015258789,102.0,111.9000015258789,334130,2020-08-24
2020-08-31,91.98369598388672,97.55000305175781,102.8499984741211,92.05000305175781,102.5999984741211,216878,2020-08-31
2020-09-07,88.35337829589844,93.69999694824219,99.0,90.5999984741211,95.1500015258789,121915,2020-09-07
2020-09-14,92.9737777709961,98.5999984741211,101.0,93.0999984741211,94.30000305175781,213920,2020-09-14
2020-09-21,88.63626098632812,94.0,99.0,88.0,98.3499984741211,153681,2020-09-21
2020-09-28,93.35094451904297,99.0,100.5,93.3499984741211,96.25,117322,2020-09-28
2020-10-05,94.38818359375,100.0999984741211,103.0,97.5999984741211,101.0,163270,2020-10-05
2020-10-12,94.24674224853516,99.94999694824219,101.4000015258789,96.4000015258789,100.0999984741211,99198,2020-10-12
2020-10-19,95.28397369384766,101.05000305175781,102.0,98.69999694824219,99.9000015258789,111096,2020-10-19
2020-10-26,89.8620834350586,95.30000305175781,102.4000015258789,92.4000015258789,102.0,95496,2020-10-26
2020-11-02,89.29631042480469,94.69999694824219,99.69999694824219,93.30000305175781,99.69999694824219,99492,2020-11-02
2020-11-09,94.90679931640625,100.6500015258789,102.0,93.0,95.69999694824219,251451,2020-11-09
2020-11-16,100.5644302368164,106.6500015258789,111.69999694824219,99.4000015258789,99.4000015258789,395398,2020-11-16
2020-11-23,96.13262176513672,101.94999694824219,107.44999694824219,100.0,106.6500015258789,251326,2020-11-23
2020-11-30,97.68846893310547,103.5999984741211,107.0,99.94999694824219,101.94999694824219,259254,2020-11-30
2020-12-07,111.12533569335938,117.8499984741211,127.30000305175781,102.55000305175781,104.5,2642389,2020-12-07
2020-12-14,117.72591400146484,124.8499984741211,138.25,114.1500015258789,119.0,3422137,2020-12-14
2020-12-21,118.00879669189453,125.1500015258789,128.0,114.5,123.0,394267,2020-12-21
2020-12-28,116.83012390136719,123.9000015258789,131.3000030517578,120.75,125.05000305175781,210566,2020-12-28
2021-01-04,123.05352020263672,130.5,138.89999389648438,121.5999984741211,124.0,1075321,2021-01-04
2021-01-11,117.34874725341797,124.44999694824219,131.8000030517578,122.75,131.5,272157,2021-01-11
2021-01-18,125.92949676513672,133.5500030517578,141.5,123.0999984741211,125.0,1520873,2021-01-18
2021-01-25,120.41329193115234,127.69999694824219,135.3000030517578,123.0,135.3000030517578,183803,2021-01-25
2021-02-01,118.9988784790039,126.19999694824219,132.5500030517578,123.0,127.94999694824219,265079,2021-02-01
2021-02-08,124.8451156616211,132.39999389648438,136.0500030517578,126.25,126.25,281308,2021-02-08
2021-02-15,134.133056640625,142.25,147.89999389648438,128.39999389648438,133.0500030517578,1089061,2021-02-15
2021-02-22,136.86758422851562,145.14999389648438,158.60000610351562,125.0,144.4499969482422,1756843,2021-02-22
2021-03-01,150.02157592773438,159.10000610351562,168.39999389648438,141.5,147.0500030517578,1708168,2021-03-01
2021-03-08,147.23989868164062,156.14999389648438,164.85000610351562,153.25,163.0,561746,2021-03-08
2021-03-15,144.6939697265625,153.4499969482422,166.0,143.8000030517578,159.9499969482422,688521,2021-03-15
2021-03-22,143.04380798339844,151.6999969482422,166.1999969482422,150.0500030517578,157.5,434784,2021-03-22
2021-03-29,154.17050170898438,163.5,172.39999389648438,151.6999969482422,151.6999969482422,719339,2021-03-29
2021-04-05,159.6395721435547,169.3000030517578,174.0,152.0500030517578,163.0,1387246,2021-04-05
2021-04-12,144.50538635253906,153.25,166.9499969482422,149.0500030517578,165.0,347072,2021-04-12
2021-04-19,137.9990997314453,146.35000610351562,157.75,143.6999969482422,154.5,279070,2021-04-19
2021-04-26,138.42343139648438,146.8000030517578,157.0,145.0,146.35000610351562,642187,2021-04-26
2021-05-03,130.78561401367188,138.6999969482422,146.10000610351562,133.39999389648438,145.0,680115,2021-05-03
2021-05-10,123.90215301513672,131.39999389648438,140.0,130.14999389648438,138.14999389648438,331668,2021-05-10
2021-05-17,137.19761657714844,145.5,150.8000030517578,130.9499969482422,133.0,767842,2021-05-17
2021-05-24,137.29190063476562,145.60000610351562,154.8000030517578,143.60000610351562,145.8000030517578,788069,2021-05-24
2021-05-31,139.83782958984375,148.3000030517578,150.35000610351562,142.6999969482422,146.6999969482422,546656,2021-05-31
2021-06-07,153.8876190185547,163.1999969482422,164.5,147.0,151.0,1732907,2021-06-07
2021-06-14,143.3267059326172,152.0,161.5,145.25,161.5,1663945,2021-06-14
2021-06-21,140.02642822265625,148.5,154.0,148.0,149.0,498477,2021-06-21
2021-06-28,145.4011688232422,154.1999969482422,157.1999969482422,150.0,151.9499969482422,636334,2021-06-28
2021-07-05,154.26480102539062,163.60000610351562,168.35000610351562,152.0,159.0,1773765,2021-07-05
2021-07-12,161.24253845214844,171.0,171.89999389648438,159.0500030517578,168.39999389648438,2281100,2021-07-12
2021-07-19,158.93234252929688,168.5500030517578,181.89999389648438,144.0,169.5,1914552,2021-07-19
2021-07-26,158.3665771484375,167.9499969482422,172.3000030517578,160.1999969482422,168.0,697872,2021-07-26
2021-08-02,157.47079467773438,167.0,172.8000030517578,157.1999969482422,168.0,614228,2021-08-02
2021-08-09,147.2870330810547,156.1999969482422,169.4499969482422,145.64999389648438,168.0,967231,2021-08-09
2021-08-16,132.48292541503906,140.5,157.75,139.0,156.1999969482422,326733,2021-08-16
2021-08-23,133.83871459960938,139.0500030517578,145.5500030517578,131.4499969482422,143.0,497033,2021-08-23
2021-08-30,137.1112823486328,142.4499969482422,147.0,139.0,140.3000030517578,387772,2021-08-30
2021-09-06,132.539306640625,137.6999969482422,144.25,136.14999389648438,143.9499969482422,243916,2021-09-06
2021-09-13,134.12747192382812,139.35000610351562,144.85000610351562,136.10000610351562,141.0,498400,2021-09-13
2021-09-20,131.4324188232422,136.5500030517578,141.39999389648438,130.1999969482422,136.6999969482422,368157,2021-09-20
2021-09-27,132.00991821289062,137.14999389648438,145.0,136.0,136.5,709412,2021-09-27
2021-10-04,145.1002197265625,150.75,153.0,137.5500030517578,139.3000030517578,697941,2021-10-04
