Date,Adj Close_MANAKSIA.NS,Close_MANAKSIA.NS,High_MANAKSIA.NS,Low_MANAKSIA.NS,Open_MANAKSIA.NS,Volume_MANAKSIA.NS,Date
2020-07-13,30.467273712158203,33.79999923706055,34.70000076293945,32.54999923706055,34.5,58365,2020-07-13
2020-07-20,30.692626953125,34.04999923706055,34.95000076293945,33.349998474121094,34.95000076293945,53247,2020-07-20
2020-07-27,31.053184509277344,34.45000076293945,35.75,33.0,35.75,72787,2020-07-27
2020-08-03,30.15178680419922,33.45000076293945,35.75,33.0,35.70000076293945,161276,2020-08-03
2020-08-10,31.999650955200195,35.5,37.5,33.04999923706055,33.900001525878906,384871,2020-08-10
2020-08-17,35.01933670043945,38.849998474121094,41.099998474121094,35.95000076293945,36.0,713410,2020-08-17
2020-08-24,38.44465637207031,42.650001525878906,46.900001525878906,38.849998474121094,39.29999923706055,825256,2020-08-24
2020-08-31,35.87566375732422,39.79999923706055,43.20000076293945,38.54999923706055,42.650001525878906,163940,2020-08-31
2020-09-07,35.51511001586914,39.400001525878906,42.95000076293945,37.54999923706055,41.79999923706055,209458,2020-09-07
2020-09-14,37.09255599975586,41.150001525878906,43.349998474121094,38.650001525878906,40.400001525878906,952558,2020-09-14
2020-09-21,35.60525131225586,39.5,42.650001525878906,37.45000076293945,41.0,313355,2020-09-21
2020-09-28,35.60525131225586,39.5,41.349998474121094,39.099998474121094,39.54999923706055,49653,2020-09-28
2020-10-05,35.87566375732422,39.79999923706055,42.0,38.75,39.349998474121094,107829,2020-10-05
2020-10-12,34.56863784790039,38.349998474121094,40.95000076293945,37.54999923706055,40.95000076293945,66981,2020-10-12
2020-10-19,34.83906173706055,38.650001525878906,39.95000076293945,37.5,37.650001525878906,96306,2020-10-19
2020-10-26,34.52356719970703,38.29999923706055,40.650001525878906,37.5,38.04999923706055,185241,2020-10-26
2020-11-02,34.388362884521484,38.150001525878906,39.400001525878906,35.849998474121094,38.150001525878906,93964,2020-11-02
2020-11-09,36.416507720947266,40.400001525878906,41.95000076293945,37.29999923706055,39.5,776671,2020-11-09
2020-11-16,38.39958190917969,42.599998474121094,43.95000076293945,39.29999923706055,39.29999923706055,645372,2020-11-16
2020-11-23,39.43619155883789,43.75,46.599998474121094,41.0,43.5,622435,2020-11-23
2020-11-30,40.743221282958984,45.20000076293945,46.25,43.04999923706055,43.75,333313,2020-11-30
2020-12-07,54.48954772949219,60.45000076293945,64.0,45.45000076293945,45.900001525878906,3939298,2020-12-07
2020-12-14,51.24451446533203,56.849998474121094,64.80000305175781,56.0,61.25,1417332,2020-12-14
2020-12-21,50.027626037597656,55.5,57.75,41.400001525878906,57.70000076293945,402388,2020-12-21
2020-12-28,52.59661102294922,58.349998474121094,61.599998474121094,56.20000076293945,57.099998474121094,389256,2020-12-28
2021-01-04,51.78535842895508,57.45000076293945,61.0,56.5,59.0,390366,2021-01-04
2021-01-11,49.441715240478516,54.849998474121094,59.75,54.150001525878906,59.75,387326,2021-01-11
2021-01-18,47.368499755859375,52.54999923706055,55.5,52.25,54.849998474121094,208923,2021-01-18
2021-01-25,46.151615142822266,51.20000076293945,53.650001525878906,50.400001525878906,53.650001525878906,153425,2021-01-25
2021-02-01,48.08961486816406,53.349998474121094,55.70000076293945,51.04999923706055,52.75,179084,2021-02-01
2021-02-08,50.433258056640625,55.95000076293945,58.0,52.54999923706055,54.849998474121094,248830,2021-02-08
2021-02-15,48.13468933105469,53.400001525878906,56.95000076293945,52.79999923706055,56.5,244941,2021-02-15
2021-02-22,49.03609085083008,54.400001525878906,55.29999923706055,52.5,54.20000076293945,233227,2021-02-22
2021-03-01,48.360042572021484,53.650001525878906,56.900001525878906,53.29999923706055,55.20000076293945,246956,2021-03-01
2021-03-08,49.62199783325195,55.04999923706055,57.900001525878906,53.0,54.70000076293945,556354,2021-03-08
2021-03-15,46.55724334716797,51.650001525878906,55.849998474121094,49.349998474121094,54.650001525878906,331183,2021-03-15
2021-03-22,44.57416534423828,49.45000076293945,53.150001525878906,48.20000076293945,52.95000076293945,192074,2021-03-22
2021-03-29,46.69245147705078,51.79999923706055,52.349998474121094,49.45000076293945,49.45000076293945,101689,2021-03-29
2021-04-05,50.658607482910156,56.20000076293945,56.95000076293945,49.849998474121094,53.0,403878,2021-04-05
2021-04-12,49.3065071105957,54.70000076293945,57.0,50.150001525878906,57.0,301613,2021-04-12
2021-04-19,48.945945739746094,54.29999923706055,55.45000076293945,48.0,54.0,222465,2021-04-19
2021-04-26,50.74874496459961,56.29999923706055,62.20000076293945,53.849998474121094,55.0,2004254,2021-04-26
2021-05-03,51.10930633544922,56.70000076293945,59.0,53.599998474121094,57.45000076293945,714856,2021-05-03
2021-05-10,54.985321044921875,61.0,74.0,59.04999923706055,59.900001525878906,2925827,2021-05-10
2021-05-17,56.20220947265625,62.349998474121094,66.75,61.20000076293945,61.599998474121094,598501,2021-05-17
2021-05-24,58.14021682739258,64.5,67.0,62.099998474121094,64.5,503343,2021-05-24
2021-05-31,56.78812026977539,63.0,64.69999694824219,60.5,64.0,762732,2021-05-31
2021-06-07,62.872554779052734,69.75,73.94999694824219,62.599998474121094,63.79999923706055,1966046,2021-06-07
2021-06-14,56.20220947265625,62.349998474121094,78.19999694824219,60.70000076293945,72.0,3230931,2021-06-14
2021-06-21,58.590911865234375,65.0,69.25,60.5,62.0,1088888,2021-06-21
2021-06-28,57.91486358642578,64.25,67.0,64.0,66.19999694824219,481920,2021-06-28
2021-07-05,60.168365478515625,66.75,70.44999694824219,63.150001525878906,64.05000305175781,1364041,2021-07-05
2021-07-12,63.773956298828125,70.75,72.80000305175781,66.0,67.6500015258789,1037114,2021-07-12
2021-07-19,63.773956298828125,70.75,75.44999694824219,66.5,71.0,1152212,2021-07-19
2021-07-26,63.052833557128906,69.94999694824219,71.8499984741211,67.25,71.0,478049,2021-07-26
2021-08-02,63.503536224365234,70.44999694824219,75.5,68.05000305175781,70.8499984741211,645841,2021-08-02
2021-08-09,63.548606872558594,70.5,73.30000305175781,61.099998474121094,70.1500015258789,1127630,2021-08-09
