Date,Adj Close_MEDICO.NS,Close_MEDICO.NS,High_MEDICO.NS,Low_MEDICO.NS,Open_MEDICO.NS,Volume_MEDICO.NS,Date
2022-05-23,26.6200008392334,26.6200008392334,26.6200008392334,23.079999923706055,24.0,255190,2022-05-23
2022-05-30,20.610000610351562,20.610000610351562,27.940000534057617,20.610000610351562,27.850000381469727,81190,2022-05-30
2022-06-06,20.219999313354492,20.219999313354492,21.559999465942383,18.399999618530273,19.579999923706055,109185,2022-06-06
2022-06-13,18.600000381469727,18.600000381469727,22.0,18.520000457763672,21.229999542236328,109890,2022-06-13
2022-06-20,17.690000534057617,17.690000534057617,19.360000610351562,17.100000381469727,17.8799991607666,64605,2022-06-20
2022-06-27,17.450000762939453,17.450000762939453,18.979999542236328,17.1200008392334,18.559999465942383,52490,2022-06-27
2022-07-04,17.950000762939453,17.950000762939453,18.399999618530273,16.709999084472656,17.450000762939453,39080,2022-07-04
2022-07-11,17.6200008392334,17.6200008392334,19.100000381469727,17.0,17.309999465942383,44575,2022-07-11
2022-07-18,17.459999084472656,17.459999084472656,18.229999542236328,16.6200008392334,17.6200008392334,53500,2022-07-18
2022-07-25,18.190000534057617,18.190000534057617,18.780000686645508,16.729999542236328,17.950000762939453,52995,2022-07-25
2022-08-01,18.059999465942383,18.059999465942383,19.799999237060547,17.290000915527344,18.0,106735,2022-08-01
2022-08-08,20.18000030517578,20.18000030517578,21.3700008392334,16.520000457763672,17.329999923706055,112365,2022-08-08
2022-08-15,19.059999465942383,19.059999465942383,20.799999237060547,17.729999542236328,20.18000030517578,114290,2022-08-15
2022-08-22,21.389999389648438,21.389999389648438,21.799999237060547,18.040000915527344,19.389999389648438,205070,2022-08-22
2022-08-29,20.84000015258789,20.84000015258789,22.559999465942383,18.670000076293945,21.389999389648438,182815,2022-08-29
2022-09-05,20.489999771118164,20.489999771118164,21.600000381469727,19.25,21.600000381469727,118040,2022-09-05
2022-09-12,22.170000076293945,22.170000076293945,23.06999969482422,20.079999923706055,20.190000534057617,68740,2022-09-12
2022-09-19,21.709999084472656,21.709999084472656,23.270000457763672,20.989999771118164,21.969999313354492,25355,2022-09-19
2022-09-26,27.649999618530273,27.649999618530273,27.670000076293945,20.639999389648438,21.600000381469727,2906395,2022-09-26
2022-10-03,30.110000610351562,30.110000610351562,31.170000076293945,26.40999984741211,28.6200008392334,649605,2022-10-03
2022-10-10,28.65999984741211,28.65999984741211,30.479999542236328,27.350000381469727,30.479999542236328,364645,2022-10-10
2022-10-17,30.809999465942383,30.809999465942383,31.040000915527344,27.420000076293945,28.700000762939453,2399315,2022-10-17
2022-10-24,37.09000015258789,37.09000015258789,37.11000061035156,31.600000381469727,32.20000076293945,1294390,2022-10-24
2022-10-31,47.150001525878906,47.150001525878906,47.150001525878906,36.599998474121094,38.400001525878906,1105625,2022-10-31
2022-11-07,43.11000061035156,43.11000061035156,50.400001525878906,42.900001525878906,49.0,733090,2022-11-07
2022-11-14,54.349998474121094,54.349998474121094,54.47999954223633,43.0,43.20000076293945,1907060,2022-11-14
2022-11-21,56.77000045776367,56.77000045776367,64.0,54.209999084472656,55.959999084472656,951360,2022-11-21
2022-11-28,62.5099983215332,62.5099983215332,65.0,53.939998626708984,53.939998626708984,2146395,2022-11-28
2022-12-05,63.61000061035156,63.61000061035156,64.0,61.599998474121094,62.0,902735,2022-12-05
2022-12-12,64.77999877929688,64.77999877929688,67.0,63.79999923706055,64.4000015258789,684695,2022-12-12
2022-12-19,61.33000183105469,61.33000183105469,67.5,61.33000183105469,65.0,1317945,2022-12-19
2022-12-26,65.16999816894531,65.16999816894531,65.68000030517578,58.27000045776367,58.27000045776367,739820,2022-12-26
2023-01-02,67.19999694824219,67.19999694824219,68.0,63.0,66.25,571810,2023-01-02
2023-01-09,64.30000305175781,64.30000305175781,69.37000274658203,63.0,69.37000274658203,1445770,2023-01-09
2023-01-16,62.790000915527344,62.790000915527344,66.18000030517578,62.0,65.16999816894531,709740,2023-01-16
2023-01-23,63.9900016784668,63.9900016784668,65.0,58.70000076293945,62.790000915527344,661875,2023-01-23
2023-01-30,62.130001068115234,62.130001068115234,64.80000305175781,59.599998474121094,64.80000305175781,526515,2023-01-30
2023-02-06,62.290000915527344,62.290000915527344,63.599998474121094,60.38999938964844,62.790000915527344,674650,2023-02-06
2023-02-13,64.2300033569336,64.2300033569336,65.12000274658203,59.529998779296875,59.529998779296875,933255,2023-02-13
