Date,Adj Close_MIRCELECTR.NS,Close_MIRCELECTR.NS,High_MIRCELECTR.NS,Low_MIRCELECTR.NS,Open_MIRCELECTR.NS,Volume_MIRCELECTR.NS,Date
2020-07-13,6.849999904632568,6.849999904632568,7.349999904632568,6.5,7.349999904632568,320059,2020-07-13
2020-07-20,6.449999809265137,6.449999809265137,7.099999904632568,6.349999904632568,7.099999904632568,617178,2020-07-20
2020-07-27,6.650000095367432,6.650000095367432,6.650000095367432,5.949999809265137,6.449999809265137,1048587,2020-07-27
2020-08-03,8.300000190734863,8.300000190734863,8.300000190734863,6.949999809265137,6.949999809265137,515848,2020-08-03
2020-08-10,9.5,9.5,9.550000190734863,8.649999618530273,8.699999809265137,3805161,2020-08-10
2020-08-17,11.25,11.25,11.899999618530273,9.5,9.800000190734863,3990951,2020-08-17
2020-08-24,9.199999809265137,9.199999809265137,11.5,9.100000381469727,11.300000190734863,3319928,2020-08-24
2020-08-31,9.25,9.25,9.550000190734863,8.0,9.050000190734863,1562759,2020-08-31
2020-09-07,9.199999809265137,9.199999809265137,10.149999618530273,8.699999809265137,9.350000381469727,2625590,2020-09-07
2020-09-14,9.149999618530273,9.149999618530273,9.949999809265137,9.0,9.300000190734863,1326506,2020-09-14
2020-09-21,8.149999618530273,8.149999618530273,9.600000381469727,7.699999809265137,9.300000190734863,1390909,2020-09-21
2020-09-28,8.350000381469727,8.350000381469727,8.550000190734863,8.050000190734863,8.449999809265137,457261,2020-09-28
2020-10-05,7.75,7.75,8.600000381469727,7.599999904632568,8.600000381469727,1310668,2020-10-05
2020-10-12,7.900000095367432,7.900000095367432,8.0,7.449999809265137,7.75,823896,2020-10-12
2020-10-19,8.449999809265137,8.449999809265137,8.850000381469727,7.800000190734863,8.25,1165963,2020-10-19
2020-10-26,7.650000095367432,7.650000095367432,8.699999809265137,7.599999904632568,8.300000190734863,782068,2020-10-26
2020-11-02,8.050000190734863,8.050000190734863,8.199999809265137,7.550000190734863,7.75,835527,2020-11-02
2020-11-09,7.949999809265137,7.949999809265137,8.199999809265137,7.599999904632568,7.949999809265137,1225805,2020-11-09
2020-11-16,9.149999618530273,9.149999618530273,9.550000190734863,7.800000190734863,7.800000190734863,1929465,2020-11-16
2020-11-23,8.199999809265137,8.199999809265137,9.449999809265137,7.949999809265137,9.149999618530273,1779624,2020-11-23
2020-11-30,8.800000190734863,8.800000190734863,9.199999809265137,8.149999618530273,8.199999809265137,1262236,2020-11-30
2020-12-07,9.699999809265137,9.699999809265137,10.149999618530273,8.699999809265137,9.0,4722592,2020-12-07
2020-12-14,12.800000190734863,12.800000190734863,13.399999618530273,10.100000381469727,10.149999618530273,5400350,2020-12-14
2020-12-21,12.300000190734863,12.300000190734863,12.899999618530273,11.050000190734863,12.800000190734863,2881784,2020-12-21
2020-12-28,12.300000190734863,12.300000190734863,12.699999809265137,11.550000190734863,12.550000190734863,1793354,2020-12-28
2021-01-04,14.0,14.0,14.800000190734863,12.300000190734863,12.75,3797587,2021-01-04
2021-01-11,13.100000381469727,13.100000381469727,14.300000190734863,12.699999809265137,14.0,1979515,2021-01-11
2021-01-18,11.899999618530273,11.899999618530273,13.25,11.699999809265137,13.100000381469727,1155170,2021-01-18
2021-01-25,11.75,11.75,12.25,11.0,11.899999618530273,415586,2021-01-25
2021-02-01,11.5,11.5,12.199999809265137,10.550000190734863,11.949999809265137,2998182,2021-02-01
2021-02-08,14.5,14.5,14.5,11.949999809265137,12.050000190734863,6782354,2021-02-08
2021-02-15,14.699999809265137,14.699999809265137,15.050000190734863,12.899999618530273,15.050000190734863,6801462,2021-02-15
2021-02-22,14.100000381469727,14.100000381469727,14.949999809265137,13.600000381469727,14.949999809265137,3120930,2021-02-22
2021-03-01,14.399999618530273,14.399999618530273,15.449999809265137,14.0,14.199999809265137,4913965,2021-03-01
2021-03-08,14.850000381469727,14.850000381469727,15.449999809265137,14.5,14.699999809265137,1991647,2021-03-08
2021-03-15,13.050000190734863,13.050000190734863,14.949999809265137,12.199999809265137,14.899999618530273,1956026,2021-03-15
2021-03-22,13.449999809265137,13.449999809265137,15.0,12.800000190734863,12.800000190734863,2377695,2021-03-22
2021-03-29,14.0,14.0,14.100000381469727,13.149999618530273,13.449999809265137,522088,2021-03-29
2021-04-05,14.5,14.5,14.850000381469727,13.800000190734863,14.300000190734863,1813822,2021-04-05
2021-04-12,12.699999809265137,12.699999809265137,14.399999618530273,12.5,14.399999618530273,1008368,2021-04-12
2021-04-19,12.550000190734863,12.550000190734863,12.649999618530273,10.949999809265137,12.100000381469727,1258966,2021-04-19
2021-04-26,14.050000190734863,14.050000190734863,14.449999809265137,12.600000381469727,13.149999618530273,3029369,2021-04-26
2021-05-03,16.850000381469727,16.850000381469727,16.850000381469727,13.600000381469727,14.0,17013285,2021-05-03
2021-05-10,16.850000381469727,16.850000381469727,19.399999618530273,16.799999237060547,17.649999618530273,19149115,2021-05-10
2021-05-17,17.700000762939453,17.700000762939453,17.700000762939453,15.5,16.5,10576720,2021-05-17
2021-05-24,17.649999618530273,17.649999618530273,19.299999237060547,17.399999618530273,18.549999237060547,8097900,2021-05-24
2021-05-31,17.299999237060547,17.299999237060547,18.600000381469727,16.5,18.0,5120179,2021-05-31
2021-06-07,18.799999237060547,18.799999237060547,19.100000381469727,17.049999237060547,17.5,9592995,2021-06-07
2021-06-14,17.75,17.75,19.700000762939453,16.5,19.149999618530273,10840720,2021-06-14
2021-06-21,16.850000381469727,16.850000381469727,18.299999237060547,16.649999618530273,17.75,4090774,2021-06-21
2021-06-28,20.299999237060547,20.299999237060547,20.299999237060547,16.700000762939453,17.200000762939453,4631040,2021-06-28
2021-07-05,23.850000381469727,23.850000381469727,24.350000381469727,20.5,21.299999237060547,17951232,2021-07-05
2021-07-12,21.799999237060547,21.799999237060547,25.5,21.450000762939453,24.75,10442500,2021-07-12
2021-07-19,20.600000381469727,20.600000381469727,22.950000762939453,20.100000381469727,21.549999237060547,2346441,2021-07-19
2021-07-26,20.049999237060547,20.049999237060547,21.25,19.399999618530273,20.600000381469727,1780237,2021-07-26
2021-08-02,20.200000762939453,20.200000762939453,23.0,20.0,20.0,2525753,2021-08-02
2021-08-09,17.649999618530273,17.649999618530273,21.0,17.299999237060547,20.299999237060547,2231966,2021-08-09
2021-08-16,15.649999618530273,15.649999618530273,17.5,15.199999809265137,17.5,1728597,2021-08-16
2021-08-23,16.549999237060547,16.549999237060547,17.049999237060547,14.199999809265137,15.350000381469727,1546656,2021-08-23
2021-08-30,15.850000381469727,15.850000381469727,17.0,15.0,16.799999237060547,1274909,2021-08-30
2021-09-06,15.850000381469727,15.850000381469727,16.399999618530273,15.350000381469727,15.850000381469727,819967,2021-09-06
2021-09-13,18.649999618530273,18.649999618530273,19.0,15.699999809265137,15.699999809265137,1973775,2021-09-13
2021-09-20,17.600000381469727,17.600000381469727,18.700000762939453,16.600000381469727,18.549999237060547,1252088,2021-09-20
2021-09-27,19.5,19.5,19.5,16.600000381469727,18.399999618530273,1613599,2021-09-27
2021-10-04,22.399999618530273,22.399999618530273,24.100000381469727,20.450000762939453,20.450000762939453,4710973,2021-10-04
2021-10-11,20.799999237060547,20.799999237060547,24.299999237060547,20.799999237060547,23.399999618530273,4385197,2021-10-11
2021-10-18,19.850000381469727,19.850000381469727,21.950000762939453,19.100000381469727,20.850000381469727,5132460,2021-10-18
2021-10-25,22.350000381469727,22.350000381469727,22.350000381469727,18.899999618530273,20.25,4948140,2021-10-25
2021-11-01,23.899999618530273,23.899999618530273,25.0,22.5,23.450000762939453,6681655,2021-11-01
2021-11-08,25.950000762939453,25.950000762939453,27.200000762939453,22.850000381469727,23.850000381469727,10740338,2021-11-08
2021-11-15,23.299999237060547,23.299999237060547,26.799999237060547,22.649999618530273,25.950000762939453,5497278,2021-11-15
2021-11-22,23.950000762939453,23.950000762939453,25.399999618530273,21.299999237060547,23.899999618530273,4993057,2021-11-22
