Date,Adj Close_MODISONLTD.NS,Close_MODISONLTD.NS,High_MODISONLTD.NS,Low_MODISONLTD.NS,Open_MODISONLTD.NS,Volume_MODISONLTD.NS,Date
2021-05-03,56.727256774902344,59.900001525878906,67.25,52.04999923706055,52.599998474121094,2020519,2021-05-03
2021-05-10,52.1341438293457,55.04999923706055,63.0,52.849998474121094,62.25,295747,2021-05-10
2021-05-17,52.512962341308594,55.45000076293945,57.900001525878906,53.5,56.900001525878906,289689,2021-05-17
2021-05-24,58.810726165771484,62.099998474121094,66.0,54.650001525878906,54.650001525878906,563322,2021-05-24
2021-05-31,58.62132263183594,61.900001525878906,66.80000305175781,58.0,64.0,892153,2021-05-31
2021-06-07,66.29228973388672,70.0,74.1500015258789,61.0,64.44999694824219,2102828,2021-06-07
2021-06-14,66.90785217285156,70.6500015258789,71.8499984741211,65.0,70.25,789740,2021-06-14
2021-06-21,73.72650146484375,77.8499984741211,84.4000015258789,67.94999694824219,68.0,2149664,2021-06-21
2021-06-28,74.15265655517578,78.30000305175781,82.19999694824219,75.1500015258789,78.0,644582,2021-06-28
2021-07-05,86.41673278808594,91.25,95.75,77.80000305175781,79.9000015258789,2624701,2021-07-05
2021-07-12,83.19681549072266,87.8499984741211,95.4000015258789,87.0,92.4000015258789,1191356,2021-07-12
2021-07-19,82.06037902832031,86.6500015258789,91.69999694824219,85.1500015258789,87.6500015258789,770017,2021-07-19
2021-07-26,85.99057006835938,90.80000305175781,94.5,87.0,87.0,1623890,2021-07-26
2021-08-02,82.53389739990234,87.1500015258789,97.25,86.5,91.5,1426323,2021-08-02
2021-08-09,73.77384948730469,77.9000015258789,87.0,69.5999984741211,87.0,1802624,2021-08-09
2021-08-16,68.09164428710938,71.9000015258789,78.5999984741211,70.5,78.0,773298,2021-08-16
2021-08-23,69.60690307617188,73.5,74.75,66.94999694824219,73.9000015258789,308564,2021-08-23
2021-08-30,69.32278442382812,73.19999694824219,77.80000305175781,72.5,75.9000015258789,206304,2021-08-30
2021-09-06,70.88538360595703,74.8499984741211,77.0,70.8499984741211,75.0,180206,2021-09-06
2021-09-13,68.23370361328125,72.05000305175781,76.0,71.0999984741211,74.8499984741211,190583,2021-09-13
