Date,Adj Close_MPSLTD.NS,Close_MPSLTD.NS,High_MPSLTD.NS,Low_MPSLTD.NS,Open_MPSLTD.NS,Volume_MPSLTD.NS,Date
2020-07-13,257.580322265625,289.1000061035156,297.0,267.20001220703125,276.3999938964844,13886,2020-07-13
2020-07-20,253.92735290527344,285.0,304.0,282.29998779296875,289.0,44850,2020-07-20
2020-07-27,323.64599609375,363.25,383.0,283.79998779296875,296.8999938964844,176465,2020-07-27
2020-08-03,339.3271484375,380.8500061035156,389.8500061035156,355.29998779296875,363.25,82124,2020-08-03
2020-08-10,393.6319580078125,441.79998779296875,457.04998779296875,375.8999938964844,382.04998779296875,163535,2020-08-10
2020-08-17,374.74334716796875,420.6000061035156,458.0,420.5,458.0,96675,2020-08-17
2020-08-24,352.9590148925781,396.1499938964844,415.0,380.0,415.0,74070,2020-08-24
2020-08-31,340.44085693359375,382.1000061035156,414.0,371.0,410.0,61250,2020-08-31
2020-09-07,344.8066101074219,387.0,390.0,352.1499938964844,383.1499938964844,51804,2020-09-07
2020-09-14,385.8804931640625,433.1000061035156,439.8999938964844,378.45001220703125,398.45001220703125,94438,2020-09-14
2020-09-21,364.0516357421875,408.6000061035156,439.0,392.20001220703125,439.0,48540,2020-09-21
2020-09-28,357.32476806640625,401.04998779296875,428.3500061035156,400.1499938964844,410.04998779296875,26503,2020-09-28
2020-10-05,365.0762939453125,409.75,435.04998779296875,395.0,412.0,67113,2020-10-05
2020-10-12,337.5897521972656,378.8999938964844,416.6499938964844,375.0,409.1499938964844,35484,2020-10-12
2020-10-19,333.2239685058594,374.0,389.0,370.1000061035156,389.0,22847,2020-10-19
2020-10-26,326.5416564941406,366.5,379.8500061035156,352.0,374.75,27683,2020-10-26
2020-11-02,335.4068603515625,376.45001220703125,380.0,353.04998779296875,370.0,22613,2020-11-02
2020-11-09,337.05517578125,378.29998779296875,388.70001220703125,360.20001220703125,374.0,41246,2020-11-09
2020-11-16,333.35760498046875,374.1499938964844,394.0,368.0,369.6499938964844,36180,2020-11-16
2020-11-23,325.3834533691406,365.20001220703125,385.79998779296875,358.0,383.6000061035156,30245,2020-11-23
2020-11-30,334.87225341796875,375.8500061035156,394.0,362.04998779296875,365.20001220703125,36939,2020-11-30
2020-12-07,332.1102600097656,372.75,415.0,368.0,377.0,72739,2020-12-07
2020-12-14,325.6952209472656,365.54998779296875,379.75,355.5,371.04998779296875,46907,2020-12-14
2020-12-21,323.37872314453125,362.95001220703125,372.0,344.6000061035156,372.0,35402,2020-12-21
2020-12-28,326.007080078125,365.8999938964844,380.0,359.0,367.0,34939,2020-12-28
2021-01-04,327.7445373535156,367.8500061035156,380.0,361.29998779296875,371.0,77563,2021-01-04
2021-01-11,318.2556457519531,357.20001220703125,379.3500061035156,341.8500061035156,377.0,232343,2021-01-11
2021-01-18,312.8207092285156,351.1000061035156,371.70001220703125,348.1000061035156,361.0,36319,2021-01-18
2021-01-25,333.5357971191406,374.3500061035156,392.95001220703125,345.0,354.95001220703125,125711,2021-01-25
2021-02-01,397.6859130859375,446.3500061035156,489.8999938964844,370.0,376.20001220703125,395322,2021-02-01
2021-02-08,434.304931640625,487.45001220703125,498.95001220703125,438.79998779296875,445.25,108897,2021-02-08
2021-02-15,408.1102600097656,458.04998779296875,498.1000061035156,455.3500061035156,487.45001220703125,64341,2021-02-15
2021-02-22,422.58856201171875,474.29998779296875,490.0,454.45001220703125,458.04998779296875,59440,2021-02-22
2021-03-01,449.6741943359375,504.70001220703125,547.0999755859375,471.0,471.0,146499,2021-03-01
2021-03-08,425.7961120605469,477.8999938964844,525.0,475.29998779296875,511.0,116811,2021-03-08
2021-03-15,408.9566955566406,459.0,497.0,451.79998779296875,497.0,63389,2021-03-15
2021-03-22,391.2263488769531,439.1000061035156,468.0,432.20001220703125,455.0,40251,2021-03-22
2021-03-29,480.85821533203125,539.7000122070312,545.9500122070312,432.04998779296875,439.1000061035156,581007,2021-03-29
2021-04-05,552.091552734375,619.6500244140625,628.0,493.79998779296875,538.9000244140625,470426,2021-04-05
2021-04-12,555.6553955078125,623.6500244140625,641.0,561.0999755859375,606.9000244140625,163813,2021-04-12
2021-04-19,553.3834228515625,621.0999755859375,639.0,588.0,617.0,79665,2021-04-19
2021-04-26,527.05517578125,591.5499877929688,635.0,542.0,616.1500244140625,68658,2021-04-26
2021-05-03,582.830078125,654.1500244140625,680.0,581.4500122070312,590.0,127149,2021-05-03
2021-05-10,540.8652954101562,607.0499877929688,661.1500244140625,605.2999877929688,653.0999755859375,52228,2021-05-10
2021-05-17,553.2943725585938,621.0,647.7000122070312,595.3499755859375,619.25,69574,2021-05-17
2021-05-24,496.45025634765625,557.2000122070312,674.7999877929688,538.0999755859375,630.0,536576,2021-05-24
2021-05-31,483.5311584472656,542.7000122070312,568.0,536.0,557.2000122070312,162506,2021-05-31
2021-06-07,503.9344177246094,565.5999755859375,573.0999755859375,538.0,546.0,183096,2021-06-07
2021-06-14,486.6940612792969,546.25,567.0,531.0499877929688,565.5999755859375,98511,2021-06-14
2021-06-21,503.39990234375,565.0,580.3499755859375,532.0499877929688,550.0,175017,2021-06-21
2021-06-28,531.5545654296875,596.5999755859375,622.5999755859375,560.2999877929688,567.0,185075,2021-06-28
2021-07-05,561.2685546875,629.9500122070312,665.0,584.0,603.0,297633,2021-07-05
2021-07-12,565.8124389648438,635.0499877929688,685.0,625.25,638.0,251592,2021-07-12
2021-07-19,562.8277587890625,631.7000122070312,650.3499755859375,599.9500122070312,635.0,61291,2021-07-19
2021-07-26,654.1080322265625,734.1500244140625,752.0,621.0,621.0,526287,2021-07-26
2021-08-02,617.310791015625,692.8499755859375,760.0,683.0,748.0,127363,2021-08-02
2021-08-09,624.9285888671875,701.4000244140625,715.0,641.2999877929688,692.8499755859375,109880,2021-08-09
2021-08-16,697.94384765625,783.3499755859375,807.75,671.75,695.0,560930,2021-08-16
2021-08-23,655.9345092773438,736.2000122070312,791.6500244140625,707.0,773.1500244140625,131158,2021-08-23
2021-08-30,628.4033203125,705.2999877929688,749.0,695.5999755859375,746.0,81705,2021-08-30
2021-09-06,638.2041015625,716.2999877929688,721.5,689.2999877929688,706.1500244140625,57178,2021-09-06
2021-09-13,620.518310546875,696.4500122070312,730.0,676.9500122070312,722.0,124774,2021-09-13
2021-09-20,609.2474365234375,683.7999877929688,727.9500122070312,671.0,696.4500122070312,122586,2021-09-20
2021-09-27,599.179443359375,672.5,700.0,662.0,698.7000122070312,60824,2021-09-27
2021-10-04,602.1641235351562,675.8499755859375,690.0,657.0,680.5499877929688,59324,2021-10-04
2021-10-11,616.197021484375,691.5999755859375,710.0,676.0,683.2000122070312,79348,2021-10-11
2021-10-18,617.3552856445312,692.9000244140625,746.5999755859375,636.0499877929688,691.5999755859375,428409,2021-10-18
2021-10-25,626.6659545898438,703.3499755859375,739.8499755859375,671.7000122070312,700.0499877929688,159751,2021-10-25
2021-11-01,642.3917236328125,721.0,779.0,700.0,712.0,124551,2021-11-01
2021-11-08,641.2778930664062,719.75,729.5,709.5499877929688,719.0,55617,2021-11-08
2021-11-15,631.299072265625,708.5499877929688,729.4000244140625,703.1500244140625,723.3499755859375,43501,2021-11-15
2021-11-22,620.8746337890625,696.8499755859375,728.0,690.0499877929688,708.5499877929688,87047,2021-11-22
2021-11-29,615.9297485351562,691.2999877929688,697.9000244140625,675.3499755859375,691.0999755859375,60749,2021-11-29
2021-12-06,626.5768432617188,703.25,720.0,691.0499877929688,702.0,95154,2021-12-06
2021-12-13,563.8523559570312,632.8499755859375,728.9500122070312,626.0,714.9500122070312,241040,2021-12-13
2021-12-20,557.6156005859375,625.8499755859375,648.7000122070312,591.9500122070312,634.0,97959,2021-12-20
2021-12-27,559.8429565429688,628.3499755859375,644.5,611.5999755859375,640.0,56733,2021-12-27
2022-01-03,606.4408569335938,680.6500244140625,714.0,627.7999877929688,631.4500122070312,91298,2022-01-03
2022-01-10,630.4971923828125,707.6500244140625,729.9500122070312,683.5499877929688,694.0,171277,2022-01-10
2022-01-17,630.363525390625,707.5,734.7000122070312,693.0,728.0,169674,2022-01-17
2022-01-24,608.9356079101562,683.4500122070312,732.5999755859375,677.0,711.0499877929688,73327,2022-01-24
2022-01-31,607.8218994140625,682.2000122070312,707.7000122070312,651.5,686.9000244140625,85486,2022-01-31
2022-02-07,571.202880859375,641.0999755859375,688.9500122070312,640.0,685.6500244140625,96765,2022-02-07
2022-02-14,558.7293090820312,627.0999755859375,683.3499755859375,625.0,641.0999755859375,113247,2022-02-14
2022-02-21,564.8324584960938,633.9500122070312,640.0,576.2000122070312,627.0999755859375,69916,2022-02-21
2022-02-28,545.275634765625,612.0,639.9500122070312,601.0,609.6500244140625,26866,2022-02-28
2022-03-07,548.39404296875,615.5,630.0,600.0,600.4500122070312,28320,2022-03-07
2022-03-14,568.530029296875,638.0999755859375,651.7999877929688,610.0,618.5999755859375,30030,2022-03-14
2022-03-21,547.3248291015625,614.2999877929688,661.9500122070312,608.2999877929688,653.7999877929688,69612,2022-03-21
2022-03-28,555.8782348632812,623.9000244140625,630.0,585.0499877929688,617.4000244140625,43567,2022-03-28
2022-04-04,561.179443359375,629.8499755859375,640.0,616.0499877929688,627.0499877929688,46415,2022-04-04
2022-04-11,550.398681640625,617.75,644.7999877929688,610.5999755859375,639.0,36552,2022-04-11
2022-04-18,530.841796875,595.7999877929688,630.7000122070312,571.2000122070312,617.75,104811,2022-04-18
2022-04-25,509.0575256347656,571.3499755859375,598.75,535.0499877929688,595.7999877929688,168826,2022-04-25
2022-05-02,513.6905517578125,576.5499877929688,579.8499755859375,542.5499877929688,570.0,59073,2022-05-02
2022-05-09,467.671875,524.9000244140625,579.4500122070312,515.0,579.4500122070312,38399,2022-05-09
2022-05-16,538.0587768554688,603.9000244140625,608.2999877929688,515.2999877929688,560.0,101087,2022-05-16
2022-05-23,540.197021484375,606.2999877929688,615.5,580.7999877929688,612.0,60034,2022-05-23
2022-05-30,634.818359375,712.5,717.0,606.0999755859375,609.3499755859375,186097,2022-05-30
2022-06-06,653.217041015625,733.1500244140625,745.0,702.0,715.0,130383,2022-06-06
2022-06-13,603.5897827148438,677.4500122070312,739.0,650.9000244140625,733.1500244140625,120068,2022-06-13
2022-06-20,645.0953369140625,693.0,700.0,651.2999877929688,672.0499877929688,32137,2022-06-20
2022-06-27,662.5956420898438,711.7999877929688,743.4500122070312,682.3499755859375,696.5,74655,2022-06-27
2022-07-04,699.4583740234375,751.4000244140625,772.0999755859375,705.2000122070312,715.3499755859375,98013,2022-07-04
2022-07-11,687.6828002929688,738.75,786.4500122070312,730.0,751.4000244140625,68258,2022-07-11
2022-07-18,708.115478515625,760.7000122070312,768.2000122070312,727.3499755859375,742.4500122070312,50128,2022-07-18
