Date,Adj Close_NATCOPHARM.NS,Close_NATCOPHARM.NS,High_NATCOPHARM.NS,Low_NATCOPHARM.NS,Open_NATCOPHARM.NS,Volume_NATCOPHARM.NS,Date
2020-07-13,660.9463500976562,685.1500244140625,693.9500122070312,651.0,675.0,607556,2020-07-13
2020-07-20,704.0673217773438,729.8499755859375,739.2999877929688,666.1500244140625,686.0499877929688,3444854,2020-07-20
2020-07-27,755.0021362304688,782.6500244140625,789.75,710.2999877929688,738.75,3354478,2020-07-27
2020-08-03,754.1339111328125,781.75,824.7999877929688,755.0,794.0,3398240,2020-08-03
2020-08-10,800.2935180664062,829.5999755859375,895.0,783.0499877929688,785.7000122070312,6196723,2020-08-10
2020-08-17,817.5611572265625,847.5,858.0,796.0,830.0,2213345,2020-08-17
2020-08-24,773.0839233398438,800.2000122070312,864.7999877929688,799.0,857.5999755859375,1600959,2020-08-24
2020-08-31,740.4775390625,766.4500122070312,811.5499877929688,740.0999755859375,803.0,1681887,2020-08-31
2020-09-07,750.7183837890625,777.0499877929688,791.0,731.0,772.5999755859375,912234,2020-09-07
2020-09-14,860.6138305664062,890.7999877929688,927.9000244140625,765.0,795.0,8284044,2020-09-14
2020-09-21,856.6527709960938,886.7000122070312,929.7999877929688,823.9000244140625,892.4000244140625,5368263,2020-09-21
2020-09-28,906.0693969726562,937.8499755859375,996.0,878.0499877929688,893.7999877929688,7422242,2020-09-28
2020-10-05,908.6295776367188,940.5,964.4500122070312,917.9000244140625,945.0,1989991,2020-10-05
2020-10-12,860.4689331054688,890.6500244140625,948.0,865.7999877929688,936.2999877929688,2187621,2020-10-12
2020-10-19,888.87255859375,920.0499877929688,937.9000244140625,869.0,887.3499755859375,1564942,2020-10-19
2020-10-26,869.8884887695312,900.4000244140625,932.7000122070312,892.75,911.0,1001179,2020-10-26
2020-11-02,896.843017578125,928.2999877929688,936.9500122070312,886.0,891.0,1197199,2020-11-02
2020-11-09,874.4775390625,905.1500244140625,946.0,872.0,931.0,2943948,2020-11-09
2020-11-16,881.38525390625,912.2999877929688,919.9000244140625,879.9000244140625,900.9000244140625,1122822,2020-11-16
2020-11-23,890.8048095703125,922.0499877929688,933.0,878.0,906.0499877929688,2026293,2020-11-23
2020-11-30,891.7596435546875,920.0,938.9500122070312,904.0,922.0499877929688,1082756,2020-11-30
2020-12-07,923.8434448242188,953.0999755859375,996.0,886.6500244140625,924.7999877929688,3619563,2020-12-07
2020-12-14,918.4153442382812,947.5,968.0,934.0,953.0999755859375,1371740,2020-12-14
2020-12-21,903.3911743164062,932.0,949.9000244140625,884.0999755859375,948.4500122070312,1242880,2020-12-21
2020-12-28,937.6075439453125,967.2999877929688,986.0999755859375,933.8499755859375,939.9500122070312,1991811,2020-12-28
2021-01-04,909.497802734375,938.2999877929688,979.0,931.0,972.0,1547956,2021-01-04
2021-01-11,888.4638061523438,916.5999755859375,972.0,903.0,948.2999877929688,1913800,2021-01-11
2021-01-18,877.3170166015625,905.0999755859375,918.9000244140625,882.9500122070312,916.5999755859375,909311,2021-01-18
2021-01-25,862.9227294921875,890.25,914.0,864.0,910.0,889083,2021-01-25
2021-02-01,883.1812133789062,911.1500244140625,934.0,865.0,894.5999755859375,2159300,2021-02-01
2021-02-08,827.7854614257812,854.0,930.0,850.1500244140625,925.0,3151085,2021-02-08
2021-02-15,789.6917724609375,814.7000122070312,867.9500122070312,771.5,865.9000244140625,3714397,2021-02-15
2021-02-22,786.4446411132812,811.3499755859375,829.7999877929688,787.25,815.0,1654784,2021-02-22
2021-03-01,809.19873046875,833.7999877929688,857.0,799.0499877929688,816.0,2214278,2021-03-01
2021-03-08,800.7554931640625,825.0999755859375,898.7999877929688,815.6500244140625,838.1500244140625,2997276,2021-03-08
2021-03-15,786.9744873046875,810.9000244140625,832.5499877929688,797.8499755859375,831.7999877929688,1248873,2021-03-15
2021-03-22,779.9384155273438,803.6500244140625,823.0,778.0999755859375,810.9000244140625,1222141,2021-03-22
2021-03-29,817.2537841796875,842.0999755859375,854.9000244140625,803.6500244140625,803.6500244140625,762543,2021-03-29
2021-04-05,894.7478637695312,921.9500122070312,932.9000244140625,825.0,845.0,2425714,2021-04-05
2021-04-12,894.9906005859375,922.2000122070312,948.8499755859375,891.5,935.0,1843546,2021-04-12
2021-04-19,851.8035888671875,877.7000122070312,921.8499755859375,868.5,921.8499755859375,1555214,2021-04-19
2021-04-26,869.9031982421875,896.3499755859375,945.0,886.0,930.0,2958989,2021-04-26
