Date,Adj Close_NIPPOBATRY.NS,Close_NIPPOBATRY.NS,High_NIPPOBATRY.NS,Low_NIPPOBATRY.NS,Open_NIPPOBATRY.NS,Volume_NIPPOBATRY.NS,Date
2020-07-13,249.14048767089844,266.57501220703125,277.20001220703125,262.6000061035156,277.07501220703125,5290,2020-07-13
2020-07-20,240.3786163330078,257.20001220703125,272.5,253.4499969482422,272.5,14754,2020-07-20
2020-07-27,232.52801513671875,248.8000030517578,264.0,245.0500030517578,260.0,13102,2020-07-27
2020-08-03,247.0843505859375,264.375,267.4750061035156,242.0,259.5,17034,2020-08-03
2020-08-10,262.9491882324219,281.3500061035156,317.1499938964844,260.04998779296875,266.4750061035156,51140,2020-08-10
2020-08-17,278.0896301269531,297.54998779296875,302.5,274.5,281.3500061035156,25882,2020-08-17
2020-08-24,267.3885192871094,286.1000061035156,302.5,285.5,297.75,15758,2020-08-24
2020-08-31,254.28079223632812,272.07501220703125,286.5249938964844,265.6000061035156,286.5249938964844,7104,2020-08-31
2020-09-07,255.07518005371094,272.92498779296875,308.0,263.6499938964844,275.1000061035156,8772,2020-09-07
2020-09-14,277.97283935546875,297.42498779296875,318.17498779296875,271.07501220703125,272.95001220703125,53784,2020-09-14
2020-09-21,258.86627197265625,274.70001220703125,298.7250061035156,262.5249938964844,293.07501220703125,11590,2020-09-21
2020-09-28,264.0491943359375,280.20001220703125,286.375,271.7749938964844,277.4750061035156,11130,2020-09-28
2020-10-05,260.0677795410156,275.9750061035156,285.0,271.29998779296875,278.4750061035156,6186,2020-10-05
2020-10-12,245.46119689941406,260.4750061035156,288.0,258.42498779296875,276.9750061035156,16150,2020-10-12
2020-10-19,249.79605102539062,265.07501220703125,267.45001220703125,255.0,263.5,7272,2020-10-19
2020-10-26,243.15237426757812,258.0249938964844,272.82501220703125,251.97500610351562,267.4750061035156,6306,2020-10-26
2020-11-02,249.27774047851562,264.5249938964844,275.0,250.64999389648438,260.0249938964844,8056,2020-11-02
2020-11-09,298.20977783203125,316.45001220703125,353.92498779296875,265.5249938964844,267.5,176880,2020-11-09
2020-11-16,312.32159423828125,331.42498779296875,339.0,309.04998779296875,311.9750061035156,39952,2020-11-16
2020-11-23,317.3632507324219,336.7749938964844,349.20001220703125,325.0,335.0,46202,2020-11-23
2020-11-30,313.4995422363281,332.67498779296875,345.0,327.4750061035156,336.7749938964844,31626,2020-11-30
2020-12-07,303.2278137207031,321.7749938964844,337.5,310.0,328.0,40164,2020-12-07
2020-12-14,311.7797546386719,330.8500061035156,334.3999938964844,315.0,325.0249938964844,55922,2020-12-14
2020-12-21,297.78570556640625,316.0,327.0249938964844,293.0249938964844,327.0,60536,2020-12-21
2020-12-28,339.3673400878906,360.125,371.0,316.17498779296875,317.4750061035156,114664,2020-12-28
2021-01-04,326.95172119140625,346.95001220703125,367.5,344.0,367.5,27100,2021-01-04
2021-01-11,314.4654846191406,333.70001220703125,374.5,327.70001220703125,355.0,16566,2021-01-11
2021-01-18,309.470947265625,328.3999938964844,355.0,322.75,330.5249938964844,39236,2021-01-18
2021-01-25,312.72210693359375,331.8500061035156,342.5,325.0,342.5,10784,2021-01-25
2021-02-01,308.1987609863281,327.04998779296875,343.0,320.79998779296875,332.5,41210,2021-02-01
2021-02-08,331.3572998046875,351.625,373.25,325.0,329.45001220703125,115062,2021-02-08
2021-02-15,313.1226501464844,332.2749938964844,364.5,330.0249938964844,364.5,26818,2021-02-15
2021-02-22,311.1672058105469,330.20001220703125,346.0,321.0,342.5,17732,2021-02-22
2021-03-01,348.5317687988281,369.8500061035156,387.5,332.3500061035156,332.3500061035156,87488,2021-03-01
2021-03-08,348.578857421875,369.8999938964844,387.5,362.4750061035156,374.9750061035156,22518,2021-03-08
2021-03-15,339.862060546875,360.6499938964844,385.0249938964844,348.625,368.8999938964844,43930,2021-03-15
2021-03-22,333.9723205566406,354.3999938964844,375.0,351.6000061035156,375.0,21206,2021-03-22
2021-03-29,340.9222412109375,361.7749938964844,373.29998779296875,350.0,354.3999938964844,12622,2021-03-29
2021-04-05,348.0134582519531,369.29998779296875,372.5249938964844,346.29998779296875,357.6000061035156,20238,2021-04-05
2021-04-12,364.858154296875,387.17498779296875,393.0,351.0249938964844,365.0,26968,2021-04-12
2021-04-19,353.24359130859375,374.8500061035156,388.0,353.5,388.0,18574,2021-04-19
2021-04-26,354.9869384765625,376.70001220703125,382.0,367.4750061035156,379.7749938964844,13922,2021-04-26
2021-05-03,390.8201599121094,414.7250061035156,430.0,368.2749938964844,374.5249938964844,48506,2021-05-03
2021-05-10,369.24017333984375,391.82501220703125,419.0,388.0,414.7250061035156,27572,2021-05-10
2021-05-17,383.3283996582031,406.7749938964844,410.0249938964844,379.29998779296875,396.9750061035156,29512,2021-05-17
2021-05-24,397.1575622558594,421.45001220703125,437.5,395.0,406.0,56774,2021-05-24
2021-05-31,463.9944152832031,492.375,557.1500244140625,400.54998779296875,432.5,450880,2021-05-31
2021-06-07,467.4811706542969,496.07501220703125,529.7249755859375,475.6000061035156,497.0,185014,2021-06-07
2021-06-14,466.30322265625,494.82501220703125,509.9750061035156,470.0,495.57501220703125,52594,2021-06-14
2021-06-21,451.9086608886719,479.54998779296875,497.5,461.0,487.875,65110,2021-06-21
2021-06-28,467.17486572265625,495.75,529.0,461.0,479.54998779296875,337518,2021-06-28
