Date,Adj Close_PALASHSECU.NS,Close_PALASHSECU.NS,High_PALASHSECU.NS,Low_PALASHSECU.NS,Open_PALASHSECU.NS,Volume_PALASHSECU.NS,Date
2020-07-13,25.0,25.0,26.100000381469727,23.799999237060547,26.100000381469727,606,2020-07-13
2020-07-20,25.25,25.25,28.850000381469727,24.700000762939453,25.0,11893,2020-07-20
2020-07-27,24.549999237060547,24.549999237060547,26.5,23.549999237060547,24.100000381469727,5920,2020-07-27
2020-08-03,26.0,26.0,26.5,24.049999237060547,24.549999237060547,9296,2020-08-03
2020-08-10,25.450000762939453,25.450000762939453,28.450000762939453,25.450000762939453,26.0,10330,2020-08-10
2020-08-17,28.049999237060547,28.049999237060547,29.649999618530273,25.549999237060547,26.5,12289,2020-08-17
2020-08-24,29.100000381469727,29.100000381469727,31.299999237060547,26.950000762939453,27.200000762939453,17860,2020-08-24
2020-08-31,31.5,31.5,32.0,27.649999618530273,28.100000381469727,16676,2020-08-31
2020-09-07,31.149999618530273,31.149999618530273,32.400001525878906,29.799999237060547,30.649999618530273,19152,2020-09-07
2020-09-14,32.25,32.25,34.29999923706055,30.600000381469727,30.649999618530273,13590,2020-09-14
2020-09-21,33.0,33.0,35.54999923706055,32.20000076293945,32.20000076293945,10835,2020-09-21
2020-09-28,33.400001525878906,33.400001525878906,35.849998474121094,32.20000076293945,34.0,4183,2020-09-28
2020-10-05,33.099998474121094,33.099998474121094,35.150001525878906,33.0,33.400001525878906,5555,2020-10-05
2020-10-12,31.0,31.0,34.099998474121094,30.25,34.099998474121094,3608,2020-10-12
2020-10-19,31.0,31.0,33.70000076293945,30.299999237060547,32.5,4958,2020-10-19
2020-10-26,29.100000381469727,29.100000381469727,31.0,29.0,31.0,3899,2020-10-26
2020-11-02,29.899999618530273,29.899999618530273,30.600000381469727,27.100000381469727,29.0,4363,2020-11-02
2020-11-09,28.399999618530273,28.399999618530273,30.5,27.5,28.799999237060547,15392,2020-11-09
2020-11-16,34.400001525878906,34.400001525878906,34.400001525878906,27.549999237060547,28.100000381469727,16631,2020-11-16
2020-11-23,36.0,36.0,38.45000076293945,34.150001525878906,34.400001525878906,25310,2020-11-23
2020-11-30,38.29999923706055,38.29999923706055,41.70000076293945,34.5,36.0,36619,2020-11-30
2020-12-07,43.0,43.0,43.95000076293945,36.54999923706055,36.54999923706055,35139,2020-12-07
2020-12-14,46.0,46.0,46.0,40.20000076293945,43.95000076293945,26233,2020-12-14
2020-12-21,42.349998474121094,42.349998474121094,46.20000076293945,40.54999923706055,44.599998474121094,100231,2020-12-21
2020-12-28,43.400001525878906,43.400001525878906,44.349998474121094,41.5,41.849998474121094,5747,2020-12-28
2021-01-04,45.54999923706055,45.54999923706055,46.20000076293945,41.5,41.5,9373,2021-01-04
2021-01-11,44.75,44.75,46.150001525878906,42.099998474121094,43.349998474121094,4579,2021-01-11
2021-01-18,43.650001525878906,43.650001525878906,46.45000076293945,41.0,43.099998474121094,13544,2021-01-18
2021-01-25,40.099998474121094,40.099998474121094,44.5,39.79999923706055,42.0,2459,2021-01-25
2021-02-01,45.04999923706055,45.04999923706055,45.70000076293945,38.650001525878906,39.04999923706055,27984,2021-02-01
2021-02-08,45.04999923706055,45.04999923706055,49.45000076293945,42.150001525878906,45.04999923706055,46203,2021-02-08
2021-02-15,44.79999923706055,44.79999923706055,46.400001525878906,39.400001525878906,43.45000076293945,33325,2021-02-15
2021-02-22,43.599998474121094,43.599998474121094,47.0,40.95000076293945,45.70000076293945,128499,2021-02-22
2021-03-01,49.0,49.0,49.0,42.79999923706055,44.0,87861,2021-03-01
2021-03-08,56.95000076293945,56.95000076293945,61.79999923706055,47.04999923706055,50.79999923706055,200453,2021-03-08
2021-03-15,48.099998474121094,48.099998474121094,55.099998474121094,46.5,55.099998474121094,21527,2021-03-15
2021-03-22,46.20000076293945,46.20000076293945,53.0,44.650001525878906,48.95000076293945,17198,2021-03-22
2021-03-29,50.0,50.0,50.099998474121094,44.650001525878906,46.20000076293945,2310,2021-03-29
