Date,Adj Close_PIDILITIND.NS,Close_PIDILITIND.NS,High_PIDILITIND.NS,Low_PIDILITIND.NS,Open_PIDILITIND.NS,Volume_PIDILITIND.NS,Date
2020-07-13,1368.8193359375,1392.5999755859375,1405.0,1340.0,1383.550048828125,1801015,2020-07-13
2020-07-20,1355.107666015625,1378.6500244140625,1453.300048828125,1369.0,1397.449951171875,4251939,2020-07-20
2020-07-27,1333.827392578125,1357.0,1385.0,1340.449951171875,1378.050048828125,4511902,2020-07-27
2020-08-03,1354.763671875,1378.300048828125,1393.699951171875,1306.949951171875,1357.0,9574333,2020-08-03
2020-08-10,1348.177978515625,1371.5999755859375,1410.0,1358.0999755859375,1384.9000244140625,5039337,2020-08-10
2020-08-17,1431.6282958984375,1456.5,1479.4000244140625,1357.0999755859375,1380.0,7780876,2020-08-17
2020-08-24,1420.8160400390625,1445.5,1504.300048828125,1442.4000244140625,1466.800048828125,5074848,2020-08-24
2020-08-31,1411.625732421875,1436.1500244140625,1464.5,1395.0,1455.0,4321322,2020-08-31
2020-09-07,1462.9835205078125,1488.4000244140625,1498.699951171875,1422.1500244140625,1443.0,4582104,2020-09-07
2020-09-14,1430.252197265625,1455.0999755859375,1517.0,1446.550048828125,1493.0,3898376,2020-09-14
2020-09-21,1388.87109375,1413.0,1460.75,1390.0,1455.0,3139712,2020-09-21
2020-09-28,1438.017333984375,1463.0,1467.699951171875,1415.0,1420.0,2121506,2020-09-28
2020-10-05,1446.9617919921875,1472.0999755859375,1513.800048828125,1444.0,1479.0,3740538,2020-10-05
2020-10-12,1455.95556640625,1481.25,1503.0,1465.0,1478.5999755859375,2721829,2020-10-12
2020-10-19,1474.680419921875,1500.300048828125,1551.3499755859375,1470.8499755859375,1486.0,4941702,2020-10-19
2020-10-26,1543.583251953125,1570.4000244140625,1600.0,1464.1500244140625,1506.0,8359714,2020-10-26
2020-11-02,1569.43408203125,1596.699951171875,1620.0,1548.1500244140625,1580.0,5869950,2020-11-02
2020-11-09,1553.953125,1580.949951171875,1606.0,1541.9000244140625,1604.0,3849582,2020-11-09
2020-11-16,1533.557373046875,1560.199951171875,1597.4000244140625,1553.550048828125,1564.699951171875,3136935,2020-11-16
2020-11-23,1516.2088623046875,1542.550048828125,1611.8499755859375,1500.5999755859375,1562.0999755859375,6541022,2020-11-23
2020-11-30,1579.2633056640625,1606.699951171875,1632.0,1534.300048828125,1542.550048828125,3948850,2020-11-30
2020-12-07,1610.6187744140625,1638.5999755859375,1667.8499755859375,1600.0999755859375,1606.949951171875,3573108,2020-12-07
