Date,Adj Close_PPL.NS,Close_PPL.NS,High_PPL.NS,Low_PPL.NS,Open_PPL.NS,Volume_PPL.NS,Date
2020-07-13,60.831199645996094,63.20000076293945,66.8499984741211,62.25,63.5,173106,2020-07-13
2020-07-20,57.65488815307617,59.900001525878906,64.69999694824219,59.04999923706055,61.150001525878906,260347,2020-07-20
2020-07-27,58.37677764892578,60.650001525878906,62.0,57.29999923706055,58.04999923706055,182835,2020-07-27
2020-08-03,65.35504913330078,67.9000015258789,68.94999694824219,58.150001525878906,59.79999923706055,347386,2020-08-03
2020-08-10,68.09821319580078,70.75,76.0,66.19999694824219,70.0,359346,2020-08-10
2020-08-17,70.36013793945312,73.0999984741211,74.0,68.0999984741211,72.94999694824219,444006,2020-08-17
2020-08-24,73.63269805908203,76.5,84.9000015258789,72.0999984741211,73.1500015258789,731484,2020-08-24
2020-08-31,72.57393646240234,75.4000015258789,80.55000305175781,71.9000015258789,76.5,359930,2020-08-31
2020-09-07,68.82010650634766,71.5,78.0,67.30000305175781,77.4000015258789,143852,2020-09-07
2020-09-14,67.18382263183594,69.80000305175781,72.5,68.05000305175781,71.5,156077,2020-09-14
2020-09-21,68.73297882080078,70.19999694824219,71.44999694824219,61.099998474121094,69.3499984741211,266028,2020-09-21
2020-09-28,68.047607421875,69.5,72.75,69.0999984741211,71.1500015258789,136202,2020-09-28
2020-10-05,68.24342346191406,69.69999694824219,72.94999694824219,68.0,69.5999984741211,135994,2020-10-05
2020-10-12,65.84461975097656,67.25,72.0,63.099998474121094,71.0,232498,2020-10-12
2020-10-19,64.22911071777344,65.5999984741211,71.0,64.05000305175781,68.25,170721,2020-10-19
2020-10-26,72.64938354492188,74.19999694824219,74.9000015258789,64.6500015258789,66.55000305175781,538801,2020-10-26
2020-11-02,71.18072509765625,72.69999694824219,74.8499984741211,70.0999984741211,74.6500015258789,273805,2020-11-02
2020-11-09,71.08281707763672,72.5999984741211,79.0,67.8499984741211,74.80000305175781,775373,2020-11-09
2020-11-16,75.43983459472656,77.05000305175781,77.69999694824219,71.19999694824219,71.30000305175781,465990,2020-11-16
2020-11-23,74.95027923583984,76.55000305175781,77.55000305175781,72.94999694824219,77.4000015258789,417816,2020-11-23
2020-11-30,101.04334259033203,103.19999694824219,108.0,76.0,76.55000305175781,2156845,2020-11-30
2020-12-07,94.63023376464844,96.6500015258789,105.0,93.1500015258789,104.55000305175781,538888,2020-12-07
2020-12-14,93.4063491821289,95.4000015258789,101.4000015258789,93.0,99.0,337444,2020-12-14
2020-12-21,91.88874053955078,93.8499984741211,100.8499984741211,82.0,96.0,477469,2020-12-21
2020-12-28,115.97465515136719,118.44999694824219,126.44999694824219,91.0,94.80000305175781,4701990,2020-12-28
2021-01-04,108.48452758789062,110.80000305175781,122.0,108.44999694824219,120.75,1190785,2021-01-04
2021-01-11,114.35913848876953,116.80000305175781,137.25,110.0,112.9000015258789,2548085,2021-01-11
2021-01-18,111.71556091308594,114.0999984741211,125.4000015258789,112.25,117.5,1080186,2021-01-18
2021-01-25,105.88990783691406,108.1500015258789,116.8499984741211,106.44999694824219,115.1500015258789,543161,2021-01-25
2021-02-01,117.68807983398438,120.19999694824219,125.0,105.6500015258789,110.0,1207924,2021-02-01
2021-02-08,107.9949722290039,110.30000305175781,127.9000015258789,108.5,123.0,1460524,2021-02-08
2021-02-15,112.15615844726562,114.55000305175781,119.69999694824219,110.1500015258789,111.0,920010,2021-02-15
2021-02-22,109.56153869628906,111.9000015258789,115.75,111.0,115.1500015258789,294170,2021-02-22
2021-03-01,123.22001647949219,125.8499984741211,135.3000030517578,114.3499984741211,114.5,1356744,2021-03-01
