Date,Adj Close_RAINBOW.NS,Close_RAINBOW.NS,High_RAINBOW.NS,Low_RAINBOW.NS,Open_RAINBOW.NS,Volume_RAINBOW.NS,Date
2022-05-09,451.384033203125,456.3999938964844,517.9000244140625,421.6499938964844,510.0,25197094,2022-05-09
2022-05-16,472.449951171875,477.70001220703125,482.8999938964844,410.0,456.3999938964844,5558179,2022-05-16
2022-05-23,488.47186279296875,493.8999938964844,496.8500061035156,460.0,483.0,1927823,2022-05-23
2022-05-30,465.4774475097656,470.6499938964844,508.0,468.1000061035156,488.0,1254504,2022-05-30
2022-06-06,464.9334716796875,470.1000061035156,488.3999938964844,454.0,460.3500061035156,874898,2022-06-06
2022-06-13,421.9115295410156,426.6000061035156,463.95001220703125,423.0,456.54998779296875,410640,2022-06-13
2022-06-20,454.4993896484375,459.54998779296875,465.8999938964844,413.45001220703125,420.5,410143,2022-06-20
2022-06-27,470.2741394042969,475.5,479.0,460.0,464.79998779296875,352502,2022-06-27
2022-07-04,480.9554138183594,486.29998779296875,490.0,460.0,474.95001220703125,410434,2022-07-04
2022-07-11,481.6971740722656,487.04998779296875,492.8999938964844,465.70001220703125,481.1000061035156,408052,2022-07-11
2022-07-18,482.8345642089844,488.20001220703125,511.8999938964844,482.29998779296875,493.3500061035156,683793,2022-07-18
2022-07-25,483.625732421875,489.0,505.0,470.04998779296875,485.1000061035156,559578,2022-07-25
2022-08-01,467.4059753417969,472.6000061035156,502.0,457.1499938964844,490.0,372864,2022-08-01
2022-08-08,588.0156860351562,594.5499877929688,597.9000244140625,469.54998779296875,475.8500061035156,6127919,2022-08-08
2022-08-15,557.8509521484375,564.0499877929688,608.0499877929688,542.0,594.5499877929688,1989643,2022-08-15
2022-08-22,614.1749877929688,621.0,626.5999755859375,556.0,558.0,1765008,2022-08-22
2022-08-29,615.0651245117188,621.9000244140625,640.0999755859375,596.9500122070312,598.0,786121,2022-08-29
2022-09-05,592.762939453125,599.3499755859375,635.0,590.7000122070312,626.7000122070312,731895,2022-09-05
2022-09-12,627.3593139648438,632.2000122070312,647.9000244140625,598.0999755859375,602.5,1347575,2022-09-12
2022-09-19,628.1035766601562,632.9500122070312,672.0,623.0,632.25,989349,2022-09-19
2022-09-26,626.0196533203125,630.8499755859375,637.9000244140625,606.2000122070312,632.9500122070312,728420,2022-09-26
2022-10-03,643.9810791015625,648.9500122070312,687.4000244140625,620.0,630.0,958701,2022-10-03
2022-10-10,647.305419921875,652.2999877929688,691.0,619.6500244140625,639.2000122070312,853284,2022-10-10
2022-10-17,667.5987548828125,672.75,704.9000244140625,642.0499877929688,655.0999755859375,1001921,2022-10-17
2022-10-24,678.1176147460938,683.3499755859375,730.7999877929688,662.5499877929688,672.2999877929688,753648,2022-10-24
2022-10-31,802.4581909179688,808.6500244140625,864.4000244140625,670.6500244140625,702.0,2874359,2022-10-31
2022-11-07,812.6297607421875,818.9000244140625,884.4000244140625,735.9000244140625,824.0,2125958,2022-11-07
2022-11-14,832.8239135742188,839.25,886.4500122070312,804.0499877929688,810.0,1354168,2022-11-14
2022-11-21,789.1112060546875,795.2000122070312,839.0,755.0,835.0,1453280,2022-11-21
2022-11-28,758.2493896484375,764.0999755859375,800.0,736.4500122070312,799.0999755859375,1657742,2022-11-28
2022-12-05,743.3641967773438,749.0999755859375,772.4500122070312,728.0999755859375,743.0,20885919,2022-12-05
2022-12-12,744.654296875,750.4000244140625,777.0,741.0,752.4000244140625,825133,2022-12-12
2022-12-19,704.3154907226562,709.75,755.0999755859375,688.9000244140625,746.0,1167546,2022-12-19
2022-12-26,733.5400390625,739.2000122070312,774.0,698.5,709.7000122070312,524948,2022-12-26
2023-01-02,752.196044921875,758.0,793.9500122070312,736.0999755859375,748.9000244140625,782284,2023-01-02
2023-01-09,741.1810302734375,746.9000244140625,789.4000244140625,730.5499877929688,789.4000244140625,324365,2023-01-09
2023-01-16,722.0784912109375,727.6500244140625,756.9500122070312,725.25,745.0,354894,2023-01-16
2023-01-23,711.6092529296875,717.0999755859375,733.9500122070312,695.7000122070312,729.9500122070312,636339,2023-01-23
2023-01-30,709.5253295898438,715.0,775.0,697.9500122070312,718.9500122070312,1202192,2023-01-30
2023-02-06,763.7072143554688,769.5999755859375,774.8499755859375,710.0999755859375,712.0,788764,2023-02-06
2023-02-13,771.1001586914062,777.0499877929688,784.0,723.4500122070312,775.0,717737,2023-02-13
2023-02-20,724.1127319335938,729.7000122070312,780.0,718.5,780.0,676729,2023-02-20
2023-02-27,740.6351928710938,746.3499755859375,757.0499877929688,719.0,728.0,461221,2023-02-27
2023-03-06,712.5023193359375,718.0,750.7000122070312,715.0999755859375,742.9500122070312,563177,2023-03-06
2023-03-13,734.3338623046875,740.0,744.0,709.0999755859375,725.7999877929688,339343,2023-03-13
2023-03-20,704.7124633789062,710.1500244140625,752.0,701.25,740.0,709446,2023-03-20
2023-03-27,724.9066162109375,730.5,739.0,697.0,707.0,371188,2023-03-27
2023-04-03,745.3984985351562,751.1500244140625,759.5999755859375,727.9500122070312,730.4500122070312,243346,2023-04-03
2023-04-10,755.5700073242188,761.4000244140625,764.4500122070312,725.0,751.7999877929688,687944,2023-04-10
2023-04-17,790.50048828125,796.5999755859375,820.0,766.0,766.0,1383768,2023-04-17
2023-04-24,785.2906494140625,791.3499755859375,800.0,753.5999755859375,796.5999755859375,529547,2023-04-24
2023-05-01,808.5611572265625,814.7999877929688,819.9000244140625,781.2999877929688,791.3499755859375,601927,2023-05-01
2023-05-08,843.1443481445312,849.6500244140625,852.0,773.9000244140625,818.0,592065,2023-05-08
2023-05-15,889.139404296875,896.0,930.9500122070312,860.0,880.0,1765335,2023-05-15
2023-05-22,947.786865234375,955.0999755859375,962.7999877929688,893.0,895.9500122070312,1119624,2023-05-22
2023-05-29,925.4094848632812,932.5499877929688,996.9000244140625,885.25,969.4500122070312,1838963,2023-05-29
2023-06-05,917.4707641601562,924.5499877929688,974.9000244140625,915.0999755859375,941.9000244140625,990597,2023-06-05
2023-06-12,937.4169311523438,944.6500244140625,957.0,917.1500244140625,927.5,665992,2023-06-12
2023-06-19,928.0888671875,935.25,985.0,925.0499877929688,954.9000244140625,1332422,2023-06-19
2023-06-26,956.677734375,961.0999755859375,1008.2999877929688,925.0,939.75,580920,2023-06-26
2023-07-03,1006.5970458984375,1011.25,1049.0,941.25,969.9000244140625,989750,2023-07-03
2023-07-10,1092.1016845703125,1097.1500244140625,1105.0,1013.4000244140625,1019.4500122070312,1184869,2023-07-10
2023-07-17,1100.6124267578125,1105.699951171875,1139.0,1032.949951171875,1108.050048828125,2295763,2023-07-17
2023-07-24,1085.731201171875,1090.75,1132.949951171875,1046.5,1116.4000244140625,1233582,2023-07-24
2023-07-31,1084.8353271484375,1089.8499755859375,1126.25,1031.5,1091.0,1741810,2023-07-31
2023-08-07,1033.671875,1038.449951171875,1100.0,1011.1500244140625,1100.0,1033980,2023-08-07
