Date,Adj Close_RAJTV.NS,Close_RAJTV.NS,High_RAJTV.NS,Low_RAJTV.NS,Open_RAJTV.NS,Volume_RAJTV.NS,Date
2020-07-13,34.25,34.25,34.849998474121094,32.599998474121094,34.099998474121094,6378,2020-07-13
2020-07-20,33.95000076293945,33.95000076293945,36.45000076293945,33.150001525878906,33.150001525878906,13690,2020-07-20
2020-07-27,33.54999923706055,33.54999923706055,36.0,31.100000381469727,33.45000076293945,20373,2020-07-27
2020-08-03,37.099998474121094,37.099998474121094,38.75,32.0,33.150001525878906,52357,2020-08-03
2020-08-10,37.099998474121094,37.099998474121094,44.0,35.5,37.349998474121094,134601,2020-08-10
2020-08-17,37.599998474121094,37.599998474121094,39.79999923706055,35.650001525878906,39.150001525878906,31190,2020-08-17
2020-08-24,39.650001525878906,39.650001525878906,45.349998474121094,36.79999923706055,36.849998474121094,194290,2020-08-24
2020-08-31,36.099998474121094,36.099998474121094,41.849998474121094,34.849998474121094,40.70000076293945,21486,2020-08-31
2020-09-07,36.54999923706055,36.54999923706055,37.79999923706055,34.849998474121094,35.099998474121094,11522,2020-09-07
2020-09-14,36.75,36.75,42.5,35.45000076293945,37.0,127921,2020-09-14
2020-09-21,33.95000076293945,33.95000076293945,38.349998474121094,32.20000076293945,38.349998474121094,60651,2020-09-21
2020-09-28,34.20000076293945,34.20000076293945,36.5,32.20000076293945,35.75,34518,2020-09-28
2020-10-05,36.5,36.5,39.900001525878906,33.650001525878906,34.0,27886,2020-10-05
2020-10-12,34.099998474121094,34.099998474121094,37.75,32.29999923706055,37.75,16527,2020-10-12
2020-10-19,34.29999923706055,34.29999923706055,37.900001525878906,33.20000076293945,33.79999923706055,47611,2020-10-19
2020-10-26,34.400001525878906,34.400001525878906,35.599998474121094,32.849998474121094,35.599998474121094,7334,2020-10-26
2020-11-02,33.54999923706055,33.54999923706055,34.650001525878906,32.54999923706055,33.79999923706055,12212,2020-11-02
2020-11-09,34.900001525878906,34.900001525878906,35.849998474121094,32.650001525878906,34.79999923706055,15906,2020-11-09
2020-11-16,33.70000076293945,33.70000076293945,34.900001525878906,33.099998474121094,34.04999923706055,13333,2020-11-16
2020-11-23,34.900001525878906,34.900001525878906,35.849998474121094,33.79999923706055,33.900001525878906,10136,2020-11-23
2020-11-30,35.400001525878906,35.400001525878906,36.400001525878906,33.349998474121094,34.900001525878906,14951,2020-11-30
2020-12-07,37.29999923706055,37.29999923706055,39.150001525878906,33.650001525878906,35.349998474121094,130862,2020-12-07
2020-12-14,40.75,40.75,47.5,34.25,37.29999923706055,507021,2020-12-14
2020-12-21,36.599998474121094,36.599998474121094,41.900001525878906,34.45000076293945,40.04999923706055,171603,2020-12-21
2020-12-28,37.0,37.0,38.79999923706055,34.95000076293945,36.599998474121094,116924,2020-12-28
2021-01-04,37.5,37.5,38.54999923706055,35.400001525878906,37.900001525878906,157948,2021-01-04
2021-01-11,36.45000076293945,36.45000076293945,38.70000076293945,35.79999923706055,38.04999923706055,82712,2021-01-11
2021-01-18,35.20000076293945,35.20000076293945,37.400001525878906,34.75,36.400001525878906,54043,2021-01-18
2021-01-25,33.400001525878906,33.400001525878906,35.5,33.099998474121094,35.099998474121094,23352,2021-01-25
2021-02-01,35.04999923706055,35.04999923706055,36.599998474121094,33.25,34.25,61103,2021-02-01
2021-02-08,34.849998474121094,34.849998474121094,36.099998474121094,33.29999923706055,35.5,38305,2021-02-08
2021-02-15,34.400001525878906,34.400001525878906,35.599998474121094,34.25,34.25,21305,2021-02-15
2021-02-22,34.0,34.0,35.150001525878906,32.650001525878906,35.150001525878906,17294,2021-02-22
2021-03-01,34.900001525878906,34.900001525878906,36.5,33.70000076293945,34.0,54941,2021-03-01
2021-03-08,34.29999923706055,34.29999923706055,35.54999923706055,34.099998474121094,34.95000076293945,62716,2021-03-08
2021-03-15,33.0,33.0,34.900001525878906,30.850000381469727,34.900001525878906,30351,2021-03-15
