Date,Adj Close_RELAXO.NS,Close_RELAXO.NS,High_RELAXO.NS,Low_RELAXO.NS,Open_RELAXO.NS,Volume_RELAXO.NS,Date
2020-07-13,620.0944213867188,626.9500122070312,629.0,610.0,624.9500122070312,669631,2020-07-13
2020-07-20,612.7258911132812,619.5,635.5,615.7999877929688,629.4000244140625,1365891,2020-07-20
2020-07-27,588.6915283203125,595.2000122070312,623.25,578.0,623.25,1847435,2020-07-27
2020-08-03,630.2322998046875,637.2000122070312,639.75,589.5,598.0,1858913,2020-08-03
2020-08-10,623.1604614257812,630.0499877929688,646.0,624.25,639.9000244140625,911490,2020-08-10
2020-08-17,634.238037109375,641.25,654.7999877929688,630.5999755859375,632.0,1142990,2020-08-17
2020-08-24,652.8818969726562,660.0999755859375,669.75,633.6500244140625,644.0499877929688,1872908,2020-08-24
2020-08-31,649.4697265625,656.6500244140625,683.4000244140625,635.0,669.0,1860296,2020-08-31
2020-09-07,634.584228515625,641.5999755859375,666.0,625.0,658.0,785709,2020-09-07
2020-09-14,666.43212890625,673.7999877929688,692.9500122070312,643.1500244140625,647.5999755859375,1368386,2020-09-14
2020-09-21,633.6445922851562,640.6500244140625,677.2000122070312,610.0,673.7999877929688,990430,2020-09-21
2020-09-28,650.8048706054688,658.0,672.0,643.2000122070312,644.5,602016,2020-09-28
2020-10-05,641.9526977539062,649.0499877929688,685.7999877929688,645.0,664.0,683404,2020-10-05
2020-10-12,655.6513671875,662.9000244140625,676.0,649.2999877929688,650.0,516997,2020-10-12
2020-10-19,651.0521850585938,658.25,676.0999755859375,655.0999755859375,663.1500244140625,452843,2020-10-19
2020-10-26,653.1786499023438,660.4000244140625,674.9000244140625,650.0,660.5,618986,2020-10-26
2020-11-02,691.2576293945312,698.9000244140625,710.8499755859375,655.0,668.0,1266093,2020-11-02
2020-11-09,730.8201904296875,738.9000244140625,750.0,680.0499877929688,702.4000244140625,1208430,2020-11-09
2020-11-16,730.5234985351562,738.5999755859375,756.9000244140625,720.2000122070312,725.3499755859375,677187,2020-11-16
2020-11-23,729.534423828125,737.5999755859375,749.4000244140625,717.2000122070312,740.0,865386,2020-11-23
2020-11-30,718.9019775390625,726.8499755859375,741.0999755859375,724.0,737.5999755859375,543437,2020-11-30
2020-12-07,730.9191284179688,739.0,747.9000244140625,715.4500122070312,730.2999877929688,1100213,2020-12-07
2020-12-14,778.14697265625,786.75,795.4000244140625,725.0999755859375,745.1500244140625,2112613,2020-12-14
2020-12-21,796.2469482421875,805.0499877929688,809.5999755859375,750.5499877929688,789.9500122070312,2332210,2020-12-21
2020-12-28,819.2921752929688,828.3499755859375,834.4000244140625,792.0,813.7999877929688,815885,2020-12-28
2021-01-04,881.9000244140625,891.6500244140625,928.0,829.5,831.5,2479906,2021-01-04
2021-01-11,838.2821655273438,847.5499877929688,910.0,840.0,905.4000244140625,1017444,2021-01-11
2021-01-18,826.7595825195312,835.9000244140625,862.8499755859375,815.0,847.5499877929688,924058,2021-01-18
2021-01-25,814.6929931640625,823.7000122070312,853.7000122070312,815.0,853.7000122070312,650456,2021-01-25
2021-02-01,873.146728515625,882.7999877929688,893.75,817.0499877929688,831.75,1531185,2021-02-01
2021-02-08,863.552734375,873.0999755859375,903.5,864.0499877929688,890.0,1380701,2021-02-08
2021-02-15,864.4923706054688,874.0499877929688,890.0,854.0,873.0999755859375,631772,2021-02-15
2021-02-22,845.5023193359375,854.8499755859375,890.5,840.7000122070312,870.0,637574,2021-02-22
2021-03-01,828.3914794921875,837.5499877929688,875.0,832.0,864.9500122070312,791564,2021-03-01
2021-03-08,841.6944580078125,851.0,859.0,831.0499877929688,842.0,447751,2021-03-08
2021-03-15,840.4581298828125,849.75,862.0,821.0,851.0,824234,2021-03-15
2021-03-22,870.9213256835938,880.5499877929688,918.9000244140625,840.0,862.0,1651404,2021-03-22
2021-03-29,894.4610595703125,904.3499755859375,910.0,870.0,880.5499877929688,646943,2021-03-29
2021-04-05,934.8150024414062,945.1500244140625,974.5999755859375,896.1500244140625,914.2000122070312,1587543,2021-04-05
2021-04-12,882.6912231445312,892.4500122070312,934.7000122070312,876.0499877929688,934.7000122070312,728421,2021-04-12
2021-04-19,873.0477905273438,882.7000122070312,915.0,841.0,885.0,701010,2021-04-19
2021-04-26,865.3826293945312,874.9500122070312,898.0999755859375,857.9500122070312,891.9000244140625,854669,2021-04-26
