Date,Adj Close_SABTNL.NS,Close_SABTNL.NS,High_SABTNL.NS,Low_SABTNL.NS,Open_SABTNL.NS,Volume_SABTNL.NS,Date
2020-07-13,185.0,185.0,185.0,185.0,185.0,0,2020-07-13
2020-07-20,180.0,180.0,180.0,180.0,180.0,26,2020-07-20
2020-07-27,180.0,180.0,180.0,180.0,180.0,0,2020-07-27
2020-08-03,175.0,175.0,180.0,175.0,180.0,11,2020-08-03
2020-08-10,150.0,150.0,175.0,150.0,170.0,353,2020-08-10
2020-08-17,145.0,145.0,150.0,140.0,150.0,648,2020-08-17
2020-08-24,135.0,135.0,150.0,130.0,150.0,314,2020-08-24
2020-08-31,125.0,125.0,135.0,120.0,135.0,144,2020-08-31
2020-09-07,105.0,105.0,120.0,105.0,120.0,256,2020-09-07
2020-09-14,130.0,130.0,130.0,105.0,105.0,274,2020-09-14
2020-09-21,145.0,145.0,145.0,130.0,130.0,621,2020-09-21
2020-09-28,145.0,145.0,150.0,140.0,145.0,321,2020-09-28
2020-10-05,135.0,135.0,150.0,125.0,140.0,674,2020-10-05
2020-10-12,135.0,135.0,140.0,125.0,135.0,102,2020-10-12
2020-10-19,135.0,135.0,135.0,125.0,135.0,132,2020-10-19
2020-10-26,135.0,135.0,145.0,125.0,135.0,331,2020-10-26
2020-11-02,140.0,140.0,140.0,130.0,140.0,201,2020-11-02
2020-11-09,130.0,130.0,145.0,130.0,145.0,425,2020-11-09
2020-11-16,140.0,140.0,145.0,125.0,130.0,327,2020-11-16
2020-11-23,150.0,150.0,155.0,135.0,140.0,1151,2020-11-23
2020-11-30,170.0,170.0,170.0,145.0,150.0,516,2020-11-30
2020-12-07,195.0,195.0,195.0,165.0,170.0,149,2020-12-07
2020-12-14,205.0,205.0,220.0,190.0,190.0,185,2020-12-14
2020-12-21,195.0,195.0,200.0,195.0,195.0,67,2020-12-21
2020-12-28,195.0,195.0,195.0,195.0,195.0,3,2020-12-28
2021-01-04,190.0,190.0,190.0,190.0,190.0,151,2021-01-04
2021-01-11,190.0,190.0,190.0,190.0,190.0,0,2021-01-11
2021-01-18,190.0,190.0,190.0,190.0,190.0,0,2021-01-18
2021-01-25,190.0,190.0,190.0,190.0,190.0,0,2021-01-25
2021-02-01,190.0,190.0,190.0,190.0,190.0,0,2021-02-01
2021-02-08,160.0,160.0,180.0,160.0,180.0,249,2021-02-08
2021-02-15,165.0,165.0,165.0,155.0,160.0,751,2021-02-15
2021-02-22,145.0,145.0,165.0,145.0,165.0,188,2021-02-22
2021-03-01,135.0,135.0,155.0,130.0,145.0,703,2021-03-01
2021-03-08,155.0,155.0,155.0,140.0,140.0,884,2021-03-08
2021-03-15,180.0,180.0,180.0,160.0,160.0,245,2021-03-15
2021-03-22,210.0,210.0,210.0,185.0,185.0,306,2021-03-22
2021-03-29,210.0,210.0,210.0,210.0,210.0,0,2021-03-29
2021-04-05,220.0,220.0,220.0,210.0,210.0,564,2021-04-05
2021-04-12,210.0,210.0,210.0,210.0,210.0,482,2021-04-12
2021-04-19,210.0,210.0,210.0,210.0,210.0,0,2021-04-19
2021-04-26,200.0,200.0,200.0,200.0,200.0,707,2021-04-26
2021-05-03,190.0,190.0,190.0,190.0,190.0,51,2021-05-03
2021-05-10,180.0,180.0,190.0,180.0,190.0,95,2021-05-10
2021-05-17,165.0,165.0,180.0,165.0,180.0,226,2021-05-17
2021-05-24,175.0,175.0,175.0,155.0,160.0,151,2021-05-24
2021-05-31,175.0,175.0,185.0,170.0,170.0,87,2021-05-31
2021-06-07,195.0,195.0,195.0,170.0,175.0,418,2021-06-07
2021-06-14,240.0,240.0,240.0,200.0,200.0,267,2021-06-14
2021-06-21,250.0,250.0,250.0,250.0,250.0,33,2021-06-21
2021-06-28,250.0,250.0,260.0,240.0,260.0,86,2021-06-28
2021-07-05,240.0,240.0,245.0,240.0,245.0,230,2021-07-05
2021-07-12,230.0,230.0,230.0,230.0,230.0,82,2021-07-12
2021-07-19,235.0,235.0,240.0,225.0,230.0,72,2021-07-19
2021-07-26,225.0,225.0,225.0,225.0,225.0,1,2021-07-26
2021-08-02,230.0,230.0,230.0,215.0,215.0,57,2021-08-02
2021-08-09,225.0,225.0,240.0,215.0,240.0,150,2021-08-09
2021-08-16,225.0,225.0,225.0,225.0,225.0,0,2021-08-16
2021-08-23,215.0,215.0,215.0,215.0,215.0,0,2021-08-23
2021-08-30,190.0,190.0,215.0,190.0,215.0,20,2021-08-30
2021-09-06,170.0,170.0,185.0,170.0,185.0,30,2021-09-06
2021-09-13,185.0,185.0,185.0,160.0,165.0,506,2021-09-13
2021-09-20,220.0,220.0,220.0,190.0,190.0,372,2021-09-20
2021-09-27,270.0,270.0,270.0,230.0,230.0,2041,2021-09-27
2021-10-04,270.0,270.0,270.0,270.0,270.0,0,2021-10-04
2021-10-11,260.0,260.0,260.0,260.0,260.0,91,2021-10-11
2021-10-18,250.0,250.0,250.0,250.0,250.0,10,2021-10-18
2021-10-25,240.0,240.0,240.0,240.0,240.0,25,2021-10-25
2021-11-01,240.0,240.0,240.0,240.0,240.0,0,2021-11-01
2021-11-08,210.0,210.0,230.0,210.0,230.0,250,2021-11-08
2021-11-15,180.0,180.0,200.0,180.0,200.0,278,2021-11-15
2021-11-22,175.0,175.0,180.0,165.0,180.0,472,2021-11-22
2021-11-29,170.0,170.0,175.0,160.0,175.0,259,2021-11-29
2021-12-06,185.0,185.0,185.0,160.0,165.0,334,2021-12-06
2021-12-13,210.0,210.0,210.0,190.0,190.0,285,2021-12-13
2021-12-20,250.0,250.0,250.0,220.0,220.0,690,2021-12-20
2021-12-27,250.0,250.0,250.0,250.0,250.0,129,2021-12-27
2022-01-03,250.0,250.0,250.0,250.0,250.0,51,2022-01-03
2022-01-10,250.0,250.0,250.0,240.0,250.0,425,2022-01-10
2022-01-17,250.0,250.0,250.0,240.0,240.0,460,2022-01-17
2022-01-24,240.0,240.0,250.0,240.0,250.0,774,2022-01-24
2022-01-31,230.0,230.0,240.0,230.0,240.0,56,2022-01-31
2022-02-07,230.0,230.0,230.0,220.0,230.0,239,2022-02-07
2022-02-14,225.0,225.0,225.0,220.0,225.0,214,2022-02-14
2022-02-21,215.0,215.0,225.0,215.0,215.0,310,2022-02-21
2022-02-28,205.0,205.0,205.0,205.0,205.0,194,2022-02-28
2022-03-07,205.0,205.0,205.0,195.0,195.0,19,2022-03-07
2022-03-14,215.0,215.0,215.0,195.0,210.0,150,2022-03-14
