Date,Adj Close_SAGARDEEP.NS,Close_SAGARDEEP.NS,High_SAGARDEEP.NS,Low_SAGARDEEP.NS,Open_SAGARDEEP.NS,Volume_SAGARDEEP.NS,Date
2020-07-13,89.83333587646484,89.83333587646484,90.0,85.66666412353516,87.66666412353516,147370,2020-07-13
2020-07-20,89.16666412353516,89.16666412353516,90.53333282470703,87.33333587646484,90.33333587646484,433318,2020-07-20
2020-07-27,88.9000015258789,88.9000015258789,90.66666412353516,87.73332977294922,90.5999984741211,569261,2020-07-27
2020-08-03,88.63333129882812,88.63333129882812,91.46666717529297,83.13333129882812,89.96666717529297,269968,2020-08-03
2020-08-10,79.33333587646484,79.33333587646484,88.63333129882812,77.86666870117188,88.63333129882812,316686,2020-08-10
2020-08-17,89.23332977294922,89.23332977294922,89.33333587646484,78.66666412353516,79.96666717529297,334628,2020-08-17
2020-08-24,82.93333435058594,82.93333435058594,98.5999984741211,82.93333435058594,90.66666412353516,2962374,2020-08-24
2020-08-31,64.23332977294922,64.23332977294922,78.80000305175781,64.23332977294922,78.80000305175781,8080,2020-08-31
2020-09-07,49.766666412353516,49.766666412353516,61.03333282470703,49.766666412353516,61.03333282470703,91049,2020-09-07
2020-09-14,38.599998474121094,38.599998474121094,47.29999923706055,38.599998474121094,47.29999923706055,14549,2020-09-14
2020-09-21,35.400001525878906,35.400001525878906,36.70000076293945,33.133331298828125,36.70000076293945,530653,2020-09-21
2020-09-28,42.93333435058594,42.93333435058594,42.96666717529297,35.5,35.599998474121094,83574,2020-09-28
2020-10-05,54.70000076293945,54.70000076293945,54.70000076293945,44.04999923706055,45.04999923706055,200603,2020-10-05
2020-10-12,60.20000076293945,60.20000076293945,63.5,55.5,57.099998474121094,287135,2020-10-12
2020-10-19,46.650001525878906,46.650001525878906,57.20000076293945,46.650001525878906,57.20000076293945,17699,2020-10-19
2020-10-26,48.599998474121094,48.599998474121094,48.75,40.04999923706055,44.349998474121094,93632,2020-10-26
2020-11-02,41.400001525878906,41.400001525878906,51.0,40.650001525878906,51.0,110683,2020-11-02
2020-11-09,34.349998474121094,34.349998474121094,41.0,31.600000381469727,40.70000076293945,118027,2020-11-09
2020-11-16,40.650001525878906,40.650001525878906,41.0,32.650001525878906,33.25,101499,2020-11-16
2020-11-23,40.95000076293945,40.95000076293945,42.650001525878906,39.04999923706055,42.650001525878906,109793,2020-11-23
2020-11-30,39.650001525878906,39.650001525878906,43.79999923706055,39.5,40.95000076293945,74653,2020-11-30
2020-12-07,40.04999923706055,40.04999923706055,41.099998474121094,37.70000076293945,40.29999923706055,80426,2020-12-07
2020-12-14,38.400001525878906,38.400001525878906,40.04999923706055,36.25,40.04999923706055,159594,2020-12-14
2020-12-21,36.849998474121094,36.849998474121094,38.95000076293945,35.25,38.099998474121094,75347,2020-12-21
2020-12-28,37.04999923706055,37.04999923706055,38.0,35.0,36.79999923706055,32082,2020-12-28
2021-01-04,36.29999923706055,36.29999923706055,38.5,35.0,37.04999923706055,55487,2021-01-04
2021-01-11,35.599998474121094,35.599998474121094,36.79999923706055,34.0,36.29999923706055,58096,2021-01-11
2021-01-18,34.75,34.75,36.900001525878906,32.79999923706055,35.599998474121094,54587,2021-01-18
2021-01-25,40.04999923706055,40.04999923706055,41.0,33.20000076293945,35.70000076293945,127420,2021-01-25
2021-02-01,41.900001525878906,41.900001525878906,42.849998474121094,38.54999923706055,40.29999923706055,213428,2021-02-01
2021-02-08,44.599998474121094,44.599998474121094,45.0,41.900001525878906,42.150001525878906,224779,2021-02-08
2021-02-15,46.45000076293945,46.45000076293945,48.20000076293945,43.04999923706055,44.5,128391,2021-02-15
2021-02-22,44.5,44.5,49.20000076293945,43.900001525878906,47.5,182226,2021-02-22
2021-03-01,45.70000076293945,45.70000076293945,48.400001525878906,40.099998474121094,40.25,68109,2021-03-01
2021-03-08,38.45000076293945,38.45000076293945,47.0,37.29999923706055,47.0,48335,2021-03-08
2021-03-15,35.45000076293945,35.45000076293945,41.900001525878906,34.25,40.150001525878906,20028,2021-03-15
2021-03-22,32.29999923706055,32.29999923706055,37.75,31.850000381469727,37.75,63132,2021-03-22
2021-03-29,33.79999923706055,33.79999923706055,34.0,29.299999237060547,32.29999923706055,59102,2021-03-29
2021-04-05,34.650001525878906,34.650001525878906,35.75,32.5,34.25,26432,2021-04-05
2021-04-12,32.79999923706055,32.79999923706055,35.29999923706055,30.700000762939453,35.29999923706055,17614,2021-04-12
2021-04-19,32.75,32.75,34.400001525878906,31.5,33.0,41305,2021-04-19
2021-04-26,34.150001525878906,34.150001525878906,34.70000076293945,32.0,32.54999923706055,45524,2021-04-26
2021-05-03,39.599998474121094,39.599998474121094,39.70000076293945,32.900001525878906,34.150001525878906,218379,2021-05-03
2021-05-10,45.5,45.5,46.400001525878906,39.5,40.0,167714,2021-05-10
2021-05-17,46.900001525878906,46.900001525878906,51.0,44.04999923706055,46.5,162754,2021-05-17
2021-05-24,41.900001525878906,41.900001525878906,48.900001525878906,41.25,48.900001525878906,148806,2021-05-24
2021-05-31,42.75,42.75,44.70000076293945,40.0,43.0,73671,2021-05-31
2021-06-07,43.04999923706055,43.04999923706055,47.70000076293945,40.650001525878906,44.0,112230,2021-06-07
2021-06-14,52.150001525878906,52.150001525878906,53.099998474121094,41.54999923706055,42.25,241365,2021-06-14
2021-06-21,55.599998474121094,55.599998474121094,58.0,49.54999923706055,51.150001525878906,142320,2021-06-21
2021-06-28,56.54999923706055,56.54999923706055,57.900001525878906,53.0,55.599998474121094,194787,2021-06-28
2021-07-05,58.099998474121094,58.099998474121094,59.0,53.75,58.25,243909,2021-07-05
2021-07-12,67.80000305175781,67.80000305175781,70.80000305175781,57.0,60.0,500733,2021-07-12
2021-07-19,70.5999984741211,70.5999984741211,71.1500015258789,64.0,68.0,287236,2021-07-19
2021-07-26,73.80000305175781,73.80000305175781,75.30000305175781,69.0,72.05000305175781,509427,2021-07-26
2021-08-02,73.4000015258789,73.4000015258789,77.44999694824219,71.0,75.55000305175781,501449,2021-08-02
2021-08-09,74.05000305175781,74.05000305175781,76.9000015258789,70.0,76.9000015258789,710532,2021-08-09
2021-08-16,62.20000076293945,62.20000076293945,74.0,62.20000076293945,74.0,106271,2021-08-16
2021-08-23,48.20000076293945,48.20000076293945,59.099998474121094,48.20000076293945,59.099998474121094,8057,2021-08-23
2021-08-30,37.400001525878906,37.400001525878906,45.79999923706055,37.400001525878906,45.79999923706055,46686,2021-08-30
2021-09-06,41.099998474121094,41.099998474121094,41.099998474121094,33.79999923706055,35.54999923706055,79800,2021-09-06
2021-09-13,36.20000076293945,36.20000076293945,43.150001525878906,35.54999923706055,43.150001525878906,117240,2021-09-13
2021-09-20,31.799999237060547,31.799999237060547,37.0,30.600000381469727,34.54999923706055,75713,2021-09-20
2021-09-27,31.75,31.75,35.20000076293945,30.25,30.25,66399,2021-09-27
2021-10-04,32.099998474121094,32.099998474121094,35.0,30.200000762939453,32.0,46094,2021-10-04
2021-10-11,32.650001525878906,32.650001525878906,35.0,30.75,31.0,58428,2021-10-11
