Date,Adj Close_SALZERELEC.NS,Close_SALZERELEC.NS,High_SALZERELEC.NS,Low_SALZERELEC.NS,Open_SALZERELEC.NS,Volume_SALZERELEC.NS,Date
2020-07-13,83.39567565917969,85.5999984741211,90.80000305175781,80.5,89.0,97056,2020-07-13
2020-07-20,82.61627197265625,84.80000305175781,94.30000305175781,83.1500015258789,85.5999984741211,480709,2020-07-20
2020-07-27,81.59331512451172,83.75,86.44999694824219,81.30000305175781,84.3499984741211,174879,2020-07-27
2020-08-03,83.59052276611328,85.80000305175781,86.44999694824219,82.0999984741211,83.0,80186,2020-08-03
2020-08-10,96.06090545654297,98.5999984741211,114.0,87.0,87.0,1643968,2020-08-10
2020-08-17,103.90361022949219,106.6500015258789,112.30000305175781,97.0999984741211,97.0999984741211,381371,2020-08-17
2020-08-24,102.24738311767578,104.94999694824219,110.69999694824219,101.6500015258789,108.05000305175781,178943,2020-08-24
2020-08-31,96.69416809082031,99.25,106.5999984741211,96.0999984741211,106.5999984741211,73338,2020-08-31
2020-09-07,93.91757202148438,96.4000015258789,103.19999694824219,92.0,103.19999694824219,40098,2020-09-07
2020-09-14,98.05811309814453,100.6500015258789,105.19999694824219,95.75,98.0999984741211,102620,2020-09-14
2020-09-21,87.82850646972656,90.1500015258789,102.0,87.5999984741211,98.25,117915,2020-09-21
2020-09-28,88.55919647216797,90.9000015258789,103.0,90.0999984741211,94.44999694824219,64957,2020-09-28
2020-10-05,91.57936096191406,94.0,96.8499984741211,90.0,91.3499984741211,124994,2020-10-05
2020-10-12,88.94889831542969,91.30000305175781,94.0,89.8499984741211,94.0,46947,2020-10-12
2020-10-19,96.69416809082031,99.25,102.5,91.0,92.9000015258789,357608,2020-10-19
2020-10-26,100.78600311279297,103.44999694824219,103.8499984741211,97.05000305175781,98.5999984741211,265834,2020-10-26
2020-11-02,96.1583251953125,98.69999694824219,107.8499984741211,97.5,104.80000305175781,281536,2020-11-02
2020-11-09,104.73171997070312,107.5,118.0,98.0999984741211,99.44999694824219,1690152,2020-11-09
2020-11-16,102.92936706542969,105.6500015258789,120.80000305175781,104.05000305175781,107.5,833419,2020-11-16
2020-11-23,121.92720031738281,125.1500015258789,129.75,105.25,105.6500015258789,1518309,2020-11-23
2020-11-30,132.05938720703125,135.5500030517578,154.0500030517578,125.1500015258789,125.1500015258789,1732217,2020-11-30
2020-12-07,126.36003112792969,129.6999969482422,142.0,125.55000305175781,137.0,430673,2020-12-07
2020-12-14,118.5660400390625,121.69999694824219,134.5500030517578,116.1500015258789,128.25,441335,2020-12-14
2020-12-21,119.44287109375,122.5999984741211,130.64999389648438,117.05000305175781,121.0,524867,2020-12-21
2020-12-28,125.8241958618164,129.14999389648438,133.8000030517578,121.44999694824219,124.30000305175781,511528,2020-12-28
2021-01-04,127.18815612792969,130.5500030517578,137.0,127.9000015258789,129.75,568322,2021-01-04
2021-01-11,127.23687744140625,130.60000610351562,133.0,124.3499984741211,130.60000610351562,212050,2021-01-11
2021-01-18,120.27098083496094,123.44999694824219,130.5500030517578,122.8499984741211,130.0,159733,2021-01-18
2021-01-25,111.55146026611328,114.5,126.8499984741211,109.19999694824219,125.0,206738,2021-01-25
2021-02-01,119.19931030273438,122.3499984741211,132.5,113.0,113.9000015258789,753723,2021-02-01
2021-02-08,117.15338897705078,120.25,127.0,118.19999694824219,123.0,173260,2021-02-08
2021-02-15,114.03579711914062,117.05000305175781,127.0,116.0,123.0,186608,2021-02-15
2021-02-22,115.25360107421875,118.30000305175781,121.0,112.55000305175781,117.0,176653,2021-02-22
2021-03-01,115.93557739257812,119.0,126.0,117.6500015258789,120.9000015258789,249064,2021-03-01
2021-03-08,129.96475219726562,133.39999389648438,150.6999969482422,117.0,120.6500015258789,2291288,2021-03-08
2021-03-15,121.4887924194336,124.69999694824219,135.89999389648438,118.19999694824219,135.0,388797,2021-03-15
2021-03-22,127.0907211303711,130.4499969482422,134.0,117.30000305175781,127.0,467785,2021-03-22
2021-03-29,124.65510559082031,127.94999694824219,132.0,121.0,130.4499969482422,146705,2021-03-29
2021-04-05,124.80123901367188,128.10000610351562,132.39999389648438,121.5,125.4000015258789,171956,2021-04-05
2021-04-12,117.44566345214844,120.55000305175781,128.0,120.0999984741211,128.0,97769,2021-04-12
2021-04-19,116.52012634277344,119.5999984741211,121.9000015258789,115.55000305175781,120.1500015258789,92794,2021-04-19
2021-04-26,116.86111450195312,119.94999694824219,126.69999694824219,118.8499984741211,120.0,433970,2021-04-26
2021-05-03,117.98149871826172,121.0999984741211,128.10000610351562,116.5,121.0,377954,2021-05-03
2021-05-10,120.07613372802734,123.25,127.0,120.0,122.0,413455,2021-05-10
2021-05-17,125.2396469116211,128.5500030517578,135.75,126.5,127.0,855572,2021-05-17
2021-05-24,133.9591827392578,137.5,140.9499969482422,127.80000305175781,129.89999389648438,757846,2021-05-24
2021-05-31,144.91946411132812,148.75,162.60000610351562,136.14999389648438,139.89999389648438,3229860,2021-05-31
2021-06-07,160.55616760253906,164.8000030517578,174.4499969482422,148.5,148.60000610351562,2081199,2021-06-07
2021-06-14,141.8018798828125,145.5500030517578,174.60000610351562,140.64999389648438,165.8000030517578,1659775,2021-06-14
2021-06-21,153.88255310058594,157.9499969482422,162.14999389648438,142.60000610351562,145.5500030517578,690308,2021-06-21
2021-06-28,155.8797607421875,160.0,165.64999389648438,155.5500030517578,159.6999969482422,526952,2021-06-28
2021-07-05,161.8713836669922,166.14999389648438,169.5,158.25,161.6999969482422,715589,2021-07-05
2021-07-12,172.588134765625,177.14999389648438,187.14999389648438,170.0,174.0,1964365,2021-07-12
2021-07-19,168.78855895996094,173.25,184.75,172.0,175.8000030517578,756694,2021-07-19
2021-07-26,168.78855895996094,173.25,183.4499969482422,162.64999389648438,172.14999389648438,929875,2021-07-26
2021-08-02,166.15809631347656,170.5500030517578,189.5,168.0500030517578,174.10000610351562,1168660,2021-08-02
2021-08-09,162.9917755126953,167.3000030517578,177.5,155.14999389648438,171.4499969482422,622684,2021-08-09
2021-08-16,146.38084411621094,150.25,167.0,148.4499969482422,163.3000030517578,235383,2021-08-16
2021-08-23,145.0655975341797,148.89999389648438,156.0,138.10000610351562,154.25,293168,2021-08-23
2021-08-30,165.0211639404297,167.5500030517578,174.75,146.0,150.39999389648438,1112462,2021-08-30
2021-09-06,163.29757690429688,165.8000030517578,172.6999969482422,162.39999389648438,167.5500030517578,619579,2021-09-06
2021-09-13,155.76303100585938,158.14999389648438,168.60000610351562,156.60000610351562,165.8000030517578,277554,2021-09-13
2021-09-20,156.89569091796875,159.3000030517578,168.39999389648438,150.0,157.0,416497,2021-09-20
2021-09-27,162.60813903808594,165.10000610351562,168.64999389648438,154.3000030517578,158.5,282706,2021-09-27
2021-10-04,166.5477752685547,169.10000610351562,176.0,163.4499969482422,168.89999389648438,411092,2021-10-04
2021-10-11,163.0513458251953,165.5500030517578,172.0,159.1999969482422,168.8000030517578,197375,2021-10-11
2021-10-18,154.43341064453125,156.8000030517578,169.0,155.5,165.5500030517578,190102,2021-10-18
2021-10-25,153.30076599121094,155.64999389648438,159.4499969482422,152.0500030517578,157.6999969482422,142766,2021-10-25
2021-11-01,177.87420654296875,180.60000610351562,188.64999389648438,156.0,157.25,1608955,2021-11-01
2021-11-08,205.00839233398438,208.14999389648438,220.0,177.0500030517578,180.60000610351562,2928086,2021-11-08
2021-11-15,210.4253692626953,213.64999389648438,225.9499969482422,197.0,204.0,1152536,2021-11-15
2021-11-22,207.6676483154297,210.85000610351562,234.39999389648438,201.0,219.0,1462709,2021-11-22
2021-11-29,204.46669006347656,207.60000610351562,214.0,195.5,212.0,601127,2021-11-29
2021-12-06,201.80743408203125,204.89999389648438,214.0500030517578,193.5500030517578,204.1999969482422,357459,2021-12-06
2021-12-13,191.5644073486328,194.5,211.0,193.4499969482422,206.5,321320,2021-12-13
2021-12-20,181.5183563232422,184.3000030517578,191.60000610351562,172.5,191.60000610351562,444260,2021-12-20
2021-12-27,186.1474151611328,189.0,194.0,182.25,186.5,243180,2021-12-27
2022-01-03,232.83200073242188,236.39999389648438,243.0,189.9499969482422,194.0,1797691,2022-01-03
2022-01-10,238.24899291992188,241.89999389648438,264.29998779296875,228.25,238.0,2538709,2022-01-10
2022-01-17,233.52145385742188,237.10000610351562,249.8000030517578,227.64999389648438,243.39999389648438,731693,2022-01-17
2022-01-24,216.236328125,219.5500030517578,238.60000610351562,215.14999389648438,235.0,653033,2022-01-24
2022-01-31,216.236328125,219.5500030517578,231.89999389648438,207.5,224.0,465580,2022-01-31
2022-02-07,198.75424194335938,201.8000030517578,225.0,196.39999389648438,220.0,830727,2022-02-07
2022-02-14,181.71534729003906,184.5,199.75,179.3000030517578,198.8000030517578,787129,2022-02-14
2022-02-21,156.846435546875,159.25,185.6999969482422,149.10000610351562,184.0,814636,2022-02-21
2022-02-28,165.85833740234375,168.39999389648438,178.6999969482422,155.39999389648438,158.0,585398,2022-02-28
2022-03-07,168.27137756347656,170.85000610351562,177.60000610351562,160.60000610351562,164.0,316863,2022-03-07
2022-03-14,175.26419067382812,177.9499969482422,184.64999389648438,170.85000610351562,172.75,372983,2022-03-14
2022-03-21,179.0561065673828,181.8000030517578,186.75,172.64999389648438,179.0,384880,2022-03-21
2022-03-28,192.1061248779297,195.0500030517578,196.6999969482422,170.6999969482422,184.0,609189,2022-03-28
2022-04-04,192.45082092285156,195.39999389648438,208.8000030517578,192.0,195.0,477556,2022-04-04
2022-04-11,188.8559112548828,191.75,201.5500030517578,188.6999969482422,195.39999389648438,190379,2022-04-11
2022-04-18,205.89480590820312,209.0500030517578,214.75,191.0,199.89999389648438,794989,2022-04-18
2022-04-25,200.03460693359375,203.10000610351562,214.5,201.0500030517578,207.8000030517578,324506,2022-04-25
2022-05-02,194.22366333007812,197.1999969482422,210.8000030517578,184.5,202.6999969482422,301335,2022-05-02
2022-05-09,177.87420654296875,180.60000610351562,204.39999389648438,170.5,196.0,250866,2022-05-09
2022-05-16,190.62875366210938,193.5500030517578,199.39999389648438,179.0,183.89999389648438,179520,2022-05-16
2022-05-23,166.30154418945312,168.85000610351562,183.0,163.0,180.14999389648438,372491,2022-05-23
2022-05-30,189.59458923339844,192.5,197.3000030517578,168.85000610351562,172.5,309731,2022-05-30
2022-06-06,185.7042236328125,188.5500030517578,194.0,184.5,194.0,110743,2022-06-06
2022-06-13,167.97589111328125,170.5500030517578,187.8000030517578,170.0500030517578,183.0,94888,2022-06-13
2022-06-20,170.4381561279297,173.0500030517578,177.39999389648438,160.0,166.14999389648438,99435,2022-06-20
2022-06-27,167.5326690673828,170.10000610351562,177.8000030517578,168.10000610351562,175.8000030517578,62199,2022-06-27
2022-07-04,177.67721557617188,180.39999389648438,182.3000030517578,171.60000610351562,173.1999969482422,49688,2022-07-04
2022-07-11,169.94570922851562,172.5500030517578,185.0,169.89999389648438,175.14999389648438,51132,2022-07-11
2022-07-18,179.3515625,182.10000610351562,188.0,173.3000030517578,176.0,106953,2022-07-18
2022-07-25,176.7908172607422,179.5,183.3000030517578,172.14999389648438,183.3000030517578,88090,2022-07-25
2022-08-01,177.72647094726562,180.4499969482422,184.25,174.0,179.5500030517578,123969,2022-08-01
2022-08-08,222.78594970703125,226.1999969482422,227.9499969482422,178.0,183.39999389648438,1525495,2022-08-08
2022-08-15,231.6008758544922,235.14999389648438,246.35000610351562,215.5500030517578,226.1999969482422,787233,2022-08-15
2022-08-22,235.4912567138672,239.10000610351562,255.0,230.85000610351562,233.60000610351562,618732,2022-08-22
2022-08-29,235.46043395996094,237.3000030517578,243.6999969482422,226.0,230.0,361656,2022-08-29
2022-09-05,238.38754272460938,240.25,260.0,236.75,237.8000030517578,902345,2022-09-05
2022-09-12,262.3503112792969,264.3999938964844,285.8999938964844,240.10000610351562,240.25,1796558,2022-09-12
2022-09-19,259.1751708984375,261.20001220703125,290.0,260.0,266.3999938964844,1148251,2022-09-19
2022-09-26,244.98599243164062,246.89999389648438,259.70001220703125,240.25,256.5,544146,2022-09-26
2022-10-03,252.27902221679688,254.25,258.8500061035156,236.0,245.6999969482422,238157,2022-10-03
2022-10-10,245.08522033691406,247.0,258.0,245.0,250.0,179503,2022-10-10
2022-10-17,257.2402648925781,259.25,279.3999938964844,241.0500030517578,247.0,949050,2022-10-17
2022-10-24,274.9022521972656,277.04998779296875,291.3999938964844,259.8999938964844,259.8999938964844,1004766,2022-10-24
2022-10-31,271.23095703125,273.3500061035156,284.0,260.1000061035156,277.04998779296875,506185,2022-10-31
2022-11-07,278.8712463378906,281.04998779296875,287.79998779296875,256.79998779296875,273.0,1105454,2022-11-07
2022-11-14,255.0076904296875,257.0,284.0,250.10000610351562,283.0,541939,2022-11-14
2022-11-21,246.42477416992188,248.35000610351562,261.95001220703125,245.3000030517578,258.0,420219,2022-11-21
2022-11-28,238.63560485839844,240.5,252.5500030517578,239.6999969482422,247.0500030517578,404427,2022-11-28
2022-12-05,250.98910522460938,252.9499969482422,267.3999938964844,246.5,246.89999389648438,1155453,2022-12-05
2022-12-12,246.17669677734375,248.10000610351562,256.79998779296875,245.5,253.89999389648438,292243,2022-12-12
2022-12-19,223.25576782226562,225.0,276.1000061035156,223.35000610351562,255.0,1410930,2022-12-19
2022-12-26,243.2495574951172,245.14999389648438,251.10000610351562,228.5,230.0,398617,2022-12-26
2023-01-02,295.3425598144531,297.6499938964844,309.3999938964844,242.0,246.5,3676448,2023-01-02
2023-01-09,309.3332824707031,311.75,332.0,294.0,302.04998779296875,4019744,2023-01-09
2023-01-16,287.30535888671875,289.54998779296875,314.8999938964844,285.5,312.8999938964844,997261,2023-01-16
2023-01-23,283.4852294921875,285.70001220703125,309.79998779296875,278.0,292.70001220703125,1250062,2023-01-23
2023-01-30,287.35498046875,289.6000061035156,304.8999938964844,278.3999938964844,282.1000061035156,1232982,2023-01-30
2023-02-06,297.5255126953125,299.8500061035156,327.29998779296875,285.79998779296875,292.8500061035156,2126755,2023-02-06
2023-02-13,269.44488525390625,271.54998779296875,304.3500061035156,265.1000061035156,300.0,974650,2023-02-13
2023-02-20,259.82012939453125,261.8500061035156,280.79998779296875,260.1000061035156,271.8500061035156,432835,2023-02-20
2023-02-27,257.438720703125,259.45001220703125,265.20001220703125,250.0,260.0,285305,2023-02-27
2023-03-06,260.66351318359375,262.70001220703125,271.8500061035156,259.25,259.25,229880,2023-03-06
2023-03-13,244.6387176513672,246.5500030517578,265.20001220703125,237.9499969482422,262.0,286521,2023-03-13
2023-03-20,244.44027709960938,246.35000610351562,259.3999938964844,240.8000030517578,244.89999389648438,448336,2023-03-20
2023-03-27,251.98133850097656,253.9499969482422,258.79998779296875,236.0,246.1999969482422,352319,2023-03-27
2023-04-03,294.30072021484375,296.6000061035156,300.8999938964844,254.0,254.0,656434,2023-04-03
2023-04-10,287.4045715332031,289.6499938964844,299.6000061035156,284.0,296.6000061035156,204871,2023-04-10
2023-04-17,305.2650451660156,307.6499938964844,311.0,285.20001220703125,289.6499938964844,590957,2023-04-17
2023-04-24,308.19219970703125,310.6000061035156,327.75,301.0,309.8999938964844,940818,2023-04-24
2023-05-01,301.2960510253906,303.6499938964844,319.0,300.1000061035156,310.6000061035156,341034,2023-05-01
2023-05-08,330.51776123046875,333.1000061035156,342.20001220703125,302.3999938964844,305.29998779296875,2040612,2023-05-08
2023-05-15,328.9797668457031,331.54998779296875,345.20001220703125,325.1499938964844,333.1000061035156,878550,2023-05-15
2023-05-22,323.0262756347656,325.54998779296875,338.79998779296875,265.75,332.54998779296875,5028896,2023-05-22
2023-05-29,357.4076843261719,360.20001220703125,372.0,325.0,328.0,2101429,2023-05-29
2023-06-05,334.0402526855469,336.6499938964844,366.70001220703125,335.0,362.70001220703125,1007467,2023-06-05
2023-06-12,342.1270446777344,344.79998779296875,369.1499938964844,337.25,337.25,847788,2023-06-12
2023-06-19,349.4696960449219,352.20001220703125,375.0,340.1000061035156,346.3999938964844,907830,2023-06-19
2023-06-26,351.2557678222656,354.0,367.95001220703125,339.1499938964844,352.95001220703125,621921,2023-06-26
2023-07-03,347.6340637207031,350.3500061035156,374.95001220703125,343.79998779296875,358.8500061035156,664556,2023-07-03
2023-07-10,331.0138854980469,333.6000061035156,358.8999938964844,326.0,351.79998779296875,581669,2023-07-10
2023-07-17,335.7270812988281,338.3500061035156,350.8999938964844,333.5,333.95001220703125,603228,2023-07-17
2023-07-24,340.638671875,343.29998779296875,348.5,326.29998779296875,338.3500061035156,473722,2023-07-24
2023-07-31,354.0836486816406,356.8500061035156,359.75,337.79998779296875,343.5,615234,2023-07-31
2023-08-07,336.2727966308594,338.8999938964844,359.0,315.25,358.8999938964844,1138755,2023-08-07
2023-08-14,388.0185241699219,391.04998779296875,401.6499938964844,336.1000061035156,337.75,2120910,2023-08-14
2023-08-21,400.7689208984375,403.8999938964844,419.0,389.25,392.8999938964844,980832,2023-08-21
2023-08-28,407.2699890136719,408.20001220703125,417.1499938964844,392.0,405.8999938964844,572916,2023-08-28
2023-09-04,384.52191162109375,385.3999938964844,413.8999938964844,381.29998779296875,411.0,359440,2023-09-04
2023-09-11,377.9868469238281,378.8500061035156,398.0,365.04998779296875,390.0,484811,2023-09-11
2023-09-18,394.4991455078125,395.3999938964844,398.0,361.0,378.95001220703125,517470,2023-09-18
2023-09-25,369.4064636230469,370.25,396.6499938964844,367.1000061035156,396.5,204524,2023-09-25
2023-10-02,394.0002746582031,394.8999938964844,401.75,369.04998779296875,370.25,556290,2023-10-02
2023-10-09,381.1795654296875,382.04998779296875,389.29998779296875,374.95001220703125,385.0,283652,2023-10-09
2023-10-16,394.9980163574219,395.8999938964844,428.0,393.0,401.0,1466480,2023-10-16
2023-10-23,391.8052978515625,392.70001220703125,399.0,361.1499938964844,399.0,478688,2023-10-23
2023-10-30,399.9367370605469,400.8500061035156,404.0,391.29998779296875,395.8999938964844,306993,2023-10-30
2023-11-06,372.4993896484375,373.3500061035156,385.25,363.6499938964844,374.29998779296875,684318,2023-11-06
2023-11-13,367.5606689453125,368.3999938964844,384.0,363.0,378.0,286186,2023-11-13
2023-11-20,364.31805419921875,365.1499938964844,372.8500061035156,362.5,368.3999938964844,278696,2023-11-20
2023-11-27,381.52874755859375,382.3999938964844,393.75,365.1499938964844,365.1499938964844,653327,2023-11-27
2023-12-04,411.4604187011719,412.3999938964844,415.0,381.54998779296875,400.0,1193613,2023-12-04
2023-12-11,415.9002990722656,416.8500061035156,438.75,396.3500061035156,412.1000061035156,876123,2023-12-11
2023-12-18,400.3358154296875,401.25,430.75,385.0,416.8500061035156,503191,2023-12-18
2023-12-25,403.1793212890625,404.1000061035156,424.75,401.25,401.25,329905,2023-12-25
2024-01-01,439.9952697753906,441.0,454.8999938964844,404.8500061035156,404.8500061035156,1291466,2024-01-01
2024-01-08,440.54400634765625,441.54998779296875,453.54998779296875,432.04998779296875,444.20001220703125,442866,2024-01-08
2024-01-15,441.5417175292969,442.54998779296875,467.95001220703125,431.70001220703125,443.3999938964844,744823,2024-01-15
2024-01-22,417.79595947265625,418.75,448.95001220703125,414.0,442.54998779296875,235564,2024-01-22
