Date,Adj Close_SASKEN.NS,Close_SASKEN.NS,High_SASKEN.NS,Low_SASKEN.NS,Open_SASKEN.NS,Volume_SASKEN.NS,Date
2020-07-13,441.0756530761719,488.8500061035156,510.0,462.20001220703125,462.20001220703125,168019,2020-07-13
2020-07-20,429.39111328125,475.8999938964844,496.1499938964844,471.0,491.29998779296875,82589,2020-07-20
2020-07-27,489.6629333496094,542.7000122070312,618.6500244140625,475.0,475.0,1019029,2020-07-27
2020-08-03,523.5433349609375,580.25,609.0,536.0,545.4500122070312,577250,2020-08-03
2020-08-10,535.9494018554688,594.0,626.0,582.0,588.25,359236,2020-08-10
2020-08-17,561.4838256835938,622.2999877929688,637.5,596.0,597.0,387492,2020-08-17
2020-08-24,539.4231567382812,597.8499755859375,644.5499877929688,592.2000122070312,627.5499877929688,192074,2020-08-24
2020-08-31,511.5882263183594,567.0,613.0,550.5999755859375,607.0,104513,2020-08-31
2020-09-07,505.8587646484375,560.6500244140625,577.4500122070312,538.5499877929688,576.0,83882,2020-09-07
2020-09-14,533.8742065429688,591.7000122070312,619.0,565.7000122070312,568.7999877929688,168391,2020-09-14
2020-09-21,638.6279296875,707.7999877929688,752.75,598.0999755859375,603.0,2020486,2020-09-21
2020-09-28,629.695556640625,697.9000244140625,726.0,690.0,720.0,216352,2020-09-28
2020-10-05,637.1845092773438,706.2000122070312,745.0,685.0999755859375,714.0,369942,2020-10-05
2020-10-12,656.3576049804688,727.4500122070312,794.0,690.0999755859375,709.0,474629,2020-10-12
2020-10-19,597.6196899414062,662.3499755859375,779.75,658.0,735.0,507866,2020-10-19
2020-10-26,590.9429931640625,654.9500122070312,696.0,646.0,659.9500122070312,181733,2020-10-26
2020-11-02,608.5540771484375,664.5499877929688,675.0,651.0499877929688,658.25,85170,2020-11-02
2020-11-09,618.90185546875,675.8499755859375,680.0,648.0,664.5499877929688,61510,2020-11-09
2020-11-16,610.5686645507812,666.75,699.7000122070312,651.5,651.5,59699,2020-11-16
2020-11-23,600.1293334960938,655.3499755859375,679.0,653.0,670.0999755859375,52094,2020-11-23
2020-11-30,643.7183837890625,702.9500122070312,710.0,655.3499755859375,655.3499755859375,79847,2020-11-30
2020-12-07,681.6299438476562,744.3499755859375,749.9000244140625,687.7000122070312,696.0999755859375,237832,2020-12-07
2020-12-14,675.6776123046875,737.8499755859375,794.0,724.8499755859375,755.0499877929688,496783,2020-12-14
2020-12-21,665.6046142578125,726.8499755859375,749.9500122070312,685.0,740.0,96198,2020-12-21
2020-12-28,749.760986328125,818.75,848.7000122070312,710.5499877929688,725.0,639641,2020-12-28
2021-01-04,794.4032592773438,867.5,889.9000244140625,805.0,826.7000122070312,509431,2021-01-04
2021-01-11,784.3757934570312,856.5499877929688,884.4500122070312,840.0,880.0,137154,2021-01-11
2021-01-18,768.6251220703125,839.3499755859375,928.7000122070312,828.5,859.5,546627,2021-01-18
2021-01-25,731.904052734375,799.25,854.9500122070312,794.0,843.5499877929688,81701,2021-01-25
2021-02-01,746.2354125976562,814.9000244140625,857.0,792.0,808.0,94235,2021-02-01
2021-02-08,762.3523559570312,832.5,843.0,809.0,819.0,56250,2021-02-08
2021-02-15,758.3690185546875,828.1500244140625,850.0,814.9500122070312,836.7000122070312,64638,2021-02-15
2021-02-22,772.1965942382812,843.25,887.7999877929688,804.4000244140625,832.2999877929688,217866,2021-02-22
2021-03-01,785.2915649414062,857.5499877929688,913.0,837.4000244140625,843.2000122070312,138763,2021-03-01
2021-03-08,783.4601440429688,855.5499877929688,878.9000244140625,842.0499877929688,862.0,35747,2021-03-08
2021-03-15,774.8522338867188,846.1500244140625,908.0,805.0999755859375,859.8499755859375,123377,2021-03-15
2021-03-22,782.3611450195312,854.3499755859375,943.75,836.9500122070312,850.4000244140625,439034,2021-03-22
2021-03-29,801.5460205078125,875.2999877929688,894.3499755859375,854.3499755859375,854.3499755859375,48238,2021-03-29
2021-04-05,922.3776245117188,1007.25,1062.1500244140625,857.0999755859375,892.0,953656,2021-04-05
2021-04-12,878.3306884765625,959.1500244140625,1026.0,916.2999877929688,1005.9500122070312,255088,2021-04-12
2021-04-19,850.4006958007812,928.6500244140625,1020.0,923.0,958.5499877929688,256378,2021-04-19
2021-04-26,851.9573364257812,930.3499755859375,949.9500122070312,916.8499755859375,932.0,103197,2021-04-26
2021-05-03,882.1309814453125,963.2999877929688,995.5,873.0999755859375,930.3499755859375,209640,2021-05-03
2021-05-10,853.6515502929688,932.2000122070312,979.9500122070312,930.0,963.2999877929688,65965,2021-05-10
2021-05-17,859.9700317382812,939.0999755859375,968.75,921.0,936.9000244140625,70057,2021-05-17
2021-05-24,896.1419067382812,978.5999755859375,1027.0,937.9500122070312,949.0,295064,2021-05-24
2021-05-31,887.7169799804688,969.4000244140625,993.0,952.25,983.0,80041,2021-05-31
