Date,Adj Close_SASTASUNDR.NS,Close_SASTASUNDR.NS,High_SASTASUNDR.NS,Low_SASTASUNDR.NS,Open_SASTASUNDR.NS,Volume_SASTASUNDR.NS,Date
2020-07-13,78.5,78.5,81.19999694824219,71.30000305175781,75.5999984741211,4890,2020-07-13
2020-07-20,82.9000015258789,82.9000015258789,88.0,78.3499984741211,79.94999694824219,20144,2020-07-20
2020-07-27,81.0,81.0,86.8499984741211,74.05000305175781,86.8499984741211,7916,2020-07-27
2020-08-03,92.8499984741211,92.8499984741211,93.55000305175781,80.0999984741211,80.0999984741211,51268,2020-08-03
2020-08-10,92.05000305175781,92.05000305175781,108.5,90.25,93.5,130361,2020-08-10
2020-08-17,104.1500015258789,104.1500015258789,109.94999694824219,83.30000305175781,92.05000305175781,289098,2020-08-17
2020-08-24,99.9000015258789,99.9000015258789,108.94999694824219,96.3499984741211,107.0,177932,2020-08-24
2020-08-31,94.69999694824219,94.69999694824219,109.75,92.0,105.0,167231,2020-08-31
2020-09-07,91.0,91.0,95.8499984741211,86.0,94.0,41856,2020-09-07
2020-09-14,89.1500015258789,89.1500015258789,101.4000015258789,85.25,91.4000015258789,140480,2020-09-14
2020-09-21,82.5,82.5,92.5,76.55000305175781,92.5,34813,2020-09-21
2020-09-28,91.3499984741211,91.3499984741211,92.0,80.9000015258789,84.55000305175781,31253,2020-09-28
2020-10-05,89.69999694824219,89.69999694824219,95.4000015258789,87.3499984741211,94.0,27396,2020-10-05
2020-10-12,85.6500015258789,85.6500015258789,91.0,84.4000015258789,89.0,26237,2020-10-12
2020-10-19,87.0999984741211,87.0999984741211,94.9000015258789,84.3499984741211,85.6500015258789,22748,2020-10-19
2020-10-26,95.4000015258789,95.4000015258789,97.44999694824219,80.94999694824219,88.6500015258789,42003,2020-10-26
2020-11-02,122.0,122.0,127.5999984741211,95.0,95.44999694824219,493742,2020-11-02
2020-11-09,129.3000030517578,129.3000030517578,153.0,118.80000305175781,125.0,1168037,2020-11-09
2020-11-16,131.10000610351562,131.10000610351562,136.85000610351562,125.25,126.55000305175781,234124,2020-11-16
2020-11-23,133.8000030517578,133.8000030517578,138.0,120.6500015258789,132.60000610351562,192416,2020-11-23
