Date,Adj Close_SEMAC.NS,Close_SEMAC.NS,High_SEMAC.NS,Low_SEMAC.NS,Open_SEMAC.NS,Volume_SEMAC.NS,Date
2020-07-13,404.3803405761719,405.25,409.0,384.95001220703125,390.54998779296875,6203,2020-07-13
2020-07-20,408.7709045410156,409.6499938964844,427.54998779296875,399.95001220703125,420.0,9853,2020-07-20
2020-07-27,385.421142578125,386.25,432.04998779296875,377.3999938964844,432.04998779296875,5135,2020-07-27
2020-08-03,392.3562316894531,393.20001220703125,411.70001220703125,382.25,398.95001220703125,2886,2020-08-03
2020-08-10,391.7076110839844,392.54998779296875,403.04998779296875,386.79998779296875,395.54998779296875,5821,2020-08-10
2020-08-17,501.7709045410156,502.8500061035156,554.0,409.95001220703125,409.95001220703125,298421,2020-08-17
2020-08-24,466.69635009765625,467.70001220703125,509.45001220703125,461.0,509.3999938964844,19844,2020-08-24
2020-08-31,469.4404602050781,470.45001220703125,494.04998779296875,413.0,475.1000061035156,11212,2020-08-31
2020-09-07,464.6507263183594,465.6499938964844,490.8999938964844,437.79998779296875,481.04998779296875,9580,2020-09-07
2020-09-14,457.21673583984375,458.20001220703125,489.3500061035156,451.0,480.0,6796,2020-09-14
2020-09-21,432.9688720703125,433.8999938964844,458.6499938964844,406.29998779296875,445.04998779296875,5646,2020-09-21
2020-09-28,454.073486328125,455.04998779296875,460.0,414.0,447.0,7648,2020-09-28
2020-10-05,428.6282043457031,429.54998779296875,452.04998779296875,421.45001220703125,450.1000061035156,1697,2020-10-05
2020-10-12,427.9297180175781,428.8500061035156,460.0,420.3999938964844,448.95001220703125,6382,2020-10-12
2020-10-19,436.361572265625,437.29998779296875,458.0,410.0,439.04998779296875,6116,2020-10-19
2020-10-26,426.1335754394531,427.04998779296875,455.04998779296875,416.1499938964844,444.0,6534,2020-10-26
2020-11-02,436.81060791015625,437.75,439.79998779296875,406.95001220703125,412.0,5346,2020-11-02
2020-11-09,438.6566467285156,439.6000061035156,487.29998779296875,416.04998779296875,416.04998779296875,25238,2020-11-09
2020-11-16,426.1335754394531,427.04998779296875,452.79998779296875,421.3999938964844,433.3999938964844,7604,2020-11-16
2020-11-23,423.8385009765625,424.75,436.79998779296875,407.8999938964844,435.04998779296875,19676,2020-11-23
2020-11-30,426.8819580078125,427.79998779296875,438.79998779296875,412.5,424.75,10005,2020-11-30
2020-12-07,444.79345703125,445.75,510.0,427.79998779296875,447.0,12646,2020-12-07
2020-12-14,472.1845397949219,473.20001220703125,527.0,434.95001220703125,447.04998779296875,66129,2020-12-14
2020-12-21,482.1630859375,483.20001220703125,494.75,423.1000061035156,471.54998779296875,15271,2020-12-21
2020-12-28,462.4055480957031,463.3999938964844,499.0,460.0,493.95001220703125,11172,2020-12-28
2021-01-04,581.5991821289062,582.8499755859375,667.25,480.0,480.0,411897,2021-01-04
2021-01-11,596.0181884765625,597.2999877929688,647.9000244140625,556.0,582.8499755859375,48947,2021-01-11
2021-01-18,590.5798950195312,591.8499755859375,641.0499877929688,579.75,608.7999877929688,26274,2021-01-18
2021-01-25,575.5621948242188,576.7999877929688,612.9000244140625,566.0,584.9500122070312,7337,2021-01-25
2021-02-01,595.219970703125,596.5,624.9500122070312,571.8499755859375,605.0499877929688,15141,2021-02-01
2021-02-08,578.7054443359375,579.9500122070312,612.4000244140625,540.6500244140625,600.9500122070312,12374,2021-02-08
2021-02-15,547.3229370117188,548.5,592.0,541.5499877929688,570.0,14104,2021-02-15
2021-02-22,534.9495239257812,536.0999755859375,575.0,485.79998779296875,550.0,13745,2021-02-22
2021-03-01,530.3095703125,531.4500122070312,559.9500122070312,480.5,553.9500122070312,34367,2021-03-01
2021-03-08,515.1920166015625,516.2999877929688,554.3499755859375,509.45001220703125,535.5499877929688,15932,2021-03-08
2021-03-15,494.3368835449219,495.3999938964844,535.3499755859375,481.70001220703125,535.3499755859375,13497,2021-03-15
2021-03-22,466.1974182128906,467.20001220703125,516.5499877929688,460.0,516.5499877929688,11913,2021-03-22
2021-03-29,491.443115234375,492.5,495.1000061035156,457.20001220703125,467.20001220703125,9270,2021-03-29
2021-04-05,519.2333374023438,520.3499755859375,545.9500122070312,469.29998779296875,495.04998779296875,24057,2021-04-05
2021-04-12,498.32830810546875,499.3999938964844,525.0,477.95001220703125,513.0499877929688,5525,2021-04-12
2021-04-19,488.948486328125,490.0,498.1000061035156,475.45001220703125,495.04998779296875,2569,2021-04-19
2021-04-26,558.29931640625,559.5,624.0,480.0,499.20001220703125,22767,2021-04-26
2021-05-03,560.7940063476562,562.0,579.0,522.6500244140625,540.0,15292,2021-05-03
2021-05-10,559.4967651367188,560.7000122070312,615.0,556.9500122070312,585.0,43561,2021-05-10
2021-05-17,574.9136352539062,576.1500244140625,610.0,560.0499877929688,578.9000244140625,27005,2021-05-17
2021-05-24,566.731201171875,567.9500122070312,586.0,560.0499877929688,575.0999755859375,14094,2021-05-24
2021-05-31,575.9613647460938,577.2000122070312,597.9500122070312,550.5,578.0,15051,2021-05-31
2021-06-07,574.7140502929688,575.9500122070312,589.9500122070312,560.0499877929688,586.0,15623,2021-06-07
2021-06-14,720.600341796875,722.1500244140625,841.9500122070312,560.0499877929688,577.1500244140625,729361,2021-06-14
2021-06-21,689.1179809570312,690.5999755859375,750.0,665.0999755859375,715.5999755859375,82576,2021-06-21
2021-06-28,670.807373046875,672.25,729.0,669.0,714.0,25523,2021-06-28
2021-07-05,699.44580078125,700.9500122070312,736.9000244140625,671.2999877929688,687.8499755859375,71432,2021-07-05
2021-07-12,698.1486206054688,699.6500244140625,728.5999755859375,693.5,721.75,14914,2021-07-12
2021-07-19,676.0960083007812,677.5499877929688,706.5999755859375,668.5499877929688,699.6500244140625,10650,2021-07-19
2021-07-26,675.2478637695312,676.7000122070312,710.0,650.0,710.0,11910,2021-07-26
2021-08-02,669.7596435546875,671.2000122070312,735.0,650.2999877929688,684.0,15550,2021-08-02
2021-08-09,626.8519287109375,628.2000122070312,678.4000244140625,612.0499877929688,673.9500122070312,17261,2021-08-09
2021-08-16,565.1845703125,566.4000244140625,610.2000122070312,559.6500244140625,610.2000122070312,12334,2021-08-16
2021-08-23,556.7028198242188,557.9000244140625,590.0,517.0999755859375,571.2999877929688,7246,2021-08-23
2021-08-30,558.698486328125,559.9000244140625,600.0,555.0,560.1500244140625,9175,2021-08-30
2021-09-06,556.3036499023438,557.5,579.7000122070312,549.0499877929688,560.0,5761,2021-09-06
