Date,Adj Close_SERVOTECH.NS,Close_SERVOTECH.NS,High_SERVOTECH.NS,Low_SERVOTECH.NS,Open_SERVOTECH.NS,Volume_SERVOTECH.NS,Date
2020-07-13,3.324457883834839,3.4800000190734863,3.490000009536743,3.200000047683716,3.200000047683716,180000,2020-07-13
2020-07-20,3.935852289199829,4.119999885559082,4.119999885559082,3.609999895095825,3.609999895095825,200000,2020-07-20
2020-07-27,4.0695953369140625,4.260000228881836,4.260000228881836,3.690000057220459,3.9200000762939453,540000,2020-07-27
2020-08-03,3.630155324935913,3.799999952316284,4.300000190734863,3.609999895095825,4.300000190734863,1240000,2020-08-03
2020-08-10,3.821216106414795,4.0,4.050000190734863,3.7899999618530273,3.9600000381469727,240000,2020-08-10
2020-08-17,3.9931702613830566,4.179999828338623,4.300000190734863,3.799999952316284,3.799999952316284,320000,2020-08-17
2020-08-31,4.0695953369140625,4.260000228881836,4.260000228881836,4.260000228881836,4.260000228881836,20000,2020-08-31
2020-09-14,4.012276649475098,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,20000,2020-09-14
2020-10-05,4.203337669372559,4.400000095367432,4.400000095367432,3.990000009536743,3.990000009536743,40000,2020-10-05
2020-11-02,4.3943986892700195,4.599999904632568,4.760000228881836,4.539999961853027,4.539999961853027,140000,2020-11-02
2020-11-09,4.432610034942627,4.639999866485596,4.639999866485596,4.639999866485596,4.639999866485596,20000,2020-11-09
2020-11-16,4.3943986892700195,4.599999904632568,4.599999904632568,4.599999904632568,4.599999904632568,40000,2020-11-16
2020-11-23,4.203337669372559,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,20000,2020-11-23
2020-11-30,4.012276649475098,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,20000,2020-11-30
2020-12-07,4.165125370025635,4.360000133514404,4.360000133514404,3.799999952316284,3.990000009536743,120000,2020-12-07
2020-12-14,4.165125370025635,4.360000133514404,4.360000133514404,4.360000133514404,4.360000133514404,40000,2020-12-14
2021-01-18,3.9645116329193115,4.150000095367432,4.150000095367432,4.150000095367432,4.150000095367432,60000,2021-01-18
2021-01-25,3.773451089859009,3.950000047683716,3.950000047683716,3.950000047683716,3.950000047683716,160000,2021-01-25
2021-02-15,3.5919430255889893,3.759999990463257,3.7899999618530273,3.759999990463257,3.759999990463257,120000,2021-02-15
2021-02-22,3.716132879257202,3.890000104904175,3.890000104904175,3.890000104904175,3.890000104904175,40000,2021-02-22
2021-03-08,3.8976402282714844,4.079999923706055,4.079999923706055,3.890000104904175,3.890000104904175,40000,2021-03-08
2021-03-15,3.8594279289245605,4.039999961853027,4.039999961853027,4.0,4.0,60000,2021-03-15
2021-04-05,3.6683671474456787,3.8399999141693115,3.8399999141693115,3.8399999141693115,3.8399999141693115,20000,2021-04-05
2021-04-26,3.821216106414795,4.0,4.0,4.0,4.0,20000,2021-04-26
2021-05-03,4.012276649475098,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,20000,2021-05-03
2021-05-17,3.974064588546753,4.159999847412109,4.159999847412109,4.159999847412109,4.159999847412109,20000,2021-05-17
2021-05-24,3.6206021308898926,3.7899999618530273,3.9600000381469727,3.7899999618530273,3.9600000381469727,220000,2021-05-24
2021-05-31,3.6206021308898926,3.7899999618530273,3.7899999618530273,3.75,3.75,240000,2021-05-31
2021-06-07,3.2766928672790527,3.430000066757202,3.759999990463257,3.430000066757202,3.609999895095825,100000,2021-06-07
2021-06-14,3.114291191101074,3.259999990463257,3.259999990463257,3.259999990463257,3.259999990463257,20000,2021-06-14
2021-06-21,3.1429502964019775,3.2899999618530273,3.5399999618530273,3.0999999046325684,3.0999999046325684,1000000,2021-06-21
2021-06-28,3.324457883834839,3.4800000190734863,3.5,3.200000047683716,3.299999952316284,1180000,2021-06-28
2021-07-05,3.2671396732330322,3.4200000762939453,3.6500000953674316,3.319999933242798,3.6500000953674316,1100000,2021-07-05
2021-07-12,3.2957987785339355,3.450000047683716,3.75,3.4100000858306885,3.5899999141693115,920000,2021-07-12
2021-07-19,3.3435637950897217,3.5,3.6500000953674316,3.2799999713897705,3.2799999713897705,1000000,2021-07-19
2021-07-26,4.060041904449463,4.25,4.25,3.619999885559082,3.6500000953674316,1960000,2021-07-26
2021-08-02,4.977133750915527,5.210000038146973,5.21999979019165,4.25,4.440000057220459,660000,2021-08-02
2021-08-09,5.120429515838623,5.360000133514404,5.619999885559082,5.230000019073486,5.239999771118164,360000,2021-08-09
2021-08-16,4.967580795288086,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,20000,2021-08-16
2021-08-23,4.766966819763184,4.989999771118164,5.039999961853027,4.699999809265137,4.940000057220459,140000,2021-08-23
2021-08-30,4.814732074737549,5.039999961853027,5.590000152587891,4.760000228881836,4.769999980926514,923315,2021-08-30
2021-09-06,5.110876560211182,5.349999904632568,5.699999809265137,5.170000076293945,5.25,717120,2021-09-06
2021-09-13,5.158642292022705,5.400000095367432,5.849999904632568,5.119999885559082,5.579999923706055,2660870,2021-09-13
2021-09-20,4.595012187957764,4.809999942779541,5.429999828338623,4.739999771118164,5.429999828338623,534835,2021-09-20
2021-09-27,4.757413864135742,4.980000019073486,5.239999771118164,4.610000133514404,4.71999979019165,1627225,2021-09-27
2021-10-04,4.623671531677246,4.840000152587891,5.28000020980835,4.619999885559082,5.21999979019165,1919895,2021-10-04
2021-10-11,4.623671531677246,4.840000152587891,5.400000095367432,4.46999979019165,5.159999847412109,3845525,2021-10-11
2021-10-18,3.8976402282714844,4.079999923706055,4.929999828338623,4.0,4.800000190734863,3509870,2021-10-18
2021-10-25,3.6397085189819336,3.809999942779541,4.230000019073486,3.799999952316284,4.230000019073486,2577370,2021-10-25
2021-11-01,3.802110195159912,3.9800000190734863,4.0,3.5899999141693115,3.8399999141693115,1062575,2021-11-01
2021-11-08,3.9645116329193115,4.150000095367432,4.150000095367432,3.8299999237060547,4.0,2692050,2021-11-08
2021-11-15,4.719202041625977,4.940000057220459,4.949999809265137,3.9600000381469727,4.300000190734863,2131135,2021-11-15
2021-11-22,5.559869289398193,5.820000171661377,5.820000171661377,4.699999809265137,5.090000152587891,3740825,2021-11-22
2021-11-29,7.235673427581787,7.289999961853027,7.289999961853027,5.53000020980835,6.039999961853027,2551715,2021-11-29
2021-12-06,9.121513366699219,9.1899995803833,9.199999809265137,7.650000095367432,7.650000095367432,2873370,2021-12-06
2021-12-13,11.602883338928223,11.6899995803833,11.6899995803833,9.020000457763672,9.5600004196167,3140520,2021-12-13
2021-12-20,11.821244239807129,11.90999984741211,12.869999885559082,11.270000457763672,12.270000457763672,8064600,2021-12-20
2021-12-27,15.01724910736084,15.130000114440918,15.130000114440918,11.84000015258789,12.380000114440918,3550365,2021-12-27
2022-01-03,19.136322021484375,19.280000686645508,19.280000686645508,15.09000015258789,15.880000114440918,2361205,2022-01-03
2022-01-10,19.26535415649414,19.40999984741211,22.309999465942383,19.40999984741211,20.239999771118164,3202980,2022-01-10
2022-01-17,20.109018325805664,20.260000228881836,20.260000228881836,16.649999618530273,18.440000534057617,1972830,2022-01-17
2022-01-24,22.183443069458008,22.350000381469727,23.829999923706055,19.260000228881836,21.270000457763672,3143505,2022-01-24
2022-01-31,20.58544158935547,20.739999771118164,22.989999771118164,19.139999389648438,22.989999771118164,1386915,2022-01-31
2022-02-07,22.451433181762695,22.6200008392334,24.200000762939453,21.31999969482422,21.770000457763672,888710,2022-02-07
2022-02-14,21.577991485595703,21.739999771118164,22.600000381469727,19.959999084472656,21.5,558145,2022-02-14
