Date,Adj Close_SGLTL.NS,Close_SGLTL.NS,High_SGLTL.NS,Low_SGLTL.NS,Open_SGLTL.NS,Volume_SGLTL.NS,Date
2025-01-13,190.41000366210938,190.41000366210938,213.8000030517578,157.14999389648438,172.0,146419154,2025-01-13
2025-01-20,164.60000610351562,164.60000610351562,193.4199981689453,161.5,190.0,28450337,2025-01-20
2025-01-27,160.75999450683594,160.75999450683594,177.72999572753906,153.6999969482422,161.0,15440265,2025-01-27
2025-02-03,172.7899932861328,172.7899932861328,179.8800048828125,154.61000061035156,156.60000610351562,10037973,2025-02-03
2025-02-10,143.41000366210938,143.41000366210938,172.19000244140625,142.52999877929688,165.25999450683594,8622513,2025-02-10
2025-02-17,135.0800018310547,135.0800018310547,145.89999389648438,129.61000061035156,142.6999969482422,5784361,2025-02-17
2025-02-24,130.10000610351562,130.10000610351562,137.47999572753906,126.75,134.0,2349075,2025-02-24
2025-03-03,136.11000061035156,136.11000061035156,140.02000427246094,124.0,131.89999389648438,5685237,2025-03-03
2025-03-10,138.6999969482422,138.6999969482422,152.0,135.5,135.5,9583807,2025-03-10
2025-03-17,155.19000244140625,155.19000244140625,158.77999877929688,137.85000610351562,139.6999969482422,6027620,2025-03-17
2025-03-24,146.82000732421875,146.82000732421875,157.7899932861328,141.14999389648438,155.89999389648438,4842211,2025-03-24
2025-03-31,153.19000244140625,153.19000244140625,162.69000244140625,144.02000427246094,146.82000732421875,4536978,2025-03-31
2025-04-07,136.1300048828125,136.1300048828125,150.0,133.50999450683594,135.0,6130905,2025-04-07
2025-04-14,141.6199951171875,141.6199951171875,145.3000030517578,136.1300048828125,136.1300048828125,2691910,2025-04-14
2025-04-21,142.4499969482422,142.4499969482422,151.0,140.47999572753906,142.08999633789062,3897705,2025-04-21
2025-04-28,136.74000549316406,136.74000549316406,144.74000549316406,136.27000427246094,142.89999389648438,1563883,2025-04-28
2025-05-05,131.25,131.25,139.3800048828125,128.0,136.99000549316406,1910922,2025-05-05
2025-05-12,166.8800048828125,166.8800048828125,169.89999389648438,135.88999938964844,135.89999389648438,7219535,2025-05-12
2025-05-19,169.16000366210938,169.16000366210938,181.0,167.0,168.44000244140625,6341322,2025-05-19
2025-05-26,184.00999450683594,184.00999450683594,193.0,162.0,162.0,11362086,2025-05-26
2025-06-02,186.52999877929688,186.52999877929688,194.5,175.64999389648438,184.00999450683594,10584773,2025-06-02
2025-06-09,171.36000061035156,171.36000061035156,198.44000244140625,169.10000610351562,188.89999389648438,10174276,2025-06-09
2025-06-16,169.5500030517578,169.5500030517578,173.8699951171875,164.0,172.2100067138672,1403764,2025-06-16
2025-06-23,171.0500030517578,171.0500030517578,175.0,163.10000610351562,168.6999969482422,671987,2025-06-23
2025-06-30,169.66000366210938,169.66000366210938,173.60000610351562,164.0,171.8000030517578,562468,2025-06-30
2025-07-07,180.69000244140625,180.69000244140625,181.0399932861328,165.0500030517578,168.00999450683594,727752,2025-07-07
2025-07-14,185.22000122070312,185.22000122070312,187.89999389648438,180.0,185.0,577751,2025-07-14
